Act of Parliament	uMthetho WePhalamende
Secretary to Parliament	uNobhala wePhalamende
Sector Education and Training Authority	inhlangano yezokuqeqeshelwa amakhono; i-Sector Education and Training Authority
Skills Development Act	Umthetho Wokuthuthukiswa Kwamakhono
South African Bureau of Standards	inhlangano yezamazinga ezimpahla; i-South African Bureau of Standards
South African Chamber of Commerce	inhlangano yawosomabhizinisi; iSouth African Chamber of Commerce
South African Communist Party	inhlangano yezombusazwe; iSouth African Communist Party
South African Constitution	uMthethosisekelo WaseNingizimu Afrika
South African Council of Churches	uMkhandlu wamabandla; iSouth African Council of Churches
South African Defence Force	uMbutho Wezokuvikela; iSouth African Defence Force
South African Human Rights Commission	iKhomishana Yamalungelo Esintu
South African Local Government Association	iNhlangano Yohulumeni Basekhaya YaseNingizimu Afrika
South African National Civic Organisation	inhlangano yezomphakathi; i-South African National Civic Organisation
South African National Defence Force	uMbutho Kazwelonke Wezokuvikela
South African National Parks	inhlangano ebhekele ezamapaki; i-South African National Parks
South African Native National Congress	inhlangano yezombusazwe; iSouth African Native National Congress
South African Police	uMbutho Wamaphoyisa
South African Police Service	uPhiko Lwamaphoyisa AseNingizimu Afrika
South African Qualifications Authority	inhlangano yezemigomo yeziqu; iSouth African Qualifications Authority
South African Reserve Bank	iBhange loMbuso; i-South African Reserve Bank
South African Revenue Service	isikhungo sakuleli esiqoqa intela; i-South African Revenue Service
South African Secret Service	iNhlangano Kazwelonke Yezobunhloli
South African Sugar Association	inhlangano kashukela; i-South African Sugar Association
South African citizen	isakhamuzi saseNingizimu Afrika
South African design	ukuklama kwakuleli
South African design	ukuqamba kwakuleli
South African tea	itiye laseNingizimu Afrika
Southern Africa	i-Afrika eseNingizimu
Southern African Development Community	iNhlangano yamazwe ase-Afrika eseNingizimu
Southern African Large Telescope	isibonakude esikhulu sase-Afrika eseNingizimu
Speaker of Parliament	Usomlomo Wephalamende
Speaker of the National Assembly	Usomlomo Wesishayamthetho Sikazwelonke
State Department	uMnyango Kahulumeni
State President	uMengameli Wezwe
Statistics South Africa	isikhungo sezocwaningozibalo; i-Statistics South Africa
Supreme Court	iNkantolo Ephakeme
Supreme Court of Appeal	iNkantolo Ephakeme Yokwedluliswa Kwamacala
The Call of South Africa	iSicelo SeNingizimu Afrika
The National Qualifications Framework	uhlaka lwezeziqu; i-National Qualifications Framework
The South African National Council for the Blind	uMkhandlu wabangaboni emehlweni; i-South African National Council for the Blind
Tropic of Capricorn	i-Tropic of Capricorn
Truth and Reconciliation Commission	iKhomishana Yamaqiniso Nokubuyisana
UN Security Council	uMkhandlu Wezokuvikela WeNhlangano Yezizwe
Union of South Africa	iNyunyana YeseNingizimuAfrika
United Christian Democratic Party	inhlangano yezombusazwe; i-United Christian Democratic Party
United Democratic Front	inhlangano yezombusazwe; i-United Democratic Front
United Democratic Movement	inhlangano yezombusazwe; i-United Democratic Movement
United Nations	iNhlangano Yezizwe
United States of America	i-United States of America
Universal Declaration of Human Rights	Ukumenyezelwa Kwamalungelo Abantu Emhlabeni Wonke
Water Research Commission	iKhomishana Yokucwaninga Ngezamanzi
West Bank	ibhange; iWest Bank
Western Cape	iNtshonalanga Kapa
Willem Prinsloo Agricultural Museum	isigcinamagugu sezolimo; i-Willem Prinsloo Agricultural Museum
World Health Organisation	Inhlangano Yezempilo Kazwelonke
World Heritage Site	iSizinda Samagugu Omhlaba
World Trade Organisation	iNhlangano Yezohwebo Yamazwe Omhlaba
World War I	iMpi Yomhlaba Yoku-1
World War II	iMpi Yomhlaba Yesi-2
World Wildlife Fund	inhlangano elwela ukulondolozwa kwemvelo; i-World Wildlife Fund
abuse of power	ukusetshenziswa kabi kwamandla
academic freedom	inkululeko kwezemfundo
account for	nika isizathu esilungile
account to	landa ku-
accountable for	olindeleke ukuba aziphendulele kokuthile
accounting officer	obhekele ezama-akhawunti
acid mine drainage	ukunukubezwa kwamanzi yisibabuli
act of parliament	umthetho wephalamende
act of state	umthetho wombuso
acts of sabotage	ukucekela phansi
ad hoc	okwesikhashana
ad hoc committee	ikomidi lesikhashana
administration of justice	inqubo nohlaka okusetshenziselwa ukuxazulula ukungqubuzana
administrative action	isinyathelo sezokuphatha
administrative function	umsebenzi wezokuphatha
administrative powers	amandla ezokuphatha
advancement of technology	inqubekelaphambili kwezobuchwepheshe
advisory body	uhlaka lwabeluleki
affirmative action	isenzangakhona
against the law	okuphambene nomthetho
agent of change	osiza ekuletheni izinguquko enhlanganweni
air traffic	ukuhamba kwamabhanoyi
air traffic control	ukulawula ukuhamba kwamabhanoyi
all rights reserved	wonke amalungelo agodliwe
all the time	sonke isikhathi
annual financial statement	isitatimende sonyaka wezimali
annual general meeting	umhlangano ojwayelekile wonyaka
annual report	umbiko yonyaka
appoint the cabinet	ukuqoka isigungu songqongqoshe
appropriate technology	ubuchwepheshe obufanele
area of interest	indawo ethandwayo
area of jurisdiction	indawo okusebenza kuyo amagunya ngokomthetho
area of land	indawo yomhlaba
area of responsibility	indawo yokusebenza
armed struggle	umzabalazo wezikhali
arts and crafts	ubuciko nemisebenzi yezandla
arts and crafts market	imakethe yobuciko nemisebenzi yezandla
arts and culture	ubuciko namasiko
as amended	njengoba kuchitshiyelwe
as far as possible	ngangokunokwenzeka
as many as	ngobuningi
as soon as possible	ngokushesha ngangokusemandleni
assumption of duty	ukuqala ukusebenza
at a meeting	emhlanganweni
at the age of	esikhathini sa-
attainment of independence	ukuzuza ukuzimela
attend a meeting	hambela umhlangano
basic human rights	amalungelongqangi esintu
basic needs	izidingongqangi
basic rights	amalungelongqangi
bear witness to	bonisa ngokuba khona kwakho ukuthi
bed and breakfast	ukulala nesidlo sasekuseni
bilateral relations	ubudlelwano phakathi kwamazwe amabili
bill of rights	umqulu wamalungelo esintu
black power movement	ukuthuthukiswa kwabamnyama kwezomnotho
board of directors	ibhodi labaqondisi
board of trustees	ibhodi labaphatheli
body of water	ukuqongeleleka kwamanzi phezu komhlaba
border post	umngcele phakathi kwamazwe amabili
bottom line	iphuzu elisemqoka kakhulu
box office returns	okubuyela ehhovisi lamathikithi
branches of government	imikhakha kahulumeni
budget process	uhlelo lwesabelomali
budget vote	usuku uNgqongqoshe ethula ngalo isabelomali
build a part	akha ingxenye
bunch of grapes	isixheke
bus rapid transit	uhlelo lwamabhasi asheshayo olususelwa kolwezitimela
business community	osomabhizinisi
business of parliament	umsebenzi wephalamende
business sector	umkhakha wawosomabhizinisi
by the authorities	ngeziphathimandla
by virtue of	ngegunya la-
by way of	ngendlela ya-
by word of mouth	ngomlomo
call centre operator	okhuluma namakhasimende ebhizinisi ngezingcingo
call for nominations	ukucela abaphakanyiselwa ukuqokwa/ukukhethwa
capacity building	ukwakha amakhono
capital city	inhlokodolobha
central business district	indawo okuqhutshwa kuyo amabhizinisi edolobheni
central government	uhulumeni omkhulu
certify a bill	ukuqinisekiswa kwe-akhawunti
chamber of commerce	inhlangano egqugquzela, ivikele osomabhizinisi bendawo
change of address	ukuguqulwa kwekheli
change of course	ukuguqulwa kwendlela
changes over time	izinguquko ngokuhamba kwesikhathi
changing society	umphakathi oguqukayo
checks and balances	ukulawulana kwemikhakha kahulumeni
chief executive	isikhulu esiphezulu
chief whip	usotswebhu omkhulu
child abuse	ukuhlukunyezwa kwengane
child rearing practices	imikhuba yokukhulisa ingane
children of Africa	izingane zase-Afrika
city centre	inkaba yedolobha
civil rights	amalungelo abantu
civil rights movement	inhlangano yamalungelo omphakathi
civil service	usizo lomphakathi
civil society	imikhakha kahulumeni yezokuphatha
civil war	impi yombango
coat of arms	isifanekisophawu esiyisiphandla sesihlangu
code of conduct	indlela yokuziphatha
code of ethics	imithetho yenkambo elungileyo
collection of data	ukuqoqwa kwemininingwane
collective responsibility	isibopho sokubhekana nezenzo zabanye ngokuhlanganyela
colonial power	amandla ezifikanamthwalo
colonial rule	ukubuswa yizifikanamthwalo
come into force	ukuqala ukusebenza
come to the point	ukusho okubalulekile
committee meeting	umhlangano wekomidi
common interest	okuhlomulisa wonke umuntu
community broadcasting service	isiteshi sokusakaza sendawo
community building	ukwakha umphakathi
community development	intuthuko yomphakathi
community involvement	ukubandakanyeka komphakathi
community participation	ukubamba iqhaza komphakathi
community police forum	uhlaka lomphakathi olusebenzisana namaphoyisa
community service	ukusebenzela umphakathi
conclude an agreement	ukuphothula isivumelwano
conditions of contract	imibandela yenkontileka
conditions of service	izimo zokusebenza
conflict prevention	ukuvimbela ukungqubuzana
conflict resolution	ukuxazululwa kokungqubuzana
constitutional democracy	intando yabantu ngokomthethosisekelo
constitutional mandate	igunya ngokomthethosisekelo
constitutional state	umbuso ngokomthethosisekelo
consumer price index	iqoqo lamanani ezimpahla
contempt of parliament	ukudelela iphalamende
convene a meeting	biza umhlangano
cooperation agreement	isivumelwano sokubambisana
course of action	ukulandelana kwemisebenzi eyinziwayo
cultural change	uguquko ngokwamasiko
cultural community	umphakathi ngokwamasiko
cultural diversity	ukwahlukahlukana ngokwamasiko
cultural goods	izimpahla zezamasiko
cultural heritage	amagugu ezamasiko
cultural revolution	uguquko olusheshayo kwezamasiko
culture of human rights	isiko lamalungelo abantu
current affairs	ezisematheni
customary law	umthetho ophathelene namasiko
customs and excise	intela yempahla ekhiqizwa ezweni neyempahla evela kwamanye amazwe
cutting edge	okusezingeni eliphezulu
data collection	ukuqoqa ulwazi locwaningo
date of birth	usuku lokuzalwa
decent living	ukuphila impilo enhle
deciduous fruit industry	imboni yezithelo eziwohlokayo uma sezivuthiwe
defence force	umbutho wezokuvikela
degree of freedom	izinga lenkululeko
delegated legislation	umthetho obekwe yiziphathimamndla ezigunyaziwe
demand and supply	okufunwa ngabathengi nokuphakelwa yimakethe
democratic culture	isiko lentando yabantu
democratic election	ukhetho lwentando yabantu
democratic political order	uhlelo lwezombusazwe ngokwentando yabantu
democratic principle	umgomo wentando yabantu
democratic society	umphakathi obuswa ngokwentando yabantu
democratic state	izwe elibuswa ngokwentando yabantu
democratic transformation	uguquko ngokwentando yabantu
democratic values	okuyigugu kubantu
deputy minister	isekela likangqongqoshe
deputy president	isekela likamengameli
dereliction of duty	ihlazo lokwahlulwa ngukufeza izibopho
developing country	izwe elisathuthuka
development initiatives	izinhlelo zezentuthuko
development process	uhlelo lwezentuthuko
development programme	uhlelo lwezentuthuko
development strategy	isu lezentuthuko
diplomatic corps	amanxusa amazwe kwelinye izwe
diplomatic relations	ubudlelwano phakathi kwamazwe amabili
direct support	ukwesekela ngqo
director general	umqondisi jikelele
disaster management	ukulawulwa kwenhlekelele
disciplinary action	isinyathelo sokuqondisa izigwegwe
discussion document	incwadi eyisisekelo sezingxoxo
dispossession of land	ukwaphucwa umhlaba
distribution capacity	amandla okwaba
distribution of resources	ukwabiwa kwezinsiza
distribution of wealth	ukwabiwa komnotho
district municipality	umasipala wesifunda
diverse society	umphakathi owahlukene
diversity of people	ukwahlukahlukana kwabantu
divide and rule	inqubo yokulawula abantu ngokugqugquzela ukwahlukana kwabo
domain name authority	amandla egama ngokohlelo i-DNS lwe-inthanethi
down for discussion	okuxoxwa ngakho
draft bill	umthethosivivinywa ohlongozwayo
draft legislation	umthetho ohlongozwayo
early warning	isaziso ngokuzokwenzeka
early warning system	uhlelo lokwexwayisa kusenesikhathi
ease of access	ukutholakala kalula; ukungena kalula
economic empowerment	ukuthuthukiswa ngokomnotho
economic growth	ukukhula komnotho
economic impact	umthelela kwezomnotho
economic relations	ubudlelwano kwezomnotho
economic sector	imboni yezomnotho
economic strength	amandla ezomnotho
effective public service	ukusizwa komphakathi okusebenzayo
election period	isikhathi sokhetho
election process	inqubo yezokhetho
election results	imiphumela yezokhetho
enabling environment	isimo esivumayo
entitled to vote	ogunyazelwe ukuvota
environmental impact	umthelela kwezemvelo
environmental impact assessment	ukulinganisa umthelela kwezemvelo
equal opportunities	amathuba alinganayo
equality before the law	ukulingana phambi komthetho
every three years	njalo eminyakeni emithathu
executive action	isinyathelo seziphathimandla
executive authority	igunya leziphathimandla
executive organs of state	izigaba zeziphathimandla zombuso
explanatory memorandum	imemorandamu echasisisayo
fair election	ukhetho olungenzeleli
fall in love	ukuba nomuzwa wothando
fauna and flora	izilwane nokumilayo
field of study	umkhakha wocwaningo
fill a vacancy	gcwalisa isikhundla
financial year	unyaka wezezimali
first past the post	ukuphumelela ngamavoti amaningi
fiscal discipline	amandla kahulumeni okulawula ukusetshenziswa kwezimali
five hundred and six	amakhulu amahlanu nesithupha
follow up	ukulandelela
food security	ukutholakala kokudla
forced labour	ukusebenza ngokuphoqwa
fore and aft	ngaphambili nangemuva emkhunjini
fore and after	umkhumbi oneseyili bokuntweza
foreign direct investment	ukutshala ngqo imali ngabamazwe angaphandle
foreign exchange	uhlobo lwemali yakwamanye amazwe
foreign policy	inqubomgomo yezwe ngokuphathelene namanye amazwe
free of charge	mahhala
free society	umphakathi okhululekile
freedom fighter	olwela inkululeko
freedom of association	inkululeko yokuzimbandakanya
freedom of conscience	ilungelo lokukholelwa kokuphathelene nenkolo nokulunga
freedom of expression	ukukhuluma ngenkululeko
freedom of movement	ilungelo lokuhamba ngokukhululeka
freedom of religion	ilungelo lokuzikhethela inkolo
freedom of scientific research	inkululeko yocwaningo lwezesayensi
freedom of speech	ukukhuluma ngenkululeko
freedom of the press	inkululeko yabamaphephandaba
from the front	ngokusukela ngaphambili
full supply level	indawo yokuphakelwa ngokugcwele
functional area	ithimba elenza umsebenzi ofanayo enhlanganweni
fundamental human rights	amalungelongqangi esintu
fundamental rights	amalungelongqangi
future research	ucwaningo lwesikhathi esizayo
gender equality	ukulingana ngokobulili
gender inequality	ukungalingani ngokobulili
gender violence	udlame ngokobulili
general election	ukhetho jikelele
get away with	ukuphunyuka
give evidence	nika ubufakazi
global development	intuthuko yomhlaba wonke
global economy	umnotho womhlaba wonke
global village	umphakathi womhlaba oxhunyaniswe ngezingcingo
go on for	qhubekela
goods and services	izimpahla nemisebenzi
governing party	inhlangano ebusayo
government action	isinyathelo sikahulumeni
government authority	igunya likahulumeni
government by the people	ukubuswa ngabantu
government department	umnyango kahulumeni
government funding	imali ekhokhwa nguhulumeni
government level	izinga likahulumeni
government of the day	uhulumeni obusayo
government policy	inqubomgomo kahulumeni
government sector	umkhakha kahulumeni
government services	usizo lukahulumeni
governmental organisation	inhlangano kahulumeni
grassroots level	emazingeni aphansi
guard of honour	iqoqo labahlelelwe ukwamukela isihambeli
guilty of contempt	ukuba necala lokwedelela inkantolo
half a million	ingxenye yesigidi
have a vote	vota
head of government	inhloko yombuso
head of office	inhloko yehhovisi
head of state	inhloko yombuso
health care	usizo lwezempilo
hierarchy of authority	amagunya ngokwamazinga enhlangano
historically disadvantaged	ababencishwe amathuba
hold a meeting	ukubamba umhlangano
hold office	ukuba sehhovisi
honorary citizenship	ukuba yisakhamuzi ngokwaziswa
honours and awards	ukuhlonishwa nemiklomelo
host country	izwe elisingethe
host nation	isizwe esisingethe
house of assembly	iphalamende
houses of parliament	izindlu zephalamende
human development	intuthuko yomuntu
human dignity	isithunzi somuntu
human nature	imvelo yomuntu
human race	uhlobo lomuntu
human resource	umuntu emsebenzini
human resource development	ukuthuthukiswa kwabasebenzi
human rights	amalungelo esintu
human rights abuse	ukuphathwa kabi kwamalungelo esintu
human rights activist	isishoshovu samalungelo abantu
human rights violation	ukwephulwa kwamalungelo abantu
human security	ukuvikeleka komuntu
imbalances of the past	ukungalingani kwesikhathi esedlule
immediate past president	umengameli wesikhathi esisanda kwedlula
in accordance with	ngokuhambisana na-
in accordance with the rules	ngokwemithetho
in addition to	ngaphezulu kwa-
in an acting capacity	njengebamba
in any way	nganoma ngabe iyiphi indlela
in case of	uma kwenzeka
in celebration of	ekugubheni umkhosi wa-
in compliance with	ngokuthobela
in consultation with	ngokubonisana
in excess of	ngokweqisa
in favour of	ngokukhetha u-
in favour of	ngokuthanda u-
in favour of	ngokwenzela u-
in good faith	ngobuqotho
in office	ehhovisi
in so far	ngangoba
in spite of	-phezu kokuba
in support of	ngokweseka u-
in terms of	ngokwa-
in the balance	okungabazekayo
in the course of	ngesikhathi
in the evening	kusihlwa
in the event of	uma kwenzeka okuthile
in the field of	emkhakheni wa-
in the gap	esikhaleni
in the interim	okwamanje
in the lead	okuholayo
in the long term	esikhathini eside
in the majority	ngeningi
in the morning	ekuseni
in the name of	egameni lika-
in the picture	esithombeni; emfanekisweni
in the region of	esifundeni sase-
in the white	kokumhlophe
inaugural address	inkulumo yokuvula
inaugural meeting	umhlangano wokuvula
income tax	intela yeholo
