ABET	i-ABET; 
DECEMBER	uDisemba;  uZibandlela; 
DG	uMqondisi Jikelele; 
DRC	i-DRC; 
DSO	i-DSO; 
Danny	uDanny; 
David	uDavid; 
Dec	uDisemba;  uZibandlela; 
December	 uDisemba; uZibandlela; 
Deregister	khipha ohleni lwababhalisile; 
Desmond	uDesmond; 
Dome	isiqongo sebhilidi esiyindingilizi phezulu; 
Dominican	okuphathelene noDominic; 
Dr	uDkt; 
Dutch	isiBhunu; amaBhunu; 
EC	i-EC; 
EFF	inhlangano yezepolitiki i-EFF; 
Eddie	u-Eddie; 
Edinburgh	i-Edinburg; 
Elizabeth	u-Elizabeth; 
Ellen	u-Ellen; 
Emmanuel	u-Emmanuel; 
English	isiNgisi; 
Ethiopia	i-Ethiopia; 
Europe	i-Europe; 
European	umlungu;  umLungu; 
Excellency	ubuhle; 
FEBRUARY	uNhlolanja; uFebruwari; 
FRANCOIS	Ufrancois; 
FRIDAY	uLwesihlanu; 
Feb	uNhlolanja; uFebruwari; 
February	uNhlolanja; 
Federal	okwenhlangano yamazwe; 
Filter	 ihluzo;  isivovo; isisefo; 
Florence	uFlorence; 
Fort	inqaba eyakhiweyo; 
France	i-France; 
Francis	uFrancis; 
Francois	uFrancois; 
French	okwaseFrance; okwamaFulentshi; 
Friday	uLwesihlanu; 
Fridays	uLwesihlanu; 
GB	i-GB; 
GDP	i-GDP; 
Gandhi	uGandhi; 
Gauteng	iGauteng; 
Gazette	uSomqulu kaHulumeni; igazethi; 
George	uGeorge; 
German	iJalimani; 
Germany	i-Germany; 
Ghana	iGhana; 
Gina	uGina; 
Glossary	uhlu lwezincazelo zamazwi; 
God	uNkulunkulu; 
Guardian	 umondli; umphathi; 
HIV-positive	onegciwane lengculazi; 
Hague	iHague; 
Handbook	incwadi equkethe ulwazi oluthile; 
Harare	iHarare; 
Hawks	oklebe; 
Helen	uHelen; 
Hon	Mhlonishwa; 
Howard	uHoward; 
Hugh	uHugh; 
Humphreys	oHumphrey; 
I'm	Ngi-; 
ICT	i-ICT; 
India	iNdiya; 
Indian	okwaseNdiya; iNdiya; 
Infecting	 ukonakalisa; ukuhabulisa;  ukuthelela ukufa; 
Inga	isihlahla i-Inga; 
Interjections	ukunquma umlomo;  isibabazo; 
Islam	ubu-Islam; 
Islamic	okwamaSulumani; okobuSulumani; 
Italy	i-Italy; 
JANUARY	uMasingana;  uJanuwari; 
JULY	 uNtulikazi; uJulayi; 
JUNE	uJuni;  uNhlangulana; 
Jacob	uJakobe; 
James	uJames; 
Jan	uMasingana;  uJanuwari; 
January	uMasingana;  uJanuwari; 
Jewish	okwamaJuda; 
Joe	uJoe; 
Johannes	uJohannes; 
Johannesburg	iGoli; iJohannesburg; 
John	uJohn; 
Johnson	uJohnson; 
Jonathan	uJonathan; 
Jordan	uJordan; 
Joseph	uJoseph; uJosefa; 
Jul	 uNtulikazi; uJulayi; 
Julius	uJulius; 
July	 uNtulikazi; uJulayi; 
Jun	uJuni;  uNhlangulana; 
June	uNhlangulana;  uJuni; 
Kenya	iKenya; 
Keyword	igama elisemqoka; 
Kimberley	iKimberly; 
Kingsley	iKingsley; 
Korea	iKorea; 
Kruger	uKruger; 
KwaZulu-Natal	KwaZulu-Natali; 
Kyoto	iKyoto; 
LIS	i-LIS; 
Layla	uLayla; 
Lesotho	iLesotho; 
LinkedIn	i-Linkedln; 
Lisa	uLisa; 
London	iLondon; 
Lotteries	amalotheri; 
Lotto	i-Lotto; 
Lulu	uLulu; 
Luthuli	uLuthuli; 
MONDAY	uMsombuluko; 
MP	iLungu LePhalamende; 
MPs	amaLungu Ephalamende; 
MR	uMnu.; 
Mack	uMack; 
Madam	 amakhosazana; amakhosikazi; 
Mali	iMali; 
Mama	uMama; 
Mandela	uMandela; 
Mandela's	okukaMandela; 
Manuel	uManuel; 
Mar	 uNdasa;  onakalisa; ona;  uMashi; 
Max	uMax; 
Maya	iMaya; 
Mayor	iMeya; 
Mbeki	uMbeki; 
Meanwhile	 kuze kufike kuleso sikhathi; ngokwamanje; 
Methodist	iMethodist; 
Michael	uMichael; 
Miriam	uMiriam; 
Mme	amakhosikazi; 
Monday	uMsombuluko; 
Monterrey	iMonterrey; 
Moscow	iMoscow; 
Moses	uMoses; uMose; 
Mourns	khala; 
Mpumalanga	iMpumalanga; 
Mr	uMnu.; 
Mrs	uNkk.; 
Muslim	iSulumani; 
NB	Qaphela; 
NCR	i-NCR; 
NOVEMBER	 uLwezi; uNovemba; 
Nadine	uNadine; 
Namibia	iNamibia; 
Nat	okwemvelo; 
Natal	iNatal; 
Ndebele	isiNdebele; 
Neal	uNeal; 
Nelson	uNelson; 
Nelspruit	iNelspruit; 
Nene	uNene; 
Netherlands	iNetherlands; 
Newtown	uNewtown; 
Nigeria	iNigeria; 
Nigerian	owakhe eNigeria; 
Nkandla	iNkandla; 
Nobel	uNobel; 
Nov	 uLwezi; uNovemba; 
November	 uLwezi; uNovemba; 
OC	i-0C; 
OCTOBER	u-Okthoba; uMfumfu; 
Obama	u-Obama; 
Oct	u-Okthoba; uMfumfu; 
October	 u-Oktoba; uMfumfu; 
Offender's	okomhlukumezi;  okomoni; 
Oliphant	u-Oliphant; 
Oliver	u-Oliver; 
Olympic	okwe-Olimpikhi; 
Olympics	okwama-Olimpikhi; 
Oscar	u-Oscar; 
PACs	okwe-PAC; 
PAP	i-PAP; 
PC	i-PC; 
Palestine	iPalestine; 
Pan	okuphathelene nakho konke kwezwekazi; 
Paris	iParis; 
Parliament's	okwePhalamende; 
Paul	uPaul; 
Pele	uPele; 
Peter	uPeter; 
Petersen	uPetersen; 
Pietermaritzburg	iPietermaritzburg; 
Postpones	lazisa;  hlehlisa; 
Presidency	iHhovisi Likamongameli; 
President's	okukaMongameli; 
Pretoria	iPitoli; 
Prince	umntwana;  inkosana yohlanga; 
Pringle	uPringle; 
Prof	uSolwazi; 
Protector	uMvikeli; 
RSVP	Kucelwa impendulo; 
Reginald	uReginald; 
Registrar	uRejistra; 
Rejoice	thokoza; 
Riverside	ugu lomfula;  usebe lomfula; 
Robert	uRobert; 
Russia	iRussia; 
Russian	owakhe eRussia; 
Rustenburg	iRustenburg; 
Ruth	uRuth; 
SA	iNingizimu Afrika; 
SA-UK	i-SA-UK; 
SALSA	ISALSA; 
SAPS	i-SAPS; 
SAX	Isax; 
SCOPA	i-SCOPA; 
SEPTEMBER	uMandulo; uSepthemba; 
SETA	i-SETA; 
Sarah	uSarah; 
Sasol	iSasol; 
Saturday	uMgqibelo; 
Secretariat	iHhovisi Lobubhalane; 
Secretaries	amaHhovisi Obubhalane; 
Secretaries-General	uNobhala Jikelele; 
Self-Governance	ukuzibusa; 
Senate	umkhandlu wezigele; 
Senegal	iSenegal; 
Sep	uMandulo; uSepthemba; 
September	uMandulo; 
Shanghai	iShanghai; 
Sharpeville	iSharpeville; 
Sinclair	uSinclair; 
Skip	 ukungqabashiya;  tshakadula; ukutshekula; 
Smith	uSmith; 
Sol	uSol; 
Soweto	iSoweto; 
Spain	iSpain; 
Stellenbosch	iStellenbosch; 
Steve	uSteve; 
Sudan	iSudan; 
Sunday	iSonto; 
Surname	Isibongo; 
Susan	uSusan; 
Swaziland	iSwaziland; 
TUESDAY	uLwesibili; 
TV	ithelevishini;  umabonakude; 
Tambo	uTambo; 
Tanzania	iTanzania; 
Tat	uTat; 
Tata	uTata; 
Tau	uTau; 
Temba	uThemba; 
Thabo	uThabo; 
Thomas	uThomas; 
Thursday	uLwesine; 
Timbuktu	uTimbuktu; 
Transvaal	iTransvaal; 
Tshwane	iTshwane; 
Tuesday	uLwesibili; 
UCH	i-UCH; 
UK	i-UK; 
UN	i-UN; iNhlangano Yezizwe; 
UNESCO	i-UNESCO; 
URL	i-URL; 
USA	i-USA; 
Uganda	i-Uganda; 
Unsubscribe	ukunganikeli imali; 
Venda	umVenda; isiVenda; 
Venice	iVenice; 
Victoria	uVictoria; 
WEDNESDAY	uLwesithathu; 
Walter	uWalter; 
Wednesday	uLwesithathu; 
William	uWilliam; 
Williams	oWilliam; 
Wits	iWits; 
Witwatersrand	iWitwatersrand; 
Xhosa	isiXhosa;  umXhosa; 
York	iYork; 
Yvonne	uYvonne; 
Zambia	iZambia; 
Zimbabwe	iZimbabwe; 
Zimbabwean	owakhe eZimbabwe; 
Zulu	umZulu; 
ability	ikhono; 
able	onokuhlakanipha; onokwazi; 
about	ngakhona;  yaluza; 
above	ngaphezulu; 
above-mentioned	okubalulwe ngenhla; 
abroad	-ngaphesheya; 
absence	 ukuphutha; ukungabibikho; 
absent	phuthisa;  -ngekho; 
absolute	okuphelele; 
abuse	ukuhlukumeza;  ukusebenzisa ngokungenabulungiswa; 
abused	ukuhlukumeza;  ukusebenzisa ngokungenabulungiswa; hlukumeza; 
academia	izwe lezazi nezifundiswa; 
academics	okwemfundo ephakeme; okuphathelene nemfundo (ephakeme); 
academies	izikhungo zemfundo ephakeme; 
academy	isikhungo semfundo ephakeme; inhlangaisela yezazi ezihloniphekile; 
accelerate	yiya ngokushesha; 
accelerated	yiya ngokushesha; 
accelerating	yiya ngokushesha; 
acceleration	ukwenyuka kwesivinini; 
accept	-mukela; 
acceptable	okuvumelekile; 
acceptance	 ukwamukelwa; ukwamukela; 
accepted	amukela; 
accepting	ukwamukela; 
access	ukuvumeleka; 
accessed	ukuvumeleka; vumeleka; 
accessibility	 ukuvuma ukubuzwa;  ukuvuleka; ukutholakala; 
accessible	ukufinyeleleka; 
accession	 ihlumelelo; ukubekwa;  ukungena esikhundleni; 
accident	ingozi; 
accidents	izingozi; 
acclaim	halalisa;  halalisela;  hlokomela; enanela; 
acclaimed	halalisa;  halalisela; enanela; hlokomela; 
accommodate	siza;  lungisela; hlalisa;  ngenisa; 
accommodated	siza;  lungisela; hlalisa;  ngenisa; 
accommodation	ukubona;  indawo yokuhlala; 
accompanied	 ukuphelezela; phelezela; ukuba khona; 
accompany	 ukuphelezela iculo; ukubakhona; 
accomplish	-feza; 
accomplished	feza; 
accord	 vuma; isivumelwano;  vumelana; 
accordance	uvumelwano; 
accorded	nika;  vumelana; 
according	mayelana; 
accordingly	ngokunjalo; 
account	i-akhawunti;  balisisa; 
accountable	ngokuzibophezela; 
accountants	abacwaningima-akhawunti; 
accounted	i-akhawunti; ulondolozomali;  balisisa; 
accounting	ukubalisisa; 
accounts	i-akhawunti; ulondolozomali;  balisisa; 
accreditation	ukumela;  ukufakazela; 
accredited	fakazela;  mela; 
accruals	ukuqongeleka kwenzalo; 
accrued	ukuphoqeleka; 
accumulate	-qongelela; 
accumulated	qongelela; 
accuracy	 ukunemba; ukucophelela; 
accurate	 -qonde ngqo; -ngqo; 
accused	ummangalelwa; 
achieve	-phumelela; 
achieved	phumelela; 
achievement	impumelelo; 
achievements	impumelelo; 
achieving	ukuphumelela; 
acknowledge	vuma; 
acknowledged	vuma; 
acknowledges	vuma; 
acquire	 -thola; thola; 
acquired	thola; 
acquisition	 ukuzizuzela; inzuzo;  ukuzitholela;  ukuzuza; 
across	vundla; 
act	 umthetho; isenzo;  ukulingisa;  inkundla yomdlalo;  dlala; 
acted	 umthetho; isenzo;  ukulingisa;  inkundla yomdlalo;  dlala; 
acting	ukulingisa; 
action	isenzo; 
actions	izenzo; 
active	ukuba nomdlandla; 
actively	ngokungalele;  ngokuxwayile; 
activism	inqubomgomo yesidlakadla; 
activist	isishoshovu; 
activists	isishoshovu; 
activities	 ukusebenza; imisebenzi; 
activity	ukusebenza;  umsebenzi; 
actor	umdlali;  umlingisi; 
actors	abadlali;  abalingisi; 
actress	umlingisikazi; 
acts	izenzo;  ukulingisa;  imithetho;  inkundla yomdlalo;  dlala; 
actual	luqobo; 
actually	 ngoqobo; ngempela; 
ad	isikhangiso; 
ad-hoc	okwenhloso ethile; 
adaptation	ukujwayeza; 
add	engeza;  -hlanganisa; 
added	hlanganisa;  engeza; 
adding	ukuhlanganisa;  ukwengeza; 
addition	ukuhlanganisa; 
additional	okwengeziwe; 
address	ikheli; 
addressed	ikheli; 
addresses	amakheli; 
addressing	ikheli; 
adds	hlanganisa;  engeza; 
adequate	anele; 
adequately	ngokwanele;  ngokulingene; 
adherence	ukulandelela; 
adjourned	okuhlehlisiwe; 
adjudication	ukwahlulela; 
adjust	 guqula; lungisa; 
adjusted	 guqula; lungisa; 
adjustment	 ukuzijwayeza; ukulinganisa; 
adjustments	ukulinganisa;  ukuzejwayeza; 
administer	phatha; 
administered	 phatha; lawula; 
administering	ukuphatha;  lawula; 
administration	ukuphatha;  ukusingathwa;  ukulawula;  ukulawulwa (komthetho); 
administrations	ukuphatha;  ukusingathwa;  ukulawula;  ukulawulwa (komthetho); 
administrative	okokuphatha; 
administrator	umlawuli; 
administrators	abalawuli; 
admissible	okuvumekayo; 
admission	 ukuvuma; ukwamukela;  ukuvuma icala; 
admit	ngenisa; 
admitted	ngenisa; 
adopt	yamukela;  -khulisa njengomntwana wakho; 
adopted	yamukela;  khulisa njengomntwana wakho; 
adopting	ukwamukela;  ukukhulisa njengomntwana wakho; 
adoption	ukuthatha umntwana umkhulise njengowakho; 
adoptive	 okunokwamukelwa; okunokutholwa; 
adopts	yamukela;  khulisa njengomntwana wakho; 
adult	 umuntu omdala; osekhulile; 
adults	osekhulile;  abantu abadala; 
advance	ukuthuthuka;  -thuthuka;  -phambili; 
advanced	-phambili; 
advancement	inqubekelaphambili; 
advances	ukuthuthuka; imali onikezwa yona ngaphambili kokudingeka kwayo;  ukunikela phambili;  thuthuka; 
advancing	ukuthuthuka; imali onikezwa yona ngaphambili kokudingeka kwayo;  ukunikela phambili; 
advantage	 ukwenzelela; inzuzo;  ithuba elingcono; 
advantages	izinzuzo;  ithuba elingcono; 
advent	 ukuza; ukufika; 
adverse	 okwalayo;  okuvimbayo; okunqabayo; 
adversely	ngokunqabayo;  ngokuvimbayo;  ngokwalayo; 
adversity	ubunzima;  usizi;  ukuhlupheka; 
advertise	-khangisa; 
advertised	khangisa; 
advertising	ukukhangisa; 
advice	iseluleko; 
advise	eluleka;  qondisa; 
advised	eluleka;  qondisa; 
adviser	umeluleki; 
advisers	abeluleki; 
advisor	umeluleki; 
advisories	okululekayo; 
advisors	abeluleki; 
advisory	 okwelulekayo; okuqondisayo; 
advocacy	ubumeli; 
advocate	 ummeli;  tusa; -mela; 
advocates	abameli;  tusa;  mela; 
affairs	izindaba; 
affect	 banga ukuba; -thinta; 
affecting	 ukubanga ukuba; ukuthinta; 
affects	thinta;  banga ukuba; 
affidavit	isitatimende esifungelwayo; 
affirm	qinisa;  -qinisekisa; 
affirmation	isiqinisekiso; 
affirming	 ukuqinisa; ukuqinisekisa; 
afforded	ukuba nakho; 
aforementioned	okubalulwe ngenhla; 
aforesaid	okushiwo ngenhla; 
after	emva; 
afternoon	ntambama; 
again	futhi; 
against	okubhekene; okwencikene; 
age	 inkathi; iminyaka;  ukuguga; 
aged	 okugugile; okudala; 
agencies	amagatsha ebhizinisi/enhlangano; 
agency	igatsha lebhizinisi/lenhlangano; 
agenda	i-ajenda; uhlelo lomsebenzi/lomhlangano; 
agent	 isenzisi;  umenzeli;  umsebenzeli; umenzi; 
agents	 abasebenzeli; abenzeli;  izenzisi; abenzi;  iziguquli; 
ages	 inkathi; iminyaka;  ukuguga; 
aggregate	isamba; 
ago	ekadeni; 
agree	vuma;  vumelana; 
agreed	vuma;  vumelana; 
agreement	isivumelwano;  uvumelwano; 
agreements	 uvumelwano; izivumelwano; 
agrees	vuma;  vumelana; 
agricultural	ezokulima; 
agriculture	ezolimo; 
ahead	ngaphambili; 
aid	siza;  usizo; 
aids	siza;  usizo; 
aim	inhloso;  -hlosa; 
aimed	inhloso;  hlosa; 
aims	izinhloso;  hlosa; 
air	umoya;  shayisa umoya; 
aircraft	indizamshini; 
airport	 isikhumulo sezindiza;  inkundla yezindizamshini; isikhumulo sezindiza/samabhanoyi; 
airports	 izikhumulo zezindiza/zamabhanoyi;  izinkundla zezindizamshini; izikhumulo zezindiza; 
al	i-aluminiyamu; 
albeit	nokho; 
alcohol	isidakamizwa;  uketshezi oludakisayo;  i-alkhoholi; 
alert	-xwayisa; 
align	qondisa; 
aligned	qondisa; 
alignment	uhlelo ngokuqondileyo; 
alike	okufanayo; 
alive	 okuphilile;  okuzwelayo; okuphilayo;  okuzwayo; 
all	 konkana; konke; 
allegation	isihlebo;  ingomela; ukusola; 
allegations	isihlebo;  ingomela; ukusola; 
alleged	sola; gomela; 
allegedly	 ngokusola; ngokugomela; 
alleviate	-yehlisa; 
alleviation	 ukuthambisa;  ukudambisa; ukunciphisa; 
alliance	imvumelwano; 
allocate	 -abela; abela; 
allocated	abela; 
allocation	ukwabelwa; 
allocations	ukwabelwa; 
allow	vumela;  vuma; 
allowance	imali enqunyelwe; 
allowances	imali enqunyelwe; 
allowed	vumela;  vuma; 
allowing	 ukuvumela; ukuvuma; 
allows	vumela;  vuma; 
almost	okucishe;  okuphose; 
alone	 okukodwa; kuphela; 
along	phambili; ngokulinganisene nokuthile; 
alongside	malungana na-; ecaleni kwa-; 
already	 kade;  osekwenzekile; ngaphambili; 
also	 njalo; futhi; 
alter	 guqula;  shintsha; phendula; 
alternate	phambanisa; 
alternative	okungenziwa esikhundleni sokunye; 
although	 nakuba;  nanxa; noma; 
always	 mihla yonke;  zikhathi zonke; njalo;  njalonjalo; 
ambassador	inxusa; 
ambassadors	amanxusa; 
ambient	 izinto ohlezi phakathi kwazo; amaphethelo; 
ambit	imikhawulo; 
amend	beka umbandela;  -chibiyela; 
amended	 chibiyela; beka umbandela; 
amending	ukuchibiyela;  ukubeka umbandela; 
amendment	umbandela;  isichibiyelo; 
amendments	imibandela;  izichibiyelo; 
amends	 chibiyela; beka umbandela; 
ammunition	impahla yokudubula; izindubulo; 
amnesty	ukuxolelwa; 
among	phakathi kwa-; 
amongst	phakathi kwa-; 
amount	 finyelela; inani;  isamba; 
amounted	 finyelela; inani;  isamba; 
amounting	 finyelela; inani;  isamba; 
amounts	 finyelela; inani;  isamba; 
analogue	into efaniselene; 
analyse	hlahlela; 
analysed	hlahlela; 
analyses	uhlahlelo; 
analysing	ukuhlahlela; 
analysis	uhlahlelo; 
ancestor	 ithongo; idlozi;  ukhokho; 
ancestors	 amathongo;  amadlozi; okhokho; 
ancient	emandulo;  ehlisa isankora;  kwasemandulo; 
and	nokunye; 
animal	 isilwane esidla ezinye; isilwane; 
animals	 izilwane ezidla ezinye; izilwane; 
animation	ukugqwayisa; 
annex	 -dla izwe; -qhwaga; 
annexure	isithasiselo; 
anniversary	usuku onyakeni lokukhumbula okuthile; 
announce	-memezela; 
announced	memezela; 
announcement	isimemezelo; 
announcements	izimemezelo; 
announces	memezela; 
annual	konyaka;  unyakanye; 
annually	ngonyaka; 
annum	 andulela;  lindela; themba;  phangela; 
another	okunye; 
answer	umphumela; 
answers	imiphumela; 
antenatal	 ngaphambi kokubeletha; ukukhulelwa; 
anthem	ihubo; 
anti-apartheid	lwisana nobandlululo; 
anti-corruption	ukulwa nenkohlakalo; 
anti-pass	ukulwa nepasi; 
anticipated	 andulela;  lindela; themba;  phangela; 
any	okunye; 
anyone	noma ubani; 
anything	noma yini; 
apart	-ngokwahlukana; 
apartheid	ubandlululo; 
apparent	-sobala; 
appeal	 khala; isikhalo;  ukunxusa; 
appealed	 khala; isikhalo; isedlulisisinqumo;  ukunxusa; 
appeals	 khala; izedlulisisinqumo; izikhalo;  ukunxusa; 
appear	 qhamuka;  vela; bonakala; hlaluka; 
appearance	 ukuqhamuka; ukubukeka;  ukubonakala; 
appeared	 qhamuka;  vela; bonakala; hlaluka; 
appearing	 ukuqhamuka; ukuvela;  ukuhlaluka;  ukubonakala; 
appears	 qhamuka;  vela; bonakala; hlaluka; 
appendix	 ithunjana; isithasiselo; 
applaud	 babaza; halalisa;  halalisela; enanela;  bonga; 
applause	 isenanelo; ihlombe;  umhalaliselo;  ukwenanela; 
applicable	okuhambisanayo; 
applicant	umfakisicelo; 
applicants	abafakisicelo; 
application	 ukusebenza komthetho;  ukusebenzisa;  ukusetshenziswa; isicelo; 
applications	 ukusebenza komthetho;  izicelo; ukusebenzisa; uhlelokusebenza;  ukusetshenziswa; 
applied	impambosi yokwenzela; 
applies	cela; 
apply	cela; 
applying	ukufaka isicelo; 
appoint	qasha; 
appointed	qasha; 
appointing	qasha; 
appointment	ukuqashwa; 
appointments	ukuqashwa; 
appoints	qasha; 
appreciate	 ncoma; -bonga; 
appreciated	 ncoma; bonga; 
appreciates	 ncoma; bonga; 
appreciation	ukuncoma; 
approach	 velela; ukuvelela; 
approached	 velela; ukuvelela; 
approaches	 velela; ukuvelela; 
appropriate	okufanele; 
appropriated	okufanele; 
appropriately	 ngokulingene; ngokulungele; ngokufanele; 
appropriation	isabelo; 
appropriations	izabelo; 
approval	imvume; 
approve	vuma; 
approved	vuma; 
approximately	cishe;  ngokusondezela; 
arbitration	ukulamula; 
arbitrator	umlamuli; 
architects	abadwebizakhiwo; 
architectural	okokumiswa kwezakhiwo; 
architecture	ukumiswa kwezakhiwo zezindlu; 
archival	okwendlu yokulondoloza imilando yesizwe; 
archive	indlu yokulondoloza imilando yesizwe; 
archives	izindlu zokulondoloza imilando yesizwe; 
area	 isifunda;  ingxenye;  indawo; isifundazwe;  ingxenye yendawo; 
areas	 izifunda; izindawo;  izingxenye;  izingxenye zendawo;  izifundazwe; 
arena	inkundla; 
argue	-fakazela; 
argued	fakazela; qophisana; 
argument	impikiswano;  ukufakazela; 
arguments	impikiswano; i-agumenti;  ukufakazela; 
arise	 phaphama; sukuma;  vuka; 
arises	 phaphama; sukuma;  vuka; 
arising	 ukusukuma;  ukuphaphama; ukuvuka; 
arm	ingalo; 
armed	ohlomile; 
arms	izikhali; 
arose	 phaphama; sukuma;  vuka; 
around	zungeza; 
arrange	hlela; 
arranged	hlela; 
arrangement	uhlelo; 
arrangements	izinhlelo; 
array	uhlelo ngononina; 
arrest	 -bopha; bamba; 
arrested	bamba;  bopha; 
arrival	ukufika; 
arrive	 finyelela; theleka; fika; 
arrived	 finyelela; theleka; fika; 
art	ubuciko; 
artefacts	 impahla yokuthengwa; umkhiqizo; 
article	 indatshana;  impahla; udaba;  ucezu; 
articles	 izindatshana; udaba;  izingcezu;  izimpahla; 
articulate	phimisela; 
articulated	phimisela; 
artist	ingcweti;  iciko; 
artistic	ngobungcweti; 
artists	izingcweti;  amaciko; 
arts	ubuciko; 
artwork	umsebenzi wobuciko; 
artworks	umsebenzi wobuciko; 
as	 nokuba ; lokhu;  nokho;  njenga-;  njengokuba;  nga-; 
ascertain	buzisisa;  azisisa; 
aside	ecaleni;  nganhlanye;  ngasese; 
ask	buza; 
asked	buza; 
asking	ukubuza; 
asks	buza; 
aspect	uhlangothi; 
aspects	izinhlangothi; 
aspiration	ukuhahaza;  uvuthelo; 
aspirations	ukuhahaza;  uvuthelo; 
assault	 ukugcweleza ukulimaza; ukulimaza; 
assembly	 isishayamthetho; inhlangano; 
assented	 vumela;  vuma; qinisa;  gomela; 
assert	phikelela; qinisa;  gomela; 
assess	nquma;  -vivinya; 
assessed	nquma;  vivinya; 
assesses	nquma;  vivinya; 
assessing	ukunquma;  ukuvivinya; 
assessment	ukuhlola; 
assessments	ukuhlola; 
assessor	umsekeli wejaji; 
assessors	abasekeli bejaji; 
assets	ingcebo; 
assign	nika;  abela;  ahlukanisela; 
assigned	nika;  abela;  ahlukanisela; 
assignment	umsebenzi; 
assist	siza; 
assistance	usizo; 
assistant	 umsizi;  iphini; isekela; 
assisted	siza; 
assisting	ukusiza; 
assists	siza; 
associate	hambisana; 
associated	hambisana; 
association	inhlangano; 
associations	izinhlangano; 
assume	-zithathela;  gabadela;  -zikhulisa; -zethwesa; 
assumed	-zithathela;  gabadela;  -zikhulisa; -zethwesa; 
assumptions	 ukugabadela; ukuzithathela; 
assurance	 umshwalense; isiqinisekiso;  isethembiso; 
assure	qinisekisa; 
assured	qinisekisa; 
astronomy	isifundo sezinkanyezi; 
athletics	umdlalo wokugijima; 
atmosphere	i-athimosfera; 
atmospheric	okuqhutshwayo ngomoya; okwasezulwini; 
attach	 dla; xhuma; 
attached	dla;  xhuma; 
attachment	ukuhlanganisa;  ukubanjwa;  ukuthandana;  uthando; 
attack	ukuhlasela;  -hlasela;  ukuqala ingoma;  hlasela;  qala; 
attacks	ukuhlasela;  ukuqala ingoma;  hlasela;  qala; 
attain	finyelela; 
attained	finyelela; 
attainment	 ukuhlabana kwengqondo; inzuzo;  ukufinyelela; 
attempt	linga;  ukulinga; 
attempted	linga;  ukulinga; 
attempts	linga;  ukulinga; 
attend	bana khona; 
attendance	ukuba khona; 
attended	ukuba khona; 
attending	ukuba khona; 
attention	 ukulalelisisa; ukunaka; 
attitude	isimo; 
attitudes	isimo; 
attorney	ummeli; 
attorney-general	inhloko yabashushisi yabameli; 
attorneys	abameli; 
attract	-donsa; 
attracted	donsa; 
attribute	uphawu;  okuphawulwayo;  okuphawulayo; 
attributed	uphawu;  okuphawulwayo;  okuphawulayo; 
auction	 indali yokubhida; indali; 
audience	izethameli;  izibukeli; 
audiences	izethameli;  izibukeli; 
audio	umsindo; 
audiovisual	okubonwayo nokulalelwayo; 
audit	ukucwaninga amabhuku;  -cwaninga amabhuku; 
audited	ukucwaninga amabhuku;  cwaninga amabhuku; 
