APRIL	Lambamai; 
Mr	Vho; 
Mrs	 Mufumakadzi vho; Vho; 
NOVEMBER	LARA; 
Nov	LARA; 
November	Lara; 
OCTOBER	TSHIMEDZI; 
Oct	TSHIMEDZI; 
Offender's	 mupfuki wa mulayo;  mukhakhi; mutshinyi; 
Olympic	Oḽimpiki; 
Olympics	Dzioḽimpiki; 
PACs	PAC; 
Pan	pani; 
Parliament's	 Zwa phalamennde; Zwa phaḽamennde; 
Postpones	 lengisa;  fhirisa tshikhathi tsha;  fhirisa tshifhinga tsha; imisa; 
Presidency	 zwa ṱhoho;  zwa muphuresidennde;  zwa mulangashango; zwa mutshimbidzi; 
President's	 dzula phanḓa; tshimbidza; 
Pretoria	tsho nakaho; 
Prince	 Mukololo wa munna; Zhinda; 
Pringle	ṱhavha;  vaya; 
Protector	Mutsireledzi; 
Registrar	 mabalane; mulanguli; Rigisiṱarara; 
Rejoice	 takala; takalela; 
Riverside	khunzikhunzini;  bilipili;  vhugabelo; 
SEPTEMBER	KHUBVUMEDZI; 
Secretariat	Vhuṅwaleli; 
Secretaries	Vhaṅwaleli; 
Secretaries-General	Vhaṅwaleli Vhahulu; Vhaṅwaleli Dzheneraḽa; 
Self-Governance	 ḓilanga; ḓivhusa; 
Senate	Vhutendelwamilayo; 
Sep	KHUBVUMEDZI; 
September	Khubvumedzi; 
Sharpeville	Sharpville; 
Skip	pfuka;  thamuwa;  fhidza;  fhufha; 
Sunday	Swondaha; 
Surname	tshifani; 
Switchboard	switshibodo; 
TUESDAY	ḼAVHUVHILI; 
Venda	Venḓa; 
WEDNESDAY	ḼAVHURARU; 
York	tshitswuku tsha gumba; 
Zulu	Muzulu; 
ability	vhukoni; 
able	 maanḓa;  konaho; kona; 
about	 nga nṱha ha;  re henefha kha; nga;  nga ha; nga nṱhaniha: nga vhaho; 
above	nṱha ha; 
above-mentioned	bulwaho afho nṱha; 
abroad	seli ha malwanzhe; 
absence	 u sa vha hone; -phidza; 
absent	-fhidzaho; 
absolute	vhukuma; 
abused	 vhutambudzi; tshumisommbi; tambudzwa; 
academia	akademia; 
academic	-akademi;  zwa pfunzo; 
academics	 zwa pfunzo; akademi; 
academies	akademisi; 
academy	akademi; 
accelerate	 vhiluledza; -ṱavhanyisa; 
accelerated	 vhiluledza; ṱavhanyisa; 
accelerating	 vhiluledza; ṱavhanyisa; 
acceleration	nyengedzo ya luvhilo; 
accept	ṱanganedza; 
acceptable	ṱanganedzea; 
acceptance	ṱanganedza; 
accepted	ṱanganedza; 
accepting	ṱanganedza; 
access	 tswikelo; -swikela; 
accessed	swikela;  tswikelo; 
accessibility	swikelea;  dzhenea; 
accessible	swikelea; 
accession	 tholwa; thendelano;  ṱanganedza; 
accident	khombo; 
accidents	khombo; 
acclaim	 khoḓa; tenda;  renda; fululedza; 
acclaimed	 khoḓa; tenda;  renda; fululedza; 
accommodate	shumisa;  thusa;  ḓowela; 
accommodated	shumisa;  thusa;  ḓowedza; 
accommodation	 u vhona; vhudzulo; 
accompanied	 itea mazha;  bvumela; fhelekedza; 
accompany	 u itea mazha;  bvumela; fhelekedza; 
accomplish	u khunyeledza; 
accomplished	khunyeledza; 
accord	thendelano;  ṱhanganyo;  mvumelano; 
accordance	-pfana; 
accorded	thendelano;  ṱhanganyo;  mvumelano; 
according	u ya nga; 
accordingly	 zwenezwo ha;  ya nga;  tevhedza;  nga hune;  sa zwenezwo; ngauralo; 
account	akhaunthu; 
accountability	vhuḓifhinduleli; 
accountable	-vha na vhuḓifhinduleli; 
accountants	vhaḓivhambalelano; 
accounted	akhaunthu; 
accounting	muvhalelano; 
accounts	akhaunthu; 
accreditation	khwaṱhisedzo;  thendelo ya tshiofisi;  tendelwa lwa tshiofisi; 
accredited	khwaṱhisedzo;  thendelo ya tshiofisi;  tendelwa lwa tshiofisi; 
accruals	nyaluwo, zwo wanalaho;  muṱanganyo; mbuthanyo; 
accrue	engedzea; 
accrued	engedzea; 
accumulate	kuvhanganya; 
accumulated	kuvhanganya; 
accuracy	vhuronwane; 
accurate	kwakwakwa;  nga vhuronwane; 
accused	muhwelelwa; 
achieve	swikelela; 
achieved	swikelela; 
achievement	tswikelo; 
achievements	tswikelo; 
achieving	swikelela; 
acknowledge	-tenda; 
acknowledged	tenda; 
acknowledges	tenda; 
acquire	wana;  -ḓiwanela; 
acquired	wana;  ḓiwanela; 
acquisition	wana;  renga;  swika;  kona; 
across	buḓa; 
act	 nyito; mulayo;  luṱa; 
acted	tamba;  nyito; mulayo;  luṱa; 
acting	-farelaho; 
action	nyito; 
actions	nyito; 
active	ḓalaho mafulufulu; 
actively	tsha maanḓa;  nga maanḓa;  ya maanḓa; 
activism	makone; muḓisatshanduko; 
activists	muṱuṱuwedzi; 
activities	mishumo; 
activity	mushumo; 
actors	Vhatambi; 
acts	tamba;  nyito; mulayo;  luṱa; 
actual	vhukuma; 
actually	vhukuma; 
ad	khungedzelo; 
ad-hoc	 sa dzudzanyelwa; sa pulanelwa; 
adaptation	 vhushumisi; nḓowedzo; 
add	 -ṱanganya; ṱanganya; 
added	engedzwa;  ṱanganya; 
adding	ṱanganya; 
additional	nyengedzedzo; 
address	 ḓiresi; ṋea tshipitshi;  aḓiresi; 
addressed	 ḓiresi; ṋea tshipitshi;  aḓiresi; 
addresses	 ḓiresi; ṋea tshipitshi;  aḓiresi; 
addressing	 ḓiresi; ṋea tshipitshi;  aḓiresi; 
adds	ṱanganya; 
adequate	 -linganaho; linganaho; 
adequately	 eḓanaho; linganelaho;  luga; 
adhere	u tevhedza; 
adjourn	u vala mushumo; 
adjourned	vala mushumo; 
adjudication	konanyi;  nyambedzano; vhulamukanyi; 
adjust	shandukisa; 
adjusted	shandukisa; 
adjustment	u dzudzanyea; 
adjustments	dzudzanyea; 
administer	 -laula; u laula; 
administered	laula; 
administering	laula; 
administration	ndaulo;  vhulauli; 
administrations	ndaulo;  vhulauli; 
administrative	ndaulo;  vhuvhusi;  laula;  vhulangi; vhutsimbidzi; 
administrator	mulangi;  mulauli; 
administrators	mulangi;  mulauli; 
admissible	 ṱanganedzea; tendelwa; 
admission	 u tenda mulandu; ṱhanganedzo; 
admit	-ṱanganedza; 
admitted	ṱanganedzwa; 
adopt	u unḓa;  u hulisa; 
adopted	 unḓa; hulisa; 
adopting	 unḓa; hulisa; 
adoption	u unḓa; 
adoptive	ṅwanakisa; shumiswa;  ṱanganedzwa; 
adopts	 unḓa; hulisa; 
adult	 mualuwa; muhulwane; 
adults	 mualuwa; muhulwane; 
advance	 u khwinifhadza; khwinifhadzo; 
advanced	-bvelelaho; 
advancement	 bvela phanḓa;  mvelaphanḓa; engedza; zwiswa; isa phanḓa; 
advances	khwinifhadza; mbadelophanḓa;  khwinifhadzo; 
advancing	khwinifhadza; mbadelophanḓa;  khwinifhadzo; 
advantage	tshivhuya;  vhuḓi; 
advantages	tshivhuya;  vhuḓi; 
advent	mathomo;  marangaphanḓa; muswika; 
adverse	 mutshinyali; swina;  sa takadzi; vhushanyi; 
adversely	 mutshinyali; swina;  sa takadzi; vhushanyi; 
adversity	vhushai;  tsiku;  vhuṱungu; 
advertise	 -vhambadza;  u kungedzela; kungedzela; 
advertised	 kungedzela; vhambadza; 
advertisement	khungedzelo; 
advice	ndaela;  ngeletshedzo; 
advise	 laya; limusa;  tsivhudza;  humbudza; eletshedza; 
advised	 laya; limusa;  tsivhudza;  humbudza; eletshedza; 
adviser	mueletshedzi; 
advisers	vhaeletshedzi; 
advisor	eletshedza; 
advisories	mivhigo; 
advisors	vhaeletshedzi; 
advisory	 tsivhudzo; ngeletshedzo; 
advocacy	tikedza;  thikhedzo; 
advocate	 muimeleli;  muambeli; muimeli;  -imelela; 
advocates	 muimeleli;  muambeli; muimeli;  imelela; 
affairs	mafhungo; 
affect	kwama; 
affected	kwamea; 
affecting	kwama; 
affects	kwama; 
affirm	khwaṱhisa; 
affirmation	khwaṱhisedzo; 
affirming	khwaṱhisa; 
afford	kona; 
affordable	-konaho; 
afforded	kona; 
aforementioned	zwo bulwaho nṱha;  zwo bulwaho; 
aforesaid	zwo bulwaho nṱha;  zwo bulwaho; 
after	nga murahu; 
afternoon	 mathabama; masiari; 
again	hafhu; 
against	mavhangani na; fhambana na; 
age	 ṅwaha;  u hula;  miṅwaha; vhukale; 
aged	 miṅwaha;  kegula;  kalaha; vhukale; 
agencies	mazhendedzi; 
agency	zhendedzi; 
agent	 tshivhumbi;  tshishandukisi;  tshumi;  ḽiḓadzisi; zhendedzi; 
agents	 tshivhumbi;  tshishandukisi;  tshumi;  ḽiḓadzisi; zhendedzi; 
ages	 ṅwaha;  miṅwaha;  hula; vhukale; 
aggregate	ṱhanganyelo; 
aggrieved	-vhaiswaho; 
ago	kalekale; kaleni; 
agree	tenda; 
agreed	tenda; 
agreement	thendelano;  pfano; 
agreements	thendelano;  pfano; 
agrees	tenda; 
agricultural	zwa vhulimi; 
agriculture	vhulimi;  vhulimi vhufuwi; 
ahead	mbvelo phanḓa; nga phanḓa; 
aid	thuso;  -thusa; 
aids	 thuso; thusa; 
aim	ndivho; 
aimed	korola; ndivho; 
aims	korola; ndivho; 
air	muya; 
aircraft	bufho; 
airport	 vhukavhabupo; vhukavhamabufho;  vhuimabupo; 
airports	 vhukavhabupo; vhukavhamabufho;  vhuimabupo; 
albeit	 naho; fhedzi;  naho zwo ralo; 
alcohol	zwikambi; 
align	-livhanya; 
aligned	livhanya; 
alignment	 mulivhanyo; ndivhanyo; 
alike	 nga u fana; fana; 
alive	tshihanyaho;  tshitshilaho; 
all	zwoṱhe;  nga huzwo;  zwoṱhezwoṱhe; 
allegation	humbulelwa;  mavharivhari; 
allegations	humbulelwa;  mavharivhari; 
alleged	-humbulelwaho; 
allegedly	humbulelwa; 
alleviate	fhungudza; 
alleviation	fhungudzwa; 
alliance	pfano; 
allocate	avhela; 
allocated	avhela; ṋea; 
allocation	mukovhe; 
allocations	mukovhe; 
allow	tendela; 
allowance	gavhelo; 
allowances	gavhelo; 
allowed	tendela; 
allowing	tendela; 
allows	tendela; 
almost	 kaṱukuṱuku;  ṱoḓou; tsinitsini; 
alone	vhoṱhe;  dzoṱhe;  eṱhe;  woṱhe; muṅwefhedzi; 
along	thungo ha; 
alongside	tsini na; 
already	 zwo;  no;  zwo no ḓi ralo; arali;  zwo luga; 
also	 hafhu;  ralo; na; 
alter	shandukisa;  rembulusa; 
alternative	shandukisa;  ṱhaḓulanya;  fhambanya; 
although	naho;  nangwe; 
always	misi yoṱhe;  nga musi;  nga misi; tshifhingatshoṱhe; 
am	ndi; 
ambassador	 muambasada; muimeleli; 
ambassadors	 muambasada; muimeleli; 
ambient	 vhupo ha tsini; muzikanyangaredzi; vhupo; 
ambit	vhuhulu;  khaphasithi;  nḓadzo; 
amend	-khwinisa; 
amended	khwinisa; 
amending	khwinisa; 
amendment	khwiniso; 
amendments	khwiniso; 
amends	khwinisa; 
amnesty	u farelwa ha vhafariwa; 
among	vhukati; 
amongst	vhukati; 
amount	 -lingana; ṱhanganyelo; 
amounted	lingana;  ṱhanganyelo; 
amounting	lingana;  ṱhanganyelo; 
amounts	lingana;  ṱhanganyelo; 
analogue	anaḽogo; 
analyse	saukanya; 
analysed	saukanya; 
analyses	sengulusa;  fhenḓa; 
analysing	saukanya; 
analysis	 phenḓa; musaukanyo; 
ancestor	 vhadzimu;  makhulukuku; mudzimu; 
ancestors	 vhadzimu;  makhulukuku; mudzimu; 
and	na; 
animal	phukha;  tshiḽaṋama;  tshihanyi; 
animals	phukha;  tshiḽaṋama;  tshihanyi; 
annex	thuba;  -thuba; 
annexure	ṱhumetshedzo;  tshiengedzwa; 
anniversary	anivesari; 
announce	ḓivhadza; 
announced	ḓivhadza; 
announcement	nḓivhadzo; 
announcements	nḓivhadzo; 
announces	ḓivhadza; 
annual	ṅwaha nga ṅwaha; 
annually	nga ṅwaha; 
annum	nga ṅwaha; 
answer	phindulo; 
answers	thekenelo; phindulo; 
antenatal	vhuimana;  phanḓa ha mbebo; 
anthem	luimbo;  luimbo lwa lushaka; 
anti-corruption	lwa na vhuaḓa;  lwa na tshanḓanguvhoni; 
anti-pass	vhulwa na u hwala dzibasa;  vhulwa na milayo ya u fara basa; 
anticipated	lavhelewa; 
any	muṅwevho; tshiṅwevho; 
anyone	muṅwe na muṅwe; 
anything	tshiṅwe na tshiṅwe; 
apart	-khethwaho; 
apartheid	khethululo; 
apparent	-vhonalaho; 
appeal	khaṱhululo;  -humbela khaṱhululo;  humbela khaṱhululo; 
appealed	khaṱhululo;  humbela khaṱhululo; 
appeals	khaṱhululo;  humbela khaṱhululo; 
appear	 ḓivhonadza;  dzumbuluwa; bvelela;  vhonala; 
appearance	 mbonalele; u bvelela; 
appeared	 ḓivhonadza;  dzumbuluwa; bvelela;  vhonala; 
appearing	 ḓivhonadza;  dzumbuluwa; bvelela;  vhonala; 
appears	 ḓivhonadza;  dzumbuluwa; bvelela;  vhonala; 
appellant	muhumbeli wa khaṱhululo; 
applaud	 vhanda; losha; 
applause	 vhanda; losha; 
applicable	teaho;  shumiswa; 
applicant	muhumbeli; 
applicants	muhumbeli; 
application	 u shumisa; khumbelo;  tshumiso; 
applications	 shumisa; khumbelo;  tshumiso; 
applied	ḽiitela; 
applies	ita khumbelo; 
apply	u ita khumbelo; 
applying	ita khumbelo; 
appoint	-vhea; 
appointed	vhea; 
appointing	vhea; 
appointment	 mbeo; ndangano; 
appointments	tholwa;  mbeo;  ndangano; 
appoints	vhea; 
appreciate	-pfesesa; 
appreciated	livhuwa; pfesesa; 
appreciates	livhuwa; pfesesa; 
appreciation	vhupfesesi; 
approach	 -sendela;  nḓila; maele; 
approached	sendela;  nḓila;  maele; 
approaches	sendela;  nḓila;  maele; 
appropriate	teaho; 
appropriated	teaho; 
appropriately	teaho;  fanelaho; 
appropriation	kukovhele;  mukovho; 
appropriations	kukovhele;  mukovho; 
approval	thendelo; 
approve	-tendela; 
approved	tendela; 
approximately	-anganyela; 
arbitration	vhulamukanyi; 
arbitrator	mulamukanyi; 
architects	muatshithekithi; 
architectural	vhufhaṱi; 
architecture	vhufhaṱi; 
archival	vhuvhulungamaṅwalo; 
archive	akhaivi; 
archives	akhaivisi; 
area	vhupo; 
areas	nyalo; vhupo; 
arena	 luvhanḓe; tshitediamu;  vhugalatenga; 
argue	 ṱaṱa; ṱaṱisana; 
argued	 ṱaṱa; ṱaṱisana; 
argument	khanedzano; 
arguments	 khanedzano; khanedzano; ṱaṱisana; 
arise	 karuwa;  takuwa; vuwa;  fhinduwa; 
arises	vuwa; karuwa;  fhinduwa; takuwa; 
arising	vuwa; karuwa;  fhinduwa; takuwa; 
arm	tshanḓa; 
armed	shoma; 
arms	zwiṱhavhane; 
arose	 karuwa;  takuwa; vuwa;  fhinduwa; 
around	-mona na; 
arrange	 -lugisa; -dzudzanya; 
arranged	dzudzanya;  lugisa; 
arrangement	ndugiso; 
arrangements	ndugiso; 
array	mutevhe; 
arrest	fara;  -fara; 
arrested	fara; 
arrival	 u swika; muswiko; 
arrive	 muswiko; swika; thuthuluku; 
arrived	 muswiko; swika; 
art	vhutsila; 
artefacts	zwivhaḓwa; 
articles	ḽianetshelo; 
articulate	 mabulele; kubulele; 
articulated	 mabulele; kubulele; 
artist	mutsila;  mukonesi; 
artistic	-vhukonesi;  -vhutsila; 
artists	mutsila;  mukonesi; 
arts	ḓivhavhukonesi; vhukonesi; 
artwork	mushumo wa vhutsila; 
artworks	mishumo ya vhutsila; 
as	vhunga; 
ascertain	khwaṱhisedza; wana mafhungo ngoho; 
aside	 thungo;  lurumbu; 
ask	 -vhudzisa; vhudzisa; 
asked	vhudzisa; 
asking	vhudzisa; 
asks	vhudzisa; 
aspect	sia; 
aspects	masia; 
aspiration	dzangalelo;  vhuvhudzuli; 
aspirations	dzangalelo; tswonzwa;  vhuvhudzuli; 
assault	 u rwa; mulandu wa u rwa; 
assembly	buthano; 
assented	thendelo;  tendela;  tenda; 
assert	 khwaṱhisa; amba; 
assess	gaganya;  -gaganya; 
assessed	gaganya; 
assesses	gaganya; 
assessing	gaganya; 
assessment	ngaganyo; 
assessments	ngaganyo; 
assessors	mugaganyakhaṱhulo; 
asset	ndaka; 
assets	ndaka; 
assign	avhela; rumela;  ṋetshedza;  ṋea; 
assigned	avhela; rumela;  ṋetshedza;  ṋea; 
assignment	mushumoavhelwa; 
assist	thusa; 
assistance	thuso; 
assistant	 farisa;  ṱhaḓula;  pfariso; thusa; 
assisted	thusa; 
assisting	thusa; 
assists	thusa; 
associate	 nyanḓano;  -anḓana; anḓana; 
associated	 nyanḓano; anḓana; 
association	dzangano; 
associations	dzangano; 
assume	 elekanya; dzhia;  linganya; 
assumed	 elekanya; dzhia;  linganya; 
assumptions	muhumbulo;  tenda;  khumbulelo; 
assurance	fulufhelo;  khwaṱhiso; 
assure	fulufhelo;  khwaṱhiso; 
assured	 khwaṱhisedzo; fulufhelo; 
astronomy	ḓivhaṋaledzi; 
at	 kha; nga;  tsini ha; 
athletics	zwipotso; 
atmosphere	dzingamufhe; 
atmospheric	dzingamufhe; 
attach	 thuba; nambatedza; 
attached	 thuba; nambatedza; 
attachment	 tshinambatedzwa; nambatedza; 
attack	 u thomiwa;  ṱasela;  ṱahadza; -thoma; 
attacks	ṱhasela;  thomo;  u thomiwa;  ṱasela;  ṱahadza; thoma; 
attain	-kona; 
attained	kona; 
attainment	wana;  swika;  kona; 
attempt	ndingedzo;  -lingedza; 
attempted	lingedza;  ndingedzo; 
attempts	lingedza;  ndingedzo; 
attend	-dzhena; 
attendance	madzhenele; 
attended	dzhena; 
attending	dzhena; 
attention	tshenzhemo; 
attitude	vhuḓifari; 
attitudes	maime; vhuḓifari; 
attorney	 axennḓe; ramilayo; 
attorney-general	mulangavhatshutshisi; 
attorneys	 maaxennḓe; vhoramilayo; 
attract	-kokodza; 
attracted	kokodza; 
attribute	 tshiṱaluli; vhunzani; 
attributed	 tshiṱaluli; vhunzani; 
auction	 vandisi; fandisi; 
audience	 vhathetshelesi; vhaṱaleli; 
audiences	 vhathetshelesi; vhaṱaleli; 
audio	odio; 
audios	dziodio; 
audiovisual	odovisuaḽa; 
audit	ṱola;  -u ṱola; 
audited	ṱola; ṱholo; 
auditing	ṱola; ṱholo; 
auditor	muṱolamuvhalelano; 
auditor-general	Muodithadzheneraḽa;  muṱolambalelano;  muṱolamuvhalelano; 
auditors	vhaṱolambalelano; vhaṱolamuvhalelano; 
audits	ṱola; ṱholo; 
august	ṱhangule; 
auspices	 tshiga; thuso;  tikedza;  thikhedzo; 
authentic	 tshonetshone;  fulufhelwaho; vhukuma;  vhuronwane;  ngoho; 
author	muṅwali; 
authorisation	thendelo; 
authorise	thendelo;  tendela;  tenda; 
authorised	laedzwaho; 
authorities	 maanḓa; muvhuso;  maanḓalanga; muḓivhesi; 
authority	 maanḓa; muvhuso;  maanḓalanga; 
authorization	thendelo; 
authorize	thendelo;  tendela;  tenda; 
authorized	thendelo;  laedzwaho; 
authors	muṅwali; 
automated	 vhuitatshoga; vhuḓiitisi; 
automatic	tshiḓiitisi’ vhuitatshoga; 
availability	wanala;  vha hone; 
available	-wanala; 
avenue	tshiṱaraṱa; 
avenues	tshiṱaraṱa; 
average	tshikati;  mbalotshikati;  -tshikati; 
avoid	 -ilisa; thivhela;  tinya; 
avoidance	tinyai;  pilela; shavha;  tinya;  ilisa; 
awaiting	lindela; 
award	pfufho;  -pfufha; 
awarded	 pfufha; pfufho; 
awarding	 pfufha; pfufho; 
awards	 pfufha; pfufho; 
aware	 ḓivha; -ṱhogomela; 
away	kule; 
babies	lushie; 
baby	lushie; 
back	 u humela kha;  nnḓa ha tshanḓa;  mudzi wa lulimi; muṱana; 
backdrop	 siangane; vhupo; 
background	siangane;  nga murahu; 
backgrounds	siangane;  nga murahu; 
backlog	salela; 
backlogs	salela; 
bad	vhifhaho; 
bail	beila; 
bake	baka; 
baking	baka; 
balance	 -linganyisa;  u lingana;  baḽantsi;  tshilinganyisi; ndinganyiso; 
balanced	zwosalaho;  ndinganyo;  linganyisa; tshikalo; 
balances	 lingana; mulingano;  baḽantsi;  linganyisa;  tshilinganyisi; ndinganyiso; 
ball	bola;  pfura; 
band	 bannda; bennde; 
bank	bannga; 
banking	-khuvhedzela;  u bannga; 
banks	bannga; 
baobab	muvhuyu; 
bar	bara;  dungo; 
bargain	muganyo; 
bargaining	muganyo; 
barrier	luswinga; 
barriers	luswinga; 
base	 mutheo;  thikho;  -theo; fhasi;  beisi; 
based	 mutheo;  basisi ya;  thikho; fhasi;  theo;  beisi; basisi; 
baseline	mutheo; 
basic	-theo; 
basics	theo; 
basis	 theo; mutheo; 
basket	 basigidi; manngi; 
battle	nndwa; 
bay	 tshikombame; gombame; 
be	vha; 
beach	bitshi; 
beaches	bitshi; 
bear	bere;  tshivhingwi; 
bearer	mubveledzi;  mufari; 
bearers	mubveledzi;  mufari; 
bearing	berini; 
bears	bere;  tshivhingwi; 
beautiful	 nakisa;  nakaho; naka; 
beauty	lunako; 
became	vha; 
because	ngauri; 
become	-vha; 
becomes	vha; 
becoming	vha; 
bed	mmbete;  vhulalo; 
beds	mmbete;  vhulalo; 
bee	ṋotshi; 
been	vha; 
beer	halwa;  bia; 
before	phanḓa ha; 
began	 simula;  ranga; thoma; 
begin	 simula;  ranga; thoma; 
beginner's	musimuli; 
beginning	mathomoni; 
begins	 simula;  ranga; thoma; 
begun	 simula;  ranga; thoma; 
behalf	nṱhani ha;  sia ḽa; 
behaviour	mikhwa;  vhuḓifari; 
behind	murahu; 
being	 tshivhumbiwa; muthu; 
beings	vhathu;  zwivhumbiwa; 
belief	lutendo; 
beliefs	lutendo; 
believe	 fulufhela; tenda;  fhulufhela;  fulufhedza;  fhulufhedza; 
believed	 fulufhela; tenda;  fhulufhela;  fulufhedza;  fhulufhedza; 
believes	 fulufhela; tenda;  fhulufhela;  fulufhedza;  fhulufhedza; 
believing	 fulufhela; tenda;  fhulufhela;  fulufhedza;  fhulufhedza; 
belong	vhawa; rumiwa; 
belonging	zwithu;  thundu; 
belongs	vhawa; rumiwa; 
beloved	mufunwa;  funwaho; 
below	fhasi; 
beneficial	wana;  thusi;  thakho;  vhuelwa;  pfariso;  mbuelo;  luga; 
beneficiaries	muvhuelwa; 
benefit	mbuelo;  thakho; 
benefited	mbuelo;  thakho; 
benefits	mbuelo;  thakho; 
best	bidzi; tshisikudi; 
better	 vhukhwiṋe; khwiṋe; 
between	vhukati;  vhukati ha; 
beyond	murahu;  seli;  phanḓa ha;  hafhaḽa; 
bidders	mubidi; 
bids	bida;  bidi; 
biennale	 nga tshikhathi;  kha miṅwaha mivhili;  nga tshifhinga; zwa misi yoṱhe; 
big	khulu; 
bigger	khulu; 
biggest	khulu; 
bilateral	ṱhumo;  masia mavhili; ṱangana; 
bill	 mulayotibe;  vhila;  mbalelano; mulandu; 
billion	biḽioni; 
bills	 mulayotibe;  vhila;  mbalelano; mulandu; 
bind	-ṱanganya;  -boma; 
binding	lubomo; 
bingo	 mutambo wa ḽotho; bingo; 
biodiversity	bayodaivesithi; 
biological	bioḽodzhikhaḽa; 
biome	zwimela zwa kilima nkene; 
bird	tshiṋoni; 
birds	zwiṋoni; 
birth	 mbebo;  u beba; mabebo; 
birthday	ḓuvha ḽa mabebo; 
blacks	tswu; 
blind	 -bofu;  u pofula; -swingisa;  -swinga; 
block	 buloko; tshigwada; 
blood	 muelelo wa malofha; malofha; 
blue	muvhala wa lutombo;  bulusele; 
board	 khorwana; bodo;  khadibodo;  khoro ya ṱhoḓisiso; 
boards	khoro;  komiti;  khoro ya vhulangi;  bodo;  khorwana; makhadibodo; 
boasts	 khoḓa; renda; 
bodies	nzio; muvhili;  baga; 
bodily	muvhili;  tshitumbu; 
body	muvhili;  baga; 
bold	tshisina nyofho; khwaṱhaho; 
bona	Bona; 
bond	mbofho;  vhofhelela; 
bonds	mbofho;  vhofhelela; 
book	bugu; 
books	bugu; 
boom	 zwithivheli; vilili; 
boost	 gonyisa;  isa phanḓa;  engedza;  lugisa;  hudza; khwinisa; 
border	mukano;  sakha; 
borders	mukano;  sakha; 
born	bebwa; 
borne	bere;  tshivhingwi; 
borrow	hadzima;  -pamba; 
borrowing	hadzima;  pamba; 
boss	 vhutotoma; vhasa; totomedza; 
botanical	ḓivhamela;  bothanikhaḽa; 
both	-vhili; 
bottom	tshiraho; 
bought	 -renga; renga; 
bound	ṱanganya;  boma; 
boundaries	mukano;  matungo; 
boundary	mukano;  matungo; 
box	 -tsivha;  bogisi; tshibogisi; 
boy	tshitukana; mutukana;  dukana; 
boys	 madukana; vhatukana;  zwitukana; 
braille	bureiḽi; 
branch	 -khethekana; davhi;  u khethekanya nga madavhi;  mudzi wa nga thungo; 
branches	davhi;  u khethekanya nga madavhi;  mudzi wa nga thungo;  khethekana; 
brave	u vha na vhuhali; 
bravery	vhuhali; 
breach	pfuka;  vunḓa;  tumula; 
breadth	vhuphara; 
break	-vunḓa;  u pfuka mulayo;  -fhanduwa ha ipfi; 
breakdown	 ṱhaṱhamula;  kwashekanya; fhandekanya; 
breakfast	vhuragane;  vhurangane; 
breakthrough	bvelela; phuletshedza; 
