Act of Parliament	Mulayo wa Phalamennde
Heads of Diplomatic Missions	Ṱhoho dza Vhurumelwa ha Vhudipuḽomati
Health Professions Council of South Africa	Khoro ya Phurofesheni dza zwa Mutakalo ya Afrika Tshipembe
High Court	Khothekhaṱhululi
High Court of South Africa	Khothekhaṱhuli ya Afrika Tshipembe; Khothe Khulwane ya Afrika Tshipembe
Horn of Africa	Horn of Africa
House of Assembly	Vhusimamilayo
House of Commons	Nnḓu fhasi ya phalamende
House of Delegates	Nnḓu ya vhurumelwa
House of Lords	Nnḓu ya nṱha ya phalamennde
House of Representatives	Nnḓu ya Vhaimeli
Human Rights Commission	Khomishini ya Pfanelo dza Vhathu
Human Rights Day	Ḓuvha ḽa Pfanelo dza Vhathu
Human sciences research	Ṱhoḓisiso ya saintsi dza nga ha vhathu
Independent Electoral Commission	Khomishini ya Khetho yo Ḓiimisaho
Industrial Development Corporation	Koporasi ya Mveledziso ya Nḓowetshumo
Information Society and Development	Dzangano ḽa Mafhungo na Mveledziso
Inkatha Freedom Party	Inkatha Freedom Party
International Labour Organisation	Dzangano ḽa zwa Vhashumi ḽa Dzitshaka
International Monetary Fund	Tshikwama tsha Tshelede tsha Dzitshaka
International Olympic Committee	Komiti ya Dzioḽimpiki ya Dzitshaka
International Relations	vhushaka ha dzitshaka
International Telecommunications Union	Mbumbano ya Vhudavhidzani ya Dzitshaka
Kruger National Park	Vhugalaphukha ha Lushaka ha Kruger;Vhugalaphukha ha Lushaka ha Boulo
Labour Relations Act	Mulayo wa vhushaka ha vhashumi
Land Claims Court	Khothe ya Mbilo dza Mavu
Language Task Group	Tshigwada tsha Mushumo tsha Luambo
Leader of the House	Murangaphanḓa wa Nnḓu
Member of Parliament	MP
Minister of Education	Minisiṱa wa zwa Pfunzo
Minority Front	Minority Front
Municipal Demarcation Board	Bodo  ya zwa Mikano ya Masipala
NCOP Committee	Komiti ya NCPO
Natal Indian Congress	Natal Indian Congress
National Agricultural Marketing Council	Khoro ya Mbambadzo ya zwa Vhulimifuvhuwi ya Lushaka
National Arts Council	Khoro ya Vhutsila ya Lushaka
National Assembly	Buthano ḽa Lushaka
National Commissioner	Mukhomishinari wa Lushaka
National Council of Provinces	Khoro ya Lushaka ya Mavundu
National Council of Provinces Committee	Komiti ya Khoro ya Lushaka lwa Mavundu
National Cultural History Museum	Muziamu wa Ḓivhazwakale ya Mvelele wa Lushaka
National Environmental Management Act	Mulayo wa Lushaka wa Ndaulo ya Mupo
National Film and Video Foundation	Mutheo wa Vidio na Fiḽimu wa Lushaka
National House of Traditional Leaders	Nnḓu ya Lushaka ya Vharangaphanḓa vha Sialala
National Intelligence Agency	Zhendedzi ḽa Lushaka ḽa zwa Vhusevhi
National Marketing Council	Khoro ya Mbambadzo ya Lushaka
National Monuments Council	Khoro ya Zwieledzi ya Lushaka
National Party	National Party
National Peace Accord	Thendelo ya Mulalo ya Lushaka
National Qualifications Framework	Furemiweke ya Ndalukano dza Lushaka
National Revenue Fund	Tshikwama tsha Mbuelo tsha Lushaka
National Swimming Federation	Feḓeresheni ya u bambela ya Lushaka
National Training Board	Bodo ya Lushaka ya Vhugudisi
National Women's Day	Ḓuvha ḽa Vhafumakadzi ḽa Lushaka
National Youth Commission	Khomishini ya Vhaswa ya Lushaka
New National Party	New National Party
New Year's Day	Ḓuvha ḽa Ṅwaha Muswa
Nkosi Sikelel' iAfrika	Nkosi Sikelel' iAfrika
Nobel Peace Prize	Nobel Peace Prize
Northern Cape	Northern Cape
Orange Free State	Orange Free State
Organisation for African Unity	Organisation for African Unity
Organisation of African	Dzangano ḽa Afrika
Organisation of African Unity	Dzangano ḽa Mbumbano ya Afrika
P and L	P na L
Pan Africanist Congress of Azania	Pan Africanist Congress of Azania
Pan South African Language Board	Bodonyangaredzi ya Nyambo dza Afrika Tshipembe
People Against Gangsterism and Drugs	Vhathu vhane vha lwa na zwigwada na zwidzidzivhadzi
Perishable Products Export Control Board	Bodondanguli yaVhurumelazwivhambadzwa nnḓa Zwitete
Population Registration Act	Mulayo wa u ḓiṅwalisa ha tshitshavha
President of the Senate	Muphuresidennde wa Vhutendelwamilayo
Pretoria Art Museum	Muziamu wa zwa Vhutsila wa Pretoria
Pretoria East Cemetery	Mavhiḓani a Pretoria Vhubvaḓuvha
Prohibition of Mixed Marriages Act	Prohibition of Mixed Marriages Act
Provincial Commissioner	Mukhomishinari wa Vundu
Provincial House of Traditional Leaders	Nnḓu ya Vundu ya Vharangaphanḓa vha Sialala
Public Administration	Ndaulo ya Tshitshavha
Public Order Policing	Tshipholisa tsha vhudziki tshitshavhani
Public Protector	Mutsireledzi wa Tshitshavha
Public Service Commission	Khomishini ya Tshumelo ya Muvhuso
Reconstruction and Development Programme	Mbekanyamushumo ya u Fhaṱulula na Mveledziso
Reserve Bank	Bannga ya Vhukati
SA Library for the Blind	Ḽaiburari ya Afrika Tshipembe ya vha sa vhoni
Second World War	Nndwa ya Vhuvhili ya Ḽifhasi
Secretary to Parliament	Muṅwaleli wa Phaḽamennde
Sector Education and Training Authority	Maanḓalanga a Sekithara ya Pfunzo na Vhugudisi 
Skills Development Act	Skills Development Act
South African Bureau of Standards	Birou ya Zwilinganyo ya Afrika Tshipembe
South African Chamber of Commerce	Tshemba ya Mbambadzo ya Afurika Tshipembe
South African Communist Party	South African Communist Party
South African Constitution	Ndayotewa ya Afrika Tshipembe
South African Council of Churches	Khoro ya zwa Dzikereke ya Afurika Tshipembe
South African Defence Force	Mmbi ya Vhupileli ya Afurika Tshipembe
South African Human Rights Commission	Khomishini ya Pfanelo dza Vhathu ya Afrika Tshipembe
South African Local Government Association	Dzangano ḽa Mivhuso yapo ḽa Afrika Tshipembe
South African National Civic Organisation	Dzangano ḽa Vhadzulapo ḽa Lushaka ḽa Afrika Tshipembe
South African National Defence Force	Mmbi ya Vhupileli ya Lushaka ya Afurika Tshipembe
South African National Parks	Vhugalaphukha ha Lushaka ha Afrika Tshipembe
South African Native National Congress	South African Native National Congress
South African Police	Tshipholisa tsha Afurika Tshipembe
South African Qualifications Authority	Maanḓalanga a zwa Ndalukanyo Afurika Tshipembe
South African Reserve Bank	Bannga ya Vhukati ya Afrika Tshipembe
South African Revenue Service	Tshumelo ya Muthelo wa Mbuelo wa Afrika Tshipembe
South African Secret Service	Tshumelo ya zwa Vhusevhi Afurika Tshipembe
South African Sugar Association	Dzangano ḽa Swigiri ḽa Afrika Tshipembe
South African citizen	mudzulapo wa Afrika Tshipembe
South African design	Nyolo ya Afrika Tshipembe
South African tea	Tie ya Afrika Tshipembe
Southern Africa	Afurika Tshipembe
Southern African Development Community	Ṱhanganelano ya Mashango a Tshipembe ha Afrika
Southern African Large Telescope	Theḽeskoupu Khulwane ya Tshipembe ha Afrika 
Speaker of Parliament	Mulangadzulo wa Phalamennde
Speaker of the National Assembly	Mulangadzulo wa Buthano ḽa Lushaka
State Department	Muhasho wa Lushaka
State President	Muphuresidennde wa Lushaka
Statistics South Africa	Statistics South Africa
Statistics South Africa	Vha Dzimbalombalo dza Afrika Tshipembe
Supreme Court	Khothekhaṱhululi
Supreme Court of Appeal	Khothe Khulwane ya Khaṱhululo
The Call of South Africa	Khuwelelo ya Afurika Tshipembe
The National Qualifications Framework	Furemiweke ya Ndalukano dza Lushaka
The South African National Council for the Blind	Khoro ya Lushaka ya Afrika Tshipembe ya vha sa Vhoni
Tropic of Capricorn	Ṱiropika ya Ngululu
Truth and Reconciliation Commission	Khomishini ya Vhungoho na Vhupfumedzani
UN Security Council	Khoro ya Tsireledzo ya UN
Union of South Africa	Mbumbano ya Afrika Tshipembe
United Christian Democratic Party	United Christian Democratic Party
United Democratic Front	United Democratic Front
United Democratic Movement	United Democratic Movement
United Nations	Yuno
Universal Declaration of Human Rights	Pfano ya Ḽifhasi ya Pfanelo dza Vhathu
Water Research Commission	Khomishini ya Ṱhoḓisiso ya Maḓi
West Bank	West Bank
Western Cape	Western Cape
Willem Prinsloo Agricultural Museum	Muziamu wa zwa Vhulimivhufuwi wa Willem Prinsloo
World Health Organisation	Dzangano ḽa Mutakalo ḽa Ḽifhasi
World Heritage Site	Fhethu ha Vhufa ha Ḽifhasi
World Trade Organisation	Dzangano ḽa Mbambadzo ḽa Ḽifhasi
World War I	Nndwa ya Ḽifhasi ya I
World Wildlife Fund	World Wildlife Fund
abuse of power	shumisa maanḓa luvhi
academic freedom	mbofholowo ya akademiki
account for	vhuḓifhinduleli nga nṱhani ha
account to	vhuḓifhinduleli nga
accountable for	vha na vhuḓifhinduleli
accounting officer	muofisiri o hweswaho
acid mine drainage	muelelo wa esidi ya mugodini
act of parliament	mulayo wa phalamennde
act of state	mishumo ya muvhuso
ad hoc	adihoko
administration of justice	matshimbidzele a zwa vhulamukanyi; ndaulo ya vhulamukanyi
administrative action	maga a ndaulo
administrative function	mishumo ya ndaulo
administrative powers	Maanḓa a ndaulo
advancement of technology	khwiniso ya thekhinoḽodzhi; mvelaphanḓa ya thekhinoḽodzhi
advisory body	tshiimiswangeletshedzi
affirmative action	ndinganyiso
against the law	hanedzana na mulayo; fhambana na mulayo; lwaho na mulayo
agent of change	muḓisatshanduko
air traffic	vhuendi ha muyani
air traffic control	ndango ya vhuendi ha muyani
all rights reserved	pfanelo dzoṱhe dzo tsireledzwa;
all the time	tshifhinga tshoṱhe
annual financial statement	tshitatamennde tsha masheleni tsha ṅwaha nga ṅwaha
annual general meeting	muṱanganonyangaredzi wa ṅwaha nga ṅwaha
annual report	muvhigo wa ṅwaha nga ṅwaha
appoint the cabinet	u thola khabinethe
appropriate technology	thekhonoḽodzhi yo teaho
area of interest	sia ḽa dzangalelo
area of jurisdiction	vhupo vhulaulwa
area of responsibility	sia ḽa vhuḓifhinduleli
armed struggle	nndwa dza zwigwada
arts and crafts	mishumo ya zwanḓa
arts and culture	vhutsila na mvelele
as amended	sa zwo khwiniswaho
as far as possible	nga hune zwa konadzea
as many as	vhunzhi nga hune
as soon as possible	nga u ṱavhanya
assumption of duty	thoma mushumo
at a meeting	muṱanganoni
at the age of	kha miṅwaha ya; miṅwaha ya
attainment of independence	wanambofholowo
attend a meeting	dzhenela muṱangano
basic needs	ṱhoḓea dza mutheo
basic rights	pfanelo dza mutheo
bear witness to	vha ṱhanzi ya
bed and breakfast	vhulalo na vhuragane
bilateral relations	vhushaka ha thengiselano
bill of rights	mulayotibe wa pfanelo
black power movement	dzangano ḽa maanḓa ḽa vharema
board of directors	bodo ya vhalangi
board of trustees	bodo ya thirasithii
body of water	maḓi manzhi o kuvhanganaho fhethu huthihi
border post	mukanoni
bottom line	tshithu tshihulwane
box office returns	mbuelo dza thengiso ya thikhithi; mbuelo dza ofisi ya u rengisa thikhithi
branches of government	mihasho ya muvhuso
budget process	maitele a mugaganyagwama
budget vote	voutu ya mugaganyagwama
build a part	fhaṱa tshipiḓa; vhumba tshipiḓa
bunch of grapes	tshidzhumba tsha nḓirivhe
bus rapid transit	sisiṱeme ya vhuendi ha nnyi na nnyi nga bisi
business community	vhubindudzi ha tshitshavha
business of parliament	mushumo wa phaḽamennde
business sector	sekithara ya vhubindudzi
by means of	nga nḓila ya
by the authorities	nga vha ndaulo; nga vha maanḓalanga
by virtue of	ngauri; nga mulandu wa
by way of	nga; nga nḓila ya
by word of mouth	nga u tou amba; nga mavharivhari
call centre operator	mushumeli wa vhuṱanganedza ṱhingo
call centre operator	mushumi wa call center;mushumi wa senthara ya vhuṱanganedza ṱhingo
call for nominations	khuwelelo ya u nanga
call for nominations	khuwelelo ya u ta; khuwelelo ya u nanga
capacity building	fhaṱa vhukoni
capital city	musanda
central government	muvhuso wa vhukati
certify a bill	khwaṱhisedza mulayotibe
chamber of commerce	dzangano ḽa zwa makwevho; dzangano ḽa zwa mbambadzo
change of address	tshanduko ya ḓiresi
change of course	 sudzuluwa;  shandukisa sia ḽe wa livha
changes over time	tshanduko nga murahu ha tshifhinga
changing society	shandukisa tshitshavha
checks and balances	sisiṱeme ya u khwinisa
chief executive	mulanguli muhulwane
chief whip	tshimebitshihulwane
child abuse	tambudza ṅwana
child rearing practices	maitele a u lela ṅwana; maitele a u ṱhogomela ṅwana; maitele a u alusa ṅwana; maitele a u dededza ṅwana; maitele a u londola ṅwana
children of Africa	vhana vha Afurika
city centre	tshivhindini tsha ḓorobo; vhukati ha ḓorobo
civil rights	pfanelo dza vhadzulapo
civil service	mushumo wa muvhuso
civil society	vhadzulapo
civil war	nndwa nga tshavho
coat of arms	tshigat2halu
code of conduct	milayo ya vhuḓifari
collection of data	u kuvhanganya data
collective responsibility	vhuḓifhinduleli ha vhoṱhe
colonial power	maanḓa a vhukoḽoni
colonial rule	muvhuso wa vhukoḽoni
come into force	thoma u shuma
come to the point	 swika kha zwa ndeme;  swika kha tshipiḓa tsha ndeme
committee meeting	muṱangano wa komiti
common interest	dzangalelo ḽithihi
community broadcasting service	tshumelo ya khasho ya vhadzulapo
community building	fhaṱa tshithavha
community development	mveledziso ya tshitshavha
community health centre	Senthara ya Mutakalo ya Tshitshavha
community involvement	dzhenelela ha tshitshavha
community participation	shela mulenzhe ha tshitshavha
community police forum	foramu ya tshipholisa ya  tshitshavha
community service	tshumelo ya tshitshavha
conclude an agreement	fhedza pfano; fhedza thendelano; phetha thendelano; phetha pfano
conditions of contract	milayo ya thendelano
conditions of service	milayo ya mashumele
conflict of interest	khuḓano ya dzangalelo
conflict prevention	thivhela khuḓano
conflict resolution	thasululo ya khuḓano
constitutional democracy	ndayotewa ya demokhirasi
constitutional mandate	ndayotewa ya
constitutional state	ndayotewa ya muvhuso
contempt of parliament	u nyadza phalamennde
convene a meeting	ramba muṱangano
cooperation agreement	thendelano ya tshumisano
course of action	maitele ane a fanela u tevhedzwa; zwine zwa fanela u itwa; zwine zwa fanela u tevhedzwa
cultural change	tshanduko ya mvelelo
cultural community	mvelele ya tshitshavha
cultural diversity	phambano ya mvelele
cultural goods	vhuḓi ha mvelele
cultural heritage	vhufa ha mvelele
cultural revolution	tshanduko ya mvelelo
culture of human rights	pfanelo dza vhathu dza mvelele
current affairs	zwino khou bvelela zwino
customary law	mulayo wa khasiṱamari
customs and excise	mithelo ya nnḓa na ya nga ngomu shangoni
cutting edge	rangaho phanḓa
data collection	kuvhanganya data
date of birth	ḓuvha ḽa mabebo; datumu ya mabebo
decent living	vhutshilo ha khwine
deciduous fruit industry	nḓowetshumo ya mitshelo ya tshipala
defence force	mmbi ya vhupileli
degree of freedom	tshiimo tsha mbofholowo
delegated legislation	theo ya mulayo ya vhurumelwa
demand and supply	ṱhoḓea na nḓisedzo
democratic culture	mvelele ya demokhirasi
democratic election	khetho dza demokhirasi
democratic political order	vhudziki ha polotiki ya demokhirasi
democratic principle	milayo ya demokhirasi
democratic society	tshitshavha tsha demokhirasi
democratic state	muvhuso wa demokhirasi
democratic transformation	tshanduko ya demokhirasi
democratic values	ndeme dza demokhirasi
deputy minister	mufarisaminisiṱa
deputy president	mufarisaphuresidennde
dereliction of duty	 sa londa vhuḓifhinduleli;  litshedzela vhuḓifhinduleli
developing country	mashango ane a kha ḓibvelela
development initiatives	mveledziso ya u thoma zwithu
development process	maitele a mveledziso
development programme	mbekanyamushumo dza mveledziso
development strategy	siṱirathedzhi tsha mveledziso
diplomatic corps	khoro ya vhadipuḽomati
diplomatic relations	vhushaka ha vhudipuḽomati
direct support	thikhedzothwii
director general	mulangimuhulwane
disaster management	ndangulo ya zwiwo
disciplinary action	maga a ndaṱiso
discussion document	ḽiṅwalo ḽine ḽa khou rerwa nga haḽo
dispossession of land	bviswa kha mavu
distribution capacity	vhukoni ha nḓisedzo
distribution of resources	nyavhelo ya zwishumiswa
distribution of wealth	nyavhelo ya lupfumo
district municipality	masipala wa tshiṱiriki
diverse society	tshitshavha tsho fhambanaho
diversity of people	vhathu vho fhambanaho
divide and rule	maitele a u fhandekanya
domain name authority	ndaulo ya u kovha;phaḓaladza domeini
down for discussion	zwine zwa khou ya u reriwa
draft bill	mvetomveto ya mulayotibe
draft legislation	mvetomveto ya mulayotibe
early warning	ṱavhanya u kaidza
early warning system	sisiṱeme ya u eletshedza hu tshe na tshifhinga
early warning system	sisiṱeme ya u kaidza hu tshe na tshifhinga
early warning system	sisiṱeme ya u sevha hu tshe na tshifhinga
ease of access	swikelea
economic empowerment	maanḓafhadza ikonomi
economic growth	nyaluwo ya ikonomi
economic impact	ṱhuṱhuwedzo ya ikonomi
economic relations	vhushaka ha zwa ikonomi
economic sector	sekithara ya zwa ikonomi
economic strength	maanḓa a zwa ikonomi
effective public service	tshumelo ya muvhuso yo khwaṱhaho
election period	tshifhinga tsha khetho
election process	kutshimbidzele kwa khetho
election results	mvelelo dza khetho
enabling environment	maanḓafhadza vhupo
entitled to vote	fanelwa nga u voutha; fanelwa nga u khetha; tendelwa u khetha; tendelwa u voutha
environmental impact	ṱhuṱhuwedzo ya vhupo
environmental impact assessment	tsedzuluso ya masiandaitwa kha vhupo
equal opportunities	zwikhala zwi linganaho
equality before the law	lingana phanḓa ha mulayo
every three years	miṅwaha miraru miṅwe na miṅwe
executive action	maga a ndaṱiso nga khorondangi
executive authority	Khorotshitumbe
executive organs of state	khorotshitumbe ya mihasho ya muvhuso
explanatory memorandum	memorandamu wa ṱhalutshedzo
fair election	khetho dzo vhofholowaho
fall in love	u funa
fauna and flora	zwipuka na zwimela
field of study	sia ḽa ngudo
fill a vacancy	thivha tshikhala; ḓadza tshikhala
financial year	ṅwaha wa muvhalelano
first past the post	muwini nga voutu nnzhisa
fiscal discipline	ndaṱiso ya zwa masheleni
floor of the House	lufhera lwa nnḓu
follow up	ya phanḓa
food security	tsireledzo ya zwiḽiwa
forced labour	kombetshedza u shuma
fore and aft	phanḓa ha na nga murahu ha
fore and after	phanḓa ha na nga murahu ha
foreign direct investment	bindudza na maṅwe mashango
foreign exchange	tshelede ya maṅwe mashango
foreign policy	mbekanyamaitele ya
free and fair election	khetho dzo vhofholowaho
free of charge	mahala; nga fhedzi
free society	tshitshavha tsho vhofholowaho
freedom fighter	mulwelambofholowo
freedom of association	pfanelo ya vhuḓibaḓekanyi
freedom of conscience	mbofholowo ya u tevhedza luvalo lwa muthu
freedom of expression	mbofholowo ya u amba; tendelwa u amba
freedom of movement	mbofholowo ya mupfuluwo
freedom of religion	mbofholowo ya zwa vhurereli
freedom of speech	mbofholowo ya u amba
freedom of the press	mbofholowo ya nyanḓadzamafhungo
from the front	thoma phanḓa; bva phanḓa
full supply level	tshiimo tsha nḓisedzo tsho fhelelaho
functional area	vhupo ha u shumela
fundamental human rights	pfanelo dza vhathu dza mutheo
fundamental rights	pfanelo dza mutheo
future research	ṱhoḓisiso dzi ḓaho
gender equality	ndinganyiso nga mbeu
gender inequality	sa lingana nga mbeu
gender violence	khakhathi nga mbeu
general election	khethoguṱe
get away with	ponya; ponyoka
give evidence	ṋea vhuṱanzi
global development	mveledziso ya dzhango
global economy	ikonomi ya dzhango
global village	Ḽifhasi ḽa vhuṱumani
go on for	livha; pika; yela
goods and services	thundu na tshumelo
governing party	ḽihoro ḽivhusi
government action	maga a muvhuso
government authority	maanḓalanga a muvhuso
government by the people	muvhuso wa vhathu
government department	mihasho ya muvhuso
government funding	ndambedzo ya muvhuso
government level	ḽeveḽe ya muvhuso
government of the day	muvhuso une wa khou vhusa
government policy	mbekanyamaitele ya muvhuso
government sector	sekithara ya muvhuso
government services	tshumelo dza muvhuso
governmental organisation	tshiimiswa tsha muvhuso
grassroots level	vhathu zwavho
gross domestic product	zwibveledzwa zwoṱhe zwa shango
guard of honour	mufolo
guilty of contempt	mulandu a u nyadza
half a million	hafu ya miḽiyoni
have a vote	vha na vouthu; kona u khetha
head of government	ṱhoho ya muhasho
head of office	muhulwane wa ofisi
head of state	ṱhoho ya shango
health care	ndondolo ya mutakalo
hierarchy of authority	ḽeveḽe ya maanḓa langa
historically disadvantaged	vhe kale vhavha vho siwa nnḓa
hold a meeting	vha na muṱangano; fara muṱangano
hold office	vha  ofisini
honorary citizenship	tshidzulapo tsha khuliso
honours and awards	pfufho na khuliso
host country	shango ḽo ḓelwaho
host nation	lushaka lwo ḓelwaho
house of assembly	vhusimamilayo
houses of parliament	nnḓu dza phalamennde
human development	mveledziso ya muthu
human dignity	tshirunzi tsha muthu
human nature	mvelo ya muthu
human race	murafho wa muthu
human resource	mushumi
human resource development	mveledziso ya vhashumi
human rights	pfanelo dza vhathu
human rights abuse	u shumiswa ha pfanelo dza vhathu nga nḓila i si yone
human rights activist	mulwela pfanelo dza vhathu
human rights violation	 pfukwa ha pfanelo dza vhathu
human security	tsireledzo ya muthu
imbalances of the past	sa lingana ha tshifhinga tsho fhelaho
immediate past president	muphuresidennde ane a kha ḓi bva u vhusa
in accordance with	zwi tshi elana na
in accordance with the rules	zwi tshi elana  na milayo
in addition to	nga nṱha ha
in an acting capacity	nga u vha mufareli; nga tshiimo tsha u tou farela
in any way	nga iṅwe nḓila
in case of	malugana na
in celebration of	hu tshi khou pembelelwa
in compliance with	hu tshi tevhedzwa
in connection with	malugana na
in consultation with	nga vhukwamani na
in excess of	zwinzhisa; zwo ḓalesaho; zwi fhiraho
in favour of	takalela; nga u takalela
in front of	phanḓa ha
in good faith	nga u fulfhedzea
in office	ofisini
in so far	nga hune
in spite of	naho zwo ralo
in support of	hu tshi tikedzwa
in terms of	zwi tshi ya nga
in the balance	siiwa muyani; siiwa tshikhalani
in the course of	musi hu tshi khou bvelela
in the evening	nga madekwana
in the event of	musi hu tshi
in the field of	kha sia ḽa
in the gap	ḓiambulula
in the interim	tshifhingakati
in the interim	zwa zwino; nga tshifhinga tsha zwino; tshifhinga tsha u lindela
in the lead	rangaho phanḓa
in the long term	nga murahu ha tshifhinga tshilapfu
in the majority	vhunzhi ha; nga vhunzhi
in the morning	nga matsheloni
in the name of	nga dzina ḽa
in the picture	kha tshifanyiso
in the region of	kha dzingu ḽa
in the white	kha zwitshena; wa zwitshena
inaugural address	tshipitshi tsha vhurangaphanḓa
