Act of Parliament	umThetho wePalamende
President of the Senate	UMongameli weSenate
Pretoria Art Museum	I-Pretoria Art Museum
Pretoria East Cemetery	Amathuna we-Pretoria East
Provincial Commissioner	uKomitjhinara wesiFunda
Provincial House of Traditional Leaders	Indlu yesiFunda yabadosiphambili bezeNdabuko
Public Administration	Ukuphathwa komphakathi
Public Order Policing	AmaPholisa atjheja ukukhamba kuhle kwezinto emphakathini
Public Protector	UmVikeli womPhakathi
Public Service Commission	Ikomitjhini yemiSebenzi yomPhakathi
Republic of South Africa	Iriphabliki yeSewula Afrika
Reserve Bank	I-Reserve Bank
SA Library for the Blind	Ibulungelo leencwadi leSewula Afrika labantu abangaboniko
San rock painting	Imigwalo yamatje wesitjhaba sama-San
Second World War	Ipi yesibili yePhasi
Sector Education and Training Authority	Isiphathimandla seNgcenye yezeFundo kanye neBandulo
Skills Development Act	umThetho wokuThuthukisa amaKghono
South African Bureau of Standards	I-South African Bureau of Standards
South African Chamber of Commerce	I-South African Chamber of Commerce
South African Communist Party	I-South African Communist Party
South African Council of Churches	Umkhandlu wamasondo weSewula Afrika
South African Defence Force	Iphiko lokuVikela leSewula Afrika
South African National Civic Organisation	Ihlangano yeSewula Afrika yenarha yomphakathi 
South African National Defence Force	iPhiko leNarha lokuVikela leSewula Afrika
South African National Parks	Amaphaga weNarha eSewula Afrika
South African Native National Congress	I-South African Native National Congress
South African Police	Amapholisa weSewula Afrika
South African Qualifications Authority	AbaGunyazi bamaKhwalifikhetjheni eSewula Afrika
South African Reserve Bank	Ibhanga yeSewula Afrika
South African Revenue Service	Imisebenzi yeRevenyu eSewula Afrika
South African Secret Service	Umsebenzi oyifihlo weSewula Afrika
South African Sugar Association	Ihlangano yeTjhukela eSewula Afrika
South African design	Idizayini yeSewula Afrika
South African tea	Itiye yeSewula Afrika
Southern Africa	I-Sewula Afrika
Southern African Large Telescope	iTheleskowubhu ekulu eSouthern Afrika
State Department	umNyango womBuso
State President	uMengameli womBuso
Statistics South Africa	Iimbalobalo zeSewula Afrika
Supreme Court	Ikhotho ePhakemeko
The Call of South Africa	Ukubizwa kweSewula Afrika
The National Qualifications Framework	iTlhatlha lamaKhwalifikhetjheni wenarha
The South African National Council for the Blind	Ikhansela yabantu abangaboniko  yenarha yeSewula Afrika
UN Security Council	Umkhandlu weVikeleko we-UN
Union of South Africa	Inyonyani yeSewula Afrika
United Christian Democratic Party	Ihlangano i-United Christian Democratic Party
United Democratic Front	Ihlangano i-Democratic Front
United Democratic Movement	I-United Democratic Movement
United Nations	Iintjhaba ezibumbeneko
Universal Declaration of Human Rights	ukuvezwa kwamalungelo wobuNtu eenarheni-mazombe
Water Research Commission	Ikomitjhini eRhubhulula ngamanzi
West Bank	Ibhanga yeTjingalanga
Western Cape	Itjingalanga Kapa
Willem Prinsloo Agricultural Museum	Imyuziyemu yezeLimo i-Willem Prinsloo Agricultural Museum
World Heritage Site	Indawo yamagugu wePhasi-mazombe
World Trade Organisation	iHlangano yeRhwebo lePhasi-mazombe
World War I	Ipi yePhasi yokuthoma
World War II	Ipi yePhasi yesibili
World Wildlife Fund	Isikhwama seenlwana zommango ePhasini-mazombe
abuse of power	ukuphathwa kumbi kwamandla
academic freedom	ikululeko ngokwefundo
account for	ukuziphendulela mayelana na
account to	ukuziphendulela ku
accountable for	ukuziphendulela ngoku-
accounting officer	isiphathiswa esinokuziphendulela
acid mine drainage	idreyini ye-esidi yeemayini
act of state	umthetho wombuso
ad hoc	kwesikhatjhana
administration of justice	ukuphatha  ubulungiswa
administrative action	isenzo sokuphatha
administrative function	umsebenzi wokuphatha
administrative powers	amandla wokuphatha
advancement of technology	ukuthuthukiswa kwethekhnoloji
advisory body	umkhandlu oyelelisako
affirmative action	ihlelo lokulungisa
against the law	ukuphambana nomthetho
agent of change	umlethimatjhuguluko
air traffic	ubunengi bezinto ezikhamba emmoyeni
air traffic control	ilawulo lethrefiki yommoya
all rights reserved	woke amalungelo  afunjethwe
all the time	ngaso soke isikhathi
annual financial statement	iintatimende zeemali zaqobe mnyaka
annual general meeting	umhlangano waqobe mnyaka
annual report	umbiko wokuphela komnyaka
appoint the cabinet	-khetha ikhabinedi
appropriate technology	ithekhnoloji efaneleko
area of interest	indawo yekareko
area of jurisdiction	indawo yamandla wokuthatha iinqunto
area of land	indawo yenarha
area of responsibility	indawo yesibopho
armed struggle	ipi yeenkhali
as amended	njengombana kukhitjelelwe
as far as possible	kude ngendlela ongakghona ngayo
as many as	ngobunengi ngo
as soon as possible	msinyazana/ ngokukopeza kwelihlo
assumption of duty	ukuthoma ukusebenza
at a meeting	emhlanganweni
at the age of	emnyakweni we-
attainment of independence	ukuzuzwa kwekululeko
attend a meeting	ukukhambela umhlangano
basic human rights	Amalungelo wobuntu asisekelo
basic needs	iindingo ezisisekelo
basic rights	amalungelo asisekelo
bear witness to	ukuba ngufakazi kilokho
bed and breakfast	Amalalo nokudla kwebhrakfesi
bilateral relations	itjhebiswano lamahlangothi amabili
bill of rights	ivikelamalungelo
black power movement	umsikinyeko wamandla wabantu abanzima
board of directors	Ibhodi yabaNqophisi
board of trustees	iBhodi ebekiweko/ekhethiweko
body of water	umzimba wamanzi
border post	imikhawulo yeenarha
bottom line	okuqakathekileko
box office returns	indawo lapha kuthengiswa khona amathikithi
branches of government	amagatja wombuso/karhulumende
budget process	ikambiso/irherho lebhajedi
budget vote	Ivowudu ngesabelo seemali
build a part	ukwakha ingcenye
bunch of grapes	ipakana yamadribe
bus rapid transit	ikambiso yeenthuthi zomphakathi
business community	ibhizinisi yomphakathi
business sector	iphiko lebhizinisi
by the authorities	ngokweemphathimandla
by virtue of	ngokubakhona kwento
by way of	ngokwendlela yokwenza
by word of mouth	ngokukhuluma ngomlomo
call centre operator	umsebenzisi wesentha yemitato
call for nominations	ukufaka  amabizo wabakhethwako
capacity building	ukwakha ikghono
capital city	ihlokodorobho
central government	umbuso ophakathi
certify a bill	ukuqinisekisa umthethomlingwa
chamber of commerce	ikundla yekhomesi
change of address	ukutjhugulula isiphande
change of course	ukutjhugulula ikhosi
changes over time	amatjhuguluko ngokukhamba kwesikhathi
changing society	umphakathi otjhugulukako
checks and balances	ikambiso lapha iingcenye zehlangano zinamandla wokulawula ezinye iingcenye
chief executive	Umphathi wesiGungu
chief whip	uSosibebhe omKhulu
child abuse	ukutlhoriswa kwabentwana
child rearing practices	indlela abentwana abakhuliswa ngayo
children of Africa	abentwana be-Afrika
city centre	ikaba yedorobho
civil rights	amalungelo wabahlali
civil service	umsebenzi womphakathi
civil society	umphakathi
civil war	ipi yomphakathi
coat of arms	isiphandla
code of conduct	imithetho yokuziphatha
code of ethics	indlela yokuziphatha ngendlela elungileko
collection of data	ukubuthelelwa kwedatha
collective responsibility	isibopho ngokuhlanganyela
colonial power	amandla wekholoni
colonial rule	ukubuswa yikholoni
come into force	ukuba khona
come to the point	ukuveza iphuzu
committee meeting	umhlangano wekomidi
common interest	okuthandwa nguwokewoke
community broadcasting service	umrhatjho womzana
community building	ukwakha umphakathi
community development	ukuthuthukisa umphakathi
community involvement	ukuzibandakanya komphakathi
community participation	ukubandakanyeka komphakathi
community police forum	iforamu yamapholisa womphakathi
community service	umsebenzi womphakathi
conclude an agreement	ukuvumelana
conditions of contract	imibandela yekontraga
conditions of service	imibandela yomsebenzi
conflict prevention	ukukhandela irarano
conflict resolution	ukurarulula irarano
constitutional democracy	idemokhrasi yomthethosisekelo
constitutional mandate	igunya ngokomthethosisekelo
constitutional state	Umbuso womthethosisekelo
consumer price index	isilinganiso sokutjhuguluka kwentengo
contempt of parliament	ukudelela ipalamende
convene a meeting	bamba umhlangano
cooperation agreement	isivumelwano ngokubambisana
course of action	unobangela wokwenza okuthileko
cultural change	itjhuguluko ngokwesiko
cultural community	umphakathi onamasiko
cultural diversity	ukuhlukahlukana ngokwamasiko
cultural goods	ipahla yamasiko
cultural heritage	ilifa lamasiko
cultural revolution	ivukelambuso ngokwamasiko
culture of human rights	isiko ngamalungelo wobuntu
current affairs	iindaba zanje
customary law	imithetho yokwenza izinto ngokwendlela yakade
customs and excise	umkhuba  nemithelo yangaphakathi
cutting edge	ukudosa phambili/ntanzi
data collection	ukubuthelela imininingwana
date of birth	ilanga lamabeletho
decent living	ukuphila ngendlela ehle
deciduous fruit industry	ibubulo leenthelo eziwako
defence force	iphiko lezokuvikela
degree of freedom	ubukhulu bekululeko
delegated legislation	umthetho ogunyaziweko
demand and supply	isifuno nokuthunyelwa ngaphandle
democratic culture	isiko lentando yenengi
democratic election	amakhetho wentando yenengi
democratic political order	umlayo wepolotiki wentando yenengi
democratic principle	ikambiso/irherho lentando yenengi
democratic society	umphakathi wentando yenengi
democratic state	umbuso wentando yenengi
democratic transformation	amatjhuguluko wentando yenengi
democratic values	imikghwa yentando yenengi
deputy minister	isekela likangqongqotjhe
deputy president	isekela likaMongameli
dereliction of duty	ukubhalelwa kukwenza umsebenzi
developing country	inarha esathuthukako
development initiatives	Imizamo yokuthuthuka
development process	ikambiso yokuthuthuka
development programme	ihlelo lokuthuthuka
development strategy	iqhinga lokuthuthuka
diplomatic corps	umkhakha wabahlakani opheleleko o-akhredithiweko
diplomatic relations	amatjhenbiswano kwezobuhlakani
direct support	isekelo elibunqopha
director general	umnqophisi zombelele
disaster management	ilawulo lehlekelele
disciplinary action	isenzo sokukhalinywa
discussion document	umtlolo okucocwa ngawo
dispossession of land	ukuthathwa kwenarha
distribution capacity	umthamo wokwaba
distribution of resources	ukwabiwa kweensetjenziswa
distribution of wealth	ukwabiwa komnotho
district municipality	umasipala wesiyingi
diverse society	umphakathi ohlukahlukeneko
diversity of people	ukuhlukahlukana kwabantu
divide and rule	ukuphatha ngokuhlukanisa abantu
domain name authority	igunya lebizo ledomeyini
down for discussion	ukungabi namandla wokucoca
draft bill	umTlamo womThethomlingwa
draft legislation	umtlamo womthetho
early warning	amatshwayo wamsinya
early warning system	ikambiso yesiyeleliso samsinya
ease of access	ukungena lula
economic empowerment	ukunikela umnotho amandla
economic growth	ukuthuthuka komnotho
economic impact	amandla womnotho
economic relations	amatjhebiswano kwezomnotho
economic sector	iphiko lezomnotho
economic strength	amandla wezomnotho
effective public service	umsebenzi womphakathi okhamba kuhle
election period	isikhathi samakhetho
election process	ikambiso yamakhetho
election results	imiphumela yamakhetho
enabling environment	ukukghonakalisa ibhoduluko
entitled to vote	ukuba negunya lokuvowuda
environmental impact	amandla webhoduluko
environmental impact assessment	Ukuhlola amandla kwezebhoduluko
equal opportunities	amathuba alinganako
equality before the law	ukulingana ngaphambi komthetho
every three years	qobe minyaka emithathu
executive action	isenzo sesigungu
executive authority	isigungu esiphetheko
executive organs of state	imikhakha yesigungu sombuso
explanatory memorandum	imemorandamu enehlathululo
fair election	amakhetho akhambe kuhle
fall in love	-qoma
fauna and flora	iinlwana neentjalo
field of study	umkhakha ofundelwako
fill a vacancy	ukuvala isikhala/ ukuqatjhwa
financial year	umnyaka weemali
fiscal discipline	ukujeziswa ngokwerevenyu yombuso
five hundred and six	amakhulu amahlanu nesithandathu
follow up	ilandelela
food security	ivikeleko lokudla
forced labour	umsebenzi owenziwa ngokukatelelwa
fore and aft	ngaphambili nangemva
fore and after	ngaphambili nangemva
foreign direct investment	ukusisa iimali zangaphandle bunqopha
foreign exchange	itjintjiselwanomali yangaphandle
foreign policy	umgomo weenarha zangaphandle
free of charge	simahla
free society	umphakathi otjhaphulukileko
freedom fighter	umlwelikululeko
freedom of association	ikululeko yokuhlanganyela
freedom of conscience	ikululeko yokuzicabangela
freedom of movement	ikululeko yokuya lapha ufuna ukuya khona
freedom of religion	ikululeko yekolo
freedom of scientific research	ikululeko yokurhubhulula ngokwesayensi
freedom of speech	ikululeko yokukhuluma
freedom of the press	ikululeko yeembikiindaba
from the front	ukusuka ngaphambili
full supply level	ukuzalisa izinga lalokho okuthunyelwako
functional area	indawo okusetjenzelwa kiyo
fundamental human rights	amalungelo wobuntu aqakathekileko
fundamental rights	amalungelo aqakathekileko
future research	irhubhululo lesikhathini esizako
gender equality	ukulingana ngokobulili
gender inequality	ukungalingani ngokobulili
gender violence	ukulwisana ngobulili
general election	ikhetho zombelele
get away with	ukungatholwa unomlandu
give evidence	nikela ubufakazi
global development	ituthuko yephasi mazombe
global economy	umnotho wephasi mazombe
global village	ithreste lephasi mazombe
go on for	ukuragela phambili nokufuna
goods and services	iimpahla kanye nemisebenzi
governing party	ihlangano ebusako
government action	isenzo sombuso
government authority	igunya lombuso
government by the people	umbuso wabantu
government department	umnyango wombuso
government funding	isikhwama seemali zombuso
government level	izinga lombuso
government of the day	umbuso wesikhatheso
government policy	umgomo wombuso
government sector	iphiko lombuso
government services	imisebenzi yombuso
governmental organisation	ihlangano yombuso
grassroots level	ezingeni eliphasi
guard of honour	ukuhlonitjhwa
guilty of contempt	ukubekwa umlandu wokungahloniphi ikhotho
half a million	isiquntu sesigidi
have a vote	ukuvowuda
head of government	ihloko yombuso
head of office	i-ofisi ekulu
health care	itlhogomelo lezamaphilo
hierarchy of authority	irherho lokulandelana ngokuphatha
historically disadvantaged	abadinywe amathuba ngaphambilini
hold a meeting	ukubamba umhlangano
hold office	ukuba se-ofisini
honorary citizenship	ubakhamuzi obuhloniphekako
honours and awards	ukuhlonitjhwa kanye nemitlomelo
host country	inarha engusomnyanya
host nation	isitjhaba esingusomnyanya
house of assembly	Indlu yesiBethamthetho
houses of parliament	izindlu zepalamende
human development	ituthuko yabantu
human dignity	isithunzi sabantu
human nature	imvelo yabantu
human race	iphaliswano labantu
human resource	umuntu
human resource development	ukuthuthukisa abantu
human rights	amalungelo wobuntu
human rights abuse	ukutlhoriswa kwamalungelo wobuntu
human rights activist	umlweli wamalungelo wobuntu
human security	ivikeleko labantu
imbalances of the past	ukungalingani kwesikhathi esidlulileko
immediate past president	umengameli oqeda ukuphatha
in accordance with	ngokukhambisana nalokho
in accordance with the rules	ngokukhambisana nemithetho
in addition to	ngokungezelela kilokho
in an acting capacity	ngokuba  sesikhundleni sokuba mjaphethe
in any way	ngenye nenye indlela
in case of	nange kwenzeka
in celebration of	ngokunyanyela
in compliance with	ngokukhambisana nalokho
in connection with	mayelana nalokho
in consultation with	ngokubonisana nalokho
in excess of	ukudlula lokho
in favour of	ngokuvumelana nalokho
in front of	ngaphambi kwa
in good faith	ngommoya omuhle
in office	nge-ofisini
in so far	ukufikela lapho
in spite of	nanyana kunjani
in support of	ngokusekela
in terms of	ngokutjho kwalokho
in the balance	ngokudzimelela
in the course of	nakwenzeka lokho
in the evening	ebusuku
in the event of	nakwenzeka lokho
in the field of	emkhakheni walokho
in the gap	esikhaleni
in the interim	okwesikhatjhana
in the lead	ngokudosa phambili
in the long term	ekukhambeni kwesikhathi
in the majority	ngokwenengi
in the morning	ekuseni
in the name of	ngokugunyazwa
in the picture	ukuba lapho
in the white	ukubonakala
inaugural address	ikulumo yokwethula umuntu
inaugural meeting	umhlangano wokwethula umuntu
income tax	umthelo
indigenous culture	isiko lendabuko
indigenous language	ilimi lendabuko
indigenous people	abantu bendabuko
industrial society	ibubulo lomphakathi
infant mortality rate	inani lokuhlongakala kwamasana
information retrieval	ukuthola ilwazi
information retrieval system	ikambiso yokuthola ilwazi
inner city	ngaphakathi kwedorobho
inspector of mines	umhloli weemayini
intellectual property rights	amalungelo wepahla engeyengqondo
intergovernmental relations	itjhebiswano laborhulumende
interim constitution	umthethosisekelo wesikhatjhana
international affairs	iindaba zeenarha mazombe
international community	umphakathi weenarha mazombe
international humanitarian law	umthetho wepi
international olympic committee	Ikomidi yemidlalo yeentjhabatjhaba
international relations	amatjhebiswano weenarha mazombe
interrupt the proceedings	ukuthikazisa iinkambiso
investment of capital	ukusiswa komnotho
job creation	ukwakha imisebenzi
joint committee	ikomidi yehlanganyela
joint meeting	umhlangano wehlanganyela
joint responsibility	isibopho esihlanganyelweko
joint rules committee	imithetho yekomidi ehlanganyelweko
joint sitting	Ihlalohlanganisela leziNdlu zePalamende
judicial authority	igunya lezobulungiswa
keep in mind	ukukhumbula
keep up to date	ukwenza kukhambisane nesikhathi
key performance area	indawo eqakathekileko yokusebenza
labour force	amandla kwezomsebenzi
labour intensive	ukungenelela kwezomsebenzi
labour market	imakethe kwezomsebenzi
lack of energy	ukungabi namandla
land ownership	ubunikazi benarha
land reform	ukubuyekezwa kwemithetho yenarha
land restitution	ukubuyiselwa kwenarha kubanikazi
land rights	amalungelo wenarha
language policy	umgomo welimi
language practice	ukuphrakthisa ilimi
language rights	amalungelo welimi
law enforcement	ukugandelelwa komthetho
lay a charge	ukubika umlando
leader of the opposition	umdosiphambili wesiqhema esiphikisako
learning process	ikambiso yokufunda
least of all	okungakaqakatheki
legacy of apartheid	umthetho webandlululo
legal deposit library	ibulungelo leencwadi lokudibhozida elisemthethweni
legislative authority	igunya lomthetho
legislative function	umsebenzi womthetho
legislative power	amandla womthetho
legislative powers	amandla womthetho
legislative process	ikambiso yomthetho
level of government	izinga lombuso
level of service	amazinga wokuthuthukisa
levels of development	amarhelo wamalungelo
liberation movement	ijima lekululeko
liberation struggle	ikululeko yomzabalazo
limited access	amandla amancani
lingua franca	ilimi okuvunyelenwe ngalo ukobana libe ngelisetjenziswako
list of members	inengi lamavowudu
local government	umbuso wendawo
local government level	izinga lombuso wendawo
local government sector	iphiko lombuso wendawo
local municipality	umasipala wendawo
local sphere of government	umkhakha wombuso wendawo
mainstream economy	umnotho wabantu boke
majority of votes	ukwenza ikambebayibuza
majority party	ihlangano yenengi
make a mark	ukwenza isitatimende
make a statement	ukwenza umzamo
make an effort	ukwenza umzamo
management review	ibuyekezo lokuphatha
manner of speaking	indlela yokukhuluma
marine living resources	imithombo ehlala emanzini
market economy	imaraga yomnotho
mass mobilisation	ikambiso efaka boke abantu
master of ceremonies	umphathiintambo/ umphathihlelo
matter of public importance	indaba eqakathekileko emphakathini
matter of urgency	okurhabekileko
means of communication	indlela yokuthintana
means of transport	iinkhwelo ezikhwelwako
member of parliament	ilunga lepalamende
member of the council	ilunga lomkhandlu
member states of the UN	ilunga lombuso we-UN
memorandum of understanding	ikontraga yokuzwisisana
metropolitan area	indawo elidorobho
middle class	abantu abaphakathi nendawo ngokomnotho
minority domination	ukubakhona kwenani elincani labantu
minority party	ihlangano encani
mode of operation	indlela yokusebenza
moment in time	ongeze wakulibala
money laundering	ukubolekisa ngemali ukuze uthole inzuzo enengi
months of the year	iinyanga zonyaka
mortality rate	inani labahlongakeleko
mother tongue	ilimi  likamma
multicultural society	umphakathi onamasiko ahlukahlukeneko
mutual understanding	ukuzwisisana
mutually exclusive	ukungafani kwezinto ezimbili
national affairs	iindaba zenarha
national anthem	ingoma yesitjhaba
national asset	umnotho wenarha
national budget	ibhajedi yenarha
national coat of arms	isiphandla
national conference	ikhonferensi yenarha
national department	umnyango wenarha
national development	ituthuko yenarha
national economy	umnotho wenarha
national education	ifundo yenarha
national executive	isigungu senarha
national executive authority	igunya lesigungu senarha
national executive committee	ikomidi yesigungu senarha
national flag	iflarha yenarha
national government	umbuso wenarha
national identity	ubunjalo benarha
national interest	inzuzo yenarha
national leader	umdosiphambili wenarha
national level	izinga lenarha
national level of government	izinga lombuso wenarha
national policy	umgomo wenarha
national pride	ukuzikhakhazisa kwenarha
national reconciliation	ukubuyisana ngokwenarha
national security	ivikeleko lenarha
national sphere of government	umkhakha wombuso wenarha
national strategy	iqhinga lenarha
national symbols	amatshwayo wenarha
national unity	ibumbano lenarha
natural justice	ubulungiswa bemvelo
natural resources	imithombo yemvelo
need to know	ngifuna ukwazi
new dispensation	isikhathi sombuso omutjha
not later than	kungakapheli isikhathi esithileko
number of children	inani labentwana
number of deaths	inani labahlongakeleko
oath of office	isifungo se-ofisini
of paramount importance	okuqakatheke khulu
office bearer	onesikhundla e-ofisini
official language	ilimi elisemthethweni
official residence	ukuhlala ngokusemthethweni
on the defence	ukuzivikela
on the market	emakethe
on the run	ukubaleka
on the second	ukuyelela
on the wing	nawuphaphako
on top of	phezu kwa
open society	umphakathi onganafihlo
open source software	ingaphakathimtjhiningqondo elivulekileko
opening address	Ikulumo yokuvula
order of merit	ukulandelana ngokuqakatheka kwezinto
order of preference	indlela okwenyulwa ngakho
order of the day	ikambiso yamhlokho
ordinary session	isetjheni evamileko
organs of state	izakhiwo zombuso
out of control	ukungalawuleki
out of date	ukuphelelwa sikhathi
out of print	ukungasagadangiswa
out of service	ukungasebenzi
out of stock	ukuphela
outbreak of war	ukusuka kwepi
ownership of land	ubunikazi benarha
paradigm shift	itjhuguluko lamsinya
parliament is in session	ukuhlala kwepalamende
parliamentary committee	ikomidi yepalamende
parliamentary correspondent	iincwadi eziya epalamende
parliamentary democracy	ipalamende yentando yenengi
parliamentary process	ikambiso yepalamende
participate in the debate	ukuzibandakanya kukulumo-pendulwano
participatory democracy	ukubandakanyeka kuntando yenengi
party discipline	ukunqotjhiswa kwehlangano
