Act of Parliament	Molao wa Palamente
Financial Services Board	Lekgotla la Ditshebeletso tsa Ditjhelete
Financial and Fiscal Commission	Khomishene ya Tjhelete le Merero ya Ditjhelete
Fire Protection Association	Mokgatlo wa Thibello ya Mollo
First World	Lefatshe la Pele
First World War	Ntwa ya Pele ya Lefatshe
Foundation for Creative Arts	Mohlodi wa Bonono ba Boiqapelo
Free State	Freistata
Free State Stadium	Setadiamo sa Freistata
Freedom Charter	Tokomane ya Tokoloho
Freedom Day	Letsatsi la Tokoloho
Freedom Front	Freedom Front
Gauteng Provincial Government	Mmuso wa Provense ya Gauteng
Government of National Unity	Mmuso wa Naha wa Kopanelo
Group Areas Act	Molao wa Dibaka tsa Dihlopha
Heads of Diplomatic Missions	Balaodi ba Merero ya Diplomatiki
Health Professions Council of South Africa	Lekgotla la Afrika Borwa la Mesebetsi ya Bophelo bo botle
High Court	Lekgotla le leholo la dinyewe
High Court of South Africa	Lekgotla le Phahameng la Afrika Borwa
Horn of Africa	Lenaka la Afrika
House of Assembly	Ntlo ya Pokano
House of Commons	House of Commons
House of Delegates	Ntlo ya Barumuwa
House of Lords	House of Lords
House of Representatives	Ntlo ya Baemedi
Human Rights Commission	Khomishene ya Ditokelo tsa Botho
Human Rights Day	Letsatsi la Ditokelo tsa Botho
Human sciences research	Koporasi ya Ntshetsopele ya Indasteri
Independent Electoral Commission	Khomishene e Ikemetseng ya Dikgetho
Industrial Development Corporation	Ditaba tsa Setjhaba le Ntshetsopele
Information Society and Development	Mokgatlo wa Mesebetsi ya Matjhaba
Inkatha Freedom Party	Inkatha Freedom Party
International Labour Organisation	Mokgatlo wa Mesebetsi ya Matjhaba
International Monetary Fund	Letlole la Dijhelete tsa Matjhaba
International Olympic Committee	Komiti ya matjhaba ya Diolimpiki
International Relations	Dikamano tsa matjhaba
International Telecommunications Union	Kopano ya Dikgokahano tsa mehala ya Matjhaba
Judicial Service Commission	Khomishene ya Ditshebeletso tsa Molao
Labour Relations Act	Molao wa Dikamano Mosebetsing
Land Claims Court	Lekgotla la Dinyewe tsa Ditletlebo tsa Naha
Language Task Group	Sehlopha se Mosebetsi wa Puo
Leader of the House	Moetapele wa Ntlo
Leader of the Official Opposition	Moetapele wa Bohanyetsi wa Molao
Minister of Education	Letona la Thuto
Minister of Justice	Tona la Toka
Minority Front	Minority Front
Municipal Demarcation Board	Lekgotla la Tsheho ya Meedi la Masepala
NCOP Committee	Komiti ya NCOP
Natal Indian Congress	Mokgatlo wa Maindia a Natala
National Agricultural Marketing Council	Lekgotla la Mebaraka ya Temo ya Setjhaba
National Arts Council	Khansele ya Bonono ya Naha
National Arts Festival	Mokete wa Bonono wa Naha
National Assembly	Asembli ya Setjhaba
National Commissioner	Mokomishenara wa Setjhaba
National Council of Provinces	Lekgotla la Naha la Diporovense
National Cultural History Museum	Mosiamo wa Nalane ya Meetlo ya Setjhaba
National Environmental Management Act	Molao wa Taolo ya Tikoloho ya Setjhaba
National House of Traditional Leaders	Ntlo ya Setjhaba ya Marena a Setso
National Intelligence Agency	National Intelligence Agency
National Marketing Council	Lekgotla la Mebaraka ya Setjhaba
National Monuments Council	Lekgotla la Diemahale tsa Setjhaba
National Party	National Party
National Prosecuting Authority	Bolaodi ba Botjhotjhisi ba Naha
National Qualifications Framework	Moralo wa Mangolo a thuto a Setjhaba
National Revenue Fund	Letlole la Tjhelete ya Setjhaba
National Swimming Federation	Mokgatlo wa Setjhaba wa Ho sesa
National Training Board	Lekgotla la Setjhaba la Kwetliso
National Women's Day	Letsatsi la Setjhaba la Basadi
National Youth Commission	Khomishene ya Batjha ya Naha
New National Party	New National Party
Nkosi Sikelel' iAfrika	Nkosi Sikelel' iAfrika
Nobel Peace Prize	Kgau ya Nobel Peace
Northern Cape	Kapa Leboya
Orange Free State	Freistata
Orange River Sovereignty	Orange River Sovereignty
Organisation for African Unity	Mokgatlo wa Kopano ya Afrika
Organisation of African	Mokgatlo wa Afrika
Organisation of African Unity	Mokgatlo wa Kopano ya Afrika
P and L	P and L
Pan Africanist Congress of Azania	Pan Africanist Congress of Azania
Pan South African Language Board	Lekgotla la Dipuo tsohle la Afrika Borwa
People Against Gangsterism and Drugs	Mokgatlo wa batho o kgahlano le Mamulwana le Tshebediso ya Dithethefatsi
Perishable Products Export Control Board	Lekgotla la Taolo ya Thomello ya Dihlahiswa tse Senyehang
Population Registration Act	Molao wa Ngodiso ya Baahi
President of the Senate	Mopresidente wa Senate
Pretoria Art Museum	Mosiamo wa Bonono wa Pretoria
Pretoria East Cemetery	Molao wa Thibelo ya Manyalo a Kopaneng
Prohibition of Mixed Marriages Act	Thibelo ya Molao wa Manyalo a Kopaneng
Provincial Commissioner	Mokomishenara wa Provense
Provincial House of Traditional Leaders	Ntlo ya Provense ya Marena a Setso
Public Administration	Taolo ya Setjhaba
Public Order Policing	Khomishene ya Tshebeletso ya Setjhaba
Public Protector	Motshireletsi wa Setjhaba
Public Service Commission	Khomishene ya Ditshebeletso tsa Setjhaba
Reconstruction and Development Programme	Lenaneo la Ntshetsopele le Kahobotjha
Republic of South Africa	Laeborari ya Afrika Borwa ya Difofu
Reserve Bank	Banka ya Resefe
SA Library for the Blind	Laeborari ya Afrika Borwa ya Difofu
San rock painting	Ditshwantsho tsa mafikeng tsa Ma-San 
Second World War	Ntwa ya Bobedi ya Lefatshe
Secretary to Parliament	Mongodi wa Palamente
Sector Education and Training Authority	Bolaodi ba Mokga wa Thuto le Kwetliso
Skills Development Act	Molao wa Ntshetsopele ya Boitsebelo ba mesebetsi
South African Bureau of Standards	Biro ya Boleng ya Afrika Borwa
South African Chamber of Commerce	Mokgatlo wa Kgwebo wa Afrika Borwa
South African Communist Party	South African Communist Party
South African Constitution	Molao wa motheo wa Afrika Borwa
South African Council of Churches	Mokgatlo wa Dikereke tsa Afrika Borwa
South African Defence Force	Sesole sa Afrika Borwa
South African Human Rights Commission	Khomishene ya Ditokelo tsa Botho ya Afrika Borwa
South African Local Government Association	SALGA
South African National Civic Organisation	Mokgatlo wa Setjhaba wa Kahisano
South African National Defence Force	Ssole sa Naha sa Afrika Borwa
South African National Parks	Dirapa tsa Setjhaba tsa Afrika Borwa
South African Native National Congress	South African Native National Congress
South African Police	Sepolesa sa Afrika Borwa
South African Police Service	Tshebeletso ya Sepolesa ya Aforika Borwa
South African Qualifications Authority	South African Qualifications Authority
South African Reserve Bank	Banka ya Resefe ya Afrika Borwa
South African Revenue Service	Tshebeletso ya Ditjhelete ya Afrika Borwa
South African Secret Service	Tshebeletso ya Mautlwela ya Afrika Borwa
South African Sugar Association	Mokgatlo wa Tswekere wa Afrika Borwa
South African citizen	moahi wa Aforika Borwa
South African design	Moetso wa Afrika Borwa
South African tea	Teye ya Afrika Borwa
Southern Africa	Afrika e ka Borwa
Southern African Large Telescope	Sebonelahole se selelele sa Afrika Borwa
State Department	Lefapha la Mmuso
State President	Mopresidente wa Mmuso
Statistics South Africa	Dipalopalo tsa Afrika Borwa
Supreme Court	Lekgotla le leholo la dinyewe
The Call of South Africa	Pitso ya Afrika Borwa
The National Qualifications Framework	Moralo wa Mangolo a thuto a Setjhaba
The South African National Council for the Blind	Lekgotla la Difofu la Setjhaba la Afrika Borwa
Truth and Reconciliation Commission	TRC
UN Security Council	Lekgotla la Tshireletso la UN
Union of South Africa	Kopano ya Afrika Borwa
United Christian Democratic Party	United Christian Democratic Party
United Democratic Front	United Democratic Front
United Democratic Movement	United Democratic Movement
United Nations	Dinaha tse Kopaneng
United States of America	Dinaha tse Kopaneng tsa Amerika
Universal Declaration of Human Rights	Phatlalatso e Akaretsang ya Ditokelo tsa Botho
Water Research Commission	Khomishene ya Diphuputso tsa Metsi
West Bank	West Bank
Western Cape	Kapa Bophirimela
Willem Prinsloo Agricultural Museum	Musiamo wa Temo wa Willem Prinsloo
World Health Organisation	Mokgatlo wa tsa Bophelo wa Lefatshe
World Heritage Site	Setsha sa Letlotlo la Lefatshe
World Trade Organisation	Mokgatlo wa Lefatshe wa Kgwebo
World War I	Ntwa ya Pele ya Lefatshe
World War II	Ntwa ya Bobedi ya Lefatshe
World Wildlife Fund	Letlole la Lefatshe la Diphooofolo tse hlaha
abuse of power	tshebediso e mpe ya matla
academic freedom	tokoloho ya thuto
account for	ikarabela bakeng sa
account to	ikarabella ho
accountable for	ikarabella bakeng sa
accounting officer	moofisiri ya ikarabellang
acid mine drainage	Semonya sa morafo wa asete
act of parliament	molao
act of state	ketso ya mmuso
ad hoc	nakwana
ad hoc committee	komiti ya morero
administration of justice	taolo ya toka
administrative action	ketso ya taolo
administrative function	mosebetsi wa taolo
administrative powers	matla a taolo
advancement of technology	tswelliso pele ya thekenoloji
advisory body	mokgatlo wa boeletsi
affirmative action	ketso ya tokiso
against the law	tlolo ya molao
agent of change	mosebeletsi wa diphetoho
air traffic	sephethephethe sa moyeng
air traffic control	taolo ya sephethephethe sa moyeng
all rights reserved	ditokelo tsohle di babaletswe
all the time	ka nako tsohle
annual financial statement	pehelo ya selemo ya ditjhelete
annual general meeting	kopano ya selemo ya kakaretso
annual report	pehelo ya selemo
appoint the cabinet	-kgetha kabinete
appropriate technology	theknoloji e tshwanelehang
area of interest	karolo ya thahasello
area of jurisdiction	sebaka sa taolo
area of land	sebaka sa naha
area of responsibility	karolo ya boikarabelo
armed struggle	boipelaetso bo hlometseng
arts and crafts	bonono le bobetli
arts and crafts market	mmaraka wa tsa bonono le bobetli
arts and culture	bonono le botjhaba
as amended	jwalokaha ho fetotswe
as far as possible	ka moo ho ka kgonehang ka teng
as many as	ka bongata
as soon as possible	ka potlako ka moo ho ka kgonehang
assumption of duty	kamohelo ya mosebetsi
at a meeting	kopanong
at the age of	dilemo tsa
attainment of independence	phumano ya tokoloho
attend a meeting	ho ba teng kopanong
basic human rights	tokelo ya botho ya motheo
basic needs	ditlhoko tsa motheo
basic rights	ditokelo tsa motheo
bear witness to	ho paka
bed and breakfast	boroko le thahameso
bilateral relations	dikamano tsa phapanyetsano
bill of rights	molao wa ditokelo
black power movement	mokgatlo wa matla a batho ba batsho
board of directors	lekgotla la balaodi
board of trustees	lekgotla la baboloki ba matlotlo
body of water	mokgatlo wa metsi
border post	moedi; lediboho
bottom line	qetellong
box office returns	dikgutliswa tsa ofisi ya lebokose
branches of government	makala a mmuso
budget process	tshebetso ya bajete
budget vote	dintlha tsa bajete
build a part	aha karolo
bunch of grapes	seshoba sa morara
bus rapid transit	bopalamelo bo potlakileng ba bese
business community	setjhaba sa kgwebo
business of parliament	tshebetso ya palamente
business sector	mokga wa kgwebo
by means of	ka tshebediso
by the authorities	ke balaodi
by virtue of	ka maemo a
by way of	ka mokgwa wa
by word of mouth	ka puo ya molomo
call centre operator	molaodi wa taolo ya mehala
call for nominations	letsa bakeng sa dikgetho
capacity building	kaho ya bokgoni
capital city	motsemoholo
central government	mmuso wa bohareng
certify a bill	nnetefatsa molato  
chamber of commerce	lekgotla la kgwebo
change of address	phetoho ya aterese
change of course	phetoho ya thuto
changes over time	diphetoho tsa nako e itseng
changing society	setjhaba se fetohang
checks and balances	tekanyo ya maemo
chief executive	mophethahatsi e moholo
chief whip	sephadi se  seholo
child abuse	tlhekefetso ya ngwana
child rearing practices	mesebetsi ya kgodiso ya ngwana
children of Africa	bana ba Afrika
city centre	bohare ba motsemoholo
civil rights	ditokelo tsa setjhaba
civil rights movement	mokgatlo wa ditokelo tsa baahi
civil service	tshebeletso ya setjhaba
civil society	mokgatlo wa setjhaba
civil war	ntwa ya setjhaba
coat of arms	Kola / sefoka
code of conduct	molawana wa boitshwaro
code of ethics	melao ya boitshwaro
collection of data	pokello ya ditaba
collective responsibility	boikarabelo ba kopanelo ka bongata
colonial power	matla a bokolone
colonial rule	molao wa bokolone
come into force	ho matlafala
come to the point	ho tsepama hodima ntlha ya bohlokwa
committee meeting	kopano ya komiti
common interest	thahasello e tshwanang
community building	kaho ya setjhaba
community development	ntshetsopele ya setjhaba
community involvement	kameho ya setjhaba
community participation	ho ba le seabo ha setjhaba
community police forum	moifo wa sepolesa sa setjhaba
community service	tshebeletso ya setjhaba
conclude an agreement	qetella tumellano
conditions of contract	maemo a kontraka / selekane
conditions of service	maemo a tshebeletso
conflict of interest	kgohlano ya maikutlo
conflict prevention	thibelo ya kgohlano
conflict resolution	tharollo ya kgohlano
constitutional democracy	demokrasi ya molao wa motheo
constitutional mandate	taelo ya molao wa motheo
constitutional state	puso ya molao wa motheo
contempt of parliament	nyediso ya palamente
convene a meeting	bitsa kopano
cooperation agreement	tumellano ya tshebedisanommoho
course of action	tswelopele ya ketso
cultural change	phetoho ya moetlo
cultural community	setjhaba sa moetlo
cultural diversity	phapano ya meetlo
cultural goods	dintho tsa moetlo
cultural heritage	letlotlo la moetlo
cultural revolution	phetolo ya moetlo
culture of human rights	moetlo wa ditokelo tsa botho
current affairs	ditaba tsa nako ya hona jwale
customary law	molao wa moetlo
customs and excise	Ditlwaelo le phethahatso
cutting edge	pulamadiboho; setlabotjha
data collection	pokello ya dintlha
date of birth	letsatsi la tlhaho
decent living	bophelo bo hlomphehang
deciduous fruit industry	indasteri ya ditholwana tse lero
defence force	sesole sa tshireletso
degree of freedom	kgato ya tokoloho
delegated legislation	molao o abilweng
demand and supply	tlhoko le phepelo
democratic culture	moetlo wa demokrasi
democratic election	dikgetho tsa demokrasi
democratic political order	taelo ya sepolotiki ya demokrasi
democratic principle	leano la demokrasi
democratic society	setjhaba sa demokrasi
democratic state	mmuso wa demokrasi
democratic transformation	diphetoho tsa demokrasi
democratic values	makgabane a demokrasi
deputy minister	motlatsi wa letona
deputy president	motlatsi wa mopresidente
dereliction of duty	tlohelo ya mosebetsi
developing country	naha e tswelang pele
development initiatives	mekutu ya ntshetsopele
development process	tshebetso ya ntshetsopele
development programme	lenaneo la ntshetsopele
development strategy	mokgwa wa ntshetsopele
diplomatic corps	sesole sa diplomatiki
diplomatic relations	dikamano tsa diplomatiki
direct support	tshehetso e otlolohileng
director general	molaodikakaretso
disaster management	taolo ya koduwa
disciplinary action	ketso ya kahlolo
discussion document	tokomane ya dipuisano
dispossession of land	kgapo ya naha
distribution capacity	bokgoni ba kabo
distribution of resources	kabo ya matlotlo
distribution of wealth	kabo ya letlotlo
district municipality	masepala wa lebatowa
diverse society	setjhaba se fapaneng
diversity of people	phapano ya batho
divide and rule	puso ka boarodi
domain name authority	bolaodi ba lebitso le leholo
down for discussion	taba ya puisano
draft bill	bili ya nakwana
draft bill	tokomane ya pele ya molao
draft legislation	molao wa pele wa nakwana
early warning	tlhokomelo e potlakileng
early warning system	tshebetso ya tlhokomediso ya pele
ease of access	pebofatso ya ho kena
economic empowerment	matlafatso ya kgwebo
economic growth	kgolo ya kgwebo
economic impact	sekgahla sa kgwebo
economic relations	dikamano tsa kgwebo
economic sector	mokga wa kgwebo
economic strength	matla a kgwebo
effective public service	tshebeletso e hlwahlwa ya setjhaba
election period	nako ya dikgetho
election process	tshebetso ya dikgetho
election results	diphetho tsa dikgetho
enabling environment	tikoloho e kgothaletsang
entitled to vote	dumeletswe ho vouta
environmental impact	sekgahla sa tikoloho
environmental impact assessment	tekolo ya sekgahla sa tikoloho
equal opportunities	menyetla e lekanang
equality before the law	tekano ka pele ho molao
every three years	dilemo tse ding le tse ding tse  tharo
executive action	ketso ya phethahatso
executive authority	bolaodi ba phethahatso
executive organs of state	dikarolo tsa phethahatso 
explanatory memorandum	memorandamo wa ditlhaloso
fair election	dikgetho tse hlokang leeme
fall in love	-ratana
fauna and flora	diphedi le dipalesa
field of study	tikoloho ya thuto
fill a vacancy	tlatsa sekgeo
financial year	selemo sa ditjhelete
fiscal discipline	taolo ya tsa ditjhelete
five hundred and six	makgolo a mahlano le metso e tsheletseng
floor of the House	ditulo tsa Ditho
follow up	tatello
food security	tshireletso ya dijo
forced labour	mosebetsi wa qobello
fore and aft	pele le morao
fore and after	pele le morao
foreign direct investment	letsete le otlolohileng la boditjhaba
foreign exchange	tjhelete ya matjhaba
foreign policy	leano la matjhaba
free and fair election	dikgetho tse lokolohileng
free of charge	ka ntle ho tefo
free society	setjhaba se lokolohileng
freedom fighter	molwanedi wa tokoloho
freedom of association	bolokolohi ba boikamanyo
freedom of conscience	tokoloho ya monahano
freedom of expression	tokoloho ya boipolelo
freedom of movement	tokoloho ya motsamao
freedom of religion	tokoloho ya bodumedi
freedom of scientific research	tokoloho ya diphuputso tsa mahlale
freedom of speech	tokoloho ya puo
freedom of the press	tokoloho ya kgatiso
from the front	ho tswa ka pele
full supply level	boemo bo feletseng ba phepelo
functional area	karolo ya tshebetso
fundamental human rights	ditokelo tsa botho tsa motheo
fundamental rights	ditokelo tsa motheo
future research	diphuputso tsa nako e tlang
gender equality	tekano ya bong
gender inequality	ho hloka tekano ha bong
gender violence	dikgoka tsa bong
general election	dikgetho tse akaretsang
get away with	ho tsamaya ka
give evidence	fana ka bopaki
global development	ntshetsopele ya kakaretso ya lefatshe
global economy	kgwebo ya lefatshe lohle
global village	motsana o akaretsang hohle
go on for	ho ya ka
goods and services	dintho le ditshebeletso
governing party	mokga o busang
government action	ketso ya mmuso
government authority	bolaodi ba mmuso
government by the people	mmuso ka batho
government department	Lefapha la Mmuso
government funding	letlole la mmuso
government level	boemo ba mmuso
government of the day	mmuso wa kajeno
government policy	leano la mmuso
government sector	mokga wa mmuso
government services	ditshebeletso tsa mmuso
governmental organisation	mokgatlo wa mmuso
grassroots level	boemo ba setjhaba
gross domestic product	kuno ya naha
guard of honour	mokoloko wa tlotlo
guilty of contempt	molato wa ho se tsotelle
half a million	halofo ya miliyone
have a vote	vouta
head of government	hlooho ya mmuso
head of office	hlooho kapa mookamedi wa ofisi
health care	tlhokomelo ya bophelo bo botle
hierarchy of authority	tatelano ya bophahamo ba bolaodi
historically disadvantaged	ba hlokileng tlhokomelo e ntle nakong e fetileng
hold a meeting	ho tshwara kopano
hold office	ho laola ofisi
honorary citizenship	tlotlo ya boahi
honours and awards	tlotlo le dikgau
host country	naha e amohelang baeti
host nation	setjhaba se amohelang baeti
house of assembly	ntlo ya pokano
houses of parliament	matlo a palamente
human development	ntshetsopele ya botho
human dignity	seriti sa botho
human nature	tlhaho ya botho
human race	morabe wa batho
human resource	mohlodi wa botho
human resource development	ntshetsopele ya basebetsi
human rights	ditokelo tsa botho
human rights abuse	tshebediso e mpe ya ditokelo tsa botho
human rights activist	mokgothaletsi wa ditokelo tsa botho
human rights violation	tlolo ya ditokelo tsa botho
human security	tshireletso ya batho
imbalances of the past	ho se lekane ha nako e fetileng
immediate past president	mopresidente wa nakwana e sa tswa feta
in accordance with	ho ikamahanya le
in accordance with the rules	ho ikamahanya le melao
in addition to	ho eketsa
in an acting capacity	boemong ba botshwaredi
in any way	ka mokgwa ofe kapa ofe
in case of	haeba
in celebration of	bakeng sa ho keteka
in compliance with	ho ikobela
in connection with	mabapi le
in consultation with	ka ho tsebisa
in excess of	ho feta
in favour of	ho kgetha
in front of	ka pela
in good faith	ka tshepo e tiileng
in office	mosebetsing; ka ofising
in so far	ho ya ka
in spite of	le ka ntle ho
in support of	ka tshehetso ya
in terms of	malebana le
in the balance	ka masalla
in the course of	kgabareng
in the evening	ka phirimana
in the event of	ketsahalong ya
in the field of	maemong a
in the gap	sekgeong sa 
in the interim	maemong a nakwana
in the lead	boetapeleng ba
in the long term	ka nako e telele
in the majority	ka bongata
in the morning	hoseng
in the name of	ka lebitso la
in the picture	setshwantshong
in the region of	lebatoweng la
in the white	bosweung
inaugural address	puo ya kgakolo
inaugural meeting	kopano ya kgakolo
income tax	lekgetho la lekeno
indigenous culture	moetlo wa setso
indigenous language	puo ya setso
indigenous people	batho ba setso
industrial society	setjhaba sa indasteri
infant mortality rate	sekgahla sa ho hlokahala ha masea
information retrieval	dintlha
information retrieval	phihlello ya ditaba
information retrieval system	tshebetso ya phihlello ya ditaba
inner city	bohare ba motsemoholo
inspector of mines	mohlahlobi wa merafo
intellectual property rights	ditokelo tsa thepa ya kelello
intergovernmental relations	dikamano tsa mebuso e mmedi
interim constitution	molao wa motheo wa nakwana
international affairs	ditaba tsa matjhaba
international community	setjhaba sa matjhaba
international humanitarian law	molao wa botho wa matjhaba
international olympic committee	komiti ya matjhaba ya diolimpiki
international relations	dikamano tsa matjhaba
interrupt the proceedings	ho sitisa tshebetso
investment of capital	letsete la kapitale
job creation	theho ya mosebetsi
joint committee	komiti e kopaneng
joint meeting	kopano e kopaneng
joint responsibility	boikarabelo ba kopanelo
joint rules committee	komiti ya melao e kopaneng
joint sitting	kapono ya kopanelo
judicial authority	bolaodi ba molao
keep in mind	ho boloka monahanong
keep up to date	ho beha maemong a tshwanelehang a jwale
key performance area	karolo ya motheo ya tshebetso
labour force	basebetsi
labour intensive	sekgahla sa mosebetsi
labour market	mmaraka
lack of energy	tlhoko ya matla
land ownership	borui ba naha
land reform	tlhabollo ya naha
land restitution	kabo ya naha
land rights	ditokelo tsa naha
language policy	leano la puo
language practice	tshebediso ya puo
language rights	ditokelo tsa puo
law enforcement	taelo ya molao
lay a charge	ho qosa
leader of the opposition	moetapele wa bohanyetsi
learning process	tshebetso ya ho ithuta
least of all	e fokolang ho tsohle
legacy of apartheid	nalane ya kgethollo
legal deposit library	laeborari ya tsa molao
legislative authority	bolaodi ba molao
legislative function	tshebetso ya molao
legislative power	matla a molao
legislative powers	matla o molao
legislative process	tshebetso ya molao
level of government	boemo ba mmuso
level of service	boemo ba tshebeletso
levels of development	maemo a tswelopele
liberation movement	mokgatlo wa tokoloho
liberation struggle	boitseko ba tokoloho
limited access	fokoditsweng
limited access	phihlello e lekanyeditsweng
lingua franca	lingua franca
list of members	lenane la ditho
local government	mmuso wa lehae
local government level	boemo ba mmuso wa lehae
local government sector	mokga wa mmuso wa lehae
local municipality	masepala wa lehae
local sphere of government	karolo ya lehae ya mmuso
mainstream economy	kgwebo ya bongata
majority of votes	bongata ba divoutu
majority party	mokga  wa bongata
make a mark	etsa letshwao
make a statement	etsa pehelo
make an effort	leka
management review	tekolobotjha ya bolaodi
manner of speaking	mokgwa wa ho bua
marine living resources	mehlodi ya diphedi tsa mawatle
market economy	kgwebo ya mmaraka
mass mobilisation	tswelopele ya bongata
master of ceremonies	molaodi wa dipuisano
matter of public importance	taba e hlokolotsi ya setjhaba
matter of urgency	taba ya bohlokwa
means of communication	mokgwa wa dikamano
means of transport	mokgwa wa ho tsamaya
member of the council	setho sa lekgotla
member states of the UN	dinaha tseo e leng ditho tsa UN
memorandum of understanding	memorandamo wa kutlwisiso
metropolitan area	karolo ya metropolitan
