APRIL	MMESA; 
Methodist	Wesele; 
Monday	Mantaha; 
Moses	Moshe; 
Mourns	 Hlonama; llela; 
Mozambique	Mozambiki; 
Mr	Mohl.; 
Mrs	Mafum.; 
NB	Hlokomela; 
NOVEMBER	PUDUNGWANA; 
Natal	Natala; 
Nigerian	Moahi wa Nigeria; 
November	Pudungwana; 
OCTOBER	MPHALANE; 
October	Mphalane; 
Offender's	ya motshwaruwa;  Ya motlodi wa molao; 
Olympic	Olimpiki; 
Olympics	Diolimpiki; 
Parliament's	ya palamente; 
Postpones	dikopo tsa phetolo ya letsatsi; 
Presidency	Ofisi ya Presidente; 
President's	ya Presidente; 
Prince	Kgosana; 
Protector	Motshireletsi; 
RSVP	Beheletsa (RSVP); 
Registrar	Mongodisi; 
Rejoice	Thabo; 
Russia	Rashea; 
Russian	Morashea; 
SA	SA (Afrika Borwa); 
SEPTEMBER	LWETSE; 
Saturday	Moqebelo; 
Secretariat	Bongodi; 
Secretaries	Bangodi; 
Secretaries-General	Bangodi-kakaretso; 
Self-Governance	Mmuso o ipusang; 
September	Loetse; 
Skip	Tlola; 
Sunday	Sontaha; 
Surname	Sefane; 
Switchboard	Boto ya dikgokahanyo;  bolaoding ba mehala; 
TUESDAY	LABOBEDI; 
TV	Thelevishene; 
Thursday	Labone; 
Tuesday	Labobedi; 
Unsubscribe	ho se ingodisetse; 
WEDNESDAY	LABORARO; 
Williams	Bo-William; 
Xhosa	 Sexhoza; Isi-Xhosa; 
Zimbabwean	Moahi wa Zimbabwe; 
Zulu	Mozulu; 
ability	bokgoni; 
able	kgona; 
about	 malebana le; ka;  mabapi le; 
above	ka hodima; 
above-mentioned	tsebisitsweng;  tsebahaditsweng;  boletsweng ka hodimo; 
abroad	mose; 
absence	bosiyo; 
abuse	 -sebedisa hampe;  ho hlekefetsa; tlhekefetso; 
abused	 -sebedisa hampe;  ho hlekefetsa; tlhekefetso;  ho sebedisa hampe; 
academia	thuto;  borutehi; akhademiya; 
academic	borutehi;  ya thuto; 
academics	 tsa thuto; barutehi; 
academies	 diakhademi; tsa borutehi; 
academy	akhademi;  tsa borutehi; 
accelerate	akofisa; 
accelerated	akofisitse; 
accelerating	 akofisang; akofisa; 
acceleration	potlakiso; 
accept	 -amohela; amohela; 
acceptable	amoheleha; 
acceptance	 kamohelo;  kananelo; tumello; 
accepted	amohetse; 
accepting	amohelang; 
access	fihlella; 
accessed	fihlella; phihlello; 
accessibility	phihlello; katleho; 
accessible	fihlelleha; 
accession	phihlello; katleho; 
accident	kotsi; 
accidents	kotsi; 
acclaim	ho ipelaetsa;  ho qosa; 
acclaimed	ipelaeditse; qositse; 
accommodate	amohela;  bopella;  akaretsa;  kenyeletsa; 
accommodated	 amohetswe; bopeletswe; kenyeleditswe;  akareditswe; 
accommodation	bodulo; 
accompanied	bile teng; tsheheditse;  feleheditse; 
accompany	 -ba teng; -tshehetsa;  ho felehetsa; 
accomplish	phetha; 
accomplished	phethile;  fihleletse; 
accord	tumellano;  selekane;  setlamo; 
accordance	tumellano; 
accorded	 entse selekane;  entse setlamo; dumellane; 
according	ho ya ka; 
accordingly	ka ho ya ka; 
account	 tshupaletlotlo;  tshupamolato; akhaonte; 
accountability	boikarabelo; 
accountable	-ikarabelang; 
accountant	akhaontente;  raditjhelete; 
accountants	akhaontente;  raditjhelete; 
accounted	 tshupaletlotlo;  tshupamolato; akhaonte;  akhaonto; 
accounting	 tshebetso ya tsa ditjhelete; tshupaletlotlo; 
accounts	ditshupaletlotlo;  ditshupamolato; diakhaonto; 
accreditation	 tumello;  kamohelo;  kananelo; tokelo; 
accredited	 ananetswe; amohetswe;  filwe tokelo;  dumelletswe; 
accruals	dikeketso; 
accrue	-sebediseha; 
accrued	-sebediseha; 
accumulate	bokella; 
accumulated	bokella; 
accuracy	 ho nepahala.;  nepo; nepahalo; 
accurate	 nepahetse; nepahetseng; 
accused	moqosuwa; 
achieve	fihlella;  -atleha; 
achieved	atlehile;  fihleletse; 
achievement	-katleho; 
achievements	 diphihlello; dikatleho; 
achieving	 atlehang; fihlellang; 
acknowledge	dumela; 
acknowledged	 dumetse; dumela; 
acknowledges	 dumetse; dumela; 
acquire	fumana;  -fumana; 
acquired	fumane; 
acquisition	phihlello; theko;  phumano; 
act	molao;  etsisa;  -bapala; 
acted	etsisitse; molao;  entse;  bapetse; 
acting	-bapala; 
action	diketso; 
actions	diketso; 
active	matjato; 
actively	 ka matjato; ka mahlahahlaha; ka mafolofolo; 
activism	 matjato; mafolofolo; mahlahahlaha; 
activist	moitseki; 
activists	baitseki; 
activities	mesebetsi; 
activity	mosebetsi; 
actor	sebapadi; 
actors	dibapadi; 
actress	sebapadi; 
acts	 etsisa;  -bapala; melao;  bapala;  diketso; 
actually	 ruri;  hantlentle; bonnete; 
ad-hoc	nakwana; mokobobo; 
adaptation	ho tlwaela; 
add	eketsa; 
added	ekeditse;  kopantse; 
adding	kopanyang;  eketsang; 
additional	- ekeditsweng; 
address	aterese; 
addressed	aterese; 
addresses	diaterese; 
addressing	aterese; 
adds	eketsa; kopanya; 
adequately	 ka hohle;  ka ho phethahala; ka botlalo; 
adhere	-mamela ditaelo; 
adherence	ho mamela ditaelo; 
adjudication	tlhahlobo;  tekolo; 
adjustment	ho itlwaetsa; 
adjustments	ho itlwaetsa; 
administer	tsamaisa;  ho laola; 
administered	tsamaisa;  ho laola; 
administering	 laolang; tsamaisa;  ho laola; 
administration	 taolo; tsamaiso; 
administrations	 taolo; tsamaiso; 
administrative	 ya tsamaiso;  ya taolo; ya bookamedi; 
administrator	motsamaisi; 
administrators	batsamaisi;  balaodi; 
admissible	amohelehile; laoleha; 
admission	 kamohelo; tumello; 
admit	ho dumella; 
admitted	ho dumella; 
adopt	ho inkela; amohela;  akaretsa;  kenyeletsa; 
adopted	kenyeleditse;  amohetse;  akareditse;  inketse; 
adopting	 kenyeletsang;  ho inkela;  amohelang; akaretsang; 
adoption	kakaretso;  kenyeletso; kamohelo; 
adoptive	ya kenyeletso; ya kakaretso;  ya kamohelo; 
adopts	amohela;  ho inkela;  akaretsa;  kenyeletsa; 
adult	 motho e moholo; moholo; 
adults	baholo;  batho ba baholo; 
advance	 -tswella; tswelopele; 
advancement	 katleho; phihlello; tswelopele; 
advances	-tswella;  ditswelopele; 
advancing	tswela pele;  -tswella; 
advantage	molemo; 
advantages	molemo; 
advent	tswelopele; 
adverse	ferekane; 
adversely	 ka pherekano; hampe; 
adversity	bothata;  moferefere; 
advertise	bapatsa;  -bapatsa; 
advertised	bapaditse; 
advertisement	papatso; 
advertising	ho bapatsa; 
advice	keletso; 
advise	 hlalefisa; fahlolla;  eletsa; eletsa; 
advised	 hlalefisitse;  eleditse; fahlolotse; eleditse; 
adviser	moeletsi;  moeletsi; mofahlolli; 
advisers	 baeletsi;  bafahlolli; baeletsi; bahlalefisi; 
advisor	moeletsi;  moeletsi; mofahlolli; 
advisors	 baeletsi; Bahlalefisi;  bafahlolli; baeletsi; 
advocacy	thuto; 
advocate	 buella; mmuelli; 
advocates	 buella; babuelli; 
affected	-ameha; 
affecting	amang; 
affects	ama; 
affidavit	boikano; 
affirm	dumela; 
affirmation	tiisetso; 
affirming	dumelang; 
afford	kgona; 
affordable	kgoneha; 
afforded	kgonne; 
aforementioned	boletsweng pele; 
aforesaid	boletsweng pele; 
after	ka mora; 
afternoon	thapama; 
again	hape; 
against	kgahlano; 
age	dilemo;  ho hola;  dilemo tsa kgolo; 
aged	hodile;  tsofetse; 
agencies	boemedi;  kemedi; 
agency	kgwebo;  kemedi;  boemedi; 
agenda	ajenda; 
agent	sefetodi; 
agents	difetodi;  bakgothaletsi; 
ages	 dilemo; dilemo;  ho hola; 
ago	kgale; 
agreement	tumellano; 
agreements	ditumellano; 
agricultural	temothuo; ya temo; 
agriculture	 temothuo; temo; 
ahead	ka pele; 
aid	 thuso; thusa; 
aids	thusa;  dithuso; 
aim	 tobisa;  -korola; maikemisetso; 
aimed	 tobisa;  korola; maikemisetso;  ikemiseditse; 
aims	 tobisa;  -korola; maikemisetso; 
air	sebakeng;  moya;  ho aneha; 
aircraft	sefofane; 
airport	boemafofane;  difofaneng; 
airports	boemafofane;  difofaneng; 
albeit	leha; 
alcohol	tahi; 
alert	 -fadimeha; ho phaphama; 
alia	hara tse ding; 
align	tsepamisa; 
aligned	tsepamisa; 
alignment	ho tsepamisa; 
alike	ka ho tshwana; 
all	kaofela; 
allegation	monyenyetsi;  tshebo; 
allegations	menyenyetsi;  ditshebo; 
allegedly	seba;  etsa monyenyetsi; 
alleviate	 fedisa;  theola; fokotsa; 
alleviation	phediso;  phokotso;  theolo; 
alliance	mahatammoho;  boipapiso; 
allocate	aba;  -aba; 
allocated	abile;  -aba; 
allocation	kabo; 
allocations	dikabo; 
allow	 dumella; lokolla; dumela;  amohela; 
allowance	setlatsamoputso; 
allowances	setlatsamoputso; 
allowed	 dumetse; amohetse;  dumeletse;  lokolotse; 
allowing	 lokollang; amohelang;  dumelang; 
allows	 dumella; lokolla; dumela;  amohela; 
almost	ekaba;  haufi le; 
alone	 o mong; o nnosi; 
along	mabapa;  haufi le; 
alongside	bapana le; mabapa le; 
already	ho se ho etsahetse; 
also	hape; 
alter	fetola; 
alternate	fapanyetsana; 
alternative	fapaneng; 
although	leha; 
always	kamehla; 
am	hoseng (hs); 
ambassador	lenqosa; 
ambassadors	manqosa; 
ambient	maikutlo; 
ambit	lehafi; 
amend	fetola; 
amended	fetotse; 
amending	fetolang; 
amendment	 phetolo; tokiso; 
amendments	ditokiso;  diphetolo; 
amends	fetola; 
ammunition	dibetsa; 
amnesty	tshwarelo; 
among	hara tse ding; 
amongst	hara tse ding; 
amount	bokalo; 
amounted	bokalo; 
amounting	bokalo; 
amounts	bokalo; 
analogue	analoko; 
analyse	hlahlobisisa; 
analysed	hlahlobisisa; 
analysing	hlahlobisisa; 
ancestor	badimo; 
ancestors	badimo; 
ancient	 maswetso;  tsa maswetso; boholoholo; 
and	le; 
animal	 sebata; phoofolo; 
animals	 dibata; diphoofolo; 
annex	hapa; 
annexure	tlatsetso; seqhwaello;  sehokelo;  sehlomathiso;  tlhakisetso; 
anniversary	selemo; 
announce	tsebisa; 
announced	tsebisitse; 
announcement	tsebiso; 
announcements	ditsebiso; 
announces	tsebisa; 
annual	selemo le selemo; 
annually	ka selemo le selemo; 
annum	ka selemo le selemo; 
another	e nngwe; 
answer	karabo; 
answers	dikarabo; 
antenatal	 pele ho peleho; boimana; 
anthem	pina ya setjhaba; 
anti-apartheid	kgahlano le kgethollo; 
anti-corruption	 twantsho ya bobodu; thibelo ya bobodu; 
anti-pass	twantsho ya dipasa; 
anticipated	lebeletse; 
any	e nngwe le e nngwe; 
anyone	e mong le e mong; 
anything	 ntho efe kapa efe; eng kapa eng; 
apartheid	kgethollo; 
appeal	boipiletso;  ho ipiletsa; 
appealed	boipiletso;  ho ipiletsa; 
appeals	boipiletso;  ho ipiletsa; 
appear	 bonahala; hlaha; hlahella; 
appearance	tjhebahalo;  -iponahatsa; 
appeared	 bonahetse; hlahile;  hlahelletse; 
appearing	 bonahalang;  hlahellang; hlahang; 
appears	 bonahala; hlaha; hlahella; 
appellant	moipiletsi; 
appendix	lelana; 
applaud	babatsa; 
applause	ho opa matsoho; 
applicable	sebetsa; 
application	 lenaneo la khompyutha;  lenaneo la khompyuta;  kopo; tshebediso;  tshebediso {molao}; 
applications	 mananeo a khomphutha;  diphethahatso tsa molao; lenaneo la khomphutha; dikopo;  tshebediso {molao};  ditshebediso; 
applies	ho kopa; 
apply	ho kopa; 
applying	kopang; 
appointed	amohetswe; 
appointing	 ho bea; beang; 
appointments	 dikamohelo; ditlhophiso; 
appoints	ho amohela; 
appreciate	 -ananela; ananela; 
appreciated	 -ananela; ananetse; 
appreciates	 -ananela; ananela; 
appreciation	kananelo; 
approach	mokgwa wa ho; 
approached	atamela;  atametse; mokgwa wa ho; 
approaches	atamela; mokgwa wa ho; 
appropriate	tshwanela;  tshwanelang; 
appropriated	tshwanetse;  tshwanelang;  tshwanela; 
appropriately	hantle; 
appropriation	kabo; 
appropriations	dikabo; 
approval	tumello; 
approve	dumella; 
approved	dumella; 
approximately	- ka bang;  - ka ba; 
arbitration	bonamodi; 
arbitrator	monamodi; 
architect	moatjhiteke; 
architects	baatjhiteke; 
architectural	ya atjhiteke; 
architecture	thuto ya boahi; 
archival	ya polokelo; 
archives	polokelo; 
area	 erea; sebaka;  boholo ba sebaka; 
areas	dibaka;  boholo ba sebaka; 
argue	 nganga; hanana; 
argued	-pheya kgang;  nganga; hanana; 
argument	 tshetleho;  ngangisano; kgang; 
arguments	 tshetleho;  ngangisano; kgang; dingangisano; 
arise	phahama;  phaphama;  tsoha; 
arises	phahama;  phaphama; hlaphohelwa;  tsoha; 
arising	 phaphamang;  tsohang; phahamang; 
arm	letsoho; 
armed	 ikatetse;  nkile dibetsa; hlometse; 
arms	dihlomo; 
arose	 hlaphohetswe; phahame;  phaphame;  tsohile; 
around	ho potoloha; 
arrange	 hlopha; hlophisa; 
arranged	 hlopha; hlophisa; 
array	letoto; 
arrest	 -tshwara; tshwara; 
arrested	tshwere; 
arrival	ho fihla; 
arrive	fihla;  phomella; 
arrived	fihlile;  phomeletse; 
art	 bokgabo; bonono; 
artefacts	dihlahiswa tsa bonono; 
article	pehelo;  athikele; 
articles	 diathikele; dipehelo; 
articulate	hlahisa;  bua; 
articulated	hlahisitse;  buile; 
artist	seqapi; 
artistic	-kgabisang; 
artists	seqapi; dikgabisi;  dinono; 
arts	bonono; 
artwork	ditshwantsho;  botaki; 
artworks	ditshwantsho;  botaki; 
as	jwaloka; 
ascertain	netefatsa;  netefaletsa; 
aside	 ka thoko;  qatsohile; thokwana; 
ask	botsa; 
asked	botsitse; 
asking	botsa; 
asks	botsa; 
assault	ho otla;  phutuhelo; 
assembly	 lekgotla la ketsamolao;  phutheho; seboka; 
assented	dumeletswe; 
assert	 ho lokodisa; ho tiisa; 
assess	 ho hlahloba;  -lekola; lekola; 
assessed	 ho hlahloba;  -lekola; lekola; 
assesses	 ho hlahloba; lekola; 
assessing	 lekolang;  ho hlahloba; lekola; 
assessment	tekolo; 
assessments	tekolo; 
assessors	mohlahani; 
asset	letlotlo; 
assets	matlotlo; 
assign	laela; 
assigned	laetse; 
assist	thusa; 
assistance	thuso; 
assistant	 mothusi; motlatsi; 
assisted	thusitse; 
assisting	thusang; 
assists	thusa; 
associate	amanya; 
associated	amanya; 
associations	kamanyo; 
assume	 ananela; amohela; 
assumed	amohetse;  ananetse; 
assumptions	 dikgopolo; mehopolo;  menahano; 
assurance	bopaki; netafaletso;  tiiseletso; 
assure	netefatsa;  tiiseletsa;  pakela;  netefaletsa; 
assured	paketse; netefaleditse;  tiiseleditse; 
at	ho;  mane; 
athletics	 ateletiki; diatleletiki; 
atmosphere	atemosefere; 
atmospheric	 atemosefere; moya; 
attach	hokela;  amoha ka molao; 
attached	amohile ka molao; hoketse; 
attachment	poelano; kamano; 
attack	 futuhela; tlhaselo;  ka sefutho;  hlasela; 
attacks	hlasela;  futuhela;  ditlhaselo;  ka sefutho; 
attain	ho fihlella; 
attained	ho fihlella; 
attainment	phihlello; phumano;  ; 
attempt	ho leka;  boitekelo; 
attempted	ho leka;  boitekelo; 
attempts	ho leka;  boitekelo; 
attend	ho ba teng; 
attendance	boteng; 
attended	ho ba teng; 
attending	ho ba teng; 
attention	hloko; 
attitude	maikutlo;  boitshwaro; 
attitudes	maikutlo;  boitshwaro; 
attorney	mmuelli; 
attorneys	 babuelli; mmuelli; 
attract	hohela; 
attracted	hohetse; 
attribute	semelo; 
attributed	semelo; 
au	 se utlwahalang; se fihlellehang; 
auction	fantisi; 
audience	bamamedi; 
audiences	bamamedi; 
audio	kutlwahalo; 
audio-visual	- kutlo le pono; 
audit	 hlakisa; lekola;  bohlakisi; 
audited	 hlakisa; lekola;  bohlakisi; 
auditing	 hlakisa; lekola;  bohlakisi; 
auditor	molekodi;  mohlahlobi wa dibuka; 
auditor-general	Mohlahlobi-kakaretso wa dibuka; 
auditors	 bahlahlobi ba dibuka; molekodi;  mohlahlobi wa dibuka; 
audits	 hlakisa; lekola;  bohlakisi; 
august	phato; 
auspices	taolo; 
authentic	ya nnete; 
author	mongodi; 
authorisation	tumello; 
authorise	dumella; 
authorised	dumeletsweng; 
authorities	 ditsebi;  balaodi;  bolaodi; matla; 
authority	 setsebi;  molaodi;  bolaodi; matla; 
authorization	tumello; 
authorize	dumella; 
authorized	dumelletse; 
authors	bangodi; 
automated	itaolang; 
automatic	boyona; 
availability	phumaneho; 
available	fumanehang; 
average	palohare; 
aviation	tsa bofofisi; 
avoid	 qoba; thibela; 
avoidance	ho qoba; 
awaiting	emela; 
award	kgau; 
awarded	kgau; 
awarding	kgau; 
awards	 kgau; dikgau; 
aware	 -lemoha; boitemohelo; 
awareness	tlhokomediso; 
away	hole; 
babies	 masea; lesea; 
baby	lesea; 
back	 ka morao;  sekotlo; mahetla; 
backdrop	lesira; 
background	tshetleho; 
backgrounds	tshetleho; 
backlog	mosebetsi o salletseng morao; 
backlogs	mosebetsi o salletseng morao; 
bad	mpe; 
bag	mokotla; 
bail	beile; 
bake	 -baka; baka; 
baking	 -baka; bakang; 
balance	tekano;  lekalekanya;  balanse;  sekala; 
balanced	setseng; 
balances	tekano; tekatekano;  lekalekanya;  balanse;  ditekatekano;  sekala; 
ball	bolo; 
band	 bente; lebanta; 
bank	banka;  lebopo; 
banking	tshebetso ya bankeng; 
banks	 dibanka; banka;  lebopo; 
bar	bara;  baa; 
bargain	monyaolo; 
bargaining	monyaolo; 
barrier	tshitiso; 
barriers	ditshitiso; 
base	 palo ya motheo; motheo; 
based	beisi;  radiks;  palo ya motheo; motheo; 
baseline	motheo; 
basic	motheo; 
basics	metheo; 
basis	motheo; 
basket	seroto; 
battle	ntwa; 
bay	kou;  kou ya lewatle; 
be	eba; 
beach	lebopo la lewatle; 
beaches	mabopo a lewatle; 
bear	bere; 
bearer	motshwari; 
bearers	batshwari; 
bearing	bering; 
bears	 bere; dibere; 
beautiful	 tsoteha;  kgahleha; e ntle; 
beauty	botle; 
became	ho ba; 
because	hobane; 
become	ho ba; 
becomes	ho ba; 
becoming	ho ba; 
bed	bethe; 
beds	bethe; 
bee	notshi; 
been	bile; 
beer	jwala;  mothamahane;  biri; 
before	pele; 
began	qadile; 
begin	 simolla; qala; 
beginning	tshimolohong; 
begins	 simolla; qala; 
begun	 simolotse; qadile; 
behalf	lebitsong la; 
behaviour	 temalo; boitshwaro; 
behind	ka mora; 
being	ho ba; 
beings	diphedi; 
belief	kgolo/ho kgolwa; 
beliefs	ditumelo;  kgolo/ho kgolwa; 
believe	 dumela; amohela;  kgolwa; 
believed	dumetse;  kgotswe; 
believes	 dumela; amohela;  kgolwa; 
believing	dumelang; 
belong	rua; 
belonging	ho rua; 
belongs	ho rua; 
beloved	moratuwa; 
below	ka tlase; 
benchmark	molokotwane; 
beneficial	ya bohlokwa; 
benefit	 kotula ja; molemo; 
benefited	 kotula ja; molemo; 
benefits	melemo;  kotula ja; 
best	sediba; 
better	betere; 
between	dipakeng; 
beyond	ka nqane; 
bid	peheletso; 
bidders	 mmeheletsi; babelehetsi; 
bids	peheletso; belehetsa; 
biennale	dilemo tse pedi; 
big	kgolo; 
bigger	kgolo; 
biggest	kgolo; 
bilateral	ka mahlakore bobedi;  ka puisano; 
bill	 tshupamolato; sekoloto;  -romela tshupamolato; 
billion	biliyone; 
bills	 romela tshupamolato;  ditshupamolato;  ditshwantsho tsa molao;  -romela tshupamolato; dikoloto; 
bind	 phethela; tlama; 
binding	mophethelo; 
biological	ya bophelo; 
bird	nonyana; 
birds	nonyana; 
birth	 ho beleha;  peleho; tswalo; 
birthday	letsatsi la tswalo; 
black	botsho; 
blacks	botsho; 
blind	 foufala; foufatsa;  ho foufala; 
block	boloko;  leqhwa; 
blood	madi; 
blue	tala;  bolousele;  bolou; 
board	boto;  lekgotla la patlisiso; 
boards	diboto; 
boasts	ithorisa; 
bodies	 sopho e reberebe;  reberebe ya sopho; mmele; 
bodily	ya mmele; 
body	 reberebe ya sopho; mmele; 
book	buka; 
books	dibuka; 
boom	nala;  sethibelo; 
boost	phahamisa;  hodisa; 
border	 ho mena;  momeno; moedi; 
borders	 ho mena;  momeno; meedi; 
born	 hlahile; hlaha; 
borne	bere; 
borrow	kadima; 
borrowing	kadima; 
botanical	ya dimela; 
both	ka bobedi; 
bottom	 botlase; tlase;  bokatlase; 
bought	reka; 
bound	 phethela; tlama; 
boundaries	meedi; 
boundary	moedi; 
box	lebokose;  ho tebela; 
boy	moshemane; 
boys	bashemane; 
brackets	masakana; 
braille	boreile; 
branch	 aroha; lekala; 
branches	 aroha; makala; 
brand	letshwao; 
brave	ho ba sebete; 
bravery	ho ba sebete; 
breach	borokgo; 
breadth	bophara; 
breakdown	senyeha;  arola; 
breakfast	borakefese;  thahameso;  dijo tsa hoseng; 
breaking	 thuba; ho fetoha ha lentswe; 
bridge	borokgo; 
bridging	borokgo; 
brief	tsebisa; 
briefed	tsebisa; 
briefing	tsebiso; 
briefly	hakgutshwanyane; 
briefs	tsebisa; 
bring	tlisa; 
bringing	tlisang; 
brings	tlisa; 
broad	sephara; 
broad-based	bulehile;  phatlaletse; 
broadband	bulehile;  phatlaletse; 
broadcast	 hasa; kgaso; 
broadcaster	kgaso; 
broadcasters	dikgaso; 
broadcasting	bohasi; 
broaden	phatlalatsa;  hodisa; 
broadening	phatlalatsa;  hodisa; 
broader	sephara; 
broadly	ka bobatsi; 
brochure	bukana; 
brochures	dibukana; dibrotjha; 
bronze	boronse; 
brother	moreso;  moena; 
brothers	moena;  baholwane; more; 
brought	tlisitse; 
brutal	sehloho; 
brutality	sehlooho; 
budget	tekanyetso; 
budgetary	ya bajete;  ya tekanyetso; 
budgeted	 lekanyetsa; ditekanyetso;  bujete; tekanyetso; 
budgeting	 lekanyetsa; ditekanyetso;  bujete; tekanyetso; 
budgets	lekanyetsa; ditekanyetso;  ditekanyetso/dibajete; 
buffalo	nare; 
build	 ho haha; aha; 
build-up	ahilweng; 
building	moaho; 
buildings	moaho; 
built	 ho haha;  ahile; aha; 
bureau	biro; 
buried	epela; 
burning	tjhesang; 
bursaries	dibasari; 
bursary	basari; 
bury	epela; 
bus	bese; 
business	kgwebo; 
businesses	dikgwebo; 
but	empa; 
buy	reka; 
by	ka; 
cabinet	kabinete; 
calculate	sebetsa; 
calculated	sebetsa;  sebeditse; 
calculating	sebetsa;  sebetsang; 
calculation	tshebetso; 
calendar	 almanaka; khalendara; 
call	kholo; bitsa; 
called	bitsitse; 
calling	pitso; 
calls	bitsa; 
came	tlile; 
camp	kampo; 
campaign	letsholo;  thaotha; 
campaigns	matsholo;  thaotha; 
camps	kampa; dikampo;  dikampo; 
campus	khempase; 
campuses	dikhempase; 
can	 boloka kotikoting; kotikoti;  kane; 
can't	 a ke ke; nkeke; 
cancellation	 tlhakolo; phediso; 
cancer	 mofetshe; kankere; 
candidate	 mohlahlojwa; nkgetheng; 
candidates	bonkgetheng;  bahlahlobuwa; 
cannot	nkeke; 
cap	tlotlo; 
capabilities	bokgoni; 
capability	bokgoni; 
capable	kgona; 
capacities	methamo; 
capacity	mothamo; 
capacity-building	kaho ya bokgoni; 
capita	ya tjhelete; 
capital	letlotlo;  motsemoholo; 
caps	kepesi; tlotlo; 
capture	hatisa;  -hapa; 
captured	hatisa;  -hapa; 
captures	 hatisa;  -hapa; hapa; 
car	koloi; 
carbon	khabone; 
card	karete; 
cards	dikarete; 
care	tlhokomelo;  ho hlokomela; 
career	mosebetsi;  boiphediso; 
careers	mesebetsi;  boiphediso; 
careful	ka hloko; 
carefully	ka tlhokomelo; 
cargo	 morwalo wa sekepe; thoto; 
caring	tlhokomelo;  ho hlokomela; 
carpet	 mmata;  khapete; tapeiti; 
carried	nkile; 
carries	nka; 
carry	nka; 
cash	kontane; 
cast	lahla; 
catalogue	 khathaloko; khathaluku; 
catalyst	khathalisti; 
catch	tshwara; 
categories	 mokgahlelo; dihlopha; sehlopha;  mekgahlelo; 
category	 mokgahlelo; sehlopha; 
cater	 sebeletsa; hlokomela; 
catering	tlhokomelo; phomososetso; 
cattle	dikgomo; 
caucus	khokhase; 
cause	 sesosa; lebaka; 
caused	sesosa;  bakile; 
causes	 sesosa; lebaka; 
causing	 sesosa; lebaka; 
cave	lehaha; 
caves	 mahaha; lehaha; 
cease	 emisa; thibela; 
ceases	 emisa; thibela; 
celebrate	keteka;  -keteka; 
celebrated	ketekile; 
celebrates	keteka; 
celebrating	keteka;  -ketekang; 
celebration	mokete; 
celebrations	mekete; 
cell	 sele ya beteri; sele; 
cells	 sele ya beteri; sele; 
cellular	selula; 
census	 palo ya batho; palo ya setjhaba; 
censuses	palo ya batho;  palo ya setjhaba; 
cent	sente; 
centenary	ngwahaketekgolo; 
center	setsi;  kopanelong;  bohare; 
central	hare; 
centre	setsi;  kopanelong;  bohare; 
centres	 kopanelong; ditsi;  bohare; 
centuries	 lemo tse lekgolo;  palo ya lekgolo; mengwahakgolo; 
century	 lemo tse lekgolo;  palo ya lekgolo; mongwahakgolo; 
ceremonies	mokete; 
ceremony	mokete; 
certainly	ka nnete;  ka tiiso; 
certainty	bonnete; 
certificate	setifikeiti;  setefikeiti; 
certificates	disetefikeiti; disetifikeiti; 
certification	bopaki; 
cession	kemiso; 
chain	ketane;  tjheine; 
chair	setulo; 
chaired	setulo; 
chairman	modulasetulo; 
