APRIL	DZIVAMISOKO; 
authorisation	mpfumelelo; 
authorise	pfumelela; 
authorised	-pfumeleriwa; 
authorities	vulawuri;  valawuri; 
authority	mfumo;  vulawuri;  matimba;  mutivi; 
authorization	mpfumelelo; 
authorize	pfumelela; 
authorized	pfumelerile; 
authors	vatsari; 
automated	hundzuriwile ku va xi lawuriwa hi muchini; 
automatic	xitiendlisi; 
automatically	hi ku tiendlisa; 
availability	vukona;  ku kumeka; 
available	kumeka; 
avenue	xitaratana; 
avenues	switaratana; 
average	avhareji;  -avhareji;  nhlayo-xikarhi; 
aviation	vuhahi; 
avoid	sivela;  papalata; 
avoidance	ku papalatiwa; mpapalato; 
awaiting	yimela; 
award	sagwadi; 
awarded	nyikile sagwati; 
awarding	nyika sagwati; 
awards	masagwati; 
aware	-tiva; 
awareness	vutivi; 
away	ekule; 
babies	tincece; 
baby	n'wana; 
back	ndzhaku;  xikonokono;  ndzhaku ka ririmi;  ripambati; 
backdrop	vundzhaku; swiyimo leswi swin'wana swi humelelaka eka swona; 
background	vuyimelo; 
backgrounds	vundzhaku; 
backlog	leswi saleleke endzhaku; 
backlogs	leswi saleleke endzhaku; 
bad	biha;  homboloka; 
bag	nkwama; 
bail	beyili; 
bake	baka; 
baking	baka; 
balance	ringanisa;  ndzinganiso;  ringananisa;  nsalo;  xiringanisi;  ndzingananiso; 
balanced	ringanisiwile; 
balances	ringanisa;  ringananisa;  misalo; miringananiso;  timali leti nga kona; 
ball	bolo;  nkondzo; 
band	banti;  bende; 
bank	bangi;  banki;  ribuwa; 
banking	 bindzu ro banga; hlohlela; 
banks	tibangi;  banga; tibuwa; 
baobab	ximuwu; 
bar	bara;  mezhara;  dingu; 
bargain	bukuta; 
bargaining	bukuta; 
barrier	rihika; 
barriers	tihika; 
base	tshaku;  xidzungisi;  xikatsa;  beyisi; 
based	kumeka;  tshamile;  simekiweke;  hi ku ya hi; 
baseline	mpimo wa masungulo; 
basic	-tshaku; 
basics	milawu ya masungulo;  swilaveko swa masungulo; 
basis	masungulo;  tshaku; 
basket	xirhundzu;  basikiti; 
battle	nyimpi; 
bay	nsonga; 
be	va; 
beach	ribuwu ra lwandle; 
beaches	tibuwa; 
bearer	mukhomi; 
bearers	vakhomi; 
bearing	beringi; 
bears	rhwala; 
beautiful	saseka;  xonga; 
beauty	nsaseko; 
became	vile; 
because	hikuva; 
become	-va; 
becomes	va; 
becoming	va; 
bed	mubedo; 
beds	mibedo; 
bee	nyoxi; 
been	vile; 
beer	byalwa; 
before	rhangela; 
began	sungule; 
begin	sungula; 
beginning	masungulweni; 
begins	sungula; 
begun	sungurile; 
behalf	hi ku yimela; 
behaviour	mahanyelo;  hanyelo; 
behind	ndzhaku; 
being	a karhi;  va karhi; 
beings	vanhu; 
belief	ripfumelo;  tshembo; 
beliefs	tshembo; vukholwi; 
believe	tshemba; 
believed	tshembile; 
believes	tshemba; 
believing	tshembaka; 
belong	wela; 
belonging	wela; 
belongs	wela; 
beloved	murhandziwa; 
below	ehansi ka; 
benchmark	pima;  mpimo wo fananisa; 
beneficial	vuyerisa; 
beneficiaries	vavuyeriwa; 
beneficiary	muvuyeriwa; 
benefit	pfuna;  mpfuno; 
benefited	vuyeriwile; 
benefits	mbuyelo;  vuyeriwa; 
best	kahle; 
better	antswa; 
between	xikarhi;  exikarhi ka; 
beyond	emahlweni; 
bidders	vabidi; 
bids	bida;  tibidi; 
biennale	lexi endlekaka eka malembe mambirhi man'wana na man'wana; 
big	-kulu; 
bigger	nkulu; 
biggest	nkulu; 
bilateral	 xa matiko mambirhi; xa matlhelo mambirhi; 
bill	nawumbisi;  akhawunti;  xikweleti;  koxa;  bili; 
billion	biliyoni; 
bills	koxa;  milawumbisi; milawubisi;  swikweleti;  swikoxo; 
bind	rhunga;  khomanisa; 
binding	nkomo; 
biodiversity	bayodayivhesiti; 
biological	swa swivumbeko leswi hanyaka; 
biome	muganga wa ntumbuluko wa swimilani na swiharhi; 
bird	xinyenyana;  xinyenyani; 
birds	swinyenyana; 
birth	 ku tumbuluka; ku tswala; 
birthday	siku ra ku velekiwa ka munhu;  siku ra ku velekiwa; 
black	ntima; 
blacks	vantima; 
blind	tlunya;  -fa mahlo;  ku fa mahlo;  fa mahlo; 
block	xikatsa;  ntsandza;  xipima-ntikelo;  gadi ra ayisi; 
blood	ngati; 
blue	wasi;  bulowusele;  bulowusela; 
board	komiti yo kamba;  xihubyana;  bulakibodo; 
boards	tihuvo;  tibodo; 
boasts	tinyungubyisa; 
bodies	miri;  mihlangano; 
bodily	swa miri; 
body	miri;  ntiyelo wa murhu; 
bold	tikisiwa;  vurhena; dzwihatiwa; 
bond	xiboho; 
bonds	tibondo; 
book	buku; 
books	tibuku; 
boom	 ndzalo; mfungho wo sivela ku hundzela emahlweni; 
boost	seketela;  tiyisa;  nyika matimba; 
border	ndzilekana;  nsomo;  ndzilakana;  soma; 
borders	mindzilekani; 
born	velekiwa;  tswariwa; 
borne	rhwarile; 
borrow	lomba; 
borrowing	lomba; 
boss	xikhaviso; 
botanical	swa dyondzo ya swimilani; 
both	vumbirhi; 
bottom	hansi;  tshaku;  tshako; 
bought	xavile; 
bound	khomanisa; 
boundaries	mindzilekani; 
boundary	ndzilakana; 
box	bokisi;  -bakela;  nkaxa; 
boy	jaha;  mufana; 
boys	vafana;  majaha; 
brackets	swiangi;  swisirhelelo; 
braille	ntsalo wa mabofu; 
branch	rhavi;  phatluka;  -hangalaka;  ximitswana; 
branches	marhavi;  phatluka;  hambuka; swimitswana; 
brand	mfungho; 
brave	Ku va na xivindzi; 
bravery	vunhenha; 
breach	tlula;  onha;  tshova; 
breadth	vuanami; 
break	tshova;  ku hundzuka ka rito; 
breakdown	ku tsandzeka;  ku tshoveka; 
breakfast	xifihlulo;  xifihlulu; 
breaking	ku phema xinkwa; 
breakthrough	ku boxeketa;  ku humelela; 
bridge	buloho; 
bridging	pfala vangwa; 
brief	hlamusela;  hi ku komisa; 
briefed	hlamuserile hi ku komisa; 
briefing	ku hlamusela; 
briefly	hi ku komisa; 
briefs	swiletelo;  hlamusela hi ku komisa; 
bring	tisa; 
bringing	tisaka; 
brings	tisa; 
broad	-anama; 
broad-based	xo angarhela; 
broadband	ndlela yo hundzisa mahungu hi xihatla; 
broadcast	haxa;  vuhaxi; 
broadcaster	muhaxi; 
broadcasters	vahaxi; 
broadcasting	vuhaxo; 
broaden	anamisa;  ndlandlamukisa; 
broadening	anamisa;  ndlandlamukisa; 
broader	anama; 
