Act of Parliament	Nawu wa Palamende
Department of Arts and Culture	Ndzawulo ya Vutshila na Mfuwo
Department of Communications	Ndzawulo ya Vuhlanganisi
Department of Correctional Services	Ndzawulo ya Makhotso
Department of Defence	Ndzawulo ya Vusirheleri
Department of Education	Ndzawulo ya Dyondzo
Department of Environmental Affairs and Tourism	Ndzawulo ya swa Mbangu na Vupfhumba
Department of Finance	Ndzawulo ya Timali
Department of Health	Ndzawulo ya Rihanyu
Department of Home Affairs	Ndzawulo ya Xikaya
Department of Housing	Ndzawulo ya Tindlu
Department of Justice	Ndzawulo ya Landzelerisa Milawu ya Vululami
Department of Justice and Constitutional Development	Ndzawulo ya Vululami na Nhluvukiso wa Vumbiwa
Department of Labour	Ndzawulo ya Vatirhi
Department of Land Affairs	Ndzawulo ya Timhaka ta Misava
Department of National Education	Ndzawulo ya Dyondzo ya Rixaka
Department of Public Enterprises	Ndzawulo ya Mabindzu ya Mfumo
Department of Public Service and Administration	Ndzawulo ya Vatirhela-Mfumo
Department of Public Works	Ndzawulo ya Mintirho ya Mfumo
Department of Science and Technology	Ndzawulo ya Sayense na Thekinoloji
Department of Social Development	Ndzawulo ya Nhluvukiso wa Vanhu
Department of Sport and Recreation	Ndzawulo ya Mintlangu na Vuhungasi
Department of State	Ndzawulo ya Tiko
Department of Trade and Industry	Ndzawulo ya Mabindzu na Vumaki
Department of Transport	Ndzawulo ya Vutleketli
Department of Water Affairs	Ndzawulo ya Timhaka ta Mati
Department of Water Affairs and Forestry	Ndzawulo ya Timhaka ta Mati ni Swihlahla
Deputy Speaker	Xandla xa Xipikara
Deputy Speaker of Parliament	Xandla xa Xipikara xa Palamende
Director of Public Prosecution	Mulawuri wa Vuchuchisi bya Vaaki
Director of Public Prosecutions	Mulawuri wa Vuchuchisi bya Vaaki
Dutch Reformed Church	Kereke leyi Vumbiweke hi Vuntshwa ya Dachi
Eastern Cape	Kapa-Vuhumadyambu
Employment Equity Act	Nawu wa ku Ringana ka Matholelo
Environmental Impact Assessment	nkambelo wa ntshikelelo wa Mbangu
European Union	Vun'we bya Yuropa
Executive Council	Huvonkulu
Financial Services Board	Huvo ya Vukorhokeri bya swa Timali
Financial and Fiscal Commission	Khomixini ya Timali na Xibalo
Fire Protection Association	Nhlangano wa Nsirhelelo wa Ndzilo
First World	Matiko ya Misava lama Hluvukeke
First World War	Nyimpi ya Misava yo Sungula
Foundation for Creative Arts	Nhlangano lowu nga Bindzurisiki wa Vutshila bya Vutumbuluxi
Free State	Free State
Free State Stadium	Rivala ra Mitlangu ra Free State
Freedom Charter	Chatara ya Ntshunxeko
Freedom Day	Siku ra Ntshunxeko
Freedom Front	Freedom Front
Gauteng Provincial Government	Mfumo wa Xifundzankulu xa Gauteng
Government of National Unity	Mfumo wo Kondletela Vun'we bya Rixaka
Group Areas Act	Nawu wa Matshamelo ku ya hi Nghohe
Heads of Diplomatic Missions	Varhangeri Va Mitirho ya Xidipulomati
Health Professions Council of South Africa	Huvo ya Mitirho ya swa Rihanyu ya Afrika-Dzonga
High Court	Khoto ya le Henhla
High Court of South Africa	Khoto ya le Henhla ya Afrika-Dzonga
Horn of Africa	Rimhondzo ra Afrika
House of Assembly	Yindlu ya Huvo
House of Commons	Yindlu ya le Hansi ya Palamende ya Britain
House of Delegates	Yindlu ya Varhumiwa
House of Lords	Yindlu ya le Henhla ya Palamende ya Britain
House of Representatives	Yindlu ya Vayimeri
Human Rights Commission	Khomixini ya Timfanelo Ximunhu
Human Rights Day	Siku ra Timfanelo ta Ximunhu
Human sciences research	Ndzavisiso ya swa tisayense ta ximunhu
Independent Electoral Commission	Khomixini ya Nhlawulo yo Tiyimela
Industrial Development Corporation	Nhlangano wa Nhluvukiso wa Tindasitiri
Industrial Development Corporation	Nhlangano wa Nhluvukiso wa swa Vumaki
Information Society and Development	Rixaka ra Vuxokoxoko na Nhluvukiso
Inkatha Freedom Party	Inkatha Freedom Party
International Labour Organisation	Nhlangano wa Vatirhi wa Matiko ya Misava
International Monetary Fund	Nkwama wa Timali wa Matiko ya Misava
International Olympic Committee	Komiti ya Tiolimpiki ta Matiko ya Misava
International Relations	Vuxaka bya Matiko ya Misava
International Telecommunications Union	Nhlangano wa Tiqingho wa Matiko ya Misava
Judicial Service Commission	Khomixini ya swa Vululami
Labour Relations Act	Nawu wa Vuxaka bya Vatirhi
Land Claims Court	Khoto ya Swikoxo swa Misava
Language Task Group	Ntlawa Ntirho wa Tindzimi
Leader of the House	Murhangeri wa Huvo
Leader of the Official Opposition	Murhangeri wa Vandla ro Kaneta ra Ximfumo
Member of Parliament	Xirho xa Palamende
Minister of Education	Holobye wa Dyondzo
Minister of Justice	Holobye wo landzelerisa milawu
Minority Front	Minority Front
Municipal Demarcation Board	Huvo ya Mindzilekani ya Timasipala
NCOP Committee	Komiti ya NCOP
Natal Indian Congress	Natal Indian Congress
National Agricultural Marketing Council	Huvo ya Vumaketi bya Vurimi ya Rixaka
National Arts Council	Huvo ya Vutshila ya Rixaka
National Arts Festival	Nkhuvo wa Vutshila wa Rixaka
National Assembly	Huvo ya Rixaka
National Commissioner	Khomixinara wa Rixaka
National Cultural History Museum	Muyuziyama wa Matimu ya Mfuwo wa Rixaka
National Environmental Management Act	Nawu wa Malawulelo ya Mbangu wa Rixaka
National Film and Video Foundation	Nhlangano wa Tifilimi na Vhidiyo wa Rixaka
National House of Traditional Leaders	Yindlu ya Rixaka ya Varhangeri va Ndhavuko
National Intelligence Agency	Vuyimeri bya Vuhlori bya Rixaka
National Marketing Council	Huvo ya Vumaketi ya Rixaka
National Monuments Council	Huvo ya Switsundzuxo swa Rixaka
National Party	National Party
National Peace Accord	Ntwanano wa ku Rhula wa Rixaka
National Prosecuting Authority	Xiyenge xa Vuchuchisi xa Rixaka
National Qualifications Framework	Rimba ra Mithwaso ra Rixaka
National Revenue Fund	Nkwama wa xibalo wa Rixaka
National Swimming Federation	Federexini ya Vuhlambelo ya Rixaka
National Training Board	Huvo ya ya Vuleteri ya Rixaka
National Women's Day	Siku ra Vamanana ra Rixaka'
National Youth Commission	Khomixini ya Vantshwa ya Rixaka
New National Party	New National Party
New Year's Day	Siku ra Novinjara
Nhlangano wa Tinhlayonhlayo wa Afrika-Dzonga
Nkosi Sikelel' iAfrika	Hosi Katekisa Afrika
Nobel Peace Prize	Sagwati ra ku Rhula ra Nobel
Northern Cape	Kapa-N'walungu
Orange Free State	Frisitata
Organisation for African Unity	Nhlangano wa Vun 'we bya Afrika
Organisation of African Unity	Nhlangano wa Vun'we bya Afrika
P and L	P na L
Pan Africanist Congress of Azania	Ntsombano wa Afrika Hinkwayo wa Azaniya
People Against Gangsterism and Drugs	Vanhu lava Lwisanaka na Mitlawa ya Swigevenga na Swidzidziharisi
Perishable Products Export Control Board	Huvo ya Vulawuri bya Swikumiwa leswi Rhumeriwaka eka Matiko Mambe leswi Helaka
Population Registration Act	Nawu wa Ntsariso wa Vanhu
President of the Senate	Phuresidente wa Senate
Pretoria Art Museum	Muyuziyama wa swa Vutshila wa Pitori
Pretoria East Cemetery	Swilahlo swa Pitori-Vuhumadyambu
Prohibition of Mixed Marriages Act	Nawu wa ku Yirisiwa ka Vukati bya Tinxaka to Hambana
Provincial Commissioner	Khomixinara wa Xifundzankulu
Provincial House of Traditional Leaders	Yindlu ya Xifundzankulu ya Varhangeri va Ndhavuko
Public Administration	Mafambiselo ya Mfumo
Public Order Policing	Mitirho ya Maphorisa yo Tisa ku Rhula eka Vaaki
Public Protector	Musirheleri wa Vaaki
Public Service Commission	Khomixini ya Vukorhokeri bya Vaaki
Reconstruction and Development Programme	Pfhumba ro Pfuxa hi Vuntshwa ni Nhluvukiso
Reserve Bank	Bangi ya Tiko
SA Library for the Blind	Layiburari ya Vanhu lava nga Voniki ya Afrika-Dzonga
San rock painting	Swipendiwa swa le maribyeni swa rixaka ra San
Second World War	Nyimpi ya Misava ya Vumbirhi
Secretary to Parliament	Matsalana wa Palamende
Sector Education and Training Authority	Vulawuri bya Sekitara ya Dyondzo na Vuleteri
Skills Development Act	Nawu wa Nhluvukiso wa Swikili
South African Bureau of Standards	Byuro ya Mipimo ya Afrika-Dzonga
South African Chamber of Commerce	Nhlangano wa Mabindzu wa Afrika-Dzonga
South African Communist Party	South African Communist Party; 
South African Constitution	Vumbiwa bya Afrika-Dzonga
South African Council of Churches	Huvo ya Tikereke ya Afrika-Dzonga
South African Defence Force	Vuthu ra Vusirheleri ra Afrika-Dzonga
South African National Civic Organisation	Nhlangano wa Vaaki wa Rixaka wa Afrika-Dzonga
South African National Defence Force	Vuthu ra Vusirheleri ra Rixaka ra Afrika-Dzonga
South African National Parks	Mitanga ya Rixaka ya Afrika-Dzonga
South African Native National Congress	Ntsombano wa Rixaka wa Vaakatiko va Afrika-Dzonga
South African Police	Maphorisa ya Afrika-Dzonga
South African Police Service	Vukorhokeri bya Maphorisa bya Afrika-Dzonga
South African Qualifications Authority	Vulawuri bya Mithwaso bya Afrika-Dzonga
South African Reserve Bank	Bangi ya Tiko ya Afrika-Dzonga
South African Revenue Service	Vukorhokeri bya Xibalo bya Afrika-Dzonga
South African Secret Service	Vukorhokeri bya Vuhlori bya Afrika-Dzonga
South African Sugar Association	Nhlangano wa Chukela wa Afrika-Dzonga
South African design	Dizayini ya Afrika-Dzonga
South African tea	Tiya ya Afrika-Dzonga
Southern Africa	Edzongeni wa Afrika
Southern African Development Community	Muganga wa Matiko wa Nhluvukiso wa Dzonga wa Afrika
Southern African Large Telescope	Thelesikopu Leyikulu ya Dzonga wa Afrika
Speaker of Parliament	Xipikara xa Palamende
Speaker of the National Assembly	Xipikara xa Huvo ya Rixaka
State Department	Ndzawulo ya Tiko
State President	Phuresidente wa Tiko
Statistics South Africa	Statistics South Africa;
Statistics South Africa	Statistics South Africa; 
Supreme Court	Khotonkulu
Supreme Court of Appeal	Khotonkulu ya Aphili
The Call of South Africa	Xirhambo xa Afrika-Dzonga
The National Qualifications Framework	Rimba ra Mithwaso ra Rixaka
The South African National Council for the Blind	Huvo ya Rixaka ya Vanhu lava nga Voniki ya Afrika-Dzonga
Tropic of Capricorn	Thiropiki ya Khapirikhono
UN Security Council	Huvo ya Nsirhelelo ya UN
Union of South Africa	Nhlangano wa Afrika-Dzonga
United Christian Democratic Party	United Christian Democratic Party
United Democratic Front	United Democratic Front
United Democratic Movement	United Democratic Movement
United Nations	Vun'we bya Tinxaka
United States of America	United States of America
Universal Declaration of Human Rights	Xitiviso wa Misava xa Timfanelo ya Ximunhu
Vandla ra Makhominisi ra Afrika-Dzonga
Vandla ra Makhomonisi ra Afrika-Dzonga
Water Research Commission	Khomixini ya Ndzavisiso wa swa Mati
West Bank	West Bank
Western Cape	Vu'we bya Tinxaka
Willem Prinsloo Agricultural Museum	Muyuziyama wa swa Vurimi wa Willem Prinsloo
World Health Organisation	Nhlangano wa Rihanyu wa Misava
World Heritage Site	Ndhawu ya Ndzhaka ya Misava
World Trade Organisation	Nhlangano wa Mabindzu wa Misava
World War I	Nyimpi ya Misava ya I
World War II	Nyimpi ya Misava ya II
World Wildlife Fund	Nkwama wa Swiharhi wa Misava
abuse of power	ku tirhisiwa hindlela yo homboloka ka matimba
academic freedom	ntshunxeko wa xiakademiki
account for	ku tihlamulela eka
account to	ku tihlamulela eka
accountable for	ku va na vutihlamuleri bya
accounting officer	muofisiri wa vutihlamuleri bya swa timali
acid mine drainage	Mphomiso wa mati ya migodi lama nga na esidi
act of parliament	nawu wa palamende
act of state	ntirho wa mfumo
acts of sabotage	ku onha
ad hoc	xa nkarhinyana
ad hoc committee	komiti ya nkarhinyana
administration of justice	mafambiselo ya vululami
administrative action	xiendlo xa mafambiselo
administrative function	ntirho wa mafambiselo
administrative powers	matimba ya mafambiselo
advancement of technology	ku ya emahlweni ka thekinoloji
advisory body	huvo yo tsundzuxa; huvo ya vutsundzuxi
affirmative action	ku nyikiwa ka swiyimonene eka vantima
affirmative action	xihlawuhlawu lexinene
against the law	swi hambana na nawu
agent of change	muyimeri wa ku cinca
air traffic	nkhuluko wa swihahampfhuka
air traffic control	vulawuri bya swihahampfhuka
all rights reserved	timfanelo hinkwato ti hlayisiwile
all the time	nkarhi hinkwawo
annual financial statement	xitatimente xa lembe na lembe xa timali
annual general meeting	nhlengeletano ya mani na mani ya lembe na lembe
annual report	xiviko xa lembe na lembe
appoint the cabinet	ku hlawula khabinete
appropriate technology	thekinoloji leyi faneleke
area of interest	ndhawu yo tsakisa
area of jurisdiction	ndhawu ya vutifumi; ndhawu ya vulawuri
area of land	vuandlalo bya misava
area of responsibility	ndhawu ya vutihlamuleri
armed struggle	nkayakayo lowu hlomeke matlhari
arts and crafts	vutshila na ntirho wa mavoko
arts and crafts market	makete wa swa vutshila na ntirho wa  mavoko
arts and culture	vutshila na mfuwo
as amended	tanihilaha wu hundzuluxiweke hakona
as far as possible	hi mpimo lowu swi kotekaka hawona
as many as	swo tala tanihi
as soon as possible	hi ku hatlisa hilaha swi kotekaka hakona
assumption of duty	ku sungula ntirho
at a meeting	enhlengeletanweni
at the age of	eka vukhale bya malembe  ya
attainment of independence	ku kumeka ka vutiyimeri
attend a meeting	ku ya enhlengeletanweni
basic human rights	timfanelo ta vanhu ta masungulo
basic needs	swilaveko swa masungulo
basic rights	timfanelo ta masungulo
bear witness to	ku va mbhoni eka
bed and breakfast	byetlelo na mfihlulo
bilateral relations	vuxaka bya tiko mambirhi
bill of rights	nxanxamelo wa timfanelo
black power movement	nhlangano wa matimba ya vantima
board of directors	huvo ya valawuri
board of trustees	huvo ya vafambisi va thirasiti
body of water	ndhawu ya mati
border post	ndhawu leyi nga endzelekanini yo nghena etikweni
bottom line	mhaka ya nkoka swinene
box office returns	mapapila lama vuyelaka ndzhaku hi poso
branches of government	marhavi ya mfumo
budget process	endlelo ra mpimanyeto
budget vote	vhoti ya mpimanyeto
build a part	ku aka xiphemu
bunch of grapes	xichocho xa madiriva
bus rapid transit	vutleketli byo hatlisa bya mabazi
business community	ntlawa wa mabindzu
business of parliament	migingiriko ya palamende
business sector	sekitara ya mabindzu
by means of	hi-
by the authorities	hi valawuri
by virtue of	hikwalaho ka
by way of	hikwalaho ka
by word of mouth	hi rito ra nomo
call centre operator	mutirhi wa le ka senthara ya tiqingho
call for nominations	xirhambo xo langha mavito; xirhambo xo boxa mavito;
capacity building	ku aka vuswikoti
capital city	ntsindza
central business district	ndhawu ya bindzu ya le xikarhi
central government	mfumo wa le xikarhi
certify a bill	huvo ya swa mabindzu
chamber of commerce	ku cinca ka adirese
change of address	ku cinca ka mafambelo; ku cinca ka ndlela
change of course	ku cinca tlhelo leri u yaka eka rona
changes over time	ku cinca hi ku famba ka nkarhi
changing society	rixaka leri cincaka; ku cinca rixaka
checks and balances	maendlelo lama tirhisiwaka ku hunguta swihoxo
chief executive	mufambisinkulu; vufambisinkulu
chief whip	ximokonkulu
child abuse	nxaniso wa vana
child rearing practices	xikatsa xa milawu ya matikhomelo; milawu ya matikhomelo; khodi ya matikhomelo;
children of Africa	vana va Afrika
city centre	xikarhi ka doroba
civil rights	timfanelo ta vaaki
civil rights movement	nhlangano wo sirhelela timfanelo ta vanhu
civil service	ntirho wa mfumo
civil society	vaakatiko lava nga na ku tsakela ko fana
civil war	nyimpi ya xin'wanamanana
coat of arms	mihlovo ya tiko
code of conduct	milawu ya matikhomelo
code of ethics	ku ta emhakeni
collection of data	nhlengeleto wa mahungu
collective responsibility	vutihlamuleri bya nhlanganelo
colonial power	tiko leri fumaka man'wana
colonial rule	mfumo wa xikoloni
come into force	ku fikelela ntwanano
come to the point	swipimelo swa kontiraka
committee meeting	nhlengeletano ya komiti
common interest	ku tsakela ko fana
community broadcasting service	vuhaxi bya muganga
community building	ku aka muganga
community development	nhluvukiso wa muganga
community health centre	ndzhawu ya swa rihanyu ya muganga
community involvement	ku nghenelela ka vaakandhawu
community participation	ku nghenelela ka vaakandhawu
community police forum	foramu ya vuphorisa bya muganga
community service	vukorhokeri byo tinyikela bya muganga
conclude an agreement	swipimelo swa vukorhokeri
conditions of contract	maendlelo ya ku fikelela xikongomelo
conditions of service	swipimelo swa vukorhokeri
conflict of interest	nkwetlembetano wa vutsakeri
conflict prevention	nsivelo wa dzolonga; nsivelo wa ntlimbo
conflict resolution	maololoxelo ya ntlimbo
constitutional democracy	xidemokirasi xa vumbiwa
constitutional mandate	xileriso xa vumbiwa
constitutional state	mfumo wa vumbiwa
consumer price index	mpimo wa nxavo wa vatirhisi
contempt of parliament	vutsan'wa palamende
convene a meeting	ku rhamba nhlengeletano
cooperation agreement	ntwanano wo tirhisana
course of action	maendlelo ya ku fikelela xikongomelo
cultural change	ku cinca ka mfuwo
cultural community	muganga wa mfuwo
cultural diversity	ku hambana ka mfuwo
cultural goods	tinhundzu ta mfuwo
cultural heritage	ndzhaka ya mfuwo
cultural revolution	ku cinca hi ku hetiseka ka mfuwo
culture of human rights	mfuwo wa timfanelo ta ximunhu
current affairs	timhaka leti nga emahungwini
customary law	nawu lowu nga tsariwangiki; nawu wa ndhavuko
customs and excise	Xibalo xa tinhundzu to huma ematikweni na mambe na leti endliweke laha tikweni
cutting edge	risiva ra ndzhangelo
data collection	nhlengeleto wa data;
data collection	nhlengeleto wa switiviwa
date of birth	siku ra ku velekiwa
decent living	ku hanya kahle
deciduous fruit industry	indasitiri ya mihandzu ya xidzudzamatluka
defence force	vuthu ra vusirheleri
degree of freedom	mpimo wa ntshunxeko
delegated legislation	milawu leyi endliweke hi vufambisinkulu hi ku rhumiwa hi huvo yo endla milawu
demand and supply	swidingo na mphakelo; swilaveko na mphakelo; swikoxo na mphakelo
democratic culture	mfuwo wa xidemokirasi
democratic election	nhlawulo wa xidemokirasi
democratic political order	mfumo wa xipolitiki wa xidemokirasi
democratic principle	endlelo ra xidemokirasi
democratic society	rixaka ra xidemokirasi
democratic state	mfumo wa xidemokirasi
democratic transformation	ku cinca ka xidemokirasi
democratic values	mikhuvanene ya xidemokirasi
deputy minister	xandla xa holobye
deputy president	xandla xa phuresidente
dereliction of duty	ku  nga tirhi ntirho; ku tshama hi mavoko
developing country	tiko leri hluvukaka
development initiatives	mapfhumba ya nhluvukiso
development process	endlelo ra nhluvukiso
development programme	nongonoko wa nhluvukiso
development strategy	qhinga ra nhluvukiso
diplomatic corps	huvo ya xidipulomati
diplomatic relations	vuxaka bya xidipulomati
direct support	nseketelo wo kongoma
director general	mulawuri-jenerali
disaster management	malawulelo ya mhangu
disciplinary action	goza ro tshinya
discussion document	dokhumente ya nkanelo; tsalwa ra nkanelo
dispossession of land	ku tekeriwa misava
distribution capacity	vuswikoti bya khamphani byo xavisa mikavelo; vuswikoti bya mphakelo
distribution of resources	mphakelo wa switirhisiwa
distribution of wealth	mphakelo wa rifuwo
district municipality	masipala wa xifundza
diverse society	rixaka ra vanhu va mifuwo yo hambana
diversity of people	ku hambana ka vanhu
divide and rule	pholisi yo hlohlotela ku nga twanani ka malandza kumbe vaaki
domain name authority	vulawuri byo tshula tiadirese ta tinetiweke
down for discussion	lexi faneleke ku kaneriwa
draft bill	nawumbisimpfapfarhutwa
draft legislation	nawumpfapfarhutwa
early warning	xitsundzuxo ka ha ri na nkarhi xa leswi nga ta humelela
early warning system	sisiteme yo tsundzuxa ka ha ri na nkarhi
ease of access	ku olova ka mfikelelo
economic empowerment	havexeriso wa swa ikhonomi
economic growth	ku kula ka ikhonomi
economic impact	ntshikelelo wa ikhonomi; nhlohlotelo wa ikhonomi
economic relations	vuxaka bya swa ikhonomi
economic sector	sekitara ya swa ikhonomi
economic strength	matimba ya ikhonomi
effective public service	vukorhokeri bya mfumo lebyi tirhaka hindlela leyi vuyerisaka
election period	nkarhi wa nhlawulo
election process	endlelo ra nhlawulo; phurosese ya nhlawulo
election results	mivuyelo ya nhlawulo
enabling environment	mbangu lowu nga na tipholisi, milawu na switirhisiwa leswi hlohlotelaka nhluvuko
entitled to vote	ku va na mfanelo yo vhota
environmental impact	nhlohlotelo wa mbangu; ntshikelelo wa mbangu
environmental impact assessment	nkambelo wa ntshikelelo wa mbangu
equal opportunities	swivandlanene swo ringana
equality before the law	mfanelo yo kuma nsirhelelo wo ringana wa milawu
every three years	malembe manharhu man'wana na man'wana
executive action	goza ra vufambisinkulu
executive authority	Vulawuri bya vufambisinkulu 
executive organs of state	marhavinkulu ya mfumo
explanatory memorandum	tidokhumente ta masungulo to hlamusela nawumbisi
fair election	nhlawulo lowunene
fall in love	ku rhandzana
fauna and flora	swimilani na swiharhi
field of study	xivandla xa dyondzo
fill a vacancy	ku pfala xivandla
financial year	lembeximali
first past the post	muhumeleri hi tivhoti to tala
fiscal discipline	vuswikoti bya mfumo bya matirhiselo ya timali
five hundred and six	madzana ntlhanu tsevu
floor of the House	vutshamo ku ya hi Vandla
follow up	ku landzelerisa
food security	nsirhelelo wa swakudya
forced labour	vatirhi lava sindzisiwaka
fore and aft	emahlweni na le ndzhaku
fore and after	emahlweni na le ndzhaku
foreign direct investment	vuvekisi bya xibindzu eka matiko mambe
foreign exchange	vucincanisi bya matiko mambe
foreign policy	pholisi ya matiko mambe
free and fair election	nhlawulo lowu ntshuxekeke no famba kahle
free of charge	mahala
free society	rixaka leri tshunxekeke
freedom fighter	mulwelantshunxeko
freedom fighter	mulweri wa ntshunxeko
freedom of association	ntshuxeko wo tihlawulela nhlangano
freedom of conscience	ntshunxeko wo hambanisa xo biha na xo saseka; ntshuxeko wa ripfalo
freedom of expression	ntshuxeko wo vulavula
freedom of movement	ntshuxeko wo fambafamba
freedom of religion	ntshunxeko wa vukhongeri; ntshunxeko wa vugandzeri
freedom of scientific research	ntshunxeko wa ndzavisiso wa xisayense
freedom of speech	ntshunxeko wa ku vulavula
freedom of the press	ntshuxeko wa vatsari va mahungu
from the front	ku rhanga emahlweni eka leswi munhu a swi vulaka
full supply level	mpimo wa mphakelo hi vutalo
functional area	xipano xa vatirhi xa vuswikoti na vutivi byo fana
fundamental human rights	timfanelo ta ximunhu ta masungulo
fundamental rights	timfanelo ta masungulo
future research	ndzavisiso wa nkarhi lowu taka
gender equality	ndzingano wa rimbewu
gender inequality	ku nga ringani ka rimbewu
gender violence	madzolonga ya swa rimbewu
general election	nhlawulo wa mani na mani
get away with	ku pona eka switandzhaku
give evidence	ku nyika vumbhoni
global development	nhluvukiso wa misava hinkwayo
global economy	ikhonomi ya misava hinkwayo
global village	muganga wa misava hinkwayo lowu hlanganisweke hi tiqingho
go on for	ku emahlweni ku kuma
goods and services	tinhundzu na vukorhokeri
governing party	vandla leri fumaka
government action	goza ra mfumo
government authority	vulawuri bya mfumo
government by the people	mfumo hi vanhu
government department	ndzawulo ya mfumo
government funding	timali to huma eka mfumo
government level	xiyimo xa mfumo
government of the day	mfumo lowu nga kona
government policy	pholisi ya mfumo
government sector	sekitara ya mfumo
government services	vukorhokeri bya mfumo
governmental organisation	nhlangano wa mfumo
grassroots level	xiyimo xa vanhu ntsenantsena
gross domestic product	xikumiwa xa tiko
guard of honour	mufolo wo xixima
guilty of contempt	ku va na nandzu wa rinyadzo
half a million	hafu ya miliyoni
have a vote	ku va na vhoti; ku vhoteriwa
head of government	murhangeri wa mfumo
head of office	hofisinkulu ya nhlangano
head of state	murhangeri wa tiko
health care	nhlayiso wa swa rihanyu
hierarchy of authority	ntlhandlamano wa vulawuri
historically disadvantaged	lava a va ri eka xiyimo xo pfumala swivandlanene eka nkarhi lowu nga hundza
hold a meeting	ku khoma nhlengeletano
hold office	ku khoma xiyimo xa ntirho
honorary citizenship	vuakatiko byo xiximiwa
honours and awards	mixiximo na masagwati
host country	tiko leri rhurhelaka
host nation	tiko leri rhurhelaka; rixaka leri rhurhelaka
house of assembly	yindlu ya huvo
houses of parliament	tiyindlu ta palamende
human development	nhluvukiso wa vanhu
human dignity	ndzhuti wa ximunhu
human nature	ntumbuluko wa ximunhu
human race	rixaka ra ximunhu; rixaka ra vanhu
human resource	xiyenge xa vatirhi
human resource development	nhluvukiso wa xiyenge xa vatirhi
human rights	timfanelo ta ximunhu
human rights abuse	ku tirhisa timfanelo ta ximunhu hi ndlela yo hoxeka
human rights activist	mugingirikeli wa timfanelo ta ximunhu
human rights violation	ku onhiwa ka timfanelo ta ximunhu'
human security	nsirhelelo wa vanhu
imbalances of the past	ku pfumaleka ka ndzingano ka nkarhi lowu nga hundza
