Act of Parliament	Molao wa Palamente
Commonwealth of Independent States	Mokgatlo wa selekane sa Dinaga tše di Ipušago
Congress of Democrats	Congress of Democrats
Constitutional Assembly	Kopanokgothekgothe ya Maloko a go hlama Molaotheo
Constitutional Court	Kgorotsheko ya Molaotheo
Council for Scientific and Industrial Research	Lekgotla la Dinyakišišo tša Mahlale le tša Diintasteri
Council of Ministers	Lekgotla la Ditona
Council of Provinces	Lekgotla la Diphrobentshe
Council of Traditional Leaders	Lekgotla la Baetapele ba Setšo
Cradle of Humankind	Lefelo la Tlholego ya Batho
Criminal Procedure Act	Criminal Procedure Act
Customs and Excise	Metšhelo ya Dithoto le ya Ditšweletšwa
Day of Goodwill	Letšatši la Mediro ye Mebotse
Day of Reconciliation	Letšatši la Poelano
Day of the Covenant	Letšatši la Kgwerano
Democratic Alliance	Democratic Alliance
Democratic Party	Democratic Party
Department of Agriculture	Kgoro ya Temo
Department of Arts and Culture	Kgoro ya Bokgabo le Setšo
Department of Communications	Kgoro ya Dikgokaganyo
Department of Correctional Services	Kgoro ya Ditirelo tša Tshokollo
Department of Defence	Kgoro ya Tšhireletšo
Department of Education	Kgoro ya Thuto
Department of Environmental Affairs and Tourism	Kgoro ya Merero ya Tikologi le Boeti
Department of Finance	Kgoro ya Matlotlo
Department of Health	Kgoro ya Maphelo
Department of Housing	Kgoro ya Mengwako
Department of Justice	Kgoro ya Toka
Department of Justice and Constitutional Development	Kgoro ya Toka le Tlhabollo ya Molaotheo
Department of Labour	Kgoro ya Bašomi
Department of Land Affairs	Kgoro ya Merero ya Naga
Department of National Education	Kgoro ya Thuto ya Setšhaba
Department of Public Enterprises	Kgoro ya Dikgwebo tša Setšhaba
Department of Public Service and Administration	Kgoro ya Taolo le Tirelo ya Mmušo
Department of Public Works	Kgoro ya Mešomo ya Mmušo
Department of Social Development	Kgoro ya Tlhabollo ya tša Setšhaba
Department of Sport and Recreation	Kgoro ya Dipapadi le Boitapološo
Department of State	Kgoro ya Mmušo
Department of Transport	Kgoro ya Dinamelwa
Department of Water Affairs	Kgoro ya Ditaba tša Meetse
Department of Water Affairs and Forestry	Kgoro ya Merero ya Meetse le Kagodikgwa
Deputy Speaker	MotlatšaSepikara
Deputy Speaker of Parliament	MotlatšaSepikara sa Palamente
Director of Public Prosecution	Molaodi wa Bosekiši bja Setšhaba
Director of Public Prosecutions	Molaodi wa Ditshekišo tša Setšhaba
Eastern Cape	Kapa Bohlabela
Employment Equity Act	Employment Equity Act
Environmental Impact Assessment	Tekolo ya Seabe go Tikologo
European Union	Mokgatlo wa Selekane sa Yuropa
Executive Council	Lekgotlaphethiši, Khuduthamaga
Financial Services Board	poto ya ditirelo tša ditšhelete
Financial and Fiscal Commission	Khomišene ya Ditšhelete le Matlotlo
Fire Protection Association	Mokgatlo wa Tšhireletšo go Mello
First World	Dinaga tše di Humilego
First World War	Ntwa ya Mathomo ya Lefase
Foundation for Creative Arts	Setheo sa Bokgabo bja Boitlhamelo
Free State	Foreisetata
Free State Stadium	Lepatlelo la Foreisetata
Freedom Charter	Tšhata ya Tokologo
Freedom Day	Letšatši la Tokologo
Freedom Front	Freedom Front
Gauteng Provincial Government	Mmušo wa Phrobentshe wa Gauteng
Government of National Unity	Mmušo wa Botee bja Setšhaba
Group Areas Act	Molao wa go Hlopha Bodulo
Heads of Diplomatic Missions	Dihlogo tša Botseta
Health Professions Council of South Africa	Lekgotla la Bašomi ba tša Maphelo ba Phrofešenale la Afrika Borwa
High Court	Kgorotsheko ya Godimo
High Court of South Africa	Kgorotshekokgolo ya Afrika Borwa
Horn of Africa	Nagapheteledi ya ka Bohlabela bja Afrika
House of Assembly	Ntlo ya Seboka sa Maloko a Palamente ka moka
House of Commons	Palamente ya Fasana ya Prithani 
House of Delegates	Ntlo ya Baromiwa
House of Lords	Palamente ya Godimo ya Prithani
House of Representatives	Ntlo ya Baemedi
Human Rights Commission	Khomišene ya Ditokelo tša Botho
Human Rights Day	Letšatši la Ditokelo tša Botho
Human sciences research	Dinyakišišo tša mahlale ka ga batho
Independent Electoral Commission	khomišene yeo e ikemetšego ya dikgetho
Industrial Development Corporation	Koporasi ya Tlhabollo ya Diintasteri
Information Society and Development	Setšhaba sa Tshedimošo le Tlhabollo
Inkatha Freedom Party	Inkatha Freedom Party
International Labour Organisation	Mokgatlo wa Bašomi wa Boditšhabatšhaba
International Monetary Fund	Sekhwama sa Ditšhelete sa Boditšhabatšhaba
International Olympic Committee	Komiti ya Boditšhabatšhaba ya Diolimphiki
International Olympic Committee	Komiti ya Olimpiki ya Ditšhabatšhaba kgabagareng
International Relations	Dikamano tša Boditšhabatšhaba
International Telecommunications Union	Mokgatlo wa Dikgokagano tša Megala wa Boditšhabatšhaba
Judicial Service Commission	Khomišene ya Tirelo ya Semolao
Kruger National Park	Kruger National Park
Labour Relations Act	Labour Relations Act
Land Claims Court	Kgorotsheko ya Dikgopelo tša go Bušetšwa naga
Language Task Group	Sehlopha se se Šomanago le tša Polelo
Leader of the House	Moetapele wa Ngwako
Member of Parliament	Leloko  la Palamente
Minister of Education	Tona ya Thuto
Minister of Justice	Tona ya Toka
Minority Front	Minority Front
Municipal Demarcation Board	Lekgotla la Karoganyo ya Mebasepala
NCOP Committee	NCOP; Komiti ya Lekgotla la Diphrobentshe la Bosetšhaba 
Natal Indian Congress	Natal Indian Congress
National Agricultural Marketing Council	Lekgotla la Bosetšhaba la Papatšo ya tša Temo
National Assembly	Kopanokgothekgothe ya Maloko a Palamente
National Commissioner	Mokhomišenare wa Bosetšhaba
National Cultural History Museum	Museamo wa Bosetšhaba wa Histori ya Ditšo
National Environmental Management Act	National Environmental Management Act
National House of Traditional Leaders	Ntlo ya Magoši ya Bosetšhaba
National Intelligence Agency	Setheo sa Bohlodi sa Bosetšhaba
National Marketing Council	Lekgotla la Bosetšhaba la Papatšo
National Monuments Council	Lekgotla la Bosetšhaba la Dihlwadieme
National Party	National Party
National Qualifications Framework	Tlhako ya Bosetšhaba ya Mangwalo a Dithuto
National Revenue Fund	Sekhwama sa Bosetšhaba sa Letseno
National Training Board	Lekgotlatlhahlo la Bosetšhaba
National Women's Day	Letšatši la Bomma la Bosetšhaba
National Youth Commission	Khomišene ya Setšhaba ya Baswa
New National Party	New National Party
New Year's Day	Letšatši la Ngwaga wo Moswa
Nkosi Sikelel' iAfrika	Morena Boloka Afrika
Nobel Peace Prize	Sefoka sa Khutšo sa Maemo a godimo
Northern Cape	Kapa Leboa
Orange Free State	Freistata
Organisation for African Unity	Mokgatlo wa Dinagakopano tša Afrika
Organisation of African	Lekgotlakopano la Afrika
Organisation of African Unity	Mokgatlo wa Dinagakopano tša Afrika
P and L	P le L
Pan Africanist Congress of Azania	Pan Africanist Congress of Azania
Pan South African Language Board	Poto ya Dipolelo Tšohle tša Afrika Borwa
People Against Gangsterism and Drugs	People Against Gangsterism and Drugs
Perishable Products Export Control Board	Lekgotlataolo la Diromelwantle tša Ditšweletšwa tše di Senyegago
Population Registration Act	Molao wa Boingwadišo bja Setšhaba
President of the Senate	Mopresidente wa Senata
Pretoria Art Museum	Musiamo wa Bokgabo wa Pretoria
Pretoria East Cemetery	Dirapa tša Bohlabela bja Pretoria
Prohibition of Mixed Marriages Act	Molawana wa go Thibela Manyalo a Merafe ya go Fapafapana
Provincial Commissioner	Mokhomišenare wa Phrobentshe
Provincial House of Traditional Leaders	Ntlo ya Magoši ya Phrobentshe
Public Administration	Tshepedišo ya Merero ya Setšhaba
Public Order Policing	Maphodisa a Taolo ya Khutšo ya Setšhaba
Public Protector	Mošireletši wa Setšhaba
Public Service Commission	Khomišene ya Tirelo ya Setšhaba
Reconstruction and Development Programme	Lenaneo la Tlhabollo  le Kagolefsa
Republic of South Africa	Repabliki ya Afrika-Borwa
Reserve Bank	Panka ya Resefe; Pankakgolo
SA Library for the Blind	Bokgobapuku bja Difofu bja Afrika Borwa
San rock painting	Go penta maswika ga MaSan
Second World War	Ntwa ya Bobedi ya Lefase
Secretary to Parliament	Mongwaledi wa Palamente
Sector Education and Training Authority	Lekgotlataolo la Thuto le Tlhahlo tša Mafapha
Skills Development Act	Skills Development Act
South African Bureau of Standards	Biro ya Maemo a Ditšweletšwa ya Afrika Borwa
South African Chamber of Commerce	Mokgatlo wa Dikgwebo wa Afrika Borwa
South African Communist Party	South African Communist Party
South African Constitution	Molaotheo wa Afrika Borwa
South African Council of Churches	Lekgotla la dikereke la Afrika Borwa
South African Defence Force	Lebotho la Mašole a Tšhireletšo a Afrika Borwa
South African Human Rights Commission	Khomišene ya Ditokelo tša Botho ya Afrika Borwa
South African Local Government Association	Mokgatlo wa Pušoselegae wa Afrika Borwa
South African National Civic Organisation	Mokgatlo wa Bosetšhaba wa Badudi wa Afrika Borwa
South African National Defence Force	Lebotho la Bosetšhaba la Mašole a Tšhireletšo a Afrika Borwa
South African National Parks	Dirapa tša Bosetšhaba tša Afrika Borwa
South African Native National Congress	South African Native National Congress
South African Police	Maphodisa a Afrika Borwa
South African Police Service	Ditirelo tša Sephodisa tša Afrika Borwa
South African Qualifications Authority	Tirelotaolo ya Mangwalo a Dithuto ya Afrika Borwa
South African Reserve Bank	Pankakgolo ya Afrika Borwa
South African Revenue Service	Tirelo ya Metšhelo ya Afrika Borwa
South African Secret Service	Tirelo ya Bohlodi ya Afrika Borwa
South African Sugar Association	Mokgatlo wa Swikiri wa Afrika Borwa
South African citizen	modudi wa Afrika Borwa
South African design	Tlhamo ya Afrika Borwa
South African tea	Teye ya Afrika Borwa
Southern Africa	Borwa bja Afrika
Southern African Large Telescope	Theleskoupu ye Kgolo ka Borwa bja Afrika
State Department	Kgoro ya Mmušo
State President	Mopresidente wa Naga
Statistics South Africa	Tirelo ya Dipalopalo ya Afrika Borwa
Supreme Court	Kgorotshekokgolo
Supreme Court of Appeal	Kgorokgolo ya Boipiletšo
The Call of South Africa	Boipiletšo bja Afrika Borwa
The National Qualifications Framework	Tlhako ya Bosetšhaba ya Mangwalo a Dithuto
The South African National Council for the Blind	Lekgotla la Bosetšhaba la Difofu la Afrika Borwa
Tropic of Capricorn	Thropiki ya Capricorn
UN Security Council	Lekgotlatšhireletšo la Mokgatlo wa Dinagakopano
Union of South Africa	Setee sa Afrika Borwa
United Christian Democratic Party	United Christian Democratic Party
United Democratic Front	United Democratic Front
United Democratic Movement	United Democratic Movement
United Nations	Mokgatlo wa Dinagakopano
United States of America	United States of America
Universal Declaration of Human Rights	Kwano ya Bohle ka ga Ditokelo tša Botho
Water Research Commission	Khomišene ya Dinyakišišo ka ga Meetse
West Bank	West Bank
Western Cape	Kapa Bodikela
Willem Prinsloo Agricultural Museum	Musiamo wa Temo wa Willem Prinsloo
World Health Organisation	Mokgatlo wa Maphelo wa Lefase
World Heritage Site	Lefelo la Bohwa la Lefase
World Trade Organisation	Mokgatlo wa Kgwebišano wa Lefase
World War I	Ntwa ya Lefase ya I
World War II	Ntwa ya Lefase ya II
World Wildlife Fund	Sekhwama sa Lefase ka ga Diphoofolo
abuse of power	tšhomišobošaedi ya maatla
academic freedom	tokologo thutong
account for	ikarabela ka ga
account to	ikarabela go
accountable for	ikarabela ka ga
accounting officer	mohlankedi wa taolo; mohlankedi yo a rwelego maikarabelo
acid mine drainage	megogolwa ya esiti moepong
act of parliament	molao wa palamente
act of state	molao wa naga
ad hoc	ya nakwana
administration of justice	tshepedišo ya toka
administrative action	tiro ya taolo
administrative function	mošomo wa bolaodi
administrative powers	maatla a bolaodi; maatla a taolo
advancement of technology	tšwelopele ya theknolotši
advisory body	sehlongwa sa keletšo; sehlongwa sa boeletši
affirmative action	tirotokišo
against the law	kgahlanong le molao
agent of change	sephethagatšaphetošo
air traffic	dinamelwa tša difofane
air traffic control	taolo ya trafiki ya difofane
all rights reserved	ditokelo ka moka di beetšwe
all the time	nako ka moka
annual financial statement	setatamente sa ditšhelete sa ngwaga ka ngwaga
annual general meeting	kopanokgothekgothe ya ngwaga ka ngwaga
annual report	pego ya ngwaga ka ngwaga
appoint the cabinet	kgetha  kabinete
appropriate technology	theknolotši ya maleba
area of interest	lefapha la kgahlego
area of jurisdiction	lefapha la molao
area of land	karolo ya lefase
area of responsibility	lefapha la boikarabelo
armed struggle	ntwa ya go itlhama ya tokologo
arts and crafts	bokgabo le dibetlwa
arts and crafts market	mmaraka wa bokgabo le dibetlwa
arts and culture	bokgabo le setšo
as amended	ka ge e fetošitšwe
as far as possible	ka fao go kgonagalago
as soon as possible	ka pela ka fao go kgonagalago
assumption of duty	go thomiša mošomo
at a meeting	ka kopanong
at the age of	mo mengwaga ye
attainment of independence	khwetšo ya boipušo
attend a meeting	tsenela kopano
basic human rights	ditokelo tša botho tša motheo
basic needs	ditlhoko tša motheo; dinyakwa tša motheo
basic rights	ditokelo tša motheo
bear witness to	eba tlhatse go
bed and breakfast	marobalo le difihlilo
bilateral relations	dikamano tša dinaga tše pedi
bill of rights	molao wa ditokelo
black power movement	lesolo la maatla a bathobaso
board of directors	lekgotla la balaodi
board of trustees	lekgotla la dithrasti
body of water	mothamo wa meetse
border post	mollwaneng; boputlo bja mollwaneng
bottom line	mathomong; sa mathomo
box office returns	dipušetšo tša lepokisi la poso
branches of government	makala a mmušo
budget process	tshepedišo ya ditekanyetšo
budget vote	polelo ya ditekanyetšo
build a part	aga karolo
bunch of grapes	sehlopha sa diterebe
bus rapid transit	dinamelwa tša dipese tša kgafetšakgafetša
business community	setšhaba sa kgwebo
business of parliament	morero wa palamente
business sector	lefapha la kgwebo
by means of	ka mokgwa wa
by the authorities	ka ba taolo
by virtue of	go ya ka
by way of	ka mokgwa wa
by word of mouth	ka go bolela ka molomo
call centre operator	mosepediši wa lefelo la megala
call for nominations	boipiletšo go ditšhišinyo tša maina
capacity building	kabo ya bokgoni
capital city	motsemošate
central business district	lefelo la bogareng la dikgwebo
central government	mmušo wa bogareng
certify a bill	tiišetša molaokakanywa
chamber of commerce	lekgotla la tša kgwebo
change of address	phetošo ya aterese
change of course	phetošo ya thutwana
changes over time	e fetoga ge nako e sepela
changing society	setšhaba se se fetogago
checks and balances	ditekolo le ditekanyetšo
chief executive	mohlankedimogolophethiši
chief whip	sefepisegolo
child abuse	tshotlo ya bana; tlaišo ya bana
child rearing practices	ditiro tša go godiša ngwana
children of Africa	bana ba Afrika
city centre	bogare bja toropo
civil rights	ditokelo tša badudi
civil rights movement	mokgahlo wa ditokelo tša badudi
civil service	tirelo ya badudi
civil service	tirelo ya sethaba
civil society	setšhaba sa badudi
civil war	ntwa ya bana ba thari
coat of arms	sefoka
code of conduct	melao ya boitshwaro
code of ethics	molao wa maitshwaro
collection of data	kgobokanyo ya tshedimošo
collective responsibility	maikarabelo a bohle
colonial power	maatla a bokoloniale
colonial rule	pušo ya bokoloniale
come into force	thoma go phethagatšwa
come to the point	etla go ntlha
committee meeting	kopano ya komiti
common interest	kgahlego ya bohle
community building	moago wa setšhaba
community development	tlhabollo ya setšhaba
community health centre	lefelo la tša maphelo la setšhaba
community involvement	go akaretša setšhaba
community involvement	go klgatha tema ga setšhaba
community participation	go kgatha tema ga setšhaba
community police forum	seboka sa tlhapetšo ya setšhaba
community service	tirelo ya setšhaba
conclude an agreement	phetha tumelelano
conditions of contract	maemo a konteraka
conditions of service	maemo a mošomo
conflict of interest	thulano ya dikganyogo
conflict prevention	thibelo ya thulano
conflict resolution	tharollo ya thulano
constitutional democracy	temokrasi ya molaotheo
constitutional mandate	thomelo ya molaotheo
constitutional state	mmušo wa molaotheo
consumer price index	tekanyo ya theko ya diphahla
contempt of parliament	nyatšo ya palamente
convene a meeting	bitša kopano
cooperation agreement	tumelelano ya tirišano
course of action	lebakatiro, nako ya tiro
cultural change	phetošo ya setšo
cultural community	setšhaba sa setšo
cultural diversity	phapano ya ditšo
cultural goods	dithoto tša setšo
cultural heritage	bohwa bja setšo
cultural revolution	ntwa ya go lwela setšo
culture of human rights	setlwaedi sa ditokelo tša botho
current affairs	merero ya bjale
customary law	molao wa setlwaedi; molao ka ga setšo
customs and excise	metšhelo ya dithoto le ya ditšweletšwa
cutting edge	ye e etilego pele; tlhabollo ya godimo; yo a etilego pele
data collection	kgoboketša ya sthedimošo
date of birth	letšatšikgwedi la matswalo
decent living	bophelo bja maemo a godimo; bophelo bjo bokaone
deciduous fruit industry	intasteri ya dikenywa tša go raša
defence force	lebotho la tšhireletšo, mašole a tšhireletšo
degree of freedom	maemo a tokologo
delegated legislation	melao yeo e filwego; melao ye e beilwego
demand and supply	nyakegago le kabo
democratic culture	setšo sa temokrasi; setlwaedi sa temokrasi
democratic election	dikgetho tša temokrasi
democratic political order	tshepedišo ya sepolotiki ya temokrasi
democratic principle	molawana wa temokrasi
democratic society	setšhaba sa temokrasi
democratic state	mmušo wa temoikrasi
democratic transformation	phetošetšo temokrasing
democratic values	mekgwa ya temokrasi
deputy minister	motlatšatona
deputy president	motlatšamopresidente
dereliction of duty	go hlokomologa ka maikemišetšo
developing country	naga ye e hlabologago
development initiatives	masolo a tlhabollo
development process	tshepedišo ya tlhabollo
development programme	lenaneotlhabollo; lenaneo la tlhabollo
development strategy	leano la tlhabollo; leanotlhabollo
diplomatic corps	bašomi ba tša botseta
diplomatic relations	dikamano tša botseta bja dinaga
direct support	thekgo ya thwii; thekgothwii
director general	molaodipharephare
disaster management	taolo ya masetlapelo
disciplinary action	magato a kgalemo
discussion document	sengwalwa sa go ahlaahlwa
dispossession of land	go tšeelwa naga; go amogwa naga
distribution capacity	bokgoni bja phatlalatšo
distribution of resources	phatlalatšo ya methopo
distribution of wealth	phatlalatšo ya lehumo
district municipality	masepala wa selete
diverse society	setšhaba se se farologanego
diversity of people	pharologano ya batho; go fapana ga batho
divide and rule	go aroganya le go laola
domain name authority	tirelotaolo ya maina a mafapha
down for discussion	rometšwe go ahlaahlwa
draft bill	sethalwa sa molaokakanywa
draft legislation	sethalwa sa molao
early warning	temošo ya ka pela
early warning system	tshepedišo ya temošo ka pela
ease of access	phihlelelo e bonolo
economic empowerment	maatlafatšo ya ekonomi
economic growth	kgolo ya ekonomi
economic impact	seabe go ekonomi; seabe sa ekonomi
economic relations	dikamano tša ekonomi
economic sector	lefapha la ekonomi
economic strength	maatla a ekonomi
effective public service	tirelo ya setšhaba ye e šomago gabotse
election period	nako ya dikgetho
election process	tshepedišo ya dikgetho
election results	dipoelo tša dikgetho
enabling environment	tikologo ye e kgontšhago
entitled to vote	maswanedi a go bouta
environmental impact	seabe go tikologo
environmental impact assessment	tekolo ya seabe go tikologo
equal opportunities	dibaka tše di lekanago
equality before the law	tekatekano pele ga molao
every three years	mengwaga ye mengwe le ye mengwe ye meraro
executive action	magato a bolaodi
executive action	tiro ya khuduthamaga
executive authority	bolaodiphethiši
executive organs of state	makala a mmušo a taolophethiši
explanatory memorandum	memorantamo wa tlhalošo
fair election	dikgetho tša go hloka mathata; dikgetho tše di lokologilego
fall in love	go rata
fauna and flora	diphoofolo le dimela
field of study	lefapha la thuto, lefapha la dinyakišišo
fill a vacancy	tlatša sekgoba; tlatša sekgoba sa mošomo
financial year	ngwaga wa ditšhelete
first past the post	mothopasefoka ka bontši bja dibouto
fiscal discipline	maitshwaro ditšheleteng
floor of the House	lebato la maloko a Ngwako
follow up	latišiša
food security	tšhireletšego dijong
forced labour	bašomi bao ba gapeleditšwego
fore and aft	pele le morago; ka botelele
fore and after	pele le morago; ka botelele
foreign direct investment	peeletšothwii ya dinaga tša ka ntle
foreign exchange	neelano ya ditšhelete tša dinaga
foreign policy	molao ka ga dinaga di šele
free and fair election	dikgetho tša go lokologa le go hloka bosodi
free of charge	ka go se lefelwe; mahala
free society	setšhaba se se lokologilego
freedom fighter	molwelatokologo
freedom of association	tokelo ya boikgethelo
freedom of conscience	tokologo ya monagano
freedom of expression	tokologo ya go bolela
freedom of movement	tokologo ya go sepela
freedom of religion	tokologo ya sedumedi
freedom of scientific research	tokologo ya dinyakišišo tša mahlale
freedom of speech	tokologo go polelo
freedom of the press	tokologo ya kgašo; tokologo ya bogaši
from the front	ka pele; o le ka pele
full supply level	maemo a kabo ya makhura
functional area	lefapha leo le šomago
fundamental human rights	ditokelo tša botho tša motheo
fundamental rights	ditokelo tša motheo
future research	dinyakišišo tša ka moso
gender equality	tekatekano ya bong
gender inequality	go se lekalekane ga bong
gender violence	dikgaruru tša bong
general election	dikgetho tša kakaretšo
get away with	phomelela ka yona
give evidence	fa bohlatse
global development	tlhabollo ya lefaseng ka bophara
global economy	ekonomi ya lefaseng ka bophara
global village	madulo a lefaseng ka bophara
go on for	ya go
goods and services	dithoto le ditirelo
governing party	mokgatlo wo o bušago
government action	magato a mmušo
government authority	maatla a mmušo; taolo ya mmušo
government by the people	mmušo ka batho
government department	kgoro ya mmušo
government funding	thušo ya mašeleng a mmušo
government level	maemong a mmušo
government of the day	mmušo wa mo lebakeng le; mmušo wa bjale
government policy	molawana wa mmušo
government sector	lefapha la mmušo
government services	ditirelo tša mmušo
governmental organisation	mokgatlo wa mmušo
grassroots level	maemong a fase setšhabeng
guard of honour	boemo bja tlhompho; moraladi wa tlhompho; kemo ya tlhompho
guilty of contempt	ipona molato go lenyatšo
half a million	seripagare sa milione
have a vote	bouta
head of government	hlogo ya mmušo
head of office	hlogo ya kantoro
head of state	hlogo ya naga
health care	tlhokomelo ya maphelo
hierarchy of authority	tatelano ya taolo
historically disadvantaged	bao ba hlokišitšwego menyetla nakong ye e fetilego
hold a meeting	swara kopano
hold office	thomiša taolo; šoma ka kantorong
honorary citizenship	badudi bao ba hlomphegago
honorary citizenship	badudi bao ba hlomphegilego
honours and awards	ditlhompho le difoka
host country	naga ya monggae; naga ye e amogelago
host nation	naga ya monggae; naga ye e amogelago
house of assembly	ntlo ya
houses of parliament	dintlo tša palamente
human development	tlhabollo ya batho
human dignity	seriti sa batho
human nature	tlhago ya motho
human race	morafe wa batho
human resource	motho wa batho
human resource development	ntlo ya seboka sa maloko a Palamente ka moka
human rights	ditokelo tša botho; ditokelo tša batho
human rights abuse	kgathako ya ditokelo tša botho
human rights abuse	tšhomišobošaedi ya ditokelo tša botho
human rights activist	modiredi wa ditokelo tša botho ka mafolofolo
human rights violation	kgatako ya ditokelo tša botho
human security	tšhireletšego ya batho
human security	thireletšo ya batho
imbalances of the past	tlhokego ya tekatekano mo nakong ye e fetilego
immediate past president	mopresidente yo a sa tšwago go tšwa
in accordance with	mabapi le; ka ga; malebana le
in accordance with the rules	ka ga melawana; malebana le melawana; mabapi le melawana
in addition to	tlaleletšo go; godimo ga
in an acting capacity	ka maemo a go šoma lebakanyana
in any way	le ge go le bjale
in case of	sebakeng sa ge
in celebration of	ka go keteka
in compliance with	mabapi le; ka ga; malebana le
in connection with	malebana le
in consultation with	ka therišano le
in excess of	ka go fetišiša
in favour of	ka go rerelela
in front of	pele ga
in good faith	ka moya o mobotse
in office	ka kantorong; yo a swerego bolaodi; yo a laolago
in so far	mabapi le
in spite of	le ge
in support of	ka go thekga
in terms of	go ya ka
in the balance	ka tekatekanong
in the course of	lebakeng la
in the evening	bošego
in the event of	sebakeng sa ge; lebakeng la ge
in the field of	lefapheng la
in the gap	ka sekgobeng
in the interim	nakwana; nakwaneng ye
in the lead	etilego pele
in the long term	lebakeng le letelele
in the majority	ka bontši
in the morning	mosong
in the name of	leineng la; ka leina la
in the picture	ka seswantšhong
in the region of	seleteng sa
in the white	ka bošweu; ka bošweung
inaugural address	polelo ya go hlomamišwa
inaugural address	polelo ya mathomo
inaugural address	polelo ya peyo
inaugural meeting	kopano ya mathomo
income tax	motšhelo wa letseno
indigenous culture	setšo sa badudi ba setlogo; setšo sa badudi ba mathomong
indigenous language	polelo ya setlogo; polelo ya mathomong
indigenous people	batho ba mathomong; batho ba setlogo
industrial society	setšhaba sa diintasteri
infant mortality rate	dipalopalo tša mahu a masea
information retrieval	khwetšo ya tshedimošo
information retrieval system	tshepedišo ya go hwetša tshedimošo
inner city	bogareng bja toropo; ka gare ga toropo
inspector of mines	mohlahlobi wa meepo
intellectual property rights	ditokelo tša thoto ya bohlale
intergovernmental relations	dikamano tša magareng ga mebušo
interim constitution	molaotheo wa nakwana
international affairs	merero ya boditšhabatšhaba
international community	setšhaba sa boditšhabatšhaba
international humanitarian law	molao wa tša bobotlana wa boditšhabatšhaba
international relations	dikamano ta boditšhabatšhaba
interrupt the proceedings	šitiša tirelo; šitiša tshepedišo
investment of capital	peeletšo ya letlotlo
job creation	tlhomo ya mešomo
joint committee	komiti ya mohlakanelwa
joint meeting	kopano ya mohlakanelwa
joint responsibility	maikarabelo a mohlakanelwa
joint rules committee	komiti ya melawana ya mohlakanelwa
joint sitting	tulo ya mohlakanelwa
judicial authority	maatla a tirelo ya molao
keep in mind	elelwa
keep up to date	sedimoša
key performance area	lefapha le bohlokwa la phethagatšo ya mošomo
labour force	bašomi
labour intensive	ya go nyaka bašomi
labour market	mmaraka wa bašomi
lack of energy	tlhokego ya enetši; tlhokego ya maatla
land ownership	go ba le naga; go ba mong wa naga
land reform	peakanyoleswa ya naga
land restitution	pušetšo ya naga
land rights	ditokelo go naga; ditokelo tša naga
language policy	molao wa maleme; molao wa dipolelo
language practice	tšhomišo ya polelo
language rights	ditokelo tša polelo
law enforcement	phethagatšo ya molao; tirišo ya molao
lay a charge	bula molato
leader of the opposition	moetapele wa mokgatlo wa kganetšo
learning process	tshepedišo ya go ithuta
least of all	le gannyane
legacy of apartheid	mašaledi a kgethologanyo
legal deposit library	bokgobapuku bja dingwalwa tša kgale tša semolao
legislative authority	maatla a melao
