APRIL	MORANANG; 
Williams	Ba ga William; 
Xhosa	Mothosa; 
Zimbabwean	Moagi wa Zimbabwe; 
ability	bokgoni; 
able	kgona;  nonofile; 
about	 e ka ne e le; ka ga; 
above	- godimo; 
above-mentioned	­umakilweng fa godimo; 
abroad	moseja ga mawatle; 
absence	 - se nne teng; tlhokafalo; 
absent	 go sa nneng teng; se yong; 
absolute	gotlhelele; 
abuse	tshotlo;  tirisobotlhaswa;  sotla; 
abused	sotla; 
academia	ditiro tsa akatemi; 
academic	 - botlhalefi; akatemi; 
academics	 akatemi; baakatemi; -botlhalefi; 
academies	batlhatlheledi ba kholetšhe kgotsa yunibesithi; 
academy	akatemi; 
accelerate	koketso;  akofisa; 
accelerated	okeditse; akofisitse; 
accelerating	akofisang; 
accept	- dumela; 
acceptable	amogelesega; 
acceptance	 tumelo; kamogelo; 
accepted	dumetse; 
accepting	- dumelang; 
access	 botseno; sekaseka;  go tsena; 
accessed	sekasekile; 
accessibility	phitlhelego; 
accessible	fitlhelela; 
accession	tumelano;  tlhomo; 
accident	kotsi; 
accidents	dikotsi; 
acclaim	 rorisa;  duduetsa; boka; 
acclaimed	dudueditse;  rorisitse; bokile; 
accommodate	 naya bonno; tlwaela; 
accommodated	tlwaetse;  neile bonno; 
accommodation	bonno; 
accompanied	nnile mmogo;  - felegeditse;  tsamaile mmogo; 
accompany	tsamaya mmogo;  - nna teng;  - felegetsa; 
accomplish	fetsa; 
accomplished	 weditse; feditse; 
accord	 bongwefela jwa pelo; tumelano;  dumelana; 
accordance	tatelo; 
accorded	dumelane; 
according	go latela; 
accordingly	go ya ka; 
account	 tshupamolato;  tshupatlotlo; letlotlo;  tshupatuelo; 
accountability	boikarabelo; 
accountable	ikarabelang; 
accountant	mmalatlotlo; 
accountants	mmalatlotlo; 
accounting	 mmalatlotlo; palotlotlo; 
accounts	 ditshupamolato; matlotlo;  ditshupatlotlo;  ditshupatuelo; 
accreditation	tetlelelo; 
accredited	letleletswe;  laoletswe; 
accruals	 dikokotlegelo; dikoketsego; 
accrue	direga; 
accrued	diregile; 
accumulate	kokotlela; 
accumulated	kokotleditse; 
accuracy	 nepo;  - nepa; nepagalo; 
accurate	nepagalo;  nepa; 
accused	molatofadiwa; 
achieve	fitlhelela; 
achieved	fitlheletse; 
achievement	phitlhelelo; 
achievements	diphitlhelelo; 
achieving	fitlhelelang; 
acknowledge	amogela; 
acknowledged	amogetse; 
acknowledges	amogela; 
acquire	bona;  fitlhelela; 
acquired	bone;  fitlheletse; 
acquisition	pono; 
across	kgabaganya; 
act	molao;  diragatsa;  tiro; 
acted	dirile;  diragaditse; 
acting	yo o tshwareletseng;  -diragatsa; 
action	tiro; 
actions	ditiro; 
active	 matlhagatlhaga; bonako; 
actively	ka matlhagatlhaga; 
activism	botsosolosi; 
activist	motsosolosi; 
activists	motsosolosi; 
activities	ditiro; 
activity	tiro;  botlhaga; 
actor	modiragatsi; 
actors	badiragatsi; 
acts	 melao;  ditiragatso; ditiro; 
actual	sebele; 
actually	totatota; 
ad-hoc	thulaganyetsonakwana; 
adaptation	boitlwaetso; 
add	 tlhakanya; oketsa; 
added	 tlhakantse; okeditse; 
adding	 tlhakanyang; oketsang; 
addition	tlhakanyo; 
additional	 oketsang; tlaleletso; 
address	bua;  aterese; 
addressed	buile; 
addresses	bua;  diaterese; 
addressing	buang; 
adds	 tlhakanya; oketsa; 
adequate	lekane; 
adequately	ka go lekana; 
adhere	obamela; 
adherence	kobamelo; 
adjourned	 kgaoditse; emisitse nakwana; 
adjudication	 tsereganyo; katlholo; 
adjust	 lolamisa; lekanyetsa; 
adjusted	lekanyeditse;  lolamisitse; 
adjustment	 kokeletso; paakanyo; 
adjustments	 dikokeletso; dipaakanyo; 
administer	tsamaisa; 
administered	tsamaisitse; 
administering	tsamaisang; 
administration	tsamaiso; 
administrations	ditsamaiso; 
administrative	­tsamaiso; 
administrator	 mmusakarolo; motsamaisi; 
administrators	batsamaisi;  babusakarolo; 
admissible	­letlelesegang; 
admission	tumelelo;  -amogela molato;  kamogelo; 
admit	dumelela; 
admitted	dumeletse; 
adopt	 - nna motsadi ka tsholo; -tsaya; 
adopted	- nnile motsadi ka tsholo;  -tshotse; 
adopting	tsayang;  nnang motsadi ka tsholo; 
adoption	botsadi ka tsholo; 
adoptive	botsadikakgodiso; 
adopts	 - nna motsadi ka tsholo; -tsaya; 
adult	 mogodi; mogolo; 
adults	 bagodi; bagolo; 
advance	tswelelopele;  tefelelopele;  tefelopelo; 
advanced	tsweletseng; 
advancement	tsweletsopele; 
advances	 ditefelelopele; ditefelopele; ditswelelopele; 
advancing	tswelang pele; 
advantage	mosola;  molemo; 
advantages	melemo;  mesola; 
advent	 kgakolo; paka ya dibeke tse nne pele ga Keresemose; 
adverse	­sa siamang; 
adversely	ka tsela e e sa siamang; 
adversity	pitlagano; 
advertise	phasalatsa; 
advertised	phasaladitse; 
advertisement	phasalatso; 
advertising	-phasalatsa; 
advice	kgakololo; 
advise	 gakolola; eletsa; 
advised	gakolotse;  eleditse; 
adviser	moeletsi; mogakolodi; 
advisers	 baeletsi; bagakolodi; 
advisor	mogakolodi; 
advisors	 baeletsi; bagakolodi; 
advisory	-kgakololo; 
advocacy	tshegetsophatlalatsa; 
advocate	mmueledi;  moatefokate;  buelela; 
advocates	 baatefokate; babueledi;  buelela; 
affairs	merero; 
affect	ama;  tlhotlheletsa; 
affected	amegile; 
affecting	amang;  tlhotlheletsang; 
affects	ama;  tlhotlheletsa; 
affirm	tlatsa; 
affirmation	tlhomamiso; 
affirming	tlatsang; 
afford	-kgona; 
affordable	- go kgonega; 
afforded	kgonne; 
aforementioned	umakilweng pele;  kailweng pele; 
aforesaid	umakilweng pele;  kailweng pele; 
after	morago ga; 
afternoon	thapama;  tshokologo; 
again	gape; 
against	 tlhabana le;  kgatlhanong le; ganetsana le; 
age	 motlha; dingwaga;  bogolo;  go gola; 
aged	­tsofetse;  ­nang le dingwaga tse; 
agencies	mekgatlho; 
agency	mokgatlho; 
agenda	lenanetema; 
agent	 sediredi; moemedi;  phetodi;  sediriso;  letlhalosi la agentifi; 
agents	 baemedi;  matlhalosi a agentifi; didiredi;  diphetodi; didiriso; 
ages	dingwaga;  bogolo;  metlha;  gola; 
aggregate	palogare; 
aggrieved	kgopisitsweng; 
ago	 bogologolo tala; fetileng;  kgale; 
agree	dumela; 
agreed	dumetse; 
agreement	tumalano;  kutlwano; 
agreements	 dikutlwano; ditumalano; 
agrees	dumela; 
agricultural	Temothuo; 
agriculture	temothuo; 
ahead	kwa pele; 
aid	 thuso; thusa; 
aids	thusa;  dithuso; 
aim	 -korola; boikaelelo; 
aimed	ikaeletse; 
aims	maikaelelo; 
air	 anega; mowa;  loapi; 
aircraft	 sefofi; sefofane; 
airport	boemafofane;  botsurafofane; 
airports	boemafofane;  botsurafofane; 
albeit	le mororo; 
alcohol	 alekhoholo; tagi; 
alert	thantse; 
align	tlhamalatsa; 
aligned	tlhamaladitse; 
alignment	tlhamalatso; 
alike	 lekana; tshwana; 
alive	phedisa; 
all	 gotlhe; tsotlhe;  botlhe;  otlhe; 
allegation	 magatwe; tatofatso; 
allegations	 magatwe; ditatofatso; 
alleged	ga twe; 
allegedly	ka magatwe; 
alleviate	fokotsa bogale; 
alleviation	imololo; phokotsego; 
alliance	tshwaragano; 
allocate	 abela; aba; 
allocated	abetse;  abile; 
allocation	kabo; 
allocations	dikabo; 
allow	letla;  dumelela; 
allowance	tetlo; 
allowances	ditetlo; 
allowed	dumeletse;  letlile; 
allowing	 dumelelang; letlang; 
allows	letla;  dumelela; 
almost	batlile; 
alone	 osi;  kalaotega; esi;  bosi; 
along	tsamaya le ;  tokafala; tswelela; 
alongside	go bapa le; 
already	setse; 
also	le; 
alter	fetola; 
alternate	 -refosanang; refosana; 
alternative	refosanang; 
although	le mororo;  etswa;  le fa; 
always	ka gale;  ka metlha; 
ambassador	moemedi;  moambasatara; 
ambassadors	baemedi; baambasatara; 
ambient	 ­mmino o o iketlileng; ­tikologo; 
ambit	tekanyetso; 
amend	tlhabolola; 
amended	tlhabolotse; 
amending	tlhabololang; 
amendment	tlhabololo;  phetolo; 
amendments	ditlhabololo;  diphetolo; 
amends	tlhabolola; 
ammunition	ditlhabano; 
amnesty	tokololo; 
among	mo gare ga; 
amongst	mo gare ga; 
amount	bokana;  kana ka;  seboka; 
amounted	lekane ka; 
amounting	kana ka; 
amounts	bokana;  kana ka;  seboka; 
analogue	analoko; 
analyse	sekaseka;  lokolola; 
analysed	sekasekile;  lokolotse; 
analyses	ditshetshereganyo; 
analysing	 lokololang; sekaseka; 
analysis	tshetshereganyo; 
ancestor	 modimo; badimo;  mogologolo; 
ancestors	 bagologolo; badimo; 
ancient	bogologolo; 
and	le; 
animal	phologolo;  sebata;  sebatana; 
animals	diphologolo;  dibata;  dibatana; 
animation	ka matlhagatlhaga; dipopae; 
annex	 gapa ka dikgoka; gapa; 
annexure	mametlelelo; 
anniversary	segopotso; 
announced	itsisitse; 
announcement	kitsiso; 
announcements	dikitsiso; 
announces	itsise; 
annual	 ngwaga le ngwaga; sengwaga; 
annually	ka ngwaga;  ngwaga le ngwaga; 
annum	ngwaga; 
answer	karabo; 
answers	dikarabo; 
antenatal	boimana;  pele ga pelego; 
anthem	pina; 
anti-apartheid	kgatlhanong le kgethololo; 
anti-corruption	­kgatlhanong le bonweenwee; 
anti-pass	­kgatlhanong le dipasa; 
anticipated	 akanyeditse kwa pele; solofetse; 
any	nngwe le nngwe;  ­epe; 
anyone	mongwe; 
anything	sengwe le sengwe; 
apart	aroganeng; 
apartheid	kgethololo; 
apparent	ka ponalo; 
appeal	boikuelo;  ipiletso; 
appeals	boikuelo;  ipiletso; 
appear	tlhagelela;  lebega;  bonala;  go ntse jaaka; 
appearance	tlhagelela;  tebego; 
appeared	 bonagetse;  lebegile; tlhageletse;  go nnile jaaka; 
appearing	tlhagelelang;  lebegang;  bonalang; 
appears	tlhagelela;  lebega;  bonala;  go ntse jaaka; 
appellant	moikuedi; 
appendix	 lelana; mametlelelo; 
applaud	opa diatla; 
applause	lošalaba; 
applicable	maleba; 
applicant	mokopi; 
applicants	bakopi; 
application	 tiriso; kopo;  tiragatso;  lenaanetiriswa; 
applications	 ditiriso; manaanetiriswa; dikopo;  ditiragatso; 
applied	 tiredi; dirisitsweng; 
applies	kopa; 
apply	kopa; 
applying	kopang; 
appoint	thapa; 
appointed	thapile; 
appointing	thapang; 
appointment	peo;  peelano; 
appointments	 dipeelano; dithapo; 
appoints	thapa; 
appreciate	 -leboga; anaanela; 
appreciated	anaanetse; lebogile; 
appreciates	leboga;  anaanela; 
appreciation	kanaanelo; 
approach	itlhagisa;  itlhagiso; 
approached	itlhagisitse; 
approaches	itlhagisa;  itlhagiso; 
appropriate	 -lebaneng; tshwanela; 
appropriated	tshwanetse;  lebaneng; 
appropriately	ka tsela e e maleba; 
appropriation	kabo; 
appropriations	dikabo; 
approval	tumelo; 
approve	rebola; 
approved	rebotse; 
approximately	katametso;  - ka nnang; 
arbitration	tsereganyo; 
arbitrator	motsereganyi; 
architect	ramaanokago; 
architects	boramaanokago; baralakago; 
architectural	­boagi; 
architecture	boagi; 
archival	­akhaefe; 
archive	akhaefe; 
archives	akhaefe; 
area	karolo;  kgaolo;  boalo; 
areas	 dikgaolo; dikarolo;  boalo; 
arena	botlhabanelo; 
argued	phegisane; 
argument	ngangisano; 
arguments	diajumente; dingangisano; 
arise	tsoga;  nanoga; 
arises	tsoga;  nanoga; 
arising	 nanogang; tsogang; 
arm	letsogo; 
armed	tletse kitso;  ­tlhometse; 
arms	dibetsa; 
arose	tsogile;  nanogile; 
around	dikologa; 
arrange	rulaganya; 
arranged	rulagantse; 
arrangement	thulaganyo; 
arrangements	dithulaganyo; 
array	tatelano; 
arrest	tshwara; 
arrested	tshwere; 
arrival	 bogorogelo; kgorogo; 
arrive	 goroga; fitlha; 
arrived	 fitlhile; gorogile; 
art	bokgabisi;  botsweretshi; 
artefacts	dilwana tsa bogologolo; 
article	 selo;  athikele, kgang; kgang;  athikele;  temana; 
articles	 diathikele;  dikgang;  ditemana; dilo; 
articulate	 ­kgona go bua bonolo;  tlhagisa maikutlo; kapodisa; 
articulated	tshwaragantsweng; 
artist	 sekgabisi; motsweretshi; 
artistic	-bokgabane;  botsweretshi; 
artists	bataki; bakgabisi;  batsweretshi; 
arts	botshweretsi; 
artwork	setshwantsho; 
artworks	ditshwantshotako; ditshwantsho; 
as	jaaka; 
ascertain	netefatsa;  tlhomamisa; 
aside	fa thoko; 
ask	botsa; 
asked	boditse; 
asking	botsang; 
asks	botsa; 
aspect	ntlha; 
aspects	dintlha; 
aspiration	 phegelelo; khuetso; 
aspirations	diphegelelo; dikhuetso; 
assault	tlhaselo;  kgobatso; 
assembly	kokoano; 
assented	dumelane; 
assert	tlhomamisa; 
assess	 lekanya; atlhola; 
assessed	 lekanyeditse; atlhotse; 
assesses	 lekanya; atlhola; 
assessing	 atlholang; lekanyang; 
assessment	tekanyo; 
assessments	ditekanyo; 
assessor	molekanyetsi; 
assessors	balekanyetsi; 
asset	letlotlo; 
assets	letlotlo; 
assign	 neela tiro; aba; 
assigned	 neetse tiro; abile; 
assignment	tiro; 
assist	thusa; 
assistance	thuso; 
assistant	mothusi;  motlatsa­; 
assisted	thusitse; 
assisting	thusang; 
assists	thusa; 
associate	botsalano;  tsalana; 
associated	tsalane; 
association	tsalano; 
associations	ditsalano; 
assume	 simolola (tiro); itlhoma;  itshwara (maitsholo); 
assumed	simolotse;  itshwere;  itlhomile; 
assumptions	maitlhomo;  ditshimololo; 
assurance	netefaletso; 
assure	netefaletsa; 
assured	netefaleditse; 
astronomy	bolepanaledi; 
at	 fa; mo;  kwa; 
athletics	atleletiki;  diatleletiki; 
atmosphere	lefaufau; 
atmospheric	­lefaufau; 
attach	 thukutha; tshwaraganya; 
attached	tshwaragantse; 
attachment	 go rata thata; mametlelelo; 
attack	tlhaselo;  tlhasela; 
attacks	tlhasela;  ditlhaselo; 
attain	go fitlha; 
attained	fitlhile; 
attainment	phitlhelelo; 
attempt	iteka;  iteko; 
attempted	itekile; 
attempts	maiteko;  iteka; 
attend	go tsena; 
attendance	tseno; 
attended	tsene; 
attending	tsenang; 
attention	ema tswe; 
attitude	boitshwaro; 
attitudes	boitshwaro; 
attorney	mmueledi; 
attorney-general	ratshekiso; 
attorneys	babueledi; 
attract	gogela; 
attracted	gogetse; 
attribute	 semelo;  setlhaodi; boleng; 
auction	fantisi; 
audience	bareetsi;  babogedi; 
audiences	bareetsi;  babogedi; 
audio	 ­modumo; ­kutlo; 
audio-visual	 sedirisokutlopono; -kutlopono; 
audiovisual	kutlopono; 
audit	 thuno; runa; 
audited	runile; 
auditing	thuno; runang; 
auditor	moruni; 
auditor-general	moruni-kakaretso; 
auditors	baruni; 
audits	 dithuno; runa; 
august	phatwe;  ­kgatlhisang; 
auspices	ka thuso le tshegetso; 
authentic	­mmatota; mannete; 
author	mokwadi; 
authorisation	 tumelelo; tetla; 
authorise	letla;  dumelela; 
authorised	dumeletswe; 
authorities	 dipuso; dithata;  ditaolo;  balaodi; 
authority	 moitseanape; thata;  taolo;  molaodi;  puso; 
authorization	 tumelelo; tetla; 
authorize	letla;  dumelela; 
authorized	 letleletse; dumeletse; 
authors	bakwadi; 
automated	­dirisitse motšhini; dirisitse khomphiuta; 
automatic	-itirisang; 
automatically	ka go itirisa; 
availability	botlhokamolekane; bokgoni jwa go nna teng; 
available	teng; 
avenue	mmila; 
avenues	mebila; 
average	 -palogare; palogare; 
aviation	bofofane; 
avoid	tila;  tlhokomologa; 
avoidance	tlhokomologo; phefogo;  thibogo;  tilo; 
awaiting	 letileng; emetseng; 
award	kabelo; 
awards	dikabelo; 
aware	itse;  -itse; 
awareness	temoso; 
away	 ­se yo; ­e seng fa gae; 
babies	masea; 
baby	lesea; 
back	 motlokolo;  marudi;  lentle la seatla;  kgorikgori; morago;  kutu ya loleme;  motlhana; 
backdrop	lemorago; 
background	 maitshetlego; lemorago; 
backgrounds	 maitshetlego; lemorago; 
backlog	tshalelomorago; 
backlogs	ditshalelomorago; 
bad	maswe;  -be;  bosula;  -seng sentle; 
bag	kgetse; 
bail	madi a kgololo;  topololo; 
bake	 -besa; besa; 
baking	besang; 
balance	tekatekano;  selekanyaboima;  lekalekana;  batla tshalelo;  tekano;  itshetlela;  tshalelo;  madi a a setseng; 
balanced	lekalekanang; 
balances	lekalekanya; diêlamaleka;  batla tshalelo;  ditekanyaboima;  itshetlela;  ditekatekano;  ditekano;  ditshalelo; 
ball	 sebete sa leoto; kgwele; 
band	setlhopha;  banta;  orekese; 
bank	 losi; banka;  polokelo; 
banking	go gotsa; 
banks	 dipolokelo;  dintshi; dibanka; 
baobab	mowana; 
bar	noko;  ntlo ya nnotagi; 
bargain	sesolo; 
barrier	legora; 
barriers	magora; 
base	 motheo- thulaganyopalo; motheo;  beisi;  bodimelo;  letlase; 
based	theilwe; 
baseline	selekanyetso; 
basic	theo; 
basics	dintlhatheo; 
basis	 theo; motheo; 
basket	seroto; 
battle	ntwa; 
bay	kgogometso; 
be	go nna; 
beach	lebopo; 
beaches	mabopo; 
bear	bera;  Bera (sika loo ntswa); 
bearers	bafetisatuelo; 
bearing	bereng; 
bears	dibera; 
beautiful	ntle; 
beauty	bontle; 
became	nnile; 
because	 ka gore;  ka gobo; gonne;  ka ntlha ya; 
become	-nna; 
becomes	nna; 
becoming	nnang; 
bed	 bolao; boalo; 
beds	 malao; boalo; 
bee	notshe; 
beer	biri; 
before	pele ga; 
began	simolotse;  theile;  simologile; 
begin	 thaya; simolola; 
beginning	tshimologo; 
begins	 thaya; simolola; 
begun	simolotse;  theile; 
behalf	mo boemong jwa; 
behaviour	mokgwa; 
behind	kwa morago ga; 
being	motho;  e leng; 
beings	batho; 
belief	tumelo; 
beliefs	ditumelo; 
believe	dumela; 
believed	dumetse; 
believes	dumela; 
believing	dumelang; 
belong	­ga; 
belonging	­ga; 
belongs	­ga; 
beloved	moratwa;  ­rategang; 
below	tlase ga; 
benchmark	seelo;  selekanyetsi; 
beneficial	­mosola; 
beneficiaries	baamogeladitshiamelo; 
beneficiary	moamogeladitshiamelo; 
benefit	 mosola; thusa; 
benefited	thusitse; 
benefits	 mesola; thusa; 
better	 sita; botoka;  kaone;  phala; 
between	fa gare;  magareng ga; 
beyond	 moseja; feta; 
bid	 - beeletsa; beeletsa; 
bidder	mmeeletsi; 
bidders	babeeletsi; 
bids	beeletsa; 
big	kgolo; 
bigger	kgolwane; 
biggest	kgolokgolo; 
bilateral	 ­dinaga tse pedi; ­ditlhopha tse pedi; 
bill	 molaotlhomo; molato;  tshupamolato;  seananyo; 
billion	bilione; 
bills	melato;  ditshupamolato;  melaotlhomo;  dikananyo; dithomelotshupamolato; 
bind	lomaganya;  konela; 
binding	mokono; 
bingo	motshameko wa bingo; 
biodiversity	­mefutafuta ya diphologolo le dimela; 
biological	­tshela; 
biome	tikologo go ya ka maemobosa le dimela; 
bird	nonyane; 
birds	dinonyane; 
birth	 pelego; botsalo; 
birthday	letsatsi la botsalo; 
black	bontsho; 
blind	foufala;  foufatsa;  foufetse; 
block	semika;  semika sa kgapetla;  katerole; 
blood	 tikologo ya madi; madi; 
blue	tala;  botala;  bolousele;  lousela; 
board	lekgotla;  lekgotla la patlisiso;  letlapa;  papetla; 
boards	diboto;  dikhateboto;  dipapetla; 
boasts	belafala; 
bodies	ditoiso tsa sopo; mekgatlho;  mebele; 
bodily	­mmele; 
body	 sebele;  mmele; mokgatlho; 
bold	pelokgale; 
bond	tlamo; 
bonds	ditlamo; 
book	buka; 
books	dibuka;  beeletsa manno; 
boom	 maparego; poelo; 
boost	tokafatsa;  oketsa; 
border	 thetha; molelwane;  lesi;  mothetho; 
borders	methetho; melelwane;  dintshi;  thetha; 
born	belegwe;  tsalwa; 
borrow	adima; 
borrowing	adimang; 
boss	kgabiso e e rotologileng; 
botanical	­thutadimela;  ­dimela; 
both	ka bobedi; 
bottom	botlase;  letlase; 
bought	rekile; 
bound	lomagantse; konetse; 
boundaries	melelwane; 
boundary	molelwane; 
box	lekase;  lebokose;  ratha; 
boy	mosimane; 
boys	basimane; 
brackets	sekwerepako;  masakana; 
braille	mokwalo wa difofu; 
branch	 moditlhakore;  iphara;  fapoga;  kala; lekala; 
branches	meditlhakore;  dikala;  iphara;  fapoga; makala;  kalo kala; 
brand	 tshuba; letshwaokgwebo;  kuno; 
bravery	- nna sebete; 
breach	tlolo; 
breadth	 bomatla; bophara; 
break	thuba;  go tswa kotswana; 
breakdown	robega; 
breakfast	sefitlholo;  phitlholo; 
breaking	kabelo ya senkgwe; 
breakthrough	katlego; 
bridge	 moratho; letsibogo; 
brief	 sedimosetsa; kwala;  lokwalo; 
briefed	 sedimoseditse; kwadile; 
briefing	tshedimosetso; 
briefly	ka bokhutshwane; 
briefs	 dikwalo;  sedimosetsa; kwala; 
bring	 tla le;  lere; tlisa; 
bringing	 lereng; tlisang;  tlang le; 
brings	 tla le;  lere; tlisa; 
broad	phaphathi; 
broadband	kgolagano ya dikhomphuita ka inthanete;  thomelotemosi; 
broadcast	 -gasa;  gasa; kgaso; 
broadcaster	mogasi; 
broadcasters	bagasi; 
broadcasting	kgaso; 
broaden	oketsa;  atolosa;  atlhamisa; 
broadening	katoloso;  koketso; katlhamiso; 
broader	phaphathi; 
broadly	ka kakaretso; 
brochure	bukana; 
brochures	dibukana; 
bronze	boronse; 
brother	morwaarra; 
brothers	bomorwarra; 
brought	 lerile;  tlile le; tlisitse; 
brutal	setlhogo; 
brutality	bosetlhogo; 
budget	 tekanyetsokabo;  lekanyetsa; tekanyetso; 
budgetary	­tiriso ya ditšhelete; 
budgeted	lekanyeditse; 
budgeting	lekanyetsang; 
budgets	 ditekanyetsokabo; lekanyetsa;  ditekanyetso; 
buffalo	nare; 
build	aga; 
build-up	oketsega ka iketlo; 
building	moago; 
buildings	meago; 
built	agile; 
bulk	 kgoboko; botlalo; 
burden	 mokgweleo; morwalo; 
bureau	biro; 
buried	epetse; 
burning	phisetso; 
bursaries	dibasari; 
bursary	basari; 
bury	epela; 
bus	bese; 
business	kgwebo; 
businesses	dikgwebo; 
busy	tshwaregile; 
but	 mme fela; mme; 
buy	reka; 
by	 go bapa le; ka; 
cabinet	kabinete; 
calculate	balela; 
calculated	baletse; 
calculating	balelang; 
calculation	palelo; 
calendar	 kalentara; alemanaka; 
call	 leletsa;  etela;  bitsa; raya; 
called	 biditse; etetse;  teile; letseditse; 
calling	pitso; 
calls	ditaelo;  megala; 
came	tlile; 
camp	 moraka;  kampa; thibelela;  mathibelelo;  - kampa; 
campaign	letsholo; 
campaigns	matsholo; 
camps	thibelela;  dikampa;  mathibelelo;  meraka; 
campus	khempase; 
campuses	dikhempase; 
can	kane;  khena; 
can't	­kake;  ­se ke; 
cancel	 khansela; sutlha; 
cancellation	phimolo; tshutlho; 
cancelled	khansetswe; 
cancer	kankere; 
candidate	 ntlhopeng;  motlhatlhobiwa; ntlhopheng; 
candidates	bontlhopheng;  batlhatlhobiwa;  bontlhopeng; 
cannot	­kake;  ­se ke; 
cant	­kake;  ­se ke; 
cap	mmese; 
capabilities	bokgoni;  nonofo; 
capability	bokgoni;  nonofo; 
capable	kgona; 
capacities	methamo; 
capacity	mothamo; 
capacity-building	koketso ya bokgoni; 
cape	kapa; 
capita	per capita; 
capital	 kapetlele;  mošate;  motsemogolo; letlotlo; 
caps	 mebese; makgetlotshameko; 
capture	gatisa;  thopa; 
captured	 thopile; gatisitse; 
