Act of Parliament	Molao wa Palamente
Department of Communications	Lefapha la Tlhaeletsano
Department of Correctional Services	Lefapha la Ditirelo tsa Kgopololo
Department of Defence	Lefapha la Tshireletso
Department of Education	Lefapha la Thuto
Department of Environmental Affairs and Tourism	Lefapha la Merero ya Tikologo le Bojanala
Department of Finance	Lefapha la Matlotlo
Department of Health	Lefapha la Pholo
Department of Home Affairs	Lefapha la Merero ya Selegae
Department of Housing	Lefapha la Tlamelo ya Matlo
Department of Justice	Lefapha la Bosiamisi
Department of Justice and Constitutional Development	Lefapha la Bosiamisi le Tlhabololo ya Molaotheo
Department of Labour	Lefapha la Bodiri
Department of National Education	Lefapha la Bosetšhaba la Thuto
Department of Public Enterprises	Lefapha la Ditiro tsa Setšhaba
Department of Public Service and Administration	Lefapha la Bodiredipuso le Botsamaisi
Department of Public Works	Lefapha la Ditiro tsa Setšhaba
Department of Science and Technology	Lefapha la Bonetetshi le Thekenoloji
Department of Social Development	Lefapha la Tlhabololo ya Loago
Department of Sport and Recreation	Lefapha la Metshameko le Boitapoloso
Department of State	Lefapha la Puso
Department of Trade and Industry	Lefapha la Kgwebisano le Madirelo
Department of Transport	Lefapha la Dipalangwa
Department of Water Affairs	Lefapha la Merero ya metsi
Department of Water Affairs and Forestry	Lefapha la Merero ya Metsi le Dikgwa
Deputy Speaker	Mothusa-Mmusakgotla
Deputy Speaker of Parliament	Mothusa-Mmusakgotla wa Palamente
Development Bank of Southern Africa	Bankatlhabololo ya Borwa ba Aforika
Director of Public Prosecution	Mokaedi wa Botšhotšhisi  jwa  Bosetšhaba
Director of Public Prosecutions	Mokaedi wa Botšhotšhisi  jwa  Bosetšhaba
Dutch Reformed Church	Kereke  e e tlhabologileng ya Datšhe
Eastern Cape	Kapa Botlhaba
European Union	Lekgotla la Yuropa
Executive Council	Kgotlakhuduthamaga
Financial Services Board	Boto ya Ditirelo tsa Ditšhelete
Financial and Fiscal Commission	Khomišene ya tsa Ditšhelete le Kgwebo
Fire Protection Association	Mokgatlho  wa Tshireletso kgatlhanong le melelo
First World	Dinaga tse di Humileng
First World War	Ntwa ya Ntlha ya Lefatshe
Foundation for Creative Arts	motheo wa botsweretshi jwa go bopa
Free State	Foreisetata
Free State Stadium	Lebala la Foreisetata
Freedom Charter	Tšhata ya Kgololesego
Freedom Day	Letsatsi le Kgololesego
Freedom Front	Freedom Front
Gauteng Provincial Government	Puso ya Selegae ya kwa Gauteng
HIV and Aids	lebolelamading
Heads of Diplomatic Missions	Baeteledipele ba Maikaelelo a bodipolomate 
Health Professions Council of South Africa	Khansele ya Baitseanape ba tsa Kalafi ba Aforika Borwa
High Court	Kgotlatshekelo e e kwa Godimo
High Court of South Africa	Kgotlatshekelokgolo
Horn of Africa	Dinaga tsa Aforika tse di batlileng go tshwana
House of Assembly	Kokoano ya Ntlo
House of Commons	Palamentepotlana ya Borithani
House of Delegates	Ditokololo tsa Ntlo
House of Lords	Palamentekgolo ya Borithani
House of Representatives	Baemedi ba Ntlo
Human Rights Commission	Khomišene ya Ditshwanelo tsa Botho
Human Rights Day	Letsatsi la Ditshwanelo tsa Botho
Human sciences research	Khansele ya dithuto
Independent Electoral Commission	khomišene ya Ditlhopho e e Ikemetseng
Information Society and Development	Setšhaba sa Tshedimosetso le Tlhabololo
Inkatha Freedom Party	Inkatha Freedom Party
International Labour Organisation	Mokgatlho wa Boditšhabatšhaba wa Badiri
International Monetary Fund	Letlole la Matlole a Boditšhabatšhaba
International Olympic Committee	Komiti ya Boditšhabatšhaba ya Diolimpiki
International Relations	Dikamano le Dinaga di Sele
International Telecommunications Union	Mokgatlho wa Boditšhabatšhaba wa Tlhaeletsano ya Megala
Judicial Service Commission	Khomišene ya Ditirelo tsa Bosiamisi
Labour Relations Act	Molao wa dikamano tsa badiri
Land Claims Court	Kgotlatshekelo ya go Tleleima Ditsha
Language Task Group	Setlhopha sa Tiro ka Puo
Leader of the House	Moeteledipele wa Ntlo
Member of Parliament	MP
Minister of Education	Tona ya Thuto
Minister of Justice	Tona ya Bosiamisi
Minority Front	Minority Front
Municipal Demarcation Board	Boto ya Masepala ya Kgaoganyo ya Melelwane
NCOP Committee	Komiti ya NCOP
Natal Indian Congress	Natal Indian Congress
National Agricultural Marketing Council	Khansele ya Bosetšhaba ya Dipapatso tsa Temo
National Arts Council	Khansele ya Botsweretshi ya Bosetšhaba
National Arts Festival	Moletlo wa Botsweretshi wa Bosetšhaba
National Assembly	Kokoanotheomolao ya Bosetšhaba
National Commissioner	Mokomišinara wa Bosetšhaba
National Cultural History Museum	Musiamo wa Bosetšhaba wa Hisetori
National Environmental Management Act	Molawana Tsamaiso wa Tikologo wa bosetšhaba
National House of Traditional Leaders	Kokoano ya Bosetšhaba ya Baeteledipele ba Setso
National Intelligence Agency	Setlamo sa Bosetšhaba sa Matlhale
National Marketing Council	Khansele ya Bosetšhaba ya Dipapatso
National Monuments Council	Khansele ya Bosetšhaba ya Difikantswe
National Party	Lekoko la Bosetšhaba
National Peace Accord	Tumelano Bosetšhaba ya Kagiso
National Prosecuting Authority	Bothati jwa Botšhotšhisi jwa Bosetšhaba
National Qualifications Framework	Letlhomeso la Bosetšhaba la Makwalo a Borutegi
National Revenue Fund	Letlole la Letseno la Bosetšhaba
National Swimming Federation	tshwaragano ya go thuma ya setšhaba
National Training Board	Boto ya Katiso ya Bosetšhaba
National Women's Day	Letsatsi la Bomme la Bosetšhaba
National Youth Commission	Khomišene ya Bašwa ya bosetšhaba
New National Party	Lekoko le le Ntšha la Bosetšhaba
New Year's Day	letsatsi la ngwaga o mošwa
Nkosi Sikelel' iAfrika	Morena Boloka Aforika
Nobel Peace Prize	Kabo ya Tlotlo ya Noble Peace Prize
Northern Cape	Kapa Bokone
Orange Free State	Orange Free State
Orange River Sovereignty	Ipuso ya Foreisetata
Organisation for African Unity	Mokgatlho wa Kitlano ya Aforika
Organisation of African	Mokgatlho wa Aforika
Organisation of African Unity	Mokgatlho wa Kopano ya Aforika 
P and L	P le L
Pan Africanist Congress of Azania	Mokgatlho wa Pan Africanist Congress of Azania
Pan South African Language Board	PanSALB
People Against Gangsterism and Drugs	Batho ba ba Leng Kgatlhanong le Digopa tsa Dinokwane le Diokobatsi
Perishable Products Export Control Board	Boto ya Taolo ya didiriswa tse di bolang tse di romelwang kwa ntle ga naga
Population Registration Act	Molao wa Kwadiso ya Baagi
President of the Senate	Poresidente wa Senete
Pretoria Art Museum	Musiamo wa Botaki wa kwa Pretoria
Pretoria East Cemetery	Mabitla a kwa Botlhaba jwa kwa Pretoria
Prohibition of Mixed Marriages Act	Molao wa kiletso ya Nyalano ya Mefutafuta
Provincial Commissioner	Mokomošinara wa Porofense
Provincial House of Traditional Leaders	Kokoano ya Porofense ya Baeteledipele ba Setso
Public Administration	Bolaodi jwa Setšhaba
Public Order Policing	Mapodisi a a netefatsang ikobelo ya setšhaba
Public Protector	Mosireletsi wa Setšhaba
Public Service Commission	Khomišene ya Ditirelo tsa setšhaba
Reconstruction and Development Programme	Lenaane la Tsweletsopele  le Kagosešwa
Reserve Bank	Banka ya Rasefe
SA Library for the Blind	Laeborari ya difofu ya  SA
San rock painting	Botaki jwa matlapa a morafe wa Masan
Second World War	Ntwa ya Bobedi ya Lefatshe
Secretary to Parliament	Rapalamente
Sector Education and Training Authority	Lephata la Bothati jwa Dithuto le Ikatiso
Skills Development Act	Molao wa tlhabololo ya Boitseanape
South African Bureau of Standards	Biro ya Aforika Borwa ya Merero ya Dikelotheo
South African Chamber of Commerce	Mokgatlho wa Aforika Borwa wa Kgwebo
South African Communist Party	Lekoko le Bokomonisi la Aforikaborwa
South African Constitution	Molaotheo wa Aforikaborwa
South African Council of Churches	Lekgotla la Dikereke le Aforikaborwa
South African Defence Force	Letsholo la Tshireletso la Aforikaborwa
South African Human Rights Commission	SAHRC
South African National Civic Organisation	Mokgatlho wa Bosetšhaba wa baagi wa Aforika Borwa
South African National Defence Force	Letsholo la Bosetšhaba la Tshireletso la Aforikaborwa
South African National Parks	Phaka ya Bosetšhaba ya Aforika Borwa
South African Native National Congress	Khonkerese ya Bosetšhaba ya Naga ya Aforikaborwa
South African Police	Sepodisi sa Aforikaborwa
South African Qualifications Authority	Lefapha la Taolo ya Dithutego la Aforikaborwa
South African Reserve Bank	Banka  ya Resefe ya Aforika Borwa
South African Revenue Service	Ditirelo tsa Lotseno tsa  Aforikaborwa 
South African Secret Service	Lefapha la Ditirelo tsa Sephiri la Aforikaborwa
South African Sugar Association	Mokgatlho wa sukiri wa Aforika Borwa
South African citizen	moagi wa Aforikaborwa
South African design	Popego e e tswang kwa Aforika Borwa
South African tea	Tee ya kwa Aforika Borwa
Southern Africa	Kgaolo e e kwa Bokone jwa Borwa jwa Aforika
Southern African Development Community	Ditšhaba tsa Dinaga tsa Borwa jwa Aforika
Southern African Large Telescope	Thelesekoupu e tona ya kwa Borwa jwa kwa Aforika Borwa
State Department	Lefapha la Puso
State President	Poresidente wa Puso
Statistics South Africa	Dipalopalo tsa Aforikaborwa 
Supreme Court	Kgotlatshekelokgolo
The Call of South Africa	Kopo ya Aforikaborwa
The National Qualifications Framework	Letlhomeso la Bosetšhaba la Makwalo a Borutegi
The South African National Council for the Blind	Khansele ya Bosetšhaba ya Difofu ya kwa Aforika Borwa
Truth and Reconciliation Commission	TRC
UN Security Council	Lekgotla la Tshireletsego la UN
Union of South Africa	Kopano ya Aforika Borwa
United Christian Democratic Party	Lekoko la Temokerasi la Bakeresete le le Kitlaneng
United Democratic Front	United Democratic Front
United Democratic Movement	United Democratic Movement
United Nations	Ditšhaba tse di Kopaneng
Universal Declaration of Human Rights	Tumalano ya botlhe ya Ditshwanelo tsa Botho
Water Research Commission	Khomišene ya ditlhotlhomiso tsa Metsi
West Bank	West Bank
Western Cape	Kapa Bophirima
Willem Prinsloo Agricultural Museum	Musiamo wa Temothuo wa Willem Prinsloo
World Health Organisation	Mokgatlho wa tsa Pholo wa Lefatshe
World Heritage Site	Lefelo la Boswa la lefatshe
World Trade Organisation	Setheo sa Kgwebisano sa Lefatshe
World War I	Ntwa ya Lefatshe ya I
World War II	Ntwa ya Lefatshe ya II
World Wildlife Fund	Letlole la botshelo jwa naga la Lefatshe
abuse of power	Tirisomaatla e e sa siamang
academic freedom	kgololesego ya akatemi
account for	go ikarabela ka sengwe
account to	go ikarabela go
accountable for	go sikara maikarabelo a
accounting officer	motlhankedi wa bobalamatlotlo
acid mine drainage	Kgamololo ya asiti ya moepo
act of parliament	molao wa palamente
act of state	molao wa naga
ad hoc	fa go tlhokega
ad hoc committee	komitinakwana
administration of justice	tsamaiso ya bosiamisi
administrative action	kgato ya tsamaiso
administrative function	tiro ya tsamaiso
administrative powers	maatla a tsamaiso
advancement of technology	tsweletsopele ya thekenoloji
advisory body	setlamo sa bogakolodi
affirmative action	go naya ba ba tlodisiwang matlho ditšhono pele
against the law	kgatlhanong le molao
agent of change	setlamo se se tlisang diphetogo
air traffic	pharakano ya difofane
air traffic control	taolo ya pharakano mo moweng
all rights reserved	ditshwanelo tsotlhe di beeleditswe
all the time	ka dinako tsotlhe
annual financial statement	dikanego tsa ngwaga le ngwaga tsa ditšhelete
annual general meeting	kopano ya ngwaga le ngwaga ya botlhe
annual report	pego ya ngwaga le ngwaga
appoint the cabinet	- tlhoma - kabinete
appropriate technology	thekenoloji e e tshwanetseng
area of interest	se se kgatlhegelwang
area of jurisdiction	lefelo le le ka fa tlase ga taolo
area of land	karolo ya lefatshe
area of responsibility	se go ikarabelwang ka sone
armed struggle	go lwa ka dibetsa
arts and crafts	botaki le bobetli
arts and crafts market	mmaraka wa botaki le bobetli
arts and culture	setso le botsweretshi
as amended	tlhabolotsweng
as far as possible	go tswelelapele ka moo go kgonegang
as many as	bontsikgonego
as soon as possible	ka bonako moo go kgonegang
assumption of duty	tshimololo ya tiro
at a meeting	ka nako ya kopano
at the age of	fa a le dingwaga di le
attainment of independence	go fitlhelelwa ga boipuso
attend a meeting	tsenela kopano
basic human rights	ditshwanelo tsa botho tsa motheo
basic needs	ditlhokego tsa motheo
basic rights	ditshwanelo tsa motheo
bear witness to	go nna mosupi wa
bed and breakfast	borobalo le dijo tsa mo mosong
bilateral relations	dikamano fa gare ga dipuso tse pedi
bill of rights	Molaotlhomo wa Ditshwanelo
black power movement	mokgatlho wa maatla wa Bantsho
board of directors	boto ya balaodi
board of trustees	batlhokomedi ba letlole
body of water	kokotlelo ya metsi
border post	Taolo ya molelwane
bottom line	Gaufi le molelwane
box office returns	bokoso ya dilo tse di busediwang kwa ofising
branches of government	makala a puso
budget process	thulaganyo ya tekanyetsokabo
budget vote	bouto ya tekanyetsokabo
build a part	tsaya karolo
bunch of grapes	ngata ya diterebe
bus rapid transit	sepalangwa sa Dibese sa ka Bonako
business community	bagwebi
business of parliament	tiro ya palamente
business sector	setheo sa kgwebo
by means of	ka
by the authorities	ke bothati
by virtue of	ka ntlha ya
by way of	ka mokgwa wa
by word of mouth	ka puo ya molomo
call centre operator	modiri yo o laolang senthara ya ditlhaeletsano
call for nominations	pitso ya ditlhopho
capacity building	go ruta badiri bokgoni jwa tiro
capital city	motsemošate
central business district	kgaologareng ya kgwebo
central government	puso ya bosetšhaba
certify a bill	tlhomamisa molaotlhomo
chamber of commerce	lekala la kgwebisano
change of address	phetogo ya aterese
change of course	phetolo ya tiragatso
changes over time	phetogo morago ga nako
changing society	setšhaba se se fetogang
checks and balances	go kgaoganya maikarabelo
chief executive	mokhuduthamaga-mogolo
chief whip	mookamedi wa lekoko
child abuse	go sotla bana
child rearing practices	ditiragatso tsa tlhokomelo ya ngwana
children of Africa	bana ba Aforika
city centre	gare ga mpa ya toropo
civil rights	ditshwanelo tsa baagi
civil rights movement	mokgatlho wa ditshwanelo tsa baagi
civil service	tirelosetšhaba
civil society	mokgatlho wa baagi
civil war	nwa ya selegae
coat of arms	Letshwao la Setšhaba
code of conduct	melawana ya maitsholo
code of ethics	molawana wa boitshwaro
collection of data	kokoanyotshedimosetso
collective responsibility	maikarabelo a a kopanetsweng
colonial power	naga e e maatla ya bokolone
colonial rule	puso ya bokolone
come into force	fitlhelela tumelano
come to the point	fitlhelela ntlha
committee meeting	kopano ya komiti
common interest	go kgatlhegela dilo tse di tshwanang
community broadcasting service	tirelokgasogae
community building	kago mo setšhabeng
community development	tlhabololo mo loagong
community involvement	go nna le seabe mo baaging
community participation	go tsaya karolo mo baaging
community police forum	foramo ya sepodisi ya mo baaging
community service	tirelosetšhaba
conclude an agreement	khutlisa tumelano
conditions of contract	dintlhatheo tsa konteraka
conditions of service	maemo a tirelo
conflict of interest	thulano ya dikgatlhegelo
conflict prevention	go thibela dikgotlhang
conflict resolution	go rarabolola dikgotlhang
constitutional democracy	temokerasi ya molaotheo
constitutional mandate	maikarabelo a molaotheo
constitutional state	puso ya molaotheo
consumer price index	tekanyo ya thoko ya diphatlho
contempt of parliament	nyatsa palamente
convene a meeting	go bitsa kopano
cooperation agreement	tumalano ya tirisanommogo
course of action	diragatsa
cultural change	phetogo ya setso
cultural community	baagi ba setso
cultural diversity	pharologano ya setso
cultural goods	dithoto tsa setso
cultural heritage	boswa jwa setso
cultural revolution	phetogo ya setso
culture of human rights	setso sa ditshwanelo tsa batho
current affairs	merero ya ga jaanong
customary law	molao wa setso
customs and excise	makgetho a
cutting edge	e e di gogang kwa pele
data collection	go kokoanya tshedimosetso
date of birth	letlha la tsalo
decent living	botshelo jwa maemo
deciduous fruit industry	madirelo a maungo a matlhare a a tswang
defence force	letsholo la phemelo
degree of freedom	maemo a kgololosego
delegated legislation	kgotlatheomolao e e rwesitsweng maikarabelo
demand and supply	topo le kabo
democratic culture	setso sa temokerasi
democratic election	ditlhopho tsa temokerasi
democratic political order	thulaganyo ya sepolotiki ya temokerasi
democratic principle	molaomotheo wa temokerasi
democratic society	setšhaba sa temokerasi
democratic state	puso ya temokerasi
democratic transformation	phetogo ya temokerasi
democratic values	mekgwa ya temokerasi
deputy minister	motlatsatona
deputy president	motlatsamoporesidente
dereliction of duty	go se dirafatse tiro
developing country	naga e e tlhabologang
development initiatives	matsholo a tlhabololo
development process	thulaganyo ya tlhabololo
development programme	lenaneo la tlhabololo
development strategy	leano la tlhabololo
diplomatic corps	dikoporasi tsa badipolomate
diplomatic relations	dikamano tsa badipolomate
direct support	kemonokeng ya ka tlhamalalo
director general	mokaedikakaretso
disaster management	botsamaisi jwa matlhotlhapelo
disciplinary action	dikgatokgalemo
discussion document	tokomane ya motlotlo
dispossession of land	go tseelwa setsha
distribution capacity	kgono ya go aba
distribution of resources	go aba ditsompelo
distribution of wealth	go aba khumo
district municipality	mmasepala wa kgaolo
diverse society	setšhaba sa ditso tse di farologaneng
diversity of people	batho ba ditso tse di farologaneng
divide and rule	kgaoganya le molao
domain name authority	lekala la leina la bothati
down for discussion	kwa tlase ga dipuisano
draft bill	molaotlhomokakangwa
draft legislation	peomolao ya kakangwa
early warning	tlhagiso ya go sa le gale
ease of access	botseno jo bo bonolo
economic empowerment	maatlafatso ya ikonomi
economic growth	kgolo ya ikonomi
economic impact	diphelelo tsa ikonomi
economic relations	dikamano tsa ikonomi
economic sector	setheo sa ikonomi
economic strength	nonofo ya ikonomi
effective public service	tirelosetšhaba e e mosola
election period	lobaka lwa ditlhopho
election process	thulaganyo ya ditlhopho
election results	dipholo tsa ditlhopho
enabling environment	maemo a go kgonegang mo go one
entitled to vote	letleletsweng go bouta
environmental impact	diphelelo mo tikologong
environmental impact assessment	tekolo ya tiragatso ya tikologo
equal opportunities	ditšhono ka go lekalekana
equality before the law	tekatekano fa pele ga molao
every three years	dingwaga dingwe le dingwe di le tharo
executive action	kgato ya bokhuduthamaga
executive authority	taolo ya bakhuduthamaga
executive organs of state	mafapha a puso a bakhuduthamaga
explanatory memorandum	memorantamo wa tlhaloso
fair election	ditlhopho tse di lokologileng
fall in love	-rata
fauna and flora	diphologolo le dijalo
field of study	lekala la thuto
fill a vacancy	tlatsa phatlhatiro
financial year	ngwaga wa ditšhelete
fiscal discipline	go laola tekanyetsokabo ya puso
five hundred and six	kgolamatlhanothataro
follow up	tatediso
food security	tshireletso ya dijo
forced labour	tiro ya bokgoba
fore and aft	pele le morago
fore and after	pele le morago
foreign direct investment	peeletso ya ka tlhamalalo kwa dinageng di sele
foreign exchange	kananyo ya dinaga di sele
foreign policy	pholisi ya dinaga di sele
free and fair election	ditlhopho tse di lokologileng di sa gobelele
free of charge	ga go na tuelo
free society	setšhaba se se gololesegileng
freedom fighter	molwela-Kgololesego
freedom of association	tshwanelo ya botokololo
freedom of conscience	kgololosego ya monagano
freedom of expression	kgololosego ya go ipuelela
freedom of movement	motsamao o o gololosegileng
freedom of religion	kgololosego ya bodumedi
freedom of scientific research	kgololosego ya patlisiso ya bonetetshi
freedom of speech	kgololosego ya puo
freedom of the press	kgololosego ya dikuranta
from the front	go tswa kwa pele
full supply level	maemo a kabelo e e tletseng
functional area	lefelo le le dirang
fundamental human rights	ditshwanelo tsa batho tse di botlhokwa
fundamental rights	ditshwanelo tse di botlhokwa
future research	patlisiso ya mo isagweng
gender equality	tekatekanobong
gender inequality	go tlhoka tekatekanobong
gender violence	tirisodikgoka go bong
general election	ditlhophokakaretso
get away with	efoga ka
give evidence	naya bosupi
global development	tlhabololo mo lefatsheng lotlhe
global economy	ikonomi ya lefatshe lotlhe
global village	kgolagano ya batho mo lefatsheng lotlhe
go on for	tswelelapele ka ntlha ya
goods and services	dithoto le ditirelo
governing party	lekoko le le busang
government action	kgato ya puso
government authority	taolo ya puso
government by the people	puso ka batho
government department	lefapha la puso
government funding	thuso ya madi a a tswang kwa pusong
government level	seemo sa puso
government of the day	puso ya ga jaanong
government policy	pholisi ya puso
government sector	setheo sa puso
government services	ditirelo tsa puso
governmental organisation	mokgatlho wa puso
grassroots level	batho ba maemo a a tlwaelegileng fela
guard of honour	lethetho la tlotlo
guilty of contempt	molato wa go sa ikobele taelo ya kgotlatshekelo
half a million	halofo ya milione
have a vote	dira tlhopho
head of government	tlhogo ya puso
head of office	kantorokgolo
head of state	tlhogo ya naga
health care	tlhokomelo ya pholo
hierarchy of authority	go latelana ka maemo ga balaodi
historically disadvantaged	ba ba neng ba tlodisiwa matlho
hold a meeting	tshwara kopano
hold office	go busa
honorary citizenship	go tsewa jaaka moagi wa naga
honours and awards	onase le dikabo
host country	naga e go direlwang kwa go yone
host nation	setšhaba se go direlwang kwa go sone
house of assembly	ntlo ya peomolao
houses of parliament	dikokoano tsa palamente
human development	tlhabololo ya botshelo jwa batho
human dignity	seriti sa botho
human nature	ga tlholego
human race	lotso lwa batho
human resource	lefapha la tsa badiri
human resource development	tlhabololo ya metswedithuso ya badiri
human rights	ditshwanelo tsa batho
human rights abuse	kgatako ya ditshwanelo tsa botho
human rights activist	molwanedi wa ditshwanelo tsa botho
human rights violation	tlolomolao ya ditshwanelo tsa botho
human security	tshireletso ya batho
imbalances of the past	go tlhoka tekatekano ga nako e e fetileng
immediate past president	moporesitente wa maloba
in accordance with	mo tatelong ya
in accordance with the rules	mo tatelong ya melao
in addition to	mo godimo ga
in an acting capacity	mo maemong a go emela
in any way	mo tiragalong nngwe le nngwe
in case of	fa go ka
in celebration of	mo ketekong ya
in compliance with	mo ikobelong ya
in connection with	mabapi le
in consultation with	ka therisano le
in excess of	go feta selekanyo
in favour of	mo molemong wa
in front of	fa pele ga
in good faith	ka boikanyegi
in office	go busa
in so far	ka foo
in spite of	le fa
in support of	mo tshegetsong ya
in terms of	mo tatelong ya
in the balance	mo tekatekanong
in the course of	mo tsamaong ya
in the evening	mo bosigong
in the event of	mo tiragalong ya
in the field of	mo lepatlelong la
in the gap	mo phatlheng
in the interim	mo nakwaneng
in the lead	mo ketelelong pele
in the long term	mo nakong e e leele
in the majority	mo bontsing
in the morning	mo mosong
in the name of	mo leineng la
in the picture	mo setshwantshong
in the region of	- mo kgaolong ya -
in the white	mo bosweung
inaugural address	puotlhomo
inaugural meeting	kopanotlhomo
income tax	lekgetho la madi a lotseno
indigenous culture	setso se ba tlholegileng ka sone
indigenous language	puo e ba tlholegileng ka yone
indigenous people	batho ba ba dipuo tse ba tlholegileng ka tsone
industrial society	setšhaba sa diintaseteri
infant mortality rate	kelo ya dintsho ya masea
information retrieval	go ntsha tshedimosetso mo polokelong
information retrieval system	tsamaiso ya phitlhelelo ya tshedimosetso
inner city	toropo e e fa gare
inspector of mines	motlhatlhobi wa meepo
intellectual property rights	ditshwanelo tsa tetlokhopi
intergovernmental relations	dikamano tsa fa gare ga dipuso tse di farologaneng
interim constitution	molaotheo wa nakwana
international affairs	merero ya dinaga di sele
international community	baagi ba boditšhabatšhaba
international humanitarian law	molao wa boditšhabatšhaba wa go thusa batlhoki
international relations	dikamano le dinaga di sele
interrupt the proceedings	kgoreletsa ditsamaiso
investment of capital	ditshenyegelo tsa setlamo
job creation	go tlhama ditiro
joint committee	komiti ya maloko a ditheo tse di farologaneng
joint meeting	kopano ya maloko a ditheo tse di farologaneng
joint responsibility	boikarabelo jo bo kopanetsweng
joint rules committee	komiti ya melao ya maloko a ditheo tse di farologaneng
joint sitting	go kopana mmogo ga ditlhopha tse di farologaneng
judicial authority	taolo ya boatlhodi
keep in mind	gakologelwa
keep up to date	tshola mo nakong
key performance area	ntlhatheo ya tiragatso
labour force	badiri ba setlamo
labour intensive	tlhokang badiri ba bantsi thata
labour market	mmaraka wa badiri
lack of energy	tlhoka maikatlapelo
land ownership	mong wa setsha
land reform	kabo ya ditsha
land restitution	go busediwa ditsha
land rights	ditshwanelo tsa go newa setsha
language policy	pholisi ya dipuo
language practice	go dira ka puo
language rights	ditshwanelo tsa puo
law enforcement	katlholo ya batlolamolao
lay a charge	bega molato
leader of the opposition	moeteledipele wa lekokokganetso la semmuso
learning process	thulaganyo ya go ithuta
least of all	bogolo bogolo
legacy of apartheid	lefa la morago ga paka ya tlhaolele
legal deposit library	laeborari ya dikabo tsa diphasalatso tsa semolao
legislative authority	taolo ya kgotlatheomolao
legislative function	tiro ya kgotlatheomolao
legislative power	thata ya kgotlatheomolao
legislative powers	dithata tsa kgotlatheomolao
legislative process	thulaganyo ya kgotlatheomolao
level of government	seemo sa puso
level of service	maemo a tirelo
levels of development	maemo a tlhabololo
liberation movement	mokgatlho o o lwelang kgololesego
liberation struggle	go lwela kgololesego
limited access	phitlhelelo e e lekanyeditsweng
lingua franca	dipuo tsa go tlhaeletsana
list of members	lenaane la ditokololo
local government	pusoselegae
local government level	seemo sa pusoselegae
