Act of Parliament	Umtsetfo wePhalamende
Cradle of Humankind	Indzawo yemagugu leveta lapho umuntfu adzabuka khona
Criminal Procedure Act	Umtsetfo Wenchubo Yemacala Ebugebengu
Customs and Excise	Intsela yekungenisa tintfo eveni neyekutisusa embonini
Day of Goodwill	Lilanga Lekwenta Lokuhle
Day of Reconciliation	Lilanga Lekubuyisana
Day of the Covenant	Lilanga Lesivumelwane
Democratic Alliance	Inhlangano Yetepolitiki i-Democratic Alliance
Democratic Party	Inhlangano Yetepolitiki i-Democratic Party
Department of Agriculture	Litiko Letekulima
Department of Arts and Culture	Litiko Letebuciko Nemasiko
Department of Communications	Litiko Letekuchumana
Department of Defence	Litiko Letekuvikela
Department of Education	Litiko Letemfundvo
Department of Environmental Affairs and Tourism	Litiko Letendzawo Nekuvakasha
Department of Finance	Litiko Letetimali
Department of Health	Litiko Letemphilo
Department of Home Affairs	Litiko Letasekhaya
Department of Housing	Litiko Letetindlu
Department of Justice and Constitutional Development	Litiko Letebulungiswa Netekutfutfukiswa Kwemtsetfosisekelo
Department of Labour	Litiko Letetisebenti
Department of Land Affairs	Litiko Letemihlaba
Department of National Education	Litiko Lavelonkhe Letemfundvo
Department of Public Service and Administration	Litiko Letemisebenti Yahulumende Nekuphatsa
Department of Public Works	Litiko Letemisebenti Yesive
Department of Science and Technology	Litiko Letesayensi Nethekhinoloji
Department of Social Development	Litiko Letekutfutfukisa Tenhlalo
Department of Sport and Recreation	Litiko Letemidlalo Nekukhibika
Department of State	Litiko Lahulumende
Department of Trade and Industry	Litiko Letekuhwebelana Netetimboni
Department of Transport	Litiko Letekutfutsa
Department of Water Affairs	Litiko leTemanti
Department of Water Affairs and Forestry	Litiko Letemanti Netemahlatsi
Deputy Speaker	Lisekela laSomlomo
Deputy Speaker of Parliament	Lisekela laSomlomo WePhalamende
Director of Public Prosecution	Umcondzisi Weluphiko Lwebashushisi
Director of Public Prosecutions	Umcondzisi Weluphiko Lwebashushisi
Dutch Reformed Church	Lisontfo Lelidzabuka eDutch 
Eastern Cape	iMphumalanga Kapa
Employment Equity Act	Umtsetfo wekulinganisa Ematfuba Ekucashwa
European Union	Lubumbano Lwemave ase-Yurophu
Executive Council	Umkhandlu weSigungu Lesikhulu
Financial and Fiscal Commission	Ikhomishini Yetetimali Tahulumende Nekuhlelenjiswa Kwato
Fire Protection Association	Inhlangano yetekuvikela imililo
First World	Live lelisezingeni lelisetulu/Lelinjingile
First World War	Imphi Yekucala Yemhlaba
Foundation for Creative Arts	Inhlangano Yetebuciko Basesiteji
Free State	iFreyistata
Free State Stadium	Inkhundla Yetemdlalo YaseFreyistata
Freedom Charter	Umculu Wenkhululeko
Freedom Day	Lusuku Lwenkhululeko
Freedom Front	ihlangano i-Freedom Front
Gauteng Provincial Government	Hulumende Wesifundza SaseGauteng
Government of National Unity	Hulumende Welubumbano Wavelonkhe
HIV and Aids	sandvulelangculazi nengculazi
Heads of Diplomatic Missions	Baphatsi Bemancusa Emave
Health Professions Council of South Africa	Umkhandlu Wetisebenti Temphilo WaseNingizimu Afrika
High Court	inkhantolo Lephakeme
High Court of South Africa	Inkhantolo Lephakeme YaseNingizimu Afrika
Horn of Africa	Luphondvo le-Afrika
House of Assembly	Indlu Yesigungu Lesiphetse
House of Commons	Indlu Yephalamende Lencane Emaveni 
House of Delegates	Indlu Yetitfunywa
House of Lords	Indlu Lenkhulu Yetitatanyiswa
House of Representatives	Indlu Yebameleli
Human Rights Day	Lilanga Lemalungelo Eluntfu
Human sciences research	Lucwaningo Lwetifundvo Letiphatselene Nebantfu
Industrial Development Corporation	Ikoporasi Yekutfutfukisa Timboni
Information Society and Development	Inhlangano Yelwatiso Nentfutfuko
Inkatha Freedom Party	Inhlangano Yetepolitiki Inkatha Freedom Party
International Monetary Fund	Sikhwama Semave Emhlaba Semali
International Olympic Committee	Ikomiti yema-Olympic Emave Emhlaba 
International Relations	Tebudlelwano Nemave Emhlaba
International Telecommunications Union	inyonyane Yetekuchumana Yemave Emhlaba
Judicial Service Commission	Ikhomishini Yemisebenti Yetebulungiswa
Labour Relations Act	Umtsetfo Wetintfo Letiphatselene Netisebenti
Land Claims Court	Inkhantolo Yekwenta Ticelo Temhlaba
Language Task Group	Licembu Lekusebenta Lelulwimi
Leader of the House	umholi wendlu
Leader of the Official Opposition	Umholi welicembu Leliphikisako Ngalokusemtsetfweni
Member of Parliament	Lilunga Lephalamende
Minister of Education	Indvuna Yetemfundvo
Minority Front	i-Minority Front
Municipal Demarcation Board	Ibhodi Yemincele Yabohulumende basekhaya
NCOP Committee	Ikomiti ye-NCOP
Natal Indian Congress	Khongolose weMandiya aseNatali
National Agricultural Marketing Council	Umkhandlu Wavelonkhe Wekukhangisa Kutekulima
National Arts Council	Sigungu Setebuciko Savelonkhe
National Arts Festival	Sibhimbi Setebuciko Savelonkhe
National Assembly	Sigungu Savelonkhe
National Commissioner	Khomishana Wavelonkhe
National Council of Provinces	Umkhandlu Wetifundza Wavelonkhe
National Council of Provinces Committee	Likomiti Lemkhandlu Wetifundza Wavelonkhe
National Cultural History Museum	Umsamo Wavelonkhe Wemlandvo Wemasiko
National Environmental Management Act	Umtsetfo Wekuphatsa Simondzawo Sesive
National Film and Video Foundation	Inhlangano Yemavidiyo Nemafilimu Yavelonkhe
National House of Traditional Leaders	Indlu Yavelonkhe Yemakhosi Endzabuko
National Intelligence Agency	I-ejensi Yavelonkhe Yetebunhloli
National Marketing Council	Umkhandlu Wavelonkhe Wekukhangisa
National Monuments Council	Umkhandlu Wavelonkhe wetindzawo letimagugu
National Party	Inhlangano Yetepolitiki i-National Party
National Peace Accord	Sivumelwano Sekuthula Savelonkhe
National Qualifications Framework	Luhlaka lwavelonkhe lweticu
National Revenue Fund	Sikhwama Savelonkhe Sentsela
National Swimming Federation	Inhlangano Yavelonkhe Yekubhukusha
National Training Board	Ibhodi Yavelonkhe Yetekucecesha
National Women's Day	Lusuku Lwabomake Lwavelonkhe
National Youth Commission	Ikhomishini Yelusha Yavelonkhe
New National Party	Inhlangano Yetepolitiki i-New National Party
Nkosi Sikelel' iAfrika	Nkosi Busisa i-Afrika
Northern Cape	Inyakatfo Kapa
Organisation for African Unity	Inhlangano Yelubumbano Lwemave ase-Afrika
Organisation of African	Inhlangano Yema-Afrika
Organisation of African Unity	Inhlangano Yelubumbano Lwemave Ase-Afrika
P and L	P na L
People Against Gangsterism and Drugs	 Bantfu Labalwa Nebugebengu Bemagenge Netidzakamiva
Perishable Products Export Control Board	ibhodi lelawula kutfunyelwa kwekudla lokubola masinyane
Population Registration Act	Umtsetfo Wekubhaliswa Kwelinanibantfu
President of the Senate	Mengameli Wendlu Yetimphunga
Pretoria Art Museum	Umsamo eeTebuciko wasePitoli
Pretoria East Cemetery	Emathuneni aseMphumalanga yePitoli
Provincial Commissioner	Khomishana Wesifundza
Provincial House of Traditional Leaders	Indlu Yemakhosi Endzabuko Yesifundza
Public Administration	Kuphatfwa Kwahulumende
Public Order Policing	Emaphoyisa ekulawula budlova emmangweni
Public Protector	Umvikeli Wemmango
Public Service Commission	ikhomishana lebukene nekusebenta kwahulumende
Republic of South Africa	iRiphabliki yaseNingizimu Afrika
Reserve Bank	Libhangengodla
SA Library for the Blind	Umtapolwati waseNingizimu Afrika webantfu Labangaboni Emehlweni
San rock painting	Imidvebo yemaSan
Second World War	Imphi Yemhlaba Yesibili
Sector Education and Training Authority	i-SETA
Skills Development Act	Umtsetfo Wekutfutfukiswa Kwemakhono
South African Bureau of Standards	Sikhungo saNingizimu Afrika Sekubuka Emazinga
South African Chamber of Commerce	inhlangano yetemnotfo yaseNingizimu Afrika
South African Communist Party	Licembu Lemakhomanisi laseNingizimu Afrika
South African Constitution	Umtsetfosisekelo waseNingizimu Afrika
South African Council of Churches	Umkhandlu Wemasontfo aseNingizimu Afrika
South African Defence Force	Umbutfo Wetekuvikela Welubandlululo waseNingizimu Afrika
South African Local Government Association	Inhlangano Yabohulumende Bekhaya eNingizimu Afrika
South African National Civic Organisation	Inhlangano Yavelonkhe yemmango waseNingizimu Afrika
South African National Defence Force	Umbutfo Wetekuvikela WaseNingizimu Afrika
South African National Parks	Emapaki Avelonkhe aseNingizimu Afrika
South African Native National Congress	i-South African Native National Congress
South African Police	Emapoyisa aseNingizimu Afrika
South African Qualifications Authority	Umtimba Weticu waseNingizimu Afrika
South African Secret Service	Luphiko Lwemsebenti Lefihlakele lwaseNingizimu Afrika
South African Sugar Association	Inhlangano Yashukela yaseNingizimu Afrika
South African design	idizayini yaseNingizimu Afrika
South African tea	Litiya laseNingizimu Afrika
Southern Africa	Incenye LengaseNingizimu kwe-Afrika
Speaker of Parliament	Somlomo Wephalamende
Speaker of the National Assembly	Somlomo Welibandla Lavelonkhe
State Department	Litiko Lahulumende
State President	Mengameli Welive
Statistics South Africa	Luphiko Lwelubalobalo LwaseNingizimu Afrika
Supreme Court	Inkhantolo Lenkhulu
Supreme Court of Appeal	Inkantolo Yekundlulisa emacala Lephakeme
The Call of South Africa	Kusiphakamiso Lesentiwa iNingizimu Afrika
The National Qualifications Framework	Luhlaka lwavelonkhe lweticu
The South African National Council for the Blind	Umkhandlu WaseNingizimu Afrika Webantfu Labangaboni
Truth and Reconciliation Commission	Ikhomishini Yemaciniso Nekubuyisana
UN Security Council	Umkhandlu Wetekuvikela we-UN
Union of South Africa	Hulumende waseNingizimu Afrika ngesikhatsi sabo-1910
United Christian Democratic Party	i-United Christian Democratic Party
United Democratic Front	i-United Democratic Front
United Democratic Movement	i-United Democratic Movement
United Nations	Emave Amhlabuhlangene
United States of America	Emave Labumbene aseMelika
Universal Declaration of Human Rights	Simemetelo Samhlabawonkhe Semalungelo Eluntfu
Water Research Commission	ikhomishana yelucwaningo kutemanti
West Bank	i-West Bank
Western Cape	Inshonalanga Kapa
Willem Prinsloo Agricultural Museum	Umsamo Wetekulima iWillem Prinsloo
World Health Organisation	Inhlangano Yetemphilo Yavelonkhe
World Heritage Site	indzawo yemagugu yemhlaba
World Trade Organisation	inhlangano yekuhwebelana yemhlaba
abuse of power	kusetjentiswa kabi kwesikhundla
academic freedom	inkhululeko kutemfundvo
account for	kuphendvula ngentfo tsite
account to	kuphemdvula ku-
accountable for	kutawubutwa kuwe
accounting officer	sisebenti lesitawuphendvula
acid mine drainage	emanti asemayini langcolisa indalo
act of parliament	umtsetfo wephalamende
act of state	umtsetfo wahulumende
ad hoc	 kwesikhashana
ad hoc committee	likomiti lesikhashana
administration of justice	kulawula bulungiswa
administrative action	sinyatselo sekuphatsa
administrative function	umsebenti wekuphatsa
administrative powers	emandla ekuphatsa
advancement of technology	Kukhulisa kutethekhinoloji
advisory body	Umtimba wekululeka
affirmative action	sinyatselo lesivuna labo bebacindzetelekile
against the law	Kungahambisani Nemtsetfo
agent of change	i-ejenti yengucuko
air traffic	siminyaminya setindiza
air traffic control	Tekulawula kuhamba kwetindiza
all rights reserved	Onkhe emalungelo agodliwe
all the time	Sonkhe sikhatsi
annual financial statement	Sitatimende setetimali semnyaka
annual general meeting	umhlangano jikelele wemnyaka
annual report	umbiko wemnyaka
appoint the cabinet	coka ikhabhinethi
appropriate technology	ithekhinoloji lefanelekile
area of interest	umkhakha lonesifiso kuwo
area of jurisdiction	indzawo lengaphasi/lephetfwe
area of land	bungako bendzawo
area of responsibility	umkhakha longumsebenti wakho
armed struggle	umzabalazo wetemphi
arts and crafts	buciko nemsebenti wetandla
arts and crafts market	imakethe yebuciko nemsebenti wetandla
arts and culture	buciko nemasiko
as amended	njengoba kucitjiyelwe
as far as possible	ekudzeni kakhulu
as soon as possible	masinyane
assumption of duty	Kucala kusebenta
at a meeting	emhlanganweni
at the age of	aneminyaka leli-
attainment of independence	kutfolakala kwenkhululeko
attend a meeting	hambela umhlangano
basic human rights	emalungelo eluntfu lasisekelo
basic needs	tidzingo letisisekelo
basic rights	emalungelo lasisekelo
bear witness to	fakaza
bed and breakfast	indzawo yekulala lekhokhelwako
bilateral relations	budlelwano bemave mabili
bill of rights	umculu wemalungelo eluntfu
black power movement	inhlangano lemela buve balabamnyama
board of directors	ibhodi yebacondzisi
board of trustees	ibhodi yemalunga laphetse inhlangano
body of water	umtimba wemanti
border post	Ligede lemncele
bottom line	lokungukonakona
bottom line	lokusalako
branches of government	emagatja ahulumende
budget process	tinhlelo tebhajethi
budget vote	ivoti yelwabiwomali
build a part	kwakha incenye/luhlangotsi
bunch of grapes	sikhehle semagilebisi
bus rapid transit	luhlelo lwahulumende lwemabhasi
business community	ummango wetemabhizinisi
business of parliament	umsebenti wephalamende
business sector	umkhakha wetemabhizinisi
by the authorities	kutiphatsimandla
by virtue of	ngekweligunya la-
by way of	ngendlela ye-
by word of mouth	ngekukhuluma
call centre operator	sisebenti sasesikhungweni setincingo
call for nominations	kucela kutsi kuphakanyiswe emagama lekutawukhetfwa kuwo- Kucinisekisa Umtsetfosivivinyo
capacity building	kutfutfukisa likhono
capital city	inhloko dolobha
central government	hulumende lomkhulu
certify a bill	Kucinisekisa Umtsetfosivivinyo
chamber of commerce	inhlangano yetemabhizinisi
change of address	kuntintja likheli
change of course	Kuntjintja ikhozi/sifundvo
changes over time	tingucuko ngesikhatsi
changing society	ummango logucukako
chief executive	umphatsi lomkhulu
chief whip	Sosiswebhu Lomkhulu
child abuse	kuhlukubeta umntfwana
child rearing practices	tindlela tekukhulisa umntfwana
children of Africa	bantfwana be-Afrika
city centre	emkhatsini kwelidolobha
civil rights	emalungelo lavikela luntfu
civil service	kwenta umsebenti wemmango
civil society	ummango wonkhe
civil war	yimphi yemacembu elive linye
coat of arms	Luphawu lolusiphandla selive
code of conduct	indlela yekutiphatsa
code of ethics	indlela yekutiphatsa
collection of data	kugcogcwa kwedatha
collective responsibility	umsebenti wetfu sonkhe
colonial power	emandla; kuphatfwa live langaphandle
colonial rule	kubuswa live langaphandle
come into force	kuta ngemandla
come to the point	fika ezingeni
committee meeting	umhlangano wekomiti
common interest	tifiso letifananako
community broadcasting service	umsakato wesive
community building	kwakha ummango
community development	kutfutfukisa ummango
community involvement	kutimbandzakanya kwemmango
community participation	kufaka sandla kwemmango
community police forum	inhlangano yemmango lesebentisana nemaphoyisa
community service	kusebentela ummango
conclude an agreement	kwenta sivumelwano
conditions of contract	imigomo yenkontileka
conditions of service	imigomo yekusenta
conflict of interest	kushayisana kwetifiso
conflict prevention	kuvikela kungcubutana
conflict resolution	kusombulula ingcabano/kungcubutana
constitutional democracy	intsandvo yelinyenti lekumtsetfosisekelo
constitutional mandate	ligunya lemtsetfosisekelo
constitutional state	hulumende logcile kumtsetfosisekelo
consumer price index	silinganiso sengucuko yentsengo
contempt of parliament	kwedzelela iphalamende
convene a meeting	kubita umhlangano
cooperation agreement	sivumelwano sekubambisana
course of action	sikhatsi lapho khona intfo isenteka
cultural change	kugucuka kwelisiko
cultural community	ummango logcile emasikweni
cultural diversity	kuhlukahlukana kwemasiko
cultural goods	tintfo telisiko 
cultural heritage	indzawo leligugu yelisiko
cultural revolution	tingucuko temandla kumasiko
culture of human rights	lisiko lemalungelo eluntfu
current affairs	tindzaba tanyalo/tendzawo
customary law	umtsetfo wendzabuko
customs and excise	intsela yekungenisa tintfo eveni neyekutisusa embonini
cutting edge	umhlahlandlela
data collection	kugcogca lwatiso
date of birth	Lusuku lekutalwa
decent living	kuphila imphilo lesezingeni
deciduous fruit industry	imboni yetitselo letinendvumbu lecinile
defence force	umbutfo wetekuvikela
degree of freedom	lizinga tsite lenkhululeko
delegated legislation	umtsetfo loshaywe nguloyo lonikwe ligunya lekwenta loko
demand and supply	kudzingeka nekutfolakala kwetintfo
democratic culture	lisiko lentsandvo yelinyenti
democratic election	lukhetfo lwentsandvo yelinyenti
democratic political order	Luhlelo lwepolitiki lwentsandvo yelinyenti
democratic principle	umtsetfomgomo wentsandvoyelinyenti
democratic society	Ummango/inhlangano wentsando yelinyenti
democratic state	live lentsandvo yelinyenti
democratic transformation	tingucuko tentsandvo yelinyenti
democratic values	tintfo letimcoka tentsandvo yelinyenti
deputy minister	Lisekela lendvuna
deputy president	Lisekela laMengameli
dereliction of duty	kunganaki umsebenti wakho
developing country	live lelisatfutfuka
development initiatives	tindlela leticondze  kutfutfukisa
development initiatives	tiphakamiso
development process	inchubo yentfutfuko
development programme	luhlelo lwentfutfuko
development strategy	indlelamasu yekutfutfiksa
diplomatic corps	imitimba yemancusa
diplomatic relations	budlelwano bemancusa bemave
direct support	kusekelwa ngco
director general	Umcondzisi jikelele
disaster management	tekulawula inhlekelele
disciplinary action	tinyatselo tekucondzisa tigwegwe
discussion document	idokhumenti lekusacociswano ngayo
dispossession of land	kutsatselwa umhlaba
distribution capacity	kusabalalisa emandla/emakhono
distribution of resources	kusabalalisa tinsita
distribution of wealth	kusabalalisa umnotfo
district municipality	masipala wesigodzi
diverse society	umango lohlukahlukene
diversity of people	bantfu labahlukahlukene
divide and rule	kubusa ngekuhlukanisa bantfu
down for discussion	kucociswana ngako
draft bill	umtsetfosivivinyo losaluhlaka
draft legislation	umtsetfo losengakasayinwa
early warning	tinkhomba tekucala tebungoti
ease of access	kufinyelela kalula
economic empowerment	kuniketwa emandla kutemnotfo
economic growth	kukhula kutemnotfo
economic impact	umtselela wetemnotfo
economic relations	budlelwano betemnotfo
economic sector	umkhakha wetemnotfo
economic strength	emandla etemnotfo
effective public service	kwenta kahle imisebenti yahulumende
election period	sikhatsi selukhetfo
election process	inchubo yelukhetfo
election results	imiphumela yelukhetfo
enabling environment	simo lesivumako
entitled to vote	uvumelekile kuvota
environmental impact	umtselela kusimondzawo
environmental impact assessment	kuhlola umtselela kundalo
equal opportunities	ematfuba lalinganako
equality before the law	kusebentisa umtsetfo ngekulingana
every three years	njalo eminyakeni lemitsatfu
executive action	sinyatselo sesigungu lesikhulu
executive authority	emandla esigungu lesikhulu
executive organs of state	tinhlaka tahulumende tesigungu lesikhulu
explanatory memorandum	imemorandamu lechazako
fair election	lukhetfo lolungavuni luhlangotsi
fauna and flora	tilwane netitjalo
field of study	umkhakha wesifundvo
fill a vacancy	kuvala sikhala semsebenti
financial year	umnyaka timali
fiscal discipline	kuphatsa kahle imali yahulumende
five hundred and six	emakhulu lasihlanu nesitfupha
floor of the House	indzawo yemalunga
follow up	kulandzelela
food security	kuvikela kuswelakala kwekudla
forced labour	kusebentisa umuntfu ngenkhani
fore and aft	ngembi nangeemuva kwe-
fore and after	ngembi nasengeuva kwe-
foreign direct investment	kusisa lokumengco kwemave angaphandle
foreign exchange	lutjalomali lwemave angaphandle
foreign policy	inchubomgomo kumave angaphandle
free of charge	mahhala
free society	ummango lokhululekile
freedom fighter	sishoshovi  senkhululeko
freedom of association	inkhululeko yekutibandzakanya
freedom of conscience	lilungelo lekuticabangela
freedom of expression	inkhululeko yekusho lokucabangako
freedom of movement	inkhululeko yekuya lapho ufuna kuya khona
freedom of religion	inkhululeko enkholweni
freedom of scientific research	Inkhululeko yelucwaningo Kutesayensi
freedom of speech	inkhululeko ekukhulumeni
from the front	kusuka embili
full supply level	lizinga lukutsela kugcwale
functional area	indzawo lapho loko kesebenta khona
fundamental human rights	emalungelo eluntfu lasisekelo
fundamental rights	emalungelo sisekelo
future research	lucwaningo lwesikhatsi lesitako
gender equality	kulingana ngekwebulili
gender inequality	kungalingani ngekwebulili
gender violence	budlova betebulili
general election	lukhetfo lwavelonkhe
get away with	kusindza
give evidence	nika bufakazi
global development	intutfuko yamhlaba wonkhe
global economy	umnotfo wemhlaba wonkhe
global village	ivileji lesezingeni lemave emhlaba
go on for	kuchubeka kute…
goods and services	timphahla nemisebenti
governing party	licembu lelibusako
government action	sinyatselo sahulumende
government authority	emandla ahulumende
government by the people	hulumende lophetfwe bantfu
government department	litiko lahulumende
government funding	kutfola imali kuhulumende
government level	ezingeni lahulumende
government of the day	hulumende lophetse nyalo
government policy	inchubomgomo yahulumende
government sector	umkhakha wahulumende
government services	tinsita tahulumende
governmental organisation	tinhlangano letingaphasi kwahulumende
grassroots level	ezingeni lebantfu labaphasi
gross domestic product	umkhicito wekhaya sewuphelele
guard of honour	ludvwendvwe lwekuhlonipha
guilty of contempt	unelicala lekudzelela inkhantolo
half a million	hhafu wesigidzi
have a vote	kuba nelilungelo lekuvota
head of government	lophetse hulumende
head of office	umphatsi welihhovisi
head of state	inhloko yembuso
health care	kunakekelwa kutemphilo
hierarchy of authority	tigaba tekuphatsa
historically disadvantaged	labo bebangenamatfuba esikatsini lesengca
hold a meeting	kubamba umhlangano
hold office	kubamba sikhundla
honorary citizenship	sakhamuti lesihlonishwako
honours and awards	kuhlonishwa nekutfola indzebe
host country	live lelivakashelwe
host nation	sive lesivakashelwe
house of assembly	Indlu yesigungu
houses of parliament	tindlu tephalamende
human development	kutfutfuka kwemuntfu
human dignity	sitfunti sekuba ngumuntfu
human nature	indlela umuntfu langayo
human race	luhlaka lwemuntfu
human resource	tinsita letenta umsebenti letibantfu
human resource development	kutfutfukiswa kwetisebenti
human rights	emalungelo eluntfu
human rights abuse	kucaphata emulungelo eluntfu
human rights activist	sishoshovi semalungelo eluntfu
human rights violation	kwephulwa kwemalungelo eluntfu
human security	kuvikeleka kwemuntfu
imbalances of the past	kungalingani kwesikhatsi lesengcile
immediate past president	mengameli losandza kuphuma
in accordance with	kuhambisana na…
in accordance with the rules	kuhambisana nemitsetfo
in addition to	kungeta kuloku
in an acting capacity	njengelibamba la..
in any way	nanoma ngayiphi indlela
in case of	uma kwenteka kuba ne…
in celebration of	kugubha umkhosi we-
in compliance with	ngekuhambisana ne-
in connection with	macondzana
in consultation with	ngekubonisana na-
in excess of	kwendlulele nga-
in favour of	kuhambisana na-
in good faith	ngenhloso lekahle
in office	lophetse hulumende
in so far	ngangoba
in support of	kwesekela i-/u-
in terms of	ngekwemibandzela-
in the balance	kusimeme
in the course of	uma kwentiwa lokutsite
in the evening	ntsambama
in the event of	uma kungenteka …
in the field of	kumkhakha we-/enkhundleni ye-
in the gap	kulesikhala
in the interim	kwesikhashana
in the lead	kuhamba embili/kuvula indlela
in the long term	kwesikhatsi lesidze
in the majority	kuba linyenti
in the morning	ekuseni
in the name of	egameni le-
in the picture	esitfombeni
in the white	kuba mhlophe/kuba msulwa
inaugural address	inkhulumo yakhe yekucala
inaugural meeting	umhlangano wekucala
income tax	intsela yemalingena
indigenous culture	lisiko lendzabuko
indigenous language	lulwimi lendzabuko
indigenous people	bantfu bendzabuko
industrial society	ummango loncike kumisebenti yetimboni
infant mortality rate	lizinga lekushona kwebantfwana
information retrieval	kuvula utfole lwatiso
information retrieval system	luhlelo lwekukhipha/kutsatsa lwatiso
inner city	indzawo lesekhatsi edolobheni
inspector of mines	umhloli wetimayini
intellectual property rights	emalungelo ekuticambela intfo
intergovernmental relations	budlelwana emkhatsini wabohulumende
interim constitution	umtsetfosisekelo wesikhashana
international affairs	tindzaba temave emhlaba
international community	umango wemave emhlaba
international humanitarian law	umtsetfo webuntfu wemave emhlaba
international olympic committee	ikomiti yema-olympic emave emhlaba 
international relations	tebudlelwana bemave emhlaba
interrupt the proceedings	phazamisa inchubo
investment of capital	kusisa imali
job creation	kuvula ematfuba emsebenti
joint committee	likomiti lelihlangene
joint meeting	umhlangano lohlanganisile
joint responsibility	umsebenti wetfu sonkhe
joint rules committee	likomiti lemitsetfo lehlanganisiwe
joint sitting	umhlangano wetindlu totimbili
judicial authority	emandla emajaji
keep in mind	khumbula
keep up to date	yenta kuhambisane nelusuku lwanamuhla
key performance area	indzawo lemcoka/lebalulekile latawukalwa ngayo
labour force	emandla etisebenti
labour intensive	kucinisa kwetisebenti
labour market	imakethe yetisebenti
lack of energy	kuswelekala kwemandla
land ownership	bunikati bemhlaba
land reform	kubuyeketa umhlaba
land restitution	kubuyiselwa kwemhlaba
land rights	emalungelo emhlaba
language policy	inchubomgomo yelulwimi
language practice	kusebenta ngelulwimi
language rights	emalungelo elulwimi
law enforcement	kusebentisa umtsetfo
lay a charge	beka licala
leader of the opposition	umholi welicembu leliphikisako
learning process	ezingeni lekufundza
legacy of apartheid	umtselela welubandlululo
legal deposit library	umtapolwati wetemtsetfo
legislative authority	ngekwemandla  esishayamtsetfo
legislative function	umsebenti wesishayamtsetfo
legislative power	emandla ekushaya umtsetfo
legislative powers	emandla esishayamtsetfo
legislative process	inchubo yesishayamtsetfo
level of government	lizinga lahulumende
level of service	lizinga lekusebentela
levels of development	emazinga ekutfutfuka/kukhula
liberation movement	inhlangano lelwela inkhululeko
liberation struggle	umzabalazo wenkhululeko
limited access	kufinyelela lokunemkhawulo
lingua franca	lulwimi lwesigodzi
list of members	luhlu lwemalunga
local government	hulumende wasekhaya
local government level	ezingeni lahulumende wasekhaya
local government sector	umkhakha wahulumende wasekhaya
local municipality	masipala wendzawo
local sphere of government	umkhakha wahulumende wasekhaya
mainstream economy	umnotfo wemkhakha lobanti
majority of votes	linyenti lemavoti
majority party	licembu lelinemavoti lamanyenti;  licembu lelibusako
make a mark	yenta intfo letawuhlala ibonakala
make a statement	shano sitatimende sakho/tibonakalise
make an effort	tama
management review	kubuyeketa buholi
