ABET	Imfundvo yalabadzala; I-ABET; 
France	iFulansi; 
French	Sifulentji; 
Friday	lwesihlanu;  Lesihlanu; 
Fridays	boLesihlanu; 
GB	i-GB; 
GDP	iGDP; 
Gauteng	iGauteng; 
Gazette	Igazethi; 
German	iJalimane; 
Ghana	iGhana; 
Glossary	Iglosari; 
God	Nkulunkulu; 
Guardian	Umnakekeli; 
HIV-positive	kuba ne-HIV; 
Handbook	Incwajana; 
Harare	iHarare; 
Hawks	Bolohheya; 
Hon	Mhl; 
I'm	 ngi-; 
ICT	i-ICT; 
India	i-Indiya; 
Indian	Lindiya; kwaseNdiya; 
Infecting	 kutselela; kwendlulisela; 
Interjections	kuhlaba lulwimi; 
Islamic	Sisulumane; kwebuSulumane; 
JANUARY	BHIMBIDVWANE; 
JULY	KHOLWANE; 
JUNE	INHLABA; 
Jacob	Jakobhe; 
Jan	Bhimb; 
January	Bhimbidvwane; 
Japan	iJapane; 
Jewish	UmJuta;  kweSijuta; 
Johannesburg	eJozi; 
John	Jona; 
Joseph	Josefa; 
Jul	Kholwane; Khol; 
July	Kholwane; 
Jun	Inhlaba; 
Kenya	iKenya; 
Keyword	Ligama leliyinhloko; 
Kimberley	i-Kimberley; 
Korea	i-Korea; 
LinkedIn	Hlanganisiwe; 
London	iLandani; 
Lotteries	Emalothari; 
Lotto	Ilotho; 
MONDAY	UMSOMBULUKO; 
MP	Lilunga lasePhalamende; i-MP; 
MPs	Emalunga asePhalamende; ema-MP; 
MR	Mn; 
Madam	medemu; 
Mama	Make; 
Mandela's	kwaMandela; 
Manuel	Nkhosinatsi; 
Mayor	Umphatsidolobha; 
Meanwhile	 ngesikhatsi-; manje; 
Methodist	lokhona eWeseli; Iweseli; Umweseli; 
Mme	Make; 
Monday	uMsombuluko; 
Moscow	iMoscow; 
Moses	 Moses; Mozisi; 
Mpumalanga	iMpumalanga; 
Mr	Mn; 
Mrs	Nkt ; 
NCR	i-NCR; 
NOVEMBER	LWETI; 
Namibia	iNamibhiya; 
Natal	iNatal; 
Ndebele	UmNdebele; 
Nelspruit	INasipoti; 
Netherlands	iNethetlands; 
Newtown	iNewtown; 
Nigeria	iNigeria; 
Nigerian	Umuntfu waseNigeria; kwaseNigeria; 
Nkandla	iNkandla; 
Nov	Lw; 
November	Novemba;  Lweti; 
OCTOBER	IMPHALA; 
Oct	Imph; 
October	Okthoba; 
Offender's	 kwalowente licala; kwalowonile; 
Olympic	i-Olimpiki; 
Olympics	ema-Olimpiki; 
Oscar	Osacr; 
PACs	ema-PAC; 
PAP	i-PAP; 
PC	i-PC; 
Pan	i-Pan; 
Paris	iParis; 
Parliament's	Kwephalamende; 
Paul	Pawula; 
Pele	embili; 
Peter	Pita; 
Petersen	Peterson; 
Postpones	hlehlisa; 
Presidency	KwaMengameli; 
President's	KwameNgameli; 
Pretoria	i-Pretoria;  iPitoli; 
Prince	Inkhosana; 
Prof	Solwati; Phrof; 
Protector	Umvikeli; 
RSVP	phendvula; 
Registrar	Mabhalane; 
Rejoice	jabula; 
Riverside	iRiverside; 
Russia	iRashiya; 
Russian	umuntfu waseRashuya; 
Rustenburg	iRustenburg; 
SA	i-SA; 
SA-UK	i-SA-UK; 
SALSA	i-SALSA; 
SAPS	i-SAPS; 
SAX	i-SAX; 
SEPTEMBER	INYONI; 
SETA	i-SETA; 
Sasol	i-Sasol; 
Saturday	uMgcibelo;  Umgcibelo; 
Secretariat	Mabhalane; 
Secretaries	Bomabhalane; 
Secretaries-General	Mabhalane Jikelele; 
Self-Governance	Kutibusa; 
Senegal	iSenegal; 
Sep	Inyoni; 
Shanghai	iShanghai; 
Sharpeville	iSharpville; 
Skip	Yeca; 
Soweto	iSoweto; 
Sudan	iSudan; 
Sunday	Lisontfo; 
Surname	Sibongo; 
Swaziland	iSwaziland; 
Switchboard	Iswishibhodi; 
TUESDAY	LESIBILI; 
TV	i-TV; 
Temba	Themba; 
Thomas	Tomasi; 
Thursday	 Lesine; Lwesine; 
Transvaal	iNtalasifane; 
Tuesday	Lesibili;  Lwesibili; 
UCH	i-UCH; 
UK	i-UK; 
UN	i-UN; 
UNESCO	i-UNESCO; 
URL	i-URL; 
USA	iMelika; i-USA; 
Uganda	i-Uganda; 
Unsubscribe	Cisha kubhalisa; 
Venda	UmVenda; iVenda; 
Venice	i-Venice; 
WEDNESDAY	LESITSATFU; 
Wednesday	Lwesitsatfu;  Lesitsatfu; 
Wits	iWits; 
Witwatersrand	iWitwatersrand; 
Xhosa	Sichosa; UmChosa; 
York	iYork; 
Yvonne	Yuvonne; 
Zambia	iZambiya; 
Zimbabwe	iZimbabwe; 
Zimbabwean	umuntfu waseZimbabwe; kwaseZimbabwe; 
ability	likhono; 
able	khona; 
about	mayelana;  macondza;  -phatselene; 
above	etulu; 
above-mentioned	lokushiwo ngetulu; 
abroad	-ngesheya; 
absence	kungabikhona; 
absolute	mbamba; phelele;  lucobo; 
abuse	kuhlukumeta; 
abused	 hlukumetiwe; kuhlukumeta;  sebentiswe kabi ngalokungakafaneli; 
academia	temfundvo; 
academic	 -phatselene nemfundvo; kwemfundvo lephakeme; 
academics	 -phatselene nemfundvo; kwemfundvo lephakeme; 
academies	temfundvo; 
academy	sikhungo semfundvo lephakeme; 
accelerate	phangisa; 
accelerated	-phangisa; 
accelerating	phangisa; 
accept	emukela; 
acceptance	kwemukelwa;  kuvunywa; 
accepted	-mukelwe; 
accepting	-mukela; 
access	imvume; 
accessed	finyelelwa; 
accessibility	 kutfolakala; kufinyelela; 
accession	kutfola; 
accident	ingoti; 
accidents	tingoti; 
acclaim	kuncoma;  kudvumisa; 
acclaimed	kuncoma;  kudvumisa; 
accommodate	kwemukela;  kunika indzawo;  kuhlalisa; 
accommodated	kwemukela;  kunika indzawo;  kuhlalisa; 
accommodation	 indzawo yekuhlala; kubona; 
accompanied	kubakhona;  -lekelela;  -pheleketela; kuphekeleta; 
accompany	pheleketela;  yelekelela; 
accomplish	feza sifiso; 
accomplished	feza tifiso; 
accord	nika;  vumelana; 
accordance	kuvumelana; 
accorded	nika;  vumelana; 
according	mayelana; 
accordingly	ngalokunjalo; 
account	 incwadzi yesikweleti;  kulandzisa;  sikweleti; i-akhawunti; 
accountability	kutiphendvulela; 
accountants	bagcinimabhuku; 
accounted	kulandzisa;  landzisa; 
accounting	 kugcina emabhuku; kubalisisa; 
accounts	 landzisa;  ema-akhawunti;  incwadzi yetikweleti; tikweleti; 
accreditation	kufaneleka;  kuba neligunya; 
accredited	kufaneleka; kuba neligunya; 
accruals	kugcwalelana ndzawonye; 
accrued	ngeteka; 
accumulated	congelelekile; 
accuracy	 kunemba;  kushaya emhlolweni; kunakekela; 
accurate	-entiwe ngekunakekela; 
accused	ummangalelwa; 
achieved	phumelela; 
achievement	imphumelelo; 
achievements	timphumelelo; 
achieving	kuphumelela; 
acknowledge	vuma; 
acknowledged	vuma; 
acknowledges	kubonga; 
acquire	tfola; 
acquired	-tfola; 
acquisition	kutfola; 
act	umtsetfo;  sento;  dlala;  inkhundla yemdlalo; 
acted	sento;  -tsatsa sinyatselo;  dlalile;  tigaba temidlalo; 
acting	 libamba; kudlala; 
action	sento; 
actions	tenteko; 
active	khutsele; 
actively	ngemdlandla; 
activism	bushoshovu; 
activists	bashikashiki; 
activities	 lokwentiwako; imisebenti; 
activity	umsebenti;  lokwentiwako; 
actor	umdlali; 
actors	 badlali; balingisi; 
actress	umdlali lomsikati; 
acts	 tinkhundla temidlalo;  -dlalile; imitsetfo;  tento; 
actual	mbamba; -lucobo;  kona kona; 
actually	ecinisweni; mbambambamba; 
ad-hoc	kwesikhashana; 
adaptation	kwetayeta; 
add	 ngeta; hlanganisa; 
added	 -ngetile; -hlanganisile; 
adding	 -ngeta; hlanganisa; 
addition	kuhlanganisa; 
address	likheli; 
addressed	kwetfula inkhulumo; 
addresses	emakheli; 
addressing	kulungisa; 
adds	 ngeta; hlanganisa; 
adequate	kwenele; 
adequately	ngalokwenele; 
adhere	landzela; 
adherence	kulandzela; 
adjourn	misa; 
adjourned	kugcile;  kuphuma kwemhlangano; phumile; 
adjudication	sincumo;  sehlulelo; 
adjust	lungisa; 
adjusted	lungisa;  lungisiwe; 
adjustment	 kutilungiselela simo; kulungisa; 
adjustments	kulungisa; 
administer	phatsa;  lawula; 
administered	phatsa;  lawula; 
administering	 kulawula; kuphatsa; 
administration	 imphatfo; kuphatsa; 
administrations	 imphatfo; kuphatsa; 
administrative	kulawula;  kubaphatsa; 
administrator	umphatsi; 
administrators	baphatsi; baphatsihhovisi betikhungo; 
admissible	vumelekile; 
admission	kwemukela;  kwamukela;  kuvuma licala; 
admit	yemukela; 
admitted	emukela; 
adoption	kwemukela;  kufaka eswini; 
adoptive	kuyemukeleka; kufakeka eswini; 
adult	umuntfu lomdzala; 
adults	bantfu labadzala; 
advance	intfutfuko;  tfutfuka;  ngembili;  imali leniketwa ngembi kwesikhatsi; 
advanced	ezingeni lelisetulu;  ngembi kwesikhatsi; -sembili; 
advancement	 kuba sezingeni lelisetulu; lokuniketwa ngembi kwesikhatsi; 
advances	 tfutfuka;  timali letiniketwa ngembi kwesikhatsi; ngembili;  tintfutfuko; 
advancing	intfutfuko;  tfutfuka;  ngembili;  imali leniketwa ngembi kwesikhatsi; 
advantage	 kuba setfubeni; lusito; 
advantages	tinsitakalo;  buhle; kuba sematfubeni; 
advent	 kufika; kusungulwa;  kuvela; 
adverse	 sihibe; lokuyingoti; 
adversely	 kabuhlungu; kabi; 
adversity	bubi; bungoti; 
advertise	khangisa; 
advertised	khangiswe; 
advertisement	sikhangiso; 
advertising	kukhangisa; 
advice	seluleko; 
advise	 luleka; seluleko; 
advised	lulekiwe; 
adviser	umeluleki; 
advisers	beluleki; 
advisories	simemetelo;  sicapheliso;  beluleki; 
advisors	beluleki; 
advisory	simemetelo;  sicapheliso; 
advocacy	bumeli, kukhulumela; 
advocate	ummeli wasemajajini; 
advocates	bammeli basemajajini; mela; 
affairs	tindzaba; 
affect	tsintsa; 
affecting	tsintsa; 
affects	tsintsa; 
affidavit	sitatimende lesifungelwe; 
affirm	vuma; 
affirmation	sicinisekiso; 
affirming	vuma; 
afford	khona; 
afforded	khona; 
aforementioned	 cedza kushiwo; lokushiwo phambilini; 
aforesaid	 lokushiwo phambilini; locedza kushiwo; 
after	emuva; 
afternoon	 emva kwemadina; imphekabafati; 
again	futsi; 
against	 phambene; phambene; Melene; 
age	 iminyaka; sikhatsi;  umnyaka;  guga; 
aged	Loneminyaka yebudzala; gugile;  budzala; 
agencies	ema-ejensi; 
agency	i-ejensi; 
agenda	luhlu lwetinkhulumo temhlangano; 
agent	umenti;  sihhudlo;  sitfunywa sebhizinisi; 
agents	 titfunywa temabhizinisi; siguculi;  ema-ejenti;  tihhudlo; benti; 
ages	 tiguga;  iminyaka yebudzala; tikhatsi; 
aggregate	samba; 
ago	kadzeni;  sikhatsi lesendlulile; 
agree	vuma; 
agreed	 vumilene; -vumile; 
agreement	 kuvumelana; sivumelwano; 
agreements	 kuvumelana; tivumelwano; 
agrees	vumile; vuma; 
agriculture	tekulima; 
ahead	 ngembili; embili; 
aid	lusito; 
aids	tinsito;  ingculazi; sita; 
aim	inhloso;  cipha; 
aimed	tinhloso;  -hlose; -ciphile; 
aims	tinhloso;  cipha; 
air	umoya;  shayisa umoya; 
aircraft	imfulayimashini; 
airport	 inkhundla yetindizamshini; inkhundla yetindiza;  sikhumulo setindiza; 
airports	tikhumulo tetindizamshini;  tinkhundla tetindizamshini; 
albeit	nanoma; 
alcohol	tjwala; 
alert	caphela; 
align	condzanisa; 
aligned	-condzaniswe; 
alignment	kulinganisa; 
alike	fanana; 
alive	-nemlilo; phila; 
all	konkhe; 
allegation	tinsolo;  kusola; 
allegations	tinsolo; 
alleged	kuyasolwa; 
allegedly	kusoleka; 
alleviate	cedza; hhamula; 
alleviation	kucedza; 
alliance	imvumelwano;  lidlelandzawonye; 
allocate	nika; 
allocated	nikwe; 
allocation	kunikwa; 
allocations	kunikwa; 
allow	vumela; 
allowance	imali lencunyiwe; 
allowances	timali letincunyiwe tekwenta lokutsandzako; 
allowed	vumelekile;  vunyelwe; 
allowing	kuvumela;  vumela; 
allows	vumela; 
almost	cishe; 
alone	yedvwana; ngedvwava;  bodvwana; 
along	hambisana;  hamba nako;  hamba naye; 
alongside	eceleni; 
already	sekuvele kwentekile; sekunjalo; 
also	kanye; na; 
alter	ingucuko; kucula;  luntjintjo; 
alternate	ntjintjanisa; 
alternative	lenye indlela; 
although	nanoma kunjalo; 
always	ngaso sonkhe sikhatsi; 
am	ekuseni; 
ambassador	lincusa; 
ambassadors	emancusa; 
ambient	tungelete macala onkhe; 
ambit	umtungeletelo; umnyele; 
amended	-chibele; 
amending	-chibela; 
amendment	sichibelo; 
amendments	 tichibelo; tingucuko; 
amends	chibela; 
ammunition	tinhlavu;  tikhali; 
amnesty	 intsetselelo; shwele; 
among	emkhatsini; 
amongst	emkhatsini; 
amount	linani;  fikela; 
amounted	fikela; 
amounting	lingana;  fikela; 
amounts	emanani; 
an	i; 
analogue	lokufana nalokunye; 
analyse	 hlatiya; hlahlela; 
analysed	 hlatiya; hlahlela; 
analyses	 kucubungula; tinhlatiyo; luhlatiyo; 
analysing	 hlatiya; hlahlela; 
analysis	 kucubungula; kuhlahlela; luhlatiyo; 
ancestor	lidloti; 
ancestors	emadloti; 
ancient	 -kwasendvulo; endvulo;  -ndvulo; 
and	kanye; na; 
animal	silwane; 
animals	tilwane; 
animation	bopopayi; luchungechunge lwemibhalotitfombe;  indlela yekwenta bopopayi; 
annex	dla live; 
annexure	Seleko; 
anniversary	sikhatsi semnyaka sekukhumbula lokutsite; 
announce	memetela; 
announced	memetela; 
announcement	simemetelo; 
announcements	timemetelo; 
announces	memetela; 
annual	ngemnyaka;  kanye ngemnyaka;  nyakanye; 
annually	ngemnyaka; 
annum	ngenyanga; 
another	lokunye; 
answer	 umphumela; imphendvulo; 
answers	timphendvulo; 
antenatal	ekukhulelweni;  ngaphambi kwekubeleka; 
anthem	lihubo; 
anti-corruption	kungahambisani nenkhohlakalo;  kungevani nenkhohlakalo; 
anti-pass	kungatsandzi emapasi; kungahambisani nemapasi; 
anticipated	kuzindla/lindzelwe;  lindzelekile; 
any	lokunye;  noma ngabe yini;  noma ngabe ngubani; 
anyone	nanoma ngubani; 
anything	nanoma yini; 
apart	ngaphandle; 
apartheid	lubandlululo; 
apparent	kubonakala; -sobala; 
appeal	 khala;  cela;  kuphikisa sincumo; sikhalo; 
appealed	 khala; cela;  kuphikisa sincumo; 
appeals	tikhalo;  cela;  kuphikisa tincumo; ticelotikhalo; 
appear	vela;  chamuka;  bonakala; 
appearance	kubukeka;  kuchamuka; 
appeared	 velile; chamukile; bonakele; 
appearing	kubonakala;  kuvela;  kuchamuka; 
appears	vela;  chamuka;  bonakala; 
appendix	litfunjana;  sengetelo; 
applaud	kushaya tadla; 
applause	lihlombe; 
applicant	lofake sicelo; umfakisicelo; 
applicants	bafakisicelo; 
application	sicelo;  kusetjentiswa;  kusebentisa; 
applications	 ticelo;  kusetjentiswa; kusebentisa; tinhlelokwenta; 
applied	imphambosi yekwentela; fake sicelo;  -setjentisiwe; 
applies	faka sicelo; 
apply	faka sicelo; 
applying	kufaka sicelo; 
appoint	casha; 
appointed	-cashiwe; 
appointing	casha; 
appointment	 kucashwa;  kubekwa esikhundleni; simiso; kukhetfwa; 
appointments	 kubekwa esikhundleni; kukhetfwa; 
appoints	casha; 
appreciate	bonga;  dvumisa; 
appreciated	bonga;  dvumisa; 
appreciates	bonga;  dvumisa; 
appreciation	indvumiso; 
approach	 bona, sondzela; indlela; 
approached	 bona, sondzela; indlela; 
approaches	tindlela;  bona, sondzela; 
appropriate	 lekufanele;  -emukeleka; lokufanele; 
appropriated	fanela;  -emukeleka; fanele; 
appropriately	ngalokufanele; 
appropriation	 sabelo; kwaba; 
appropriations	 tabelo; kwaba; 
approval	imvumo; 
approve	vumela; 
approved	vumela; 
approximately	phose;  ngekusondzela; 
arbitration	sehlulelo; 
arbitrator	umehluleli; 
architects	tati tekwakhiwa kwetindlu; badvwebitakhiwo; 
architectural	kuba nelwati lwetebuciko; 
architecture	kumiswa kwetakhiwo tetindlu; 
archival	kulondvolota; 
archive	silondvolotimlandvo;  kulondvolota; silulu; 
archives	tilondvolotamlandvo; 
are	ba;  ti; 
area	 sifundzave; indzawo;  sifundza;  incenye; 
areas	 tifundza;  tindzawo;  tincenye; tindzawo; 
arena	inkhundla; 
argue	 phikisana; sekela; 
argued	 –phikisana;  phikisana; sekela;  phikisa; 
argument	bufakazi;  imphikiswano; 
arguments	bufakazi;  timphikiswano; 
arise	 vela; sukuma;  phakama; 
arises	vela;  sukuma;  phakama; 
arising	 kusukuma;  kuphamaka; kuvela; 
arm	umkhono; 
armed	hlome ngetikhali; 
arms	tikhali; 
arose	 -vuka; -sukuma;  -phakama; 
arrange	lungisa;  hlelembisa; 
arranged	-lungisiwe; -hlelembisiwe;  -hlelembisa; 
arrangement	 kuhlelwa; luhlelo; 
arrangements	 emalungiselo; kuhlelwa; 
arrest	bopha; 
arrested	-boshiwe; 
arrival	kufika; 
arrive	fika; 
arrived	fikile; 
art	buciko; 
artefacts	imihlobiso yetemlandvo; 
article	 indzaba ephephandzabeni;  imphahla; indzaba;  lucetu; 
articles	tindzaba;  timphahla;  tincetu; ema-athikili; 
articulate	phimisa; 
articulated	phimisile; 
artist	liciko; 
artistic	-ngebuciko;  -kwebuciko; 
artists	bosobuciko; 
arts	buciko; 
artwork	umdvwebo webuciko;  sitfombe sebuciko; 
artworks	titfombe tebuciko;  imidvwebo webuciko; 
as	njenga; 
ascertain	tfola; 
aside	eceleni; 
ask	buta; 
asked	buta; 
asking	kubuta; 
asks	buta; 
aspect	luhlangotsi; 
aspects	tinhlangotsi; 
aspiration	 kufutsa; sifiso; 
aspirations	tifiso;  kufutsa;  tintfo lofisa kuba nato; 
assault	 hlasela; kulimata; 
assembly	inhlangano;  libandla lesishayamtsetfo; 
assented	vumile;  kuvuma; 
assert	vuma; 
assess	 linganisa; hlola; 
assessed	 linganisa; hlola; 
assesses	 linganisa; hlola; 
assessing	 linganisa; hlola; 
assessment	luhlolo; 
assessments	tinhlolo; 
assessors	bahloli; 
asset	imphahla; 
assets	imphahla; 
assign	khetsa;  kunikwa umsebenti;  kunika umsebenti; 
assigned	khetfwa;  khetsiwe;  nikwe umsebenti; 
assignment	umsebenti; 
assistance	lusito; 
assistant	umsiti;  umelekeleli; 
assisted	 lekelela; Sita; 
assisting	 lekelela; Sita; 
assists	 lekelela; Sita; 
associate	 hambisana; lilunga; 
associated	 hambisana; emalunga; 
association	libandla; 
associations	tinhlangano; 
assume	cabanga;  tsatsa sengatsi; 
assumed	cabangile;  tsetse sengatsi; 
assumptions	imicabango; 
assurance	 sicinisekiso; siciniseko; 
assure	cinisekisa; 
assured	cinisekisiwe; 
astronomy	sifundvo setinkhanyeti; 
at	e; 
atmosphere	umkhatsi; 
atmospheric	simo; 
attach	dlani; 
attached	Tsekeletela; dlani;  fakiwe; 
attachment	lokufakiwe/lokuhambisana nako; 
attack	 -hlasela;  hlasela; dvumela;  kudvumela; 
attacks	 -hlasela;  hlasela; dvumela;  kudvumela; 
attained	tfola; 
attainment	 kugcina; kutfola; 
attempt	kulinga;  linga; 
attempted	kulinga;  linga; 
attempts	kulinga;  linga; 
attendance	kuba khona; 
attended	hlanganyela; 
attending	kubakhona; 
attention	kunakekela; 
attitude	simo;  simo sengcondvo; 
attitudes	simo;  timongcondvo; 
attorney	ummeli; 
attorneys	bameli; 
attract	dvonsa; 
attracted	heheka; 
attribute	luphawu;  lokuphawulako; 
attributed	kufaka ligalelo; 
audience	tibukeli;  tetsameli; 
audiences	tibukeli;  tetsameli; 
audio	silalelwa/lokulalelwako; 
audiovisual	silalelwabukelwa; 
audit	 hlola emabhuku; luhlolo;  hlola; 
audited	 hlola emabhuku; luhlolo;  hlola; 
auditing	 hlola emabhuku; luhlolo;  hlola; 
auditor	umhlolimabhuku; 
auditor-general	umhlolimabhuku jikelele; 
auditors	bahlolimabhuku; 
audits	 tinhlolo;  kuhlola emabhuku; tinhlola; 
august	Ingci; 
auspices	tinsito;  tilokotfo;  tigameko; 
authentic	konakona; 
author	umbhali; 
authorisation	 imvume; ligunya; 
authorise	nika imvume;  nika ligunya; 
authorities	 tiphatsimandla;  tati; emandla;  imibuso;  emagunya; 
authority	emandla;  ligunya;  umbuso;  Siphatsimandla; 
authorization	 imvume; ligunya; 
authorize	gunyata; nika imvume; 
authorized	nikwe imvume; gunyatiwe; 
authors	babhali; 
automated	kwentiwa ngemshini; 
automatically	ngekutentekela; kuvele nje kwenteke; 
availability	kuba khona; 
avenue	 umgwaco; indlela; 
avenues	tindlela;  imigwaco; 
aviation	luhambo emoyeni; 
avoid	balekela;  gwema; 
avoidance	kugwema; 
awaiting	kuma;  kulindza; 
award	umklomelo; 
awarded	klomelisa; imiklomelo; 
awarding	klomelisa; kuklomelisa; 
awards	imiklomelo; 
aware	-ati;  -caphele; 
awareness	kucaphela;  kucaphelisa; 
away	 kungabikhona; khashane; 
babies	tinswane; 
baby	luswane; 
back	 umhlane; ngemuva;  siphanga;  inhlanekela; 
backdrop	indvwangu yasesiteji; 
background	sisekelo;  sendlalelo; 
backgrounds	 tendlalelo; tendlalelo; tisekelo; 
backlog	lokusilele; 
backlogs	lokusilele; 
bad	kubi; 
bag	lisaka; 
bail	ibheyili; 
bake	bhaka; 
baking	bhaka; 
balance	 kulinganisa;  tinta;  imali lesele; kusimama; 
balanced	simeme; 
balances	 kulinganisa;  kusimama;  kulingana ;  tilinganisi;  tinta;  timali letisele; kusimama; embhalansi; 
ball	 libhola; ibhola;  sidzindzi selunyawo; 
band	 ibhendi; libhande; 
bank	libhange;  lusentse; 
banking	 kubasa ngemalahle; kubhanga; 
banks	tinsentse tetindlela; emabhange; 
baobab	umkhomo; umnkhomo; 
bargaining	kutsinga ngalokulula; 
barrier	sivimbelo; 
barriers	tivimbelo; 
base	sisekelo;  sitinto; 
based	sisekelo;  ticalo;  iminyombo;  tisekelo;  sitinto; 
baseline	sisekelo;  sicalo; 
basic	-lokusisekelo; 
basics	lokusisekelo; 
basis	sisekelo; 
basket	imantji; 
battle	imphi; 
bay	litheku; 
beach	lugu; 
beaches	lugu; 
bear	libhele; 
bearers	umphatsincwadzi; 
bears	emabhele; 
beautiful	 muhle; kuhle; 
beauty	buhle; 
became	kuba-; 
because	ngoba; 
becomes	kuba-; 
becoming	kuba-; 
bed	 sicu semfula; umbhedze; 
beds	 imibhedze; imifula; 
bee	inyosi; 
beer	bhiya; tjwala; 
before	embikwa-; 
began	calile; 
begin	cala; 
beginning	sicalo; 
begins	cala; 
begun	calile; 
behalf	egameni la; 
behaviour	kutiphatsa; 
behind	ngemuva; 
being	umuntfu;  kuba; 
beings	bantfu; 
belief	inkholo;  inkholelo; 
beliefs	 tinkholelo; tinkholo; 
believe	kholwa; 
believed	 kholwa; kholiwe; 
believes	tinkholelo; 
believing	kukholwa; 
belong	kuba-; 
belonging	kuba-; 
belongs	wase-; 
beloved	lotsandzekako;  labatsandzekako; 
below	ngaphasi; 
benchmark	lizinga lelibekiwe; 
beneficial	 sitako; nekusita; 
beneficiaries	bazuzi; 
beneficiary	umzuzi; 
benefited	 zuza; sitakele; 
benefits	tinzuzo; 
best	-kahle kakhulu; 
better	ncono; 
between	emkhatsini; 
beyond	ngetulu;  kwendlula; 
bidders	babhidi; 
bids	kubhida; bhida; 
biennale	minyakamibili; njalo ngeminyaka lemibili; 
big	-khulu; 
bigger	-khudlwana; 
biggest	-khulu kakhulu; 
bilateral	mikhakhamibili; 
bill	 i-akhawunti;  umlomo wenyoni;  umtsetfosivivinyo; tfumela; 
bills	 ema-akhawunti;  emabhili;  umtsetfosivivinyo; tincwadzisikweleti; tfumela;  imitsetfosivivinyo; 
bind	hlanganisa; 
binding	umphetfo; 
bingo	i-bingo; 
biodiversity	budlelwane betilwane netitjalo; tinhlobo tetitjalo netilwane; 
biological	ngekwemvelo; 
biome	titjalo netilwane letisendzaweni lengasahlali bantfu; 
birds	tinyoni; 
birth	kutalwa;  kubeleka; 
birthday	lusuku lwekutalwa; 
black	-mnyama; 
blacks	-mnyama; 
blind	 kutsikameteka kwekubona;  -ngaboni; phandla; 
block	siphakamisi;  litje lelichwa; 
blood	ingati; 
blue	 umbala loluhlata; sibhakabhaka;  yenta mhlophe; 
board	ibhodi;  libandla lekuphenya; 
boards	emabhodi; 
boasts	kutikhukhumeta; 
bodies	 imikhandlu; imitimba; 
bodily	ngekwemtimba; 
body	umtimba; 
bold	kuba nesibindzi;  kungesabi; 
bona	imphahla; 
bond	 sihlanganisi; inhlanganisela; ibhondi;  sikweleti sendlu; 
bonds	 tinhlanganisela; tikweleti tendlu;  tihlanganisi;  emabhondi; 
book	libhuku; 
books	tincwadzi; 
boost	faka emandla; 
border	 umgobo; umncele;  umkhawulo; 
borders	 imiphetfo; imigobo; imikhawulo;  uminyele; 
born	talwa; 
borne	kumelana; 
borrow	boleka; 
borrowing	kuboleka; 
boss	umphatsi; ibhosi; 
botanical	lwati ngetitjalo; 
both	kokubili; 
bottom	 lingaphansi; liphasi;  lingephasi; 
