Act of Parliament	Umthetho wePalamente
Health Professions Council of South Africa	Ibhunga leeNgcali zeMpilo laseMzantsi Afrika
High Court	iNkundla ePhakamileyo
High Court of South Africa	Inkundla ePhakamileyo yaseMzantsi Afrika
Horn of Africa	Iphondo leAfrika
House of Commons	i-House of Commons
House of Lords	i-House of Lords
House of Representatives	Indlu yabaMeli
Human Rights Commission	ikhomishini yamalungelo oluntu
Human Rights Day	iMini yamaLungelo oLuntu
Human sciences research	Uphando lweenzululwazi zobuntu
Industrial Development Corporation	Imbumba yoPhuhliso lwezoShishino
Information Society and Development	Umbutho woLwazi noPhuhliso
Inkatha Freedom Party	i-Inkatha Freedom Party
International Labour Organisation	Iqumrhu lezemiSebenzi leZizwe
International Monetary Fund	iNgxowa-mali yamaZwe ngamaZwe
International Olympic Committee	Ikomiti yezeolimpiki yeZizwe
International Relations	ubudlelwane bezizwe
International Telecommunications Union	Umbutho wezoThungelwano weZizwe
Land Claims Court	iNkundla yaMabango oMhlaba
Language Task Group	i-Language Task Group
Leader of the House	INkokeli yeNdlu
Leader of the Official Opposition	INkokeli yeQela eliPhikisayo
Member of Parliament	iLungu lePalamente
Minister of Education	Umphathiswa weMfundo
Minority Front	i-Minority Front
Municipal Demarcation Board	Ibhodi yeMida yooMasipala
NCOP Committee	iKomiti ye-NCOP
Natal Indian Congress	i-Natal Indian Congress
National Agricultural Marketing Council	Ibhunga leSizwe lweMalike yezoLimo
National Assembly	iNdlu yeSizwe yoWiso-mthetho
National Commissioner	iKomishina yeSizwe
National Council of Provinces	iBhunga likaZwelonke elimele  amaPhondo
National Cultural History Museum	Imuziyam yeSizwe yeMbali yeNkcubeko
National House of Traditional Leaders	iNdlu yeSizwe yeeNkokheli zeMveli
National Intelligence Agency	i-National Intelligence Agency
National Marketing Council	Ibhunga leSizwe leMalike
National Monuments Council	Ibhunga leSizwe leziKhumbuzo
National Party	i-National Party
National Peace Accord	iSivumelwano seSizwe soXolo
National Prosecuting Authority	uGunyaziwe woTshutshiso weSizwe
National Qualifications Framework	Isakhelo seSizwe seziQinisekiso
National Revenue Fund	Ingxowamali yeSizwe yeNgeniso
National Swimming Federation	Umanyano lweSizwe lokuDada
National Training Board	Ibhodi yeSizwe yoQeqesho
National Women's Day	uSuku looMama
New National Party	i-New National Party
New Year's Day	iNyibidyala
Nkosi Sikelel' iAfrika	uNkosi Sikelel' iAfrika
Nobel Peace Prize	Iwonga loXolo leNobel
Northern Cape	uMntla Kapa
Orange Free State	iFreyistata
Organisation for African Unity	i-Organization for African Unity
Organisation of African	Umbutho wamaAfrika
P and L	uP noL
Pan South African Language Board	IBhodi yeeLwimi Zonke zoMzantsi Afrika
People Against Gangsterism and Drugs	i-People Against Gangsterism and Drugs
Perishable Products Export Control Board	Ibhodi yoLawulo lokuThunyelwa ngaPhandle kweeMveliso ezoNakalayo
Population Registration Act	umThetho wokuBhaliswa kwaBantu
President of the Senate	uMongameli weNdlu yeeNgwevu
Pretoria Art Museum	Imuziyam yobuGcisa yasePitoli
Pretoria East Cemetery	Amadlaka ePitoli eseMpuma
Provincial Commissioner	uKomishina wePhondo
Provincial House of Traditional Leaders	iNdlu yePhondo yeeNkokheli zeMveli
Public Administration	uLawulo loLuntu
Public Order Policing	UbuPolisa boLawulo loLuntu
Public Protector	uMkhuseli woLuntu
Public Service Commission	Ikhomishini yeNkonzo yoLuntu
Reconstruction and Development Programme	iNkqubo yoPhuhliso noHlengahlengiso
Republic of South Africa	iRiphabliki yoMzantsi Afrika
Reserve Bank	iBhanki enguVimba
SA Library for the Blind	Ilayibrari yeeMfama yaseMzantsi Afrika
San rock painting	Imizobo yamadwala yamaSan
Second World War	Imfazwe yesiBini yeHlabathi
Sector Education and Training Authority	Igunyabantu leCandelo leMfundo noQeqesho
Skills Development Act	uMthetho woPhuhliso Lwezakhono
South African Bureau of Standards	Iziko lemiGangatho laseMzantsi Afrika
South African Chamber of Commerce	i-South Africna Chamber of Commerce
South African Communist Party	i-South African Communist Party
South African Council of Churches	i-South African Council of Churches
South African Defence Force	i-South African Defence Force
South African Human Rights Commission	IKhomishoni yaMalungelo oLuntu yaseMzantsi Afrika
South African National Civic Organisation	Umbutho weSizwe wezeNtlalo waseMzantsi Afrika
South African National Defence Force	i-South African National Defence Force
South African National Parks	IiPaki zeSizwe zaseMzantsi Afrika
South African Native National Congress	i-South African Native National Congress
South African Police	i-South African Police
South African Police Service	iNkonzo yaMapolisa oMzantsi Afrika
South African Qualifications Authority	i-South African Qualifications Authority
South African Reserve Bank	iBhanki enguVimba yoMzantsi Afrika
South African Revenue Service	Inkonzo yeNgeniso yaseMzantsi Afrika
South African Secret Service	i-South African Secret Service
South African Sugar Association	Umbutho weSwekile waseMzantsi Afrika
South African citizen	ummi woMzantsi Afrika
South African design	Uyilo lwaseMzantsi Afrika
South African tea	Iti yaseMzantsi Afrika
Southern Africa	iAfrika eseZantsi
Southern African Development Community	iQumrhu loPhuhliso  kuMazantsi eAfrika
Southern African Large Telescope	Iteleskopu eNkulu yaseMzantsi Afrika
State Department	Isebe loMbuso
State President	Umongameli weSizwe
Statistics South Africa	Iinkcukacha-manani zaseMzantsi Afrika
Supreme Court	iNkundla yeeJaji
Supreme Court of Appeal	iNkundla ePhakamileyo yeziBheno
The Call of South Africa	Isimemezelo soMzantsi Afrika
The National Qualifications Framework	Isakhelo seSizwe seziQinisekiso
The South African National Council for the Blind	Ibhunga leSizwe leeMfama laseMzantsi Afrika
Truth and Reconciliation Commission	iKhomishoni yeNyaniso noXolelwaniso
UN Security Council	iBhunga loKhuseleko lweZizwe eziManyeneyo
Union of South Africa	Umdibaniso waseMzantsi Afrika
United Christian Democratic Party	i-United Christian Democratic Party
United Democratic Front	i-United Democratic Front
United Democratic Movement	i-United Democratic Movement
United Nations	Izizwe eziManyeneyo
Universal Declaration of Human Rights	Isibhengezo seHlabathi samaLungelo oLuntu
Water Research Commission	Ikhomishini yoPhando lwaManzi
West Bank	i-West Bank
Western Cape	iNtshona-Kapa
Willem Prinsloo Agricultural Museum	Imuziyamu yezoLimo yeWillem Prinsloo
World Heritage Site	umMandla weLifa leHlabathi
World Trade Organisation	Ubutho woRhwebo weHlabathi
World War I	iMfazwe yokuqala yeHlabathi
World War II	iMfazwe yesibini yeHlabathi
World Wildlife Fund	Ingxowamali yeHlabathi yeMpilo yaseNdle
abuse of power	ukunyelisa amandla
academic freedom	inkululeko yezemfundo
account for	ukusabela malunga
account to	ukusabela ku-
accountable for	uxanduva malunga
accounting officer	igosa localulo-zimali
acid mine drainage	Ukhamo-manzi lwesimuncu emgodini
act of state	isenzo sombuso
acts of sabotage	izenzo zokutshabalalisa
ad hoc	eyenzelwe injongo ethile
ad hoc committee	ikomiti yexeshana
administration of justice	ulawulo lobulungisa
administrative action	inyathelo lolawulo
administrative function	umsebenzi wolawulo
administrative powers	amagunya olawulo
advancement of technology	inkqubela-phambili kwezobuchwepheshe
advisory body	ibhodi ecebisayo
affirmative action	inyathelo lolungelelaniso
against the law	ngokuchasene nomthetho
agent of change	umenzi wenguqu
air traffic	isiphithiphithi sophapho
air traffic control	ulawulo lwesiphithiphithi emoyeni
all rights reserved	onke amalungelo agciniwe
all the time	lonke ixesha
annual financial statement	ingxelo yonyaka yezemali
annual general meeting	intlanganiso ngokubanzi yezemali
annual report	ingxelo yonyaka
appoint the cabinet	tyumba ikhabhinethi
appropriate technology	ubuchwepheshe obuchanekileyo
area of interest	ummandla womdla
area of jurisdiction	ummandla wolawulo
area of land	ummandla womhlaba
area of responsibility	ummandla woxanduva
armed struggle	umzabalazo ngezixhobo
arts and crafts	ubugcisa nomsebenzi wezandla
arts and crafts market	imarike yobugcisa nomsebenzi wezandla
arts and culture	ubugcisa nenkcubeko
as amended	njengoko ulungisiwe
as far as possible	kude kangangoko
as many as	ngokobuninzi
as soon as possible	kamsinya kangangoko
assumption of duty	ukuqalisa umsebenzi
at a meeting	entlanganisweni
at the age of	kwiminyaka ye
attainment of independence	ufikelelo lokuzimela
attend a meeting	ukuzimasa intlanganiso
basic human rights	amalungelo oluntu asisiseko
basic needs	iintswelo zesiseko
basic rights	amalungelo esiseko
bear witness to	ukuba lingqina
bed and breakfast	ukulala nebrakfesi
bilateral relations	ubudlelwane kumacala amabini
bill of rights	usomqulu wamalungelo
black power movement	umbutho wamandla abamnyama
board of directors	Ibhodi yabaLawuli
board of trustees	ibhodi yabaphathiswa betrasti
body of water	umsinga wamanzi
border post	iziko lomda
bottom line	isiseko
box office returns	iingeniso zentengiso yamatikiti
branches of government	amasebe karhulumente
budget process	inkqubo yohlahlo-lwabiwo-mali
budget vote	ivoti yohlahlo-lwabiwo-mali
build a part	ukwakha icandelo
bunch of grapes	isihloko somdiliya
bus rapid transit	ihambo ngebhasi ngokukhawuleza
business community	uluntu lwezorhwebo
business sector	icandelo lezorhwebo
by the authorities	ngokwamagunyabantu
by virtue of	ngokwelungelo
by way of	ngokwendlela
by word of mouth	ngokwelizwi
call centre operator	umququzeleli weziko leminxeba
call for nominations	isimemo somiselo lwamagama
capacity building	ukwakha izakhono
capital city	isixeko esiyintloko
central business district	indawo engumbindi woshishino
central government	urhulumente kazwelonke
certify a bill	ukuqinisekisa intlawuliso
chamber of commerce	iziko lezoshishino
change of address	utshintsho lwedilesi
change of course	ukutshintsha kwendlela
changes over time	iinguqu ekuhambeni kwexesha
changing society	uluntu olutshintshayo
checks and balances	iimvavanyo nemiqondiso
chief executive	umphumezi oyintloko
chief whip	umbhexeshi oyintloko
child abuse	impatho-mbi yomntwana
child rearing practices	iinkqubo zokukhulisa abantwana
children of Africa	abantwana baseAfrika
city centre	umbindi wesixeko
civil rights	amalungelo oluntu
civil rights movement	umbutho wamalungelo abemi
civil service	inkonzo yoluntu
civil society	umbutho woluntu
civil war	imfazwe yobukhaya
code of conduct	umgaqo wokuziphatha
code of ethics	ikhowudi yeenqobo
collection of data	ukuqokelelwa kweenkcukacha
collective responsibility	uxanduva oludityanelweyo
colonial power	amandla esithanga
colonial rule	umthetho wesithanga
come into force	ukungena entsebenzweni
come to the point	ukungena emxholweni
committee meeting	intlanganiso yekomiti
common interest	umdla oqhelekileyo
community building	ukwakha uluntu
community development	uphuhliso loluntu
community involvement	ukubandakanyeka kuluntu
community participation	ukuthatha inxaxheba kuluntu
community police forum	isigqeba samapolisa oluntu
community service	inkonzo yoluntu
conclude an agreement	ukwenza isivumelwano
conditions of contract	imiqathango yekontraki
conditions of service	imiqathango yenkonzo
conflict of interest	ingozi yokuhendeka
conflict prevention	uthintelo lwempixano
conflict resolution	uxazululo lwempixano
constitutional democracy	idemokhrasi yomgaqo-siseko
constitutional mandate	umyalelo womgaqo-siseko
constitutional state	umbuso womgaqo-siseko
consumer price index	umlinganiselo wenguquko yentengo
contempt of parliament	ukudela ipalamente
convene a meeting	ukubiza umhlangano
cooperation agreement	isivumelwano sentsebenziswano
course of action	inyathelo lokuqhubeka
cultural change	utshintsho lwenkcubeko
cultural community	uluntu lwenkcubeko
cultural diversity	ukwahlukana kwenkcubeko
cultural goods	iimpahla zenkcubeko
cultural heritage	ilifa lenkcubeko
cultural revolution	utshintsho lwenkcubeko
culture of human rights	amalungelo enkcubeko yobuntu
current affairs	imicimbi yangoku
customary law	umthetho oqhelekileyo
customs and excise	Iirhafu zeeMpahla nezeNgeniso kwiLizwe
cutting edge	uvulindlela
data collection	uqokelelo lweenkcukacha
date of birth	umhla wokuzalwa
decent living	ukuphila okwamkelekileyo
deciduous fruit industry	ishishini leziqhamo zemithi ewis'amagqabi
defence force	umkhosi wokhuselo
degree of freedom	ubungakanani benkululeko
delegated legislation	uwiso-mthetho oluyaleziweyo
demand and supply	imfuno nobonelelo
democratic culture	inkcubeko yedemokhrasi
democratic election	unyulo lwedemokhrasi
democratic political order	umgaqo wedemokhrasi wezopolitiko
democratic principle	umgaqo wedemokhrasi
democratic society	uluntu lwedemokhrasi
democratic state	umbuso wedemokhrasi
democratic transformation	utshintsho lwedemokhrasi
democratic values	izakhi ezixabisekileyo zedemokhrasi
deputy minister	usekela mphathiswa
deputy president	usekela-mongameli
dereliction of duty	ukungenzi umsebenzi ngabom
developing country	ilizwe eliphuhlayo
development initiatives	iziqalo zophuhliso
development process	inkqubo yophuhliso
development programme	inkqubo yophuhliso
development strategy	ubuchule bophuhliso
diplomatic corps	amasoldathi ezobumeli
diplomatic relations	ubudlelwane bezobumeli
direct support	inkxaso ngqo
director general	umlawuli-jikelele
disaster management	ulawulo lwentlekele
disciplinary action	inyathelo loluleko
discussion document	uxwebhu lwengxoxo
dispossession of land	ukuxuthwa komhlaba
distribution capacity	isakhono sokwaba
distribution of resources	ulwabiwo lwezibonelelo
distribution of wealth	ulwabiwo lobutyebi
district municipality	umasipala wesithili
diverse society	uluntu olwahlukahlukeneyo
diversity of people	ukwahluka kwabantu
divide and rule	ukwahlukanisa nokuphatha
domain name authority	igunyabantu lolawulo lommandla
down for discussion	ukumisela ingxoxo
draft bill	umthetho oqulunqwayo
draft legislation	umthetho oyilwayo
early warning	isilumkiso kwangoko
early warning system	inkqubo yolumkiso kwangoko
ease of access	ufikelelo lula
economic empowerment	uxhobiso lwezoqoqosho
economic growth	uhlumo lwezoqoqosho
economic impact	impembelelo yezoqoqosho
economic relations	ubudlelwane bezoqoqosho
economic sector	icandelo loqoqosho
economic strength	amandla oqoqosho
effective public service	inkonzo yoluntu eneziphumo
election period	ixesha lonyulo
election process	inkqubo yonyulo
election results	iziphumo zonyulo
enabling environment	imekobume ekhuthazayo
entitled to vote	ilungelo lokuvota
environmental impact	impembelelo kokusingqongileyo
environmental impact assessment	Uvavanyo lweFuthe kokusiNgqongileyo
equal opportunities	amathuba alinganayo
equality before the law	ukulingana phambi  komthetho
every three years	njalo kwiminyaka emithathu
executive action	inyathelo lophumezo
executive authority	igunya lophumezo
executive organs of state	amagatya ophumezo ombuso
explanatory memorandum	imemorandam echazayo
fair election	ukhetho olungobulungisa
fall in love	ukuwa eluthandweni
fauna and flora	ikhaya lendalo lezidalwa nezityalo
field of study	umhlaba wophononongo
fill a vacancy	ukugcwalisa isikhewu
financial year	unyakamali
fiscal discipline	inkqubo yorhafiso
follow up	ulandeliso
food security	ukhuseleko lokutya
forced labour	unyanzelo lomsebenzi
fore and aft	phambili nasemva
fore and after	phambili nasemva
foreign direct investment	utyalomali-ngqo lweentlanga
foreign exchange	utshintshiselwano lwemali lweentlanga
foreign policy	umgaqo-nkqubo weentlanga
free and fair election	unyulo olukhululekileyo
free of charge	simahla
free society	uluntu olukhululekileyo
freedom fighter	umlweli wenkululeko
freedom of association	inkululeko yokuzibandakanya
freedom of conscience	inkululeko yesazela
freedom of movement	inkululeko yentshukumo
freedom of religion	inkululeko enkolweni
freedom of scientific research	inkululeko yophando lwezenzululwazi
freedom of speech	inkululeko yentetho
freedom of the press	inkululeko yokupapasha
from the front	ukusuka ngaphambili
full supply level	umphakamo opheleleyo wonikelo
functional area	ummandla osebenzayo
fundamental human rights	amalungelo oluntu esiseko
fundamental rights	amalungelo esiseko
future research	uphando lwexesha elizayo
gender equality	ukulingana ngokwesini
gender inequality	ukungalingani ngokwesini
gender violence	udushe ngokwesini
general election	unyulo jikelele
get away with	ukusinda
give evidence	ukunika ubungqina
global development	uphuhliso lwehlabathi
global economy	uqoqosho lwehlabathi
global village	ihlabathi
go on for	ukuqhubeka
goods and services	iimpahla neenkonzo
governing party	iqela elilawulayo
government action	inyathelo likarhulumente
government authority	igunyabantu lukarhulumente
government by the people	urhulumente wabantu
government department	isebe likarhulumente
government funding	uxhobiso lukarhulumente
government level	umphakamo karhulumente
government of the day	urhulumente ophetheyo
government policy	umgaqo-nkqubo karhulumente
government sector	icandelo lorhulumente
government services	iinkonzo zikarhulumente
governmental organisation	ulungiselelo lukarhulumente
grassroots level	umgangatho wabantu basekuhlaleni
gross domestic product	imveliso yelizwe yonyaka
guard of honour	umngcelele wentlonelo/ wokhuselo
guilty of contempt	ityala lendelo
half a million	isiqingatha sesigidi
have a vote	ukuba nevoti
head of government	intloko yorhulumente
head of office	umphathi weofisi
head of state	umongameli
health care	inkathalelo yempilo
hierarchy of authority	imigangatho yamagunya
historically disadvantaged	abahlelelekileyo ngokwembali
hold a meeting	ukubamba intlanganiso
hold office	ukuba sesikhundleni
honorary citizenship	iwonga lobumi
honours and awards	iimbeko namabhaso
host country	ilizwe elisindlekayo
host nation	isizwe esisindlekayo
house of assembly	indlu yowiso-mthetho
houses of parliament	izindlu zepalamente
human development	uphuhliso loluntu
human dignity	isidima soluntu
human nature	indalo yoluntu
human race	uhlanga loluntu
human resource	isibonelelo soluntu
human resource development	uphuhliso loncedo loluntu
human rights	amalungelo oluntu
human rights activist	umququzeleli wamalungelo oluntu
human rights violation	ulwaphulo lwamalungelo oluntu
human security	ukhuselo loluntu
imbalances of the past	ukungalingani kwangaphambili
immediate past president	umongameli osandul'ukuhlala phantsi
in accordance with	ngokwe…
in accordance with the rules	ngokuhambelana nemithetho
in addition to	ukongeza
in an acting capacity	kwimo yokubambela
in any way	nangeyiphi indlela
in case of	kwimeko yokuba
in celebration of	ukubhiyozela uku…
in compliance with	ukuthobela
in consultation with	ngokubonisana
in excess of	ngokudlula
in favour of	ngokuluncedo
in good faith	ngentembeko
in office	esikhundleni
in so far	ngangoko
in spite of	noxa nje
in support of	ngokuxhasa
in terms of	ngokwemimiselo
in the balance	ngokulinganisa
in the course of	kwinkqubo
in the evening	ngokuhlwa
in the event of	kwimeko yokuba
in the field of	kummandla wokuba
in the gap	kwisikhewu
in the interim	okwangoku
in the lead	ngokukhokela
in the long term	kwixesha elide
in the majority	ngesininzi
in the morning	ekuseni
in the name of	egameni
in the picture	embonakalweni
in the white	ebuhleni
inaugural address	intetho yokungena esikhundleni
inaugural meeting	intlanganiso yokungenisa esikhundleni
income tax	irhafu yengeniso
indigenous culture	inkcubeko yesizwe
indigenous language	ulwimi lwesizwe
indigenous people	abemi belizwe
industrial society	uluntu lweshishini
infant mortality rate	isantya sokufa kweentsana
information retrieval	ukubuyisa ulwazi
information retrieval system	inkqubo yokufumana ulwazi kwakhona
inner city	umbindi wedolophu
inspector of mines	umhloli wemigodi
intellectual property rights	amalungelo obumnini bezinto zengqondo
intergovernmental relations	ubudlelwane phakathi koorhulumente
interim constitution	umgaqo-siseko wethutyana
international affairs	imicimbi yezizwe
international community	uluntu lwezizwe
international humanitarian law	umthetho wobuntu wezizwe
international olympic committee	Ikomiti yezeolimpiki yeZizwe
international relations	ubudlelwane bezizwe
interrupt the proceedings	ukuphazamisa iinkqubo
investment of capital	inkunzi yotyalomali
job creation	uyilo lwemisebenzi
joint committee	ikomiti ehlangeneyo
joint meeting	intlanganiso ehlangeneyo
joint responsibility	uxanduva oludityanelweyo
joint rules committee	ikomiti yemithetho edibeneyo
joint sitting	indibano ehlangeneyo
judicial authority	igunya lasenkundleni
keep in mind	ukukhumbula
keep up to date	ukuhlaziya ulwazi
key performance area	inkalo engundoqo yophumezo
labour force	iqela labasebenzi
labour intensive	ugxininiso lomsebenzi
labour market	imalike yabasebenzi
lack of energy	ukusilela kwamandla
land ownership	ubumnini mhlaba
land reform	uhlaziyo lomhlaba
land restitution	ubuyiselo lomhlaba
land rights	amalungelo omhlaba
language policy	umgaqo-nkqubo wolwimi
language practice	intsebenziso yolwimi
language rights	amalungelo olwimi
law enforcement	unyanzeliso lomthetho
lay a charge	ukumangalela
leader of the opposition	inkokheli ephikisayo
learning process	inkqubo yokufunda
least of all	okona kuncinane
legacy of apartheid	ilifa lobandlululo
legal deposit library	ilayibrari yogciniso esemthethweni
legislative authority	igunyabantu lowiso-mthetho
legislative function	umsebenzi wowiso-mthetho
legislative power	igunya lowiso-mthetho
legislative powers	amagunya owiso-mthetho
legislative process	inkqubo yowiso-mthetho
level of government	umphakamo worhulumente
level of service	umphakamo wenkonzo
levels of development	imiphakamo yophuhliso
liberation movement	umbutho wenkululeko
liberation struggle	umzabalazo wenkululeko
limited access	ufikelelo olunomda
lingua franca	ulwimi oluthethwa ngabantu bonke
list of members	uluhlu lwamalungu
local government	urhulumente wengingqi
local government level	umphakamo worhulumente wengingqi
local government sector	icandelo lorhulumente wengingqi
local municipality	umasipala wengingqi
local sphere of government	isigaba sorhulumente wengingqi
mainstream economy	uqoqosho olungamandla
majority of votes	iivoti zesininzi
majority party	iqela lesininzi
make a mark	ukwenza uphawu
make a statement	ukwenza ingxelo
make an effort	ukuzama
management review	uhlaziyo lobuphathi
manner of speaking	indlela yokuthetha
marine living resources	izibonelelo eziphilayo zaselwandle
market economy	uqoqosho lwemalike
mass mobilisation	inkuthazo yezihlwele
master of ceremonies	umphathi-theko
matter of public importance	umba obalulekileyo wesizwe
matter of urgency	imo yongxamiseko
means of communication	iindlela zoqhagamshelwano
means of transport	iindlela zokuhamba
member of the council	ilungu lebhunga
member states of the UN	izizwe ezingamalungu oMbutho weZizwe eziManyeneyo
memorandum of understanding	imemorandamu yokuqonda
metropolitan area	ummandla wekomkhulu
middle class	udidi oluphakathi
minority domination	ukongamela kwegcuntswana
minority party	iqela legcuntswana
minutes of proceedings	imizuzu yendibano
mode of operation	indlela yokuqhuba
moment in time	ngesithuba sexesha
money laundering	unaniselwano ngemali
months of the year	iinyanga zonyaka
mortality rate	iqondo lokufa
mother tongue	ulwimi lwasekhaya
mother tongue	ulwimi lweenkobo
multicultural society	umbutho weenkcubeko ezininzi
music rights organisation	iqumrhu lamalungelo ezomculo
mutual understanding	imvano eqondwayo
mutually exclusive	ngemvano eyodwa
national affairs	imicimbi yesizwe
national anthem	umhobe wesizwe
national asset	impahla yesizwe
national budget	uhlahlo-lwabiwo-mali lwesizwe
national coat of arms	imbasa yesizwe
national conference	inkomfa yesizwe
national department	isebe lesizwe
national development	uphuhliso lwesizwe
national economy	uqoqosho lwesizwe
national education	imfundo yesizwe
national executive	uphumezo lwesizwe
national executive authority	igunya lophumezo lwesizwe
national executive committee	ikomiti yophumezo yesizwe
national flag	iflegi yesizwe
national government	urhulumente wesizwe
national identity	isazisi sesizwe
national interest	umdla wesizwe
national leader	inkokheli yesizwe
national level	umphakamo wesizwe
national level of government	umphakamo worhulumente wesizwe
national policy	umgaqo-nkqubo wesizwe
national pride	iqhayiya lesizwe
national reconciliation	uxolelwaniso lwesizwe
national security	ukhuseleko lwesizwe
national sphere of government	isigaba sorhulumente wesizwe
national strategy	ubuchule besizwe
national symbols	amaphawu esizwe
national unity	ubumbano lwesizwe; umanyano lwesizwe
natural justice	ubulungisa bendalo
natural resources	izibonelelo zendalo
need to know	ekufuneka yaziwe
new dispensation	uyekelelo olutsha
not later than	kungadlulanga ixesha
notice of motion	isaziso sokufaka isindululo
number of children	inani labantwana
number of deaths	inani labafileyo
oath of office	isifungo sesikhundla
of paramount importance	ebaluleke kakhulu
office bearer	umphathi wesikhundla
official language	ulwimi olusemthethweni
official residence	indawo yokuhlala esemthethweni
on the defence	ngokukhusela
on the market	kwimalike
on the run	endleleni yokwesaba
on the second	nqo ngexesha
on the wing	ephikweni
open society	uluntu olungenazithintelo
opening address	intetho yokuvula
order of merit	ngokushiya-shiyana
order of preference	ngolandelelwano lokhetho
order of the day	inkqubo yosuku
ordinary session	iseshoni yesiqhelo
organs of state	amalungu ombuso
out of control	ukungalawuleki
out of date	ukushiywa lixesha
out of order	ukuphuma emgaqweni
out of print	ayikho kushicilelo
out of service	ayisebenzi
out of stock	iphelile
outbreak of war	ukuqhamka kwemfazwe
ownership of land	ubunini-mhlaba
paradigm shift	ukushenxa komzekelo
parliament is in session	ipalamente ihleli
parliamentary committee	ikomiti yasepalamente
parliamentary correspondent	intatheli yeendaba yasepalamente
parliamentary democracy	idemokhrasi yepalamente
parliamentary process	inkqubo yepalamente
participate in the debate	ukuthatha inxaxheba kwingxoxo
participatory democracy	idemokhrasi yokuthatha inxaxheba
party discipline	ukuziphatha kweqela
party system	inkqubo yeqela
