ABET	IABET; 
audio	 isandi; evakalayo; 
audio-visual	ebonwa iviwa; 
audiovisual	izixhobo ezivakalayo nezibonakalayo ezincedisa ekufundiseni; 
audit	uphicotho- zincwadi;  ukuphicotha iincwadi zemali;  ukuphicotha iincwadi; 
audited	kuphicothwe iincwadi;  kuphicothwe iincwadi zemali; 
auditing	uphicotho- zincwadi;  ukuphicotha iincwadi zemali;  ukuphicotha iincwadi; 
auditor	umphicothi-zincwadi;  umphicothi zincwadi zemali; 
auditor-general	umphicothi-ziincwadi-jikelele; 
auditors	abaphicothi-zincwadi; 
audits	uphicotho- zincwadi;  ukuphicotha iincwadi zemali;  ukuphicotha iincwadi; 
august	endilekileyo; enesithunzi; 
auspices	izithembiso;  iinkuthazo; 
authentic	eyinyaniso;  eyenene; 
author	umbhali; 
authorisation	ugunyaziso; 
authorise	gunyazisa; 
authorities	amagunya;  iziphathamandla;  iingcali;  abasemagunyeni; 
authority	 isiphathamandla; igunya;  ingcali;  abasemagunyeni; 
authorization	ugunyaziso; 
authorize	gunyazisa; 
authorized	gunyaziwe; 
authors	ababhali; 
